8/p7/1q3k2/5pp1/R7/5BP1/PP3PK1/8 b - -,g5g4
2krr3/1p3pp1/1npq2p1/8/1p2B1P1/1Q2PP1P/PP3K2/4R2R b - -,b6d7
5rk1/1b3ppp/ppn1p3/4P1b1/2q5/5B1Q/P5PP/1N2RR1K w - -,f3e4
rnbq1rk1/pp2bppp/4p3/2Pp4/3P1B2/2PB1N2/P4PPP/R2QK2R b KQ -,b8c6
1B6/p5p1/1p2Rp1k/2p2K2/P1n4P/2P2P2/r7/8 w - -,h4h5
6k1/3n3p/4p1p1/RP1p4/N3r3/3K4/P5PP/8 w - -,a5a8
4r1k1/4rppp/p3qn2/1pnpN3/2pP4/P1P1PP2/2Q1R1PP/2B1R1K1 w - -,c1d2
8/6Np/p1n4k/1p5P/4K3/PP6/8/8 w - -,g7f5
2q2rk1/1pp1n2p/3p1np1/1P2p3/2P5/Q2P1NPb/1B2PPB1/R5K1 w - -,f3e5
r2r1n1k/p5qp/1p3p2/4p3/1P2P3/2QP1PN1/2P2P2/R4RK1 w - -,g1g2
r1bqrnk1/1p3ppp/p7/2p1p3/P3P3/1QP2N1P/1P3PP1/R1B2RK1 b - -,d8c7
5r1k/1b5p/pn2q1p1/1p6/5P2/2PpB3/P2R2PP/4R1K1 b - -,h8g8
r1b4r/1pqnkppp/p2ppn2/8/4P3/BNP2B2/P1P2PPP/R2Q1RK1 w - -,d1d2
rn1q1rk1/pp2ppbp/5np1/2p3B1/2P1P3/2N2B1P/PP3PP1/R2Q1RK1 b - -,d8b6
r1b2r1k/pp1nq1pp/2p1p3/5p2/2NP4/2RBPP2/PP4PP/3Q1RK1 b - -,e6e5
r1bq1rk1/pp2bppp/2n2n2/3p4/3P4/2NB1N2/PP3PPP/R1BQ1RK1 w - -,h2h3
1r3rk1/1b1n1ppp/4p3/p2qP3/1p1Q1P2/3B4/PP2N1PP/1KRR4 w - -,c1c7
4R3/1p4b1/2p3p1/p4n1k/1P5P/P1q3P1/5PK1/1R1B4 b - -,h5h6
2rr2k1/1bqnbppp/pp1p1n2/4pP2/2PNP3/1PNB4/P2BQ1PP/4RR1K w - -,d4c2
8/5p2/4p3/2k5/1b3p1p/2p2P1P/2N1K1P1/8 b - -,c5c4
r1q1kbr1/pRB2p1p/2n1p1p1/3p4/3P4/2P2B1P/P1PQ1PP1/5RK1 w - -,f1b1
r2q1rk1/1b1nbpp1/p1p4p/1p1p4/3P4/P2BP1N1/1PQ2PPP/R1BR2K1 b - -,a6a5
1r3rk1/1bqn1pp1/3ppb1p/1Bp5/3PP3/2P2N2/1PQ2PPP/2R1RNK1 b - -,b7e4
r1bqkb1r/5ppp/p2ppn2/1pn5/3NP3/1BN1BP2/PPP3PP/R2QK2R w KQkq b6,a2a3
rq2r3/R5bk/1Pb2npp/4p3/1Q2P3/4B1NP/5PBK/R7 b - -,a8a7
6k1/8/R7/6K1/1p4P1/1P1r4/P7/8 b - -,d3d8
2r1r1k1/ppq1bppp/5nn1/3b4/3N4/1NB4P/PQ3PP1/R2R1BK1 w - -,a1c1
r1b2rk1/p1q2pp1/1pnbpn1p/2pp4/Q3P3/2PP1NN1/PP2BPPP/R1B1R1K1 b - -,c8d7
rnbqk2r/pp2bppp/3ppn2/8/2BNP3/2N5/PPP2PPP/R1BQK2R w KQkq -,c1e3:c4b3:e1g1
q3r1k1/1p1b1pb1/r2p1np1/2pPp2p/p1P1P1P1/P1N2P1P/1PBB3K/2RQR3 b - -,e8f8
r4rk1/4npbp/2nqp1p1/1p1p4/p2P4/P2NPNP1/1P1B1P1P/R2QRK2 b - -,e7c8
