8/8/p3k3/Pb2Bp2/1P1K2p1/4P1P1/8/8 w - -,e3e4
8/1Q2bk2/2P3pp/4p3/8/PKN2q2/8/8 w - -,b7d7
1qr2rk1/pb2bppp/1pn1pn2/2p5/2P5/P1NPPN2/1BQ1BPPP/R2R2K1 w - -,f3d2
r1b1k2r/bpq2pp1/p2ppn2/4n2p/4PB2/1NN3PP/PPP1QPB1/R4RK1 w kq -,a1d1
r1b1r3/ppq3k1/2n3pp/3Bpp2/P1Pp1P2/Q2P2PN/4P2P/R4RK1 w - -,a3b2
8/r5bk/1p2Q1pp/4p3/2P1N2P/3Pq1P1/5NK1/8 b - -,a7a8
2rqr1k1/1b3pbp/pn4p1/1ppP3n/4P3/PQN2N1P/3B1PP1/3RRBK1 w - -,d2g5
2r1r1k1/1b1n1p1p/1p3np1/p3p3/2PP4/P1BBP3/3N2PP/2R1R1K1 b - -,f6g4
r7/8/3k4/2p1pp1p/P1Bn4/1PK5/R5PP/8 b - -,d4c6
r4rk1/pp3pp1/2p4p/4P3/8/6P1/PP3P1P/2R2RK1 b - -,f8e8
2r3k1/p1q2p1p/1p4p1/2pP4/Q2br2B/3R3P/PP3PP1/3R2K1 w - -,h4g3
8/p1pk4/2p2pp1/4p3/1P2P1nP/PNPR2P1/6K1/3r4 b - -,d1d3
8/p4qkp/4p1p1/1r2p3/2p1Q3/2P3P1/PP1R2KP/8 b - -,f7b7
4k2r/p4pp1/5n2/1Pr1p3/P5p1/1P2R2P/4NK2/7R b k -,h8h5
r1bqkb1r/ppp2ppp/2n1p3/8/3PN3/4nN2/PPP1BPPP/R2QK2R w KQkq -,f2e3
q2rr1k1/1b1n1pbn/pppp2p1/6P1/2PNPP2/2N1BB2/PPQ5/3RR1K1 w - -,c2g2
rq3bk1/3b1p1p/2p1p1pn/1r1pP3/pP1B4/P2N1N2/2Q2PPP/2R1R1K1 w - -,d4c5
6k1/7p/p5p1/1p2Pp2/4q3/P1P2RQP/1P1r2PK/8 w - -,f3f2
1nkr1b1r/5Q2/1p3P2/2p3B1/1pp5/6P1/PP3P1P/R4bK1 b - -,f1d3
r1bqk2r/2pp2bp/p1p2pp1/8/2Q1P3/8/PPP2PPP/RNB2RK1 b kq -,a6a5
2r1r1k1/pb2qpp1/1p2p1p1/8/3PB3/2P4P/PP2QPP1/3RR1K1 b - -,e8d8
r1b2rk1/pp3ppp/2n1pn2/2q5/2Pp1B2/2N1P3/PPQ2PPP/3RKB1R w K -,e3d4
r1bqr1k1/p1p2p2/1p3Pp1/6Np/3p1Q2/3P3P/PPP3P1/4RRK1 w - -,g5f7
r2qkb1r/1p1n2pb/p1p1pPnp/P2p4/3P4/1N2BN2/1PP1BPPP/R2Q1RK1 b kq -,d8f6
3R4/8/2k5/2p3p1/6r1/3K4/8/8 b - -,g4g1
1rb2rk1/pp2ppbp/2n3p1/2p1P3/2q1NPnN/2P3P1/PP4BP/R1BQ1RK1 w - -,h2h3
2br1rn1/p1q2pkp/1p2p1p1/2p5/P1Pp2N1/3P2P1/1P1Q1PBP/R3R1K1 b - a3,f7f6
2rr2k1/p4pp1/1p1bp2p/8/2P2q2/1PN3PP/P3QP2/3R1R1K b - -,f4f5
r4bk1/5p2/p6p/1p3Bp1/1BbP4/P3P2P/5PP1/2R3K1 w - -,f2f3
r1b2rk1/pp3ppp/4p3/5nq1/3P4/2PB1N2/P4PPP/R2Q1RK1 b - -,g5f6
r1bq1rk1/pp2b1pp/2pp1n2/5p2/2PQ4/2N3P1/PP2PPBP/R1B2RK1 w - -,f1d1
r4rk1/pb3p1p/5p2/2p5/4q3/5N2/PPQ2PPP/3R1RK1 w - -,c2c5
8/4Qpk1/2b1R1p1/8/7p/7P/4BrPK/2q5 w - -,e2f3
2kr1b1r/1pq2ppp/p3p3/2P5/2n1p3/2B4P/PPP1QPP1/R3K2R w KQ -,e2c4
4R3/8/1p3pp1/p1bp4/P4k1p/1P3P1P/6K1/8 w - -,e8e6
8/8/3k4/6pp/2P3r1/3K3P/R5P1/8 b - -,g4g3
r2q1rk1/pb1p1ppp/1pn1pn2/2b5/2PNP3/P1N1BP2/1P4PP/R2QKB1R w KQ -,b2b4
1rb1k1nr/p3ppb1/q1pp2p1/7p/N1pPP2P/4BP1N/PPPQ2P1/1K1R3R w k -,a4c3
r1bq2k1/p3rpbp/3p2p1/NB1Pn1B1/1np1P3/2N4P/1P3PP1/R2QR1K1 b - -,f7f6
r1bq1rk1/pp1nppbp/2n3p1/8/3p4/1B1P1N1P/PPP1NPP1/R1BQR1K1 w - -,e2g3
R2R4/4ppkp/1b4p1/4P3/2b4P/2r2BP1/8/4K3 w - -,d8g8
1n2r3/1kp2p2/1p1p1q2/Q2P1Bp1/P2P2Pp/7P/2P1rP2/1R3RK1 b - -,f6d4
7k/1p4pp/p1np4/P7/4p3/R1P2P2/1P3q1P/3Q3K w - -,f3e4
6k1/1Q3p2/1p5p/3P2p1/1P4n1/2rN4/P2RK1q1/8 w - -,e2e1
8/8/R5b1/6k1/6P1/P2n1K2/Pr5P/8 w - -,f3g3
r3qr1k/pp4bp/2p3pB/5p1n/3Pp3/1BP1Q2P/PP3PP1/3R1RK1 b - -,f5f4
1r1rq1k1/pp2bpp1/4pnp1/2Np4/3n4/P2PB1PP/1P2PPB1/2RQ1RK1 b - -,d4f5
2r5/q5pk/3b3p/ppR2p1P/5P2/1P4P1/PB2RP2/3Q2K1 b - -,a7c5
r1bqk2r/p3bppp/1pp1pn2/3pn3/2PP4/2N3P1/PP2PPBP/R1BQ1RK1 w kq -,d4e5
r1bqr1k1/pp3pbp/2pp1np1/4pn2/2P1N3/1Q1PP1PP/PP1BNPB1/R4RK1 b - -,f6e4
rnb2r2/ppk2ppp/2p2n2/2b1p1B1/2B1P3/2N2P2/PPP3PP/2KR2NR w - -,g1e2
3r2k1/1p1qb1n1/pQ1p1R1p/3Pp1p1/1BN1P2n/6N1/PP4PP/6K1 w - -,f6h6
8/pppkrpp1/6p1/3P4/1PbN4/7P/P2R1PP1/6K1 w - -,d4c2
4kb1Q/p4p1p/4r3/8/Np5P/1P1q2P1/P2P1PK1/2B1n2R w - -,h1e1
rnbqkb1r/1p1p1ppp/p3pn2/8/3NP3/2P5/PP3PPP/RNBQKB1R w KQkq -,b1d2
r2qbbk1/1p1n3r/3p4/1P1Ppp2/pB3P1p/3P2P1/3QN1BP/R1R3K1 b - -,h4g3
r1b1k2q/1p1nbp2/p2pp3/2P3p1/4P3/2N5/PPPQNPP1/1K1R1B2 b q -,d7c5
8/5p2/5k2/8/2N1PP2/2b2K2/8/8 w - -,f3g4
8/2k1K3/8/1P6/1pP5/5Bp1/8/8 b - -,b4b3
2r1k2r/1p2p2p/p2n1qp1/P2p4/5PP1/3PB3/1P2Q1KP/R4R2 b k -,d5d4
r1bqk1nr/pp1pppbp/2n3p1/4P3/3p4/2P2N2/PP3PPP/RNBQKB1R w KQkq -,c3d4
r3r1k1/1pp1qpN1/1n1p2p1/7P/p1n1P3/P1B2P1P/1P5K/3RRQ2 w - -,g7e8
r1bqkb1r/p3nppp/2n1p3/1pppP3/3P2Q1/1BP2N2/PP2NPPP/R1B1K2R b KQkq -,d8c7
5k2/1b3p1p/6pN/1ppn2N1/8/3P2PK/3Q1P1P/q7 b - -,a1f1
r2q1rk1/pp1b1pb1/2n1p2p/3pP1p1/3P2P1/2N1PN2/PP5P/R2QRBK1 w - -,f1d3
4r1k1/6p1/1P1Q2Pp/8/8/5q1P/6RK/8 w - -,d6c7
r2qr1k1/pb1nbppp/1p1ppn2/2p5/2P5/1PN1PNP1/PB1PQPBP/R4RK1 w - -,d2d3
