1r6/R5p1/2KP1kp1/4p3/8/1p5P/P5P1/8 w - -,a2b3
r1qr2nk/4p1bp/2b1Ppp1/p1Np1P2/2pP1BP1/P7/2P1B2P/1RQ2RK1 w - -,c1e3
8/pp2k1pp/4r1b1/8/4N3/2P5/PP4PP/5RK1 w - -,e4g3
7r/1p3pk1/p5p1/q2n2p1/3P2Br/n4PNP/P4QP1/2R2RK1 w - -,c1c5
5rk1/1pQ2pp1/r7/7p/p4Bq1/3R2P1/PP2nP1P/R4K2 b - -,a6c6
8/8/2R3p1/3n1k2/1P4PP/r4N2/5PK1/8 b - -,f5e4
rnbqk1nr/1pp2ppp/1p1p4/4p3/3PP3/5N2/PPP2PPP/R1BQKB1R b KQkq d3,e5d4
r5r1/4kp2/2pn1pb1/1p1p3p/p2P1N1P/bPN1P1P1/P2KBP2/R3R3 w - -,e2f3
r1bq1rk1/bpp2ppp/p1np1n2/4p3/B3P3/2PP1N2/PP1N1PPP/R1BQ1RK1 w - -,f1e1:h2h3:a2a3
rnbqk2r/pppn1pb1/4p1p1/3pP2p/5P2/1P3NQ1/PBPP2PP/RN2KB1R b KQkq -,d7c5
4k3/1N1n4/2p1Kp2/8/4P3/BP3n2/8/8 w - -,a3b2
3R4/pp3p1p/1n2pkp1/2p1b3/2P5/1B5P/PP4P1/5K2 b - -,f6e7
3r4/4pkb1/4p1pp/4P3/R1p4P/4B1P1/5PK1/8 b - -,g7e5
4k3/2Rnp2p/1n1p1b2/3P1N2/1P3P2/r3NP2/3BK2P/8 b - -,a3a1
1r1q1rk1/3b2bp/p1pp2p1/1pPPpp1n/4P3/1P1BBP2/1P1QN1PP/2KR3R w - -,d5c6
r1bqnrk1/3np1bp/pp1p2p1/2pP4/P3NB2/5N1P/2PQBPP1/1R3RK1 w - -,f4e3
1R6/5pk1/8/P2Nr2p/1pK5/8/2b5/8 w - -,a5a6
1r3r1k/1p1qn1pp/p1p2p2/2Qnp3/7N/3P2P1/PPR1PPBP/2R3K1 w - -,c2d2
2r1rk2/1bN1ppbp/3p2p1/8/nP1N4/5P2/P1R3PP/B3R1K1 b - -,g7f6
6k1/4pp1p/5bp1/8/Q7/4P3/P4PP1/2q2BK1 b - -,g8g7
8/pk1r1p2/1p1Pq1p1/5p1p/2pQ4/P7/1P1R1P2/2K5 b - -,b7c6
r1b1k1nr/bpp2pp1/p2p3q/3Nn3/2P2N2/4P1P1/PP3PB1/R1BQR1K1 b kq -,e8d8
rnb1qrk1/1pp1b1pp/3p1n2/pPP1pp2/8/3P1NP1/P3PPBP/RNBQ1RK1 b - -,e8b5
r1bqk2r/1pppnpbp/p1n3p1/4p3/B3P3/2P2N2/PP1P1PPP/RNBQR1K1 b kq -,b7b5
r5k1/1p2pp2/3pn1qp/1P2b1p1/2P1P3/5Q2/1B3RPP/3R3K b - -,g5g4
r1bqnrk1/ppp3pp/2np3b/3Npp2/2P2P2/PP1PP2N/1BQ3PP/R3KB1R b KQ f3,e8f6
rn1q1rk1/pb4pp/1p2pb2/2p2p2/2PPp3/2N1PPP1/PP4BP/R1BQR1K1 w - c6,f3e4
rn1q1rk1/pbp1npbp/1p1pp1p1/8/2PP1B2/2N1PN1P/PP2BPP1/R2QK2R w KQ -,e1g1
r6r/ppk3pp/2n2p2/2bRp3/8/2P2NB1/PP3PPP/4K2R b K -,c5e7
8/8/5k2/1R6/1p1NK1PP/4P3/3b4/4r3 w - -,d4f5
1k1r2r1/5qpp/ppQ2p2/2p1PP2/2b2P2/2p5/P1P2BRP/2K3R1 w - -,c6b6
3r2k1/p4p2/1p3qpp/3P1n2/4Q3/1B3P2/P4P1P/3R2K1 b - -,f5h4
rnbqk2r/pp2ppbp/2p2np1/3p4/8/3P1NP1/PPP1PPBP/RNBQ1RK1 w kq -,b1d2
8/5k2/4n2p/3rPpp1/2R2P2/1P2B1P1/2K5/8 b - -,h6h5
5R2/1p2r3/p1pN4/2P2Pkp/8/1P1K3r/P7/8 w - -,d3d4
8/2p2k1p/p2pb1pB/8/1K3P2/8/P5P1/8 b - -,e6a2
r1br2k1/p3ppbp/1pn3p1/2pn4/2B5/2P1PN1P/PP1N1PPB/R3K2R w KQ -,e1g1
8/5pk1/3R4/4p3/P7/1b6/5P2/1r1BK3 b - -,b3a4
r4rk1/2pnq1b1/pp1pp1pp/8/P1NPp1Q1/2P1P2P/1P3PPB/R4RK1 b - -,g8h7
8/3kp2p/p3bpp1/npp5/n3PP1P/P1P1B3/2PNB1P1/4K3 w - -,e4e5
rnbqk2r/ppp2ppp/4pn2/8/1b1P3Q/2N5/PPP2PPP/R1B1KBNR b KQkq -,c7c5
4r3/3k2bp/p2p2p1/1p1P4/4Pr2/3KN3/PP4PP/1R2R3 w - -,e3d1
r3rbk1/pp1n1pp1/1qb4p/5N2/2P1nP1B/2N5/PP2Q1BP/R4R1K w - -,c3e4
r1b2qk1/4r1pn/1p1p2Bp/1Pn1pPp1/p1P1P2P/B2P1N2/6R1/3Q2RK w - -,h4g5
6k1/4n1p1/1p2bp1p/2p1p3/1pP5/1P1rPBP1/P4P1P/2R2NK1 b - -,e6f5
4r3/6kp/6p1/n4pB1/1p6/1Ppn2P1/P5BP/5R1K w - -,h1g1
r2qk2r/pb1nbppp/1p2pn2/2pP4/2P5/2NBPN2/PBQ2PPP/R3K2R b KQkq -,e6d5
4n3/r5k1/7p/1R2P2P/5PK1/8/5P2/8 w - -,f4f5
5r2/3B1pk1/6p1/7p/2PR4/3r4/PP3n2/1K4R1 w - -,d4d3
