8/1Q3pk1/P6p/4p1p1/3q4/6PP/5P2/2K5 b - -,d4f2
8/ppk5/4p3/2R5/3r1P2/8/KP4P1/8 b - -,c7d6
1r6/5kb1/3p1p1p/p1p2R2/2P5/1P4R1/6PP/6K1 b - -,b8b4
r1q3k1/pp3p1p/1nn1pNp1/8/3rP3/P2b2P1/1P3PBP/R1QR2K1 b - -,g8g7
r4rk1/1p2bp2/2p1b3/p2p4/5pP1/2P1B3/PPP1B3/1K1R3R w - -,e3f4
8/8/4k1p1/4p1Bp/2b1P2P/3nNP2/6P1/6K1 b - -,c4b5
8/7B/8/4k1p1/3r4/5K2/6P1/8 w - -,g2g3
5r2/p5k1/2p5/P1p1p1p1/3nP3/3R1PP1/6K1/3B4 w - -,d3c3
r3k2r/pp2qppb/2pb1n1p/Q3nN2/4PB2/2N4P/PP2BPP1/R4RK1 b kq -,h7f5
5rk1/1r1b2pp/p3pp2/3pP3/1PpK1P2/2P3P1/P1B4P/R6R b - -,a6a5
5r2/pk3B2/2pr2pp/q1B4n/PnQ5/2N2P2/1P3P1P/5R1K b - -,f8d8
r1b2rk1/ppp2pb1/n2p2pp/4q3/2P1P1n1/2N2N2/PP2BPPP/R1BQR1K1 b - -,e5c5
r3r1k1/p2n1ppp/2b5/2p5/2Pp2P1/1P1N3P/P4P2/R3RBK1 b - g3,f7f5
6k1/2pn1pp1/7p/R7/p1P5/P1B3P1/1P3PK1/1r6 b - -,d7f6
rn1q1rk1/pbp1bppp/1p1pp3/6N1/2PPn3/6P1/PPQ1PPBP/R1B1R1K1 w - -,g2e4
r1bqk2r/3nbppp/p3p3/2ppP3/1p1P4/1PP2N2/1P3PPP/R1BQRNK1 b kq -,a6a5
r2qk1nr/2p1ppbp/1n1p2p1/p2bP3/1p1P1P2/3BB1N1/PPPQ2PP/2KR2NR w kq -,c1b1
4r1k1/5p1p/p1Rp4/3Pqnp1/6Q1/P3r2P/1P3RB1/6K1 b - -,e3e1
r2r2k1/1b2qppp/p1pb1n2/1p6/3Pp3/1P2P3/PB1NBPPP/1QR1R1K1 b - -,d8e8
8/4b3/5k2/6p1/2R5/5NP1/r4PKP/8 b - -,f6e6
r1bq1rk1/4ppbp/pp1p1np1/2pPn3/2P1P3/2NBBP2/PP1QN1PP/R4RK1 b - -,e7e6
1rb1nrk1/2qpppbp/p1n3p1/1p2P3/3N1P2/2P3P1/PP4BP/RNBQR1K1 w - -,d4c6
3r2nk/1b2bppp/p7/4B3/P3N3/3r4/5PPP/R3RNK1 w - -,f1g3
3b4/3P4/1p1B4/p7/P1kp4/8/8/3K4 w - -,d1c2
2rr1k2/p3np1p/4p1p1/1RP5/8/2P2B2/P4PPP/4R1K1 b - -,d8d2
8/4p2p/3p1pp1/2nP4/pk1nPPP1/4R2P/3K4/1B6 b - -,c5b3
3r2k1/1pR3p1/4p3/3p1BR1/pP1q1P2/P7/5N2/7K b - -,e6f5
5r2/1pq1r1k1/2p3pb/p3Pn2/1PQ5/P1P3P1/2B2PKP/3R1R2 w - -,e5e6
8/p5r1/2n5/8/2P1NK2/1P5k/P4R2/8 w - -,e4c3
2r3k1/p3bppp/2n1pn2/P1p5/1pq2P2/1N2P1P1/1P3BBP/2RQ2K1 b - -,c4b5
2q4r/Q3bp1p/1p2kp2/2pr4/P1P5/4P3/6PP/3R2K1 w - -,c4d5
2n1q1k1/3n2bp/2p3p1/p2p4/1p1P4/1P1N1P2/P2Q1BPP/3N1K2 b - -,c8d6
8/8/6P1/5B2/3k4/1K6/6r1/8 b - -,g2g5
r4rk1/ppp3b1/3p2qp/2PP1np1/1P2NpQ1/2N5/P4PPP/2R2RK1 w - -,f1e1
8/R2k4/4p3/8/5P2/8/p5K1/r7 b - -,d7d6
5r1k/1p4qp/p2p2p1/Pn1Nprb1/1PN1Q3/2PR1P2/6PP/3R2K1 w - -,g2g3
r1bq1rk1/pp2ppbp/2n3p1/6N1/3PpB2/2P4P/PP2BPP1/R2QK2R b KQ -,d8a5
Nn4k1/1b1qbrpp/p2p1n2/1p6/3BP3/P1N5/1PP2PPP/R2Q1RK1 b - -,b7a8
2r2rk1/4b3/1QR1q3/3p3p/P2Pp1p1/4P1P1/5PBP/2R3K1 b - -,c8c6
6r1/3b2pk/p5Rp/2p5/8/7P/PB4P1/7K w - -,g6a6
rnb1k2r/pp2qppp/2pp1n2/4p1B1/2PPP3/8/PP2NPPP/R2QKB1R b KQkq -,h7h6
r1b2rk1/ppqpbppp/2n1p3/1Bp1P3/8/1PB2N2/P1PP1PPP/R2QR1K1 b - -,b7b6
6k1/5p2/6p1/pP6/3r4/1P5P/R5PK/8 b - -,d4b4
6k1/4rpp1/7p/3R4/4b3/6P1/Pr2PPBP/5RK1 w - -,d5d8
8/ppp1npp1/4k2p/3p4/3P4/1PPB3P/P3KPP1/8 b - -,e6d6
2r5/4ppk1/7p/q3p1p1/8/2r4P/2PRQPP1/3R1K2 w - -,d2d5
r3k2r/p3b3/b1p1pp2/2pp3p/2P3qP/2NP1NP1/PP2QP2/2KR3R b kq -,e8c8
r2q1rk1/p3ppbp/6pn/2p1P3/b2p1P2/B2P1N2/PNP3PP/R3QRK1 b - -,a4c6
2bq1rk1/1p4np/3p4/3Pb3/1P2Pp2/1N1B1Q1P/4N1P1/2R3K1 w - -,g1h1
r3r1k1/pp3ppp/2p5/5qP1/8/2P5/PPPQ1PP1/1K1R3R w - -,f2f3
r1k2b1r/pppb1pp1/2p4p/4Pn2/5B1P/2N2N2/PPP2PP1/R4RK1 w - -,c3e4
8/1r3pp1/2pk3p/p2n4/5R1P/1P3K2/P2R1PP1/8 b - -,d6c5
1r4k1/2b2pp1/2pqbn1p/2Np4/P3p3/B1P1P2P/2QN1PP1/1R4K1 w - -,c5e6
6k1/5p1p/3p1npQ/1p2B1NP/2pq2P1/5B2/1P3PK1/4r3 b - -,d4e5
r1bq1rk1/5pbp/p2p2p1/1p1Pp1P1/7P/N1PB1Q2/PP3P2/2KR3R b - -,f7f5
r3r1k1/1p3p1p/2n1p1p1/p1Pp4/Pb1P2Pq/1P1BQ2P/1BR2PK1/5R2 w - -,d3b5
8/1pp2pk1/p2p2p1/3Pb1B1/2Pr4/1P5P/P1R2PK1/8 b - -,e5f6
4qrkn/1p4b1/p2p1p2/P1pPpQp1/1PP1P1P1/6P1/3B1R2/5RK1 w - -,b4c5
R7/5pk1/5p2/4p2P/6P1/4P2r/P4K2/8 b - -,f6f5
r2qrbk1/pb3ppp/1pn1pn2/3p4/2PP4/PP1B1N2/1B1NQPPP/2R1R1K1 b - -,a8c8
3br1k1/p2q2pp/Q1p1np2/2p1pb2/NrN5/1P1P1PP1/P2BP2P/2R1R1K1 b - -,b4b5
3r1rk1/pp3pp1/1q2b2p/2b1P3/2p1p3/4N2P/PPP1BQP1/4RRK1 w - -,e2g4
r3k2r/1p1b4/pq2pbp1/3N2pp/8/P7/1PP1Q1PP/R3R2K b kq -,b6d8
