8/4N3/3p2pb/3P4/5k2/8/4K3/8 b - -,g6g5
r1b3k1/1pR1p1q1/5pp1/p2p4/3Q4/3P1NP1/PP2PP2/4K3 b - -,c8e6
8/8/4p2p/1pq1p1p1/4Pn2/5P1P/2rk2PK/RQ6 w - -,b1e1
3R4/5ppk/7p/r4p2/p3b3/7P/6P1/4N2K w - -,d8d2
2kr4/1p3pp1/2p1p1p1/p2rP3/5P1P/PP1R2P1/2PR4/2K5 b - -,c8c7
6k1/1p1r1ppp/p7/P4P2/4p3/4B1P1/1bP2P1P/R5K1 w - -,a1a4
r1b1kb1r/1p3ppp/p1n1p3/3q1n2/3p4/2P2N2/PP3PPP/RNBQRBK1 w kq -,g2g4
1r3r2/2p3k1/1p1p1n2/p2P2qp/P1P3b1/3B2P1/1PQ1NR2/1K3R2 w - -,e2f4
8/4rpkp/6R1/p1N1p2Q/8/3PP1PK/4q3/5r1R b - -,h7g6
4r1k1/p7/2p3p1/4qp2/8/1P2P3/P2Q2P1/1K5R w - -,d2d7
5r2/R1R2pk1/5q2/2P4p/5N2/5PP1/4PK2/8 b - -,g7h6
6k1/6b1/4p1n1/3r4/1B1p2q1/3Q4/PPP4R/1K5R w - -,a2a4
r4rk1/pbq2pp1/1p3n1p/2b1p3/7P/2PBB3/PPQ1NPP1/2KR3R w - -,e3c5
r5k1/pp2b1pp/2p5/3rP3/8/4B1PP/PP6/R3R1K1 w - -,e5e6
3r2k1/p2r3p/5np1/1p1B1p2/3P4/1P4P1/P2R1NKP/4R3 b - -,d7d5
r1nq1rk1/pp2ppbp/2n3p1/2Pp4/3P2b1/1PN1BN1P/P3BPP1/R2Q1RK1 b - -,g4f3
r4rk1/1b3pbp/pp1p2p1/4B1q1/2P1P1n1/1P1B3P/P2NN1P1/RQ3RK1 b - -,g5e3
r1b2rk1/p4pbp/2p3p1/q2pn3/1P6/P1N3B1/2PQBPPP/R4RK1 b - b3,a5d8
r6r/5p1k/2bp1Pp1/p1p1p3/2p1P3/PP1P2KP/4R1B1/2R5 w - -,d3c4
2q1rb1k/7p/pB4p1/P1P1p3/4P3/4Q2P/5PP1/2Rr2K1 w - -,c1d1
r2qkb1r/pp1n1ppp/2p1pn2/3pN2b/3P1P2/6PP/PPP1P1B1/RNBQ1RK1 b kq f3,f8d6
8/5k2/4np2/1p1n4/6PP/5K2/5P2/1B6 w - -,f3g3
8/6k1/pB5p/4b1p1/P5P1/5Rq1/2Q5/7K b - -,g3f3
r1b1k2r/pp3ppp/8/4p2n/1PP5/P1N1b3/5PPP/2R1KB1R w Kkq -,f2e3
2kr1bb1/2q3p1/5pN1/pppn1P1p/2Np3Q/PP1P4/1BP3PP/1K2R3 w - b6,c4d2
r5k1/1b4p1/p1q1Pr1p/1p3Bb1/3p4/P5Q1/1P4PP/1N1R1R1K w - -,f5g4
8/8/5k2/r6p/p4KpP/R7/8/8 b - -,f6e6
6k1/5ppp/3q4/3Pn3/1pB2Q2/1P2P2P/r4KP1/2R5 w - -,f2g1
8/5k1p/8/pN1pb3/P1n5/7P/6P1/2B4K w - -,b5a3
r2qkbnr/p2bpppp/2p5/3pP3/3N4/8/PPP2PPP/RNBQK2R w KQkq -,e1g1
8/3q1pk1/1p3Rrp/p7/1p6/5Q1P/6P1/5R1K b - -,g6f6
r1q1r1k1/1ppb1pbp/p1np1np1/4p3/2PP4/2N1BNPP/PP1QPPBK/R2R4 b - -,d7f5
6k1/3p1pbp/r1rp2p1/2p2P2/P1NnP1P1/1P2B3/2R1K2P/3R4 w - -,e3d4
8/5k2/8/3N1K2/8/6P1/8/2b5 b - -,f7g7
