8/8/1b1p1k2/6pp/3NP3/3K1PPP/8/8 b - -,d6d5
r2r2k1/5ppp/6q1/3p4/pQpPBB2/4P3/1P3PPP/R5K1 b - -,g6e4
6k1/8/8/2b5/2P1KB2/4P3/Nr5P/8 b - -,b2a2
8/4k3/4p3/4P2r/2PPKP1p/R3n3/7R/4r3 w - -,a3e3
r4r2/pp2q1kp/2p1bpp1/Q2np3/8/1P4P1/P1PNPPBP/3R1RK1 w - -,g2d5
2rq1rk1/pp1bppbp/3p1np1/2n5/2PNP3/1PN2B1P/P4PP1/R1BQR1K1 b - -,b7b6
r3n3/3bpnkp/3q2p1/p1pPp3/1rP1N3/1PQ1N2P/2B3P1/R4RK1 b - -,d6c7
2kr4/pp3pp1/2p1p1p1/3r4/q2P1P1P/P2RQ1P1/1PP5/1K1R4 b - f3,a4b5
r1b1r1k1/1p3p1q/p1p3p1/2N2n2/1PB2R2/P1Q5/6P1/2BR2K1 b - -,b7b6
6k1/1r3p2/6pp/q1b1P3/2Q1N3/5P2/4K1PP/3R4 b - -,b7b4
rn1q1rk1/p4pp1/1ppbpn1p/3p1b2/2PPP3/1QN3P1/PP1N1PBP/R1B2RK1 b - e3,d5e4
7r/1R2Ppb1/2B3p1/k7/2R5/4r3/P7/1K6 b - -,e3e1
5rk1/2rbqppp/pp1pp3/8/nPPNPP2/P3Q1P1/2R3BP/2R3K1 b - f3,f8d8
3r3k/pp4b1/2bp1nBp/5N1p/3P4/8/PP1B1PP1/4R1K1 b - -,c6e4
1r4k1/ppb2p2/2n1p1p1/8/2P1q3/3B1PP1/P1P2BKP/1R6 w - -,d3e4
7r/p2pkp2/8/2p1P1R1/2P1Pn2/1P3B2/P5P1/1K6 b - -,h8h1
2qR1bk1/2P2p1p/pn2r3/8/5B2/6P1/P4P1P/1R4K1 w - -,b1b6
1r1r2k1/2q2ppp/bp6/p1nPp3/2P5/2P2P2/P2NQBPP/1R1R2K1 b - -,d8d5
r1bqr3/pp4kp/3p2p1/2pP3n/4NP2/2Q4P/PP4PN/4RRK1 b - -,g7f7
8/8/6k1/1pp3P1/3r3P/3pK3/3R4/8 b - h3,d4h4
1b3r1k/6pp/1pb1p3/1Np5/P1P1pP2/4B3/1P4PP/3R3K b - a3,h7h5
r5k1/1ppqrp2/3p2p1/3P1P1p/P2Pn3/1P6/2Q1B1PP/2R2RK1 b - -,g8g7
rn5r/pq4pp/1p2pk2/3pNp2/1Q1P3P/2R1P3/P4PP1/R5K1 w - -,b4d6
6k1/2b1q1p1/p3p1Qp/2p2p2/P1N1bP2/1PB1P2P/6PK/8 b - -,e7f7
3r4/7p/p1k4b/1pp5/5P2/1P6/P2P1P1P/1RB2K2 w - -,f4f5
2r2rk1/pbq1bppp/1pn1pn2/2p5/2P5/P1NPPN2/1BQ1BPPP/R4RK1 w - -,f1d1:h2h3
2kbn2r/B4ppr/p2p4/3Np3/4P3/5P2/PPPK3P/6RR b - -,h7h2
8/3kb3/R7/2p1B3/2K1P2p/P4r2/7P/8 b - -,f3e3
8/6B1/4k3/5pKp/8/7n/8/8 w - -,g5h5
r1qr2k1/p4pbp/b1p1p1p1/2P5/P1pPPB2/2Q2N1P/5PP1/1R2R1K1 w - -,b1b2
8/2b5/6p1/3R1pk1/7P/5KP1/8/8 b - -,g5f6
3rr1k1/5pP1/p5bp/2p1P3/1q6/1P3Q2/1BP3BP/4bRK1 w - -,g2h3
r2q1rk1/1pp1nppp/2n1b3/4p3/p1P5/P1NQ1NP1/1P2PPBP/3R1RK1 w - -,d3e3
r1bq1rk1/pppp1pp1/1bn2n1p/6B1/4P3/1NN5/PPP1QPPP/R3KB1R w KQ -,g5h4
8/6p1/4p3/pk2Pp1p/5P1P/K5P1/8/8 w - -,a3b3
8/5p1p/4pkp1/pr1p4/Nn1P4/1P2P3/4KPPP/2R5 b - -,b4a6
8/5p1p/2N1k3/8/2b2Pp1/4K3/7P/8 b - -,h7h5
2r3k1/5pp1/1q1bp2p/3p4/3P4/1PpQPNP1/P6P/2R3K1 b - -,d6a3
4r1k1/pp3ppp/1qp2b2/4P3/1P3BQ1/P1r3P1/5P1P/R1R3K1 b - -,c3c1
5b2/p4k1p/1p2p1p1/5p2/3PP3/4BP1P/P1n1K1P1/2N5 b - -,f5e4
