8/8/R7/6k1/pK6/1r6/1n6/8 w - -,b4c5
3r2k1/p3p1bp/1n2pnp1/3p4/2p5/2N3PP/PP2PP2/R1BR2K1 w - -,c1e3
6k1/8/4P1Q1/p2pq2p/2p4P/2P4K/1r3PP1/8 b - -,e5g7
r6r/1p2kp1p/p1b1pp2/8/P1n5/1NP3P1/R3PPBP/3R2K1 w - -,g2c6
4rk2/1b2rpb1/p3p1pp/Pp1p4/1N3PP1/2P1N3/1P3KP1/3RR3 b - -,g7f6
2r3k1/2p1npp1/1b2q2p/3pP3/R2P4/r3NN1P/2Q2PP1/1R4K1 b - -,c8a8
4r1k1/1q3p1p/p5p1/1pn1P3/2r2P2/5QN1/P5PP/1R3RK1 w - -,f3b7
r2rk3/p3n1pp/4bp2/3pp3/8/2B1P1PP/PP1R1PB1/R5K1 b - -,d8d7
rnb1kb1r/pp2pppp/3p1n2/q1p5/4P3/2P2N1P/PP1P1PP1/RNBQKB1R w KQkq -,f1d3
r1b1r1k1/1pqnbppp/p1npp3/8/P2NPP2/2N1B3/1PP1B1PP/R3QR1K w - -,f4f5
2k5/1p4p1/p7/Pb2pPB1/1P1pP3/3P2R1/3K4/7r b - -,h1h2
r2q1rk1/pp1n3p/2ppbnp1/4pp2/2P5/2NPP1P1/PP1Q1PBP/R3K1NR w KQ -,g1e2
rn1q1rk1/pb1n1ppp/1p1pp3/2p5/2PPP3/2P2P2/P3B1PP/R1BQNRK1 w - -,e1c2
1r3rk1/p2bp1bp/3p1npB/8/2pNP1P1/2N2P2/PqPK3Q/3R3R b - -,f6e4
8/p4p2/2p2k2/1p5p/2PnKP2/7B/PP5R/3r4 b - -,b5c4
3r2k1/1b3ppp/pb2pn2/2n5/B2N4/4PP2/1P2N1PP/2BR1K2 w - -,a4c2
r1q1nrk1/1p2b1pp/pBb1p3/Q3Pp2/P5B1/2N5/1PP3PP/R4R1K w - -,g4e2
4r2r/pp1k1p2/2p4p/3pPPp1/1P1Pn1P1/P2R2B1/2P4P/1R4K1 b - -,h6h5
8/6pk/3n2qp/1p6/1P1PN1P1/2PK1Q2/8/8 w - -,f3f4
k1nr3r/pp1qbpp1/4p2p/n2pP2P/b1pP1BP1/P1P1QN2/1P2RPB1/1R3NK1 b - -,d7e8
1rn1q1k1/1rpb2bp/p2p2p1/3Ppp1n/4P3/P1N1BP2/BPQ1N1PP/KR5R b - -,c8a7
8/8/b4R2/k1p5/2Pp4/rr1P2B1/6PP/4R1K1 w - -,e1d1
4r1k1/1p3p1p/p2p2p1/3P1b2/Pr3P2/1BR3PP/1P5K/5R2 w - -,f1f2
1r5r/1p1k1p2/p2p1b2/P1qPp2p/4Pp2/1Q5P/2P2PP1/R3RBK1 w - -,a1a4
r5k1/pp5n/2pp4/7q/2PP1QR1/2N5/PP6/2K5 b - -,g8h8
8/8/p3k3/K7/3P1P1p/8/6P1/8 b - -,e6f5
2r1kr2/ppqbn1pp/4p3/3pP1N1/P7/B1b2Q2/2B2PPP/R4RK1 w - -,f3h5
2kr3r/pppqn1pp/2nb1p2/3p4/3P2bB/2PB1N2/PP1N1PPP/R2Q1RK1 w - -,h4g3
r1b1k1nr/ppp3p1/4p1np/2b1P3/2B2P2/2N2N2/PP4PP/R1BK3R w kq -,d1e2
3rr2k/pp4bp/1np1q1p1/3n1p2/3P2P1/1PN1P1QP/P2B2B1/R2R3K w - -,g4f5
r1b1k2r/p3ppbp/2pp2p1/q7/2P1P1n1/1RNB3P/P2B1PP1/3Q1RK1 b kq -,g4e5
rn1qkb1r/pb3ppp/1p2p3/2pn4/8/1P3NP1/PB1PPPBP/RN1Q1RK1 b kq -,b8d7
rn3rk1/1b2bppp/pq1ppn2/2p5/2P5/3PPNP1/PBQ2PBP/RN3RK1 b - -,b8c6
r2q1rk1/pppb1pbp/2np1np1/8/2P1P3/1PNB1P2/P2QN1PP/R1B2RK1 b - -,a7a6
2r3k1/ppr1qp1p/2nbp3/1QNp1p2/3P4/2R1PN2/PP3PPP/2R3K1 b - -,c6d8
3rr1k1/pqp2pb1/2ppbnpB/8/2P1P1P1/P1N2P2/1P1QBR1P/2R3K1 b - -,g7h6
rn1qkb1r/pppbpp1p/5np1/8/2PP4/8/PP2BPPP/RNBQK1NR w KQkq -,b1c3
rr3b2/p4k1p/2b1npp1/2pNp3/2P1P3/5P1P/P5P1/RR2BBK1 w - -,f1d3
r2qn1k1/1p4bp/3p2r1/1P1Pp2B/4Pp2/1P1N4/5Q1P/2R2R1K b - -,g6h6
r2q1rk1/pp2bpp1/1np1pnp1/8/3P1B2/2NBRQ2/PPP2PPP/3R2K1 b - -,b6d5
2rq1rk1/1b1nppbp/p1np2p1/1p6/1p2P3/P1PP1NP1/1B1NQPBP/R2R2K1 w - -,a3b4
r3kb1r/pp3p1p/1nnp2p1/8/P5b1/N1P2N2/1P3PPP/R1B1KB1R w KQkq -,a4a5
4r1k1/pp3pb1/3N2p1/1PnrP2p/P4P2/3p4/1B1R1PKP/3R4 b - -,e8d8
r2qkbnr/1b3ppp/p1npp3/1pp5/4PP2/2NP2PN/PPP3BP/R1BQ1RK1 b kq f3,g8f6
3nn1k1/8/p1P1p1p1/4N3/4PP1p/8/P4N1P/6K1 b - -,g8g7
8/1p6/8/1RP1n3/4k3/6K1/r3B3/8 b - -,a2e2
rn1qk2r/3nb1p1/p1p1p1p1/1pPp1p2/3P2P1/1PN1P2P/PBQ1BP2/1K1R3R b kq -,a6a5
4br2/4p2p/1p1nk3/p1p1BpP1/P1P2P1P/8/3NK3/R7 w - -,e2d3
r4rk1/pp1npp1p/1q1pb1p1/8/2PQP3/1PN5/P3BPPP/R4R1K w - -,d4d2
2kr1b1r/1pp1pppp/p4n2/8/3n4/2NBBP2/PqP2P1P/R2QK2R w KQ -,c3a4
2kr3r/pbqnbp2/1pn1p2p/2p1P3/2PpNPp1/P2P2P1/1P2Q1BP/R1B1NRK1 b - -,h6h5
5rk1/pp3qp1/3p2n1/2pPp1p1/2P1N3/6PP/PP2QP2/4R1K1 b - -,b7b5
rn3rk1/ppq1ppbp/2p2np1/8/4P1b1/5NP1/PPPNQPBP/R1B2RK1 w - -,h2h3
5rk1/p4ppp/1p2pq2/8/2rP2R1/2P1QP2/P4P1P/R6K w - -,g4f4
rn1q1rk1/1p2bppp/3pb3/4p2n/p1P1P3/2N1BP2/PP1NB1PP/R2Q1RK1 b - -,e7g5
6rk/3p3p/2bPp3/8/4p3/P1R3PB/7P/6K1 b - -,g8e8
r1q2rk1/pb1n1ppp/1p2p1n1/8/2pP4/PBP1QPB1/4N1PP/R4RK1 w - -,b3c2
4r1k1/p1Rn1pp1/5n1p/4pN2/r6B/4PP2/6PP/1R4K1 b - -,e5e4
r4rk1/pp1nbpp1/1qp1p2p/5b2/2PPN1n1/1QN1B1P1/PP3PBP/R4RK1 w - -,e3f4
8/r4ppp/2k5/2P1P3/8/4PK2/6PP/1R6 b - -,c6c5
2R5/1p1r4/1P4p1/5p1p/5P1k/4PK2/8/8 b - -,g6g5
2rq1rk1/p3ppbp/1n1p2p1/1pp1nP2/4P3/2PPB1PP/PP1QN1B1/3R1RK1 b - -,c5c4
r2qk1nr/1p2bp1p/n1ppb3/p3p1p1/2P1P3/2NP2P1/PP2NPBP/R1BQ1RK1 w kq g6,f2f4
r1r3k1/pp1bppbp/n2p1np1/1N1P4/1PqB3N/P2Q2P1/4PPBP/R4RK1 w - -,b5a7
5r2/1b2kr2/p2p1p2/1p2pP2/2q1P3/P1N4R/1PP3QP/2K3R1 w - -,h3d3
r2q1rk1/pp2b3/nnp1p3/4N1pp/2pPP1p1/P1N1B2P/1P2QP2/R2R2K1 b - -,e7d6
r4rk1/pb1q1pb1/1pn1p1p1/7p/3P1B1P/2PB1NQ1/P4PP1/3RR1K1 b - -,a8d8
rn3rk1/pp3pp1/2p1pnbp/1P6/3PP2P/2N1B3/1P3PBP/R3R1K1 b - -,a7a6
rnbqkbnr/p3pppp/2p5/1p6/P1pP4/4PN2/1P3PPP/RNBQKB1R b KQkq a3,e7e6
8/p5pk/1pb3qp/4P3/3B4/1Q3P1P/P5P1/6K1 b - -,c6d7
4R3/1k6/6K1/p2n3r/7P/8/8/8 b - -,h5h4
r1b1kb1r/1pq2ppp/p2ppn2/n7/3NPP2/1BN1B3/PPP3PP/R2Q1RK1 b kq f3,b7b5
8/p2r4/8/3kp3/P4pK1/8/8/7R w - -,g4f3
6k1/5p1p/3b4/p2Bn1p1/1q2P3/3p3P/1Q3PP1/2R2K2 w - -,b2b4
