8/p7/1p4p1/4kp2/PPP5/4K3/8/8 b - -,g6g5
3r3r/ppp1k1p1/2n2p1p/3bp2P/6P1/2B1PP2/PPP1B3/2KR3R w - -,h1g1
rnbq1rk1/ppp1ppbp/6p1/8/n2PP3/4BN2/PP3PPP/R2QKB1R w KQ -,d1a4
2r2rk1/8/1pp1RP2/p2p1n1p/P2P1P2/1PPN4/5K1P/3R4 b - -,f8e8
r1b1r1k1/1p1nBpbp/p5p1/2p5/3PP3/2qB1N2/P4PPP/1R1Q1RK1 w - -,b1c1
2r1qrk1/p3bppp/1p2pn2/4N3/P1PB4/4PQP1/5PKP/R4R2 w - -,a4a5
r3r1k1/pp3ppp/1q2p1n1/4P1P1/3PQ3/2P1B2R/PP5P/R5K1 w - -,a1b1
4R3/1k1KP2p/6p1/p3b3/Bp6/1P6/4r1PP/8 b - -,e2c2
8/6k1/R6p/p5p1/6P1/1Pb4K/8/8 w - -,h3g3
r6k/3qp1bp/p2p1rpn/2pP2N1/4Q3/1R6/1PP2PPP/2B2RK1 b - -,h6f7
r1bqrnk1/pp2bppp/3p1n2/3p4/2P2B2/1PNB1N1P/P4PP1/R2QR1K1 w - -,c4d5
8/4r1k1/1p1p3p/3P2r1/PpB1qpQ1/1P2b1P1/2P4K/4R2R w - -,e1e3
3rr1k1/ppp1q2p/6p1/4p3/1P1n1n2/P2P1N2/5PPP/2RQRBK1 b - -,d8d6
r3r2k/1ppq2pp/1p1nNpb1/3P4/1Q6/2N1R2P/PP3PP1/3R2K1 b - -,e8e7
rn1qk2r/p3nppp/1ppbp3/7b/3PpB2/1QPN4/PP1N1PPP/R3KB1R w KQkq -,d2e4
1k1r4/pp2npp1/3b4/2p3P1/3p3N/P1P2R2/1PQBqP2/2K5 b - -,e7g6
2q3k1/1p3pbp/p2p2p1/3Pn3/1P1NP3/1Q3P1P/6P1/2B3K1 w - -,c1f4
8/6k1/6p1/3q3p/1P1Np2P/2P3P1/p3RK2/8 w - -,d4c2
r1b2rk1/4ppbp/1n1p1np1/qppP2B1/4P3/2N2P2/PP1QBNPP/R3K2R w KQ -,c3b5
6k1/p1r2p1p/1b1r2p1/5nN1/8/2B5/PP2K1PP/3R4 w - -,d1d6
r3kb1r/pp1bn1pp/1qn1p3/3pp3/2BP4/N1P2N2/PPQ2PPP/R1B1K2R w KQkq -,d4e5
r1r3k1/1p2bppp/4p3/3pPb2/1p1P4/1N4P1/PPn2RBP/1RB3K1 w - -,f2f5
6k1/1pp5/p1r1N2p/P5p1/4P1P1/3n3P/6K1/5R2 w - -,f1f8
8/PR6/5k2/7K/r6P/8/8/8 b - -,f6f5
8/5k1p/8/6p1/8/3NP1KP/5P2/3b4 b - -,f7f6
2qrr1k1/pp1n1ppp/1npbp3/8/2PP1B2/1B3Q1P/PP3PP1/3RR1K1 w - -,f4d6
2r1r1k1/1q2pp1p/pp1pnnp1/8/PPP5/2N1NPP1/3QP2P/1R1R2K1 w - -,g1g2
7k/p4qp1/1b1R3p/8/1P2ppQ1/P1r1P2P/6P1/6BK b - -,b6e3
r1bqkb1r/pp2pppp/2np1n2/2p5/2P5/2N1P1P1/PP1P1PBP/R1BQK1NR b KQkq -,g7g6
r1bqk2r/pp2npb1/2np2pp/2p1p3/2P1P3/2NPBNP1/PP3PBP/R2QK2R w KQkq -,e1g1
