3k4/6p1/4p3/4Pp2/1R6/8/PPr3PP/6K1 b - -,c2c5
r2qk2r/pppnbpp1/4pn1p/6B1/3P2b1/2N2N2/PPPQBPPP/R4RK1 w kq -,g5f4
5k2/1p3pb1/pNb4p/8/1P1P2p1/P3P1P1/2r2PP1/5RK1 b - -,f8e7
r1b2rk1/pp2q1pp/1b2pp2/n1p5/2BPP3/2P1BN2/P3QPPP/2R2RK1 w - -,c4d3
1r5k/ppp1R2p/2P5/2Q3p1/2N3K1/5pP1/P1P2P1P/5q2 b - -,h7h5
r4r2/p5bk/bppqp1Np/5p2/3P2n1/1B1NP3/PPP2RPP/R2Q2K1 w - -,g6f4
r3r1k1/1bp3pp/ppnb1p1q/3p4/3P4/PP1BPNP1/1BQ2PP1/2R2RK1 b - -,c6e7
rn1qkb1r/ppp1pp1p/6p1/8/2pP4/5PPB/PP3P1P/R1BQ1RK1 w kq -,f1e1
5rk1/p1pq2n1/1p1p3p/4b1pP/4Q3/2P1Br2/PP4P1/R3RNK1 b - -,f3f6
2r2rk1/1p1b1ppp/p3p3/3pP3/3P1P2/3B4/PP4PP/1K1R1R2 b - -,f7f6
8/6r1/PR4P1/8/5k2/2K1P3/8/8 b - -,f4e3
r4rk1/1bqnbppp/pp1p4/4p3/1PP1PB2/P1NQ1N1P/5PP1/2RR2K1 w - -,f4g5
r1b1k2r/pp1p1ppp/1qn1pb2/8/3p4/1QP2NP1/PP2PPBP/RN2K2R w KQkq -,b3b6
2rb1rk1/1bqn1pp1/3p3p/4pP2/pPPpP3/P4NP1/2R2N1P/R1Q2BK1 b - -,d6d5
r1b1k1nr/1p3qpp/p1n2p2/4p3/6Q1/2PBBN2/PP3PPP/R4RK1 w kq -,g4a4
2kr3r/ppp2ppp/q4n2/3Pp3/2P5/P1B5/1P2nPPP/R2QK2R w KQ -,d1e2
rn2r1k1/pp1q1ppp/2pbbp2/8/2BP4/2N1PN2/PP3PPP/R2QR1K1 w - -,c4d3
6k1/p5p1/2p5/B7/3P4/PP3p2/n6r/1K4R1 w - -,g1f1
3B4/7p/6k1/1p4p1/8/Pb6/8/6K1 w - -,g1g2
1r2b1k1/2r2pp1/3p3p/3Pp3/4P2P/2NK2PB/RPP2b2/R7 w - -,a2a8
b1r3k1/5p2/6pp/1p6/3b1qP1/4N3/5Q2/1R2R1K1 b - -,f4e4
1r6/p3bkp1/5rp1/1pp5/4R2P/1R2P2B/PP3PK1/8 b - -,f6d6
