8/8/pk2p2p/5ppP/1PK5/5P2/6P1/8 b - -,b6c6
r2q1rk1/1b3ppp/p3pn2/1p1n2B1/3PB3/1Q3N2/PP3PPP/R3R1K1 w - -,a2a4
b1R3k1/3n1pbp/N2r2p1/P2p4/3p4/1r1BP3/1B3PPP/R5K1 b - -,d7f8
b1r1r1k1/b4ppp/5n2/1qN5/4P3/1R2BPP1/5Q1P/1B1R2K1 b - -,b5a5
2kr1bnr/1ppq2p1/p1p2p2/7p/3PP1b1/4BN2/PP1N1PPP/R2Q1RK1 w - h6,a1c1
4r1k1/p4ppp/1q6/3p4/3Pn3/1P2Q1P1/P4P1P/4BBK1 w - -,f2f3
r2r2k1/p3qppp/n1p1b3/8/3P4/1P6/P3QPPP/R1B1R1K1 w - -,e2a6
rnbqk2r/ppppppb1/5npp/6B1/2PP4/2N5/PP2PPPP/R2QKBNR w KQkq -,g5h4
8/8/8/1b1Pp1pp/1p1kPp2/5P1P/3KB1P1/8 b - -,b5a4:b5d7
2rr2k1/p3npb1/2qpp1pp/1p6/3P1B2/P1P2N1P/1P2QPP1/3RR1K1 b - -,e7d5
r1bqr1k1/pp1nppbp/2p2np1/3p4/2PP4/4PNP1/PP1N1PBP/R1BQ1RK1 w - -,c4d5
3rkb1r/p1qn1ppp/b7/1pp1N1R1/4P3/P2Q3B/1PP2P1P/1NKR4 b k -,f8e7
rn1q1rk1/pp2ppbp/3p1np1/8/2PNPP2/2N1B3/PP2Q1PP/R3K2R b KQ -,b8c6
2r3k1/rq2bppp/2bp4/1p2p3/4P2P/PP4P1/1B1RQPB1/3R2K1 b - -,b7b6
2r2rk1/1b2bppp/p3pn2/1p6/2qpPP2/3N2P1/PPPBQ1BP/R1R3K1 w - -,b2b3
2k5/1p5p/1Br1p1p1/4Pp2/PRp3PP/1nPr4/5PK1/4R3 b - h3,b3d2
8/3bk1pp/1q1N1p2/1p2P3/1P3Q2/7P/6PK/8 w - -,f4h4
6k1/1p3r2/p6P/2n1B3/P2R4/5p2/1P6/5K2 w - -,b2b4
r5k1/1ppb2bp/3p4/3Pq3/2P1P3/1PN1Br2/2QK3P/3R2R1 b - -,e5h2
rr4k1/5pp1/pBR1p2p/P2nP3/8/8/5PPP/R5K1 b - -,d5b6
8/2R3kp/R4r2/P4p2/4p3/6P1/r4P1P/6K1 b - -,g7g6
r5k1/1p4p1/2p2r2/p1P1p3/4B3/1P5R/b2R1PPP/6K1 b - -,f6f4
2krr3/1pp2bpp/p7/2q1P1P1/n2pBP1P/N6R/1PPB1Q2/K7 b - -,c5b6
6rk/r3b2p/p2p1p2/1pnN1P1b/4P3/P1N2R2/1PP1B1PP/2KR4 b - -,h5f3
1qr2bk1/R2npp2/2b3p1/1r5p/1p1pPP2/1P1N2PP/R1PBQ1BK/8 b - -,e7e6
2B5/4R3/8/6p1/1K3kP1/8/P7/8 b - -,f4g3
8/ppp1kNp1/8/3p1P2/2n3P1/6K1/PPP5/8 w - -,f7g5
8/8/p3p3/8/P3Pk2/3K4/3N1b2/8 b - -,f2b6
r1bq1rk1/1pp2ppp/p1nb1n2/8/2BP4/P1N5/1P2NPPP/R1BQ1RK1 w - -,h2h3
6k1/pBp4p/7P/2Ppn3/3r4/8/PP2K3/7R b - -,g8f7
5k2/5pp1/1p2p2p/2b1P3/p6P/1P1r1NP1/P4PK1/R7 w - -,a1b1
8/8/2p3pK/4k3/8/6r1/2R3P1/8 b - -,e5d5
r2qr1k1/5pbp/2p2np1/8/N1bPp3/4P1P1/1R1B1PBP/3QR1K1 b - -,c4b5
1r2kb1r/1p2p2p/pN2b1p1/4Pp1n/P7/4BP2/1P2BKPP/3R3R w k f6,f3f4
rnb1kb1r/p2p2p1/7p/2pP1p2/1p2N3/4PN2/Pq3PPP/R2QKB1R w KQkq f6,e4d2
rnbqkb1r/p3pp1p/5npP/2pP4/Npp1P3/5N2/PP3PP1/R1BQKB1R b KQkq -,f6e4
r6r/1bqn1kpp/p4b2/N2ppP2/1BB5/8/PP2Q1PP/R4RK1 b - -,c7b6
2q1n1k1/p3bp1p/1p4p1/1Qp5/4PBP1/P4P1P/1P6/5B1K b - -,e8g7
r3nr1k/pp1b3p/n2p1q2/2pP1p2/2P1pP2/P1N4P/1P2B1PN/1R1Q1R1K b - -,f8g8
