4k3/2R5/pp1K4/8/4r2P/8/6P1/8 b - -,e4h4
r1b1k2r/ppbnq1pp/2p1p3/2Pp1p2/1P1PnP2/2NBPNP1/PB5P/R2QK2R w KQkq -,d1c2
r4rk1/ppp3pp/2n2n2/2b3Bq/2Pp2bP/5NP1/PP1NPPB1/R2Q1RK1 w - -,d2b3
r1bq1rk1/p1p2pbp/1p3np1/8/3PP3/1N1p2P1/P2B1PBP/2RQ1RK1 w - -,d2f4
1r2rbk1/1bq2ppn/pp1p3p/2pN1N2/Pn2P1P1/1P5P/1BPQ1PB1/R3R1K1 b - -,b4d5
r3k2r/pbpnqp2/1p1p1n1p/4p1p1/2PPP3/2PB1P2/P2N1BPP/R2Q1RK1 b kq -,c7c5
2r3nk/2p1q3/1p1p3p/pP1PprpP/2P3N1/P7/3Q1PP1/R3K2R w KQ -,g4e3
4rrk1/pp3ppp/2pbb3/6q1/2PPRP1N/PP4PP/1B5K/R2Q4 b - f3,g5d8
5r2/p1qn3k/1p2prp1/7p/3P1R2/3Q2P1/P2B3P/5RK1 b - -,c7d6
r6r/pp2kppp/8/4p3/3BP3/6P1/PP3PBP/1R1b2K1 w - -,d4c5
1k6/1b3p2/4q3/p1BNp2p/P1n1P3/5pP1/7P/3Q2K1 b - -,e6c6
r4rk1/1p2b1pp/2p1pn2/1QPpNp2/3P1P2/5P1P/1P2N1P1/R4RK1 b - -,c6b5
1r1r2k1/1p4bp/2nNp1p1/p1Pnp1B1/8/PP6/4NPPP/2R2RK1 b - -,d8d7
4k3/2p1r1p1/1pR1p1p1/1n1p1pP1/p2P1P2/P3PN2/5K1P/2R5 b - -,e8d8
r2r2k1/pp1npbbp/q1p2pp1/3pP3/3P1P2/1P2B1NP/P1PQN1P1/R4RK1 w - -,c2c3
4rr1k/pbR4p/1p4p1/1P1q4/P2Pp3/4QP2/4N1PP/2R3K1 w - -,f3f4
r1q1k2r/p2n2pb/2pBpp2/1p6/3PP1P1/P1PB1P2/2Q5/1R3RK1 w kq -,f3f4
