7k/5K1P/6B1/5N2/1p6/1P6/3b4/8 b - -,d2c3
6k1/2q2p1p/4n1p1/pp1B4/6P1/1P5P/1BP4b/R4R1K w - -,a1e1
2r3k1/6p1/p1r1pp1p/Pp1b4/1R1P4/R1P1QP1P/2q3PK/4B3 w - -,e3d2
6k1/5p2/6p1/3p1b1p/1K1b3P/3rB1P1/1R3P2/8 w - -,e3h6
r2r2k1/2R1p2p/p3p1p1/1p6/4PP2/1P2K2P/4N1P1/8 b - -,a6a5
r1bq1rk1/pp1pnpb1/2n1p1pp/2p5/2P5/2NP1NP1/PP1BPPBP/R2Q1RK1 w - -,d1c1
rn1qkbnr/pp1bpp1p/6p1/8/1QPP4/4PN2/P5PP/RNB1KB1R b KQkq -,b8c6
8/5pk1/p1pN1np1/4n3/1PP3P1/P3Q2P/1q2BPK1/8 w - -,f2f4
rn1q1rk1/pb2p1bp/6p1/1p1P1p2/4P3/4B3/P2N1PPP/2RQKB1R w K f6,d1b3
1Rbr3k/6p1/3B1pn1/1PP4p/8/2K5/5P1P/3R4 w - -,b5b6
8/3rqkp1/p1R1p1p1/4Q1Pp/4PP1P/1P3K2/2P5/8 w - -,b3b4
rqr3k1/5pbp/p1n1pnp1/2Bp4/1p1P4/2P2NP1/PP3PNP/R2QR1K1 w - -,c3b4
3r1rk1/pp2ppbp/1qn3p1/2pb2N1/8/1P1P2P1/P1PB1PBP/1R1Q1RK1 w - -,g5e4
8/5pk1/p1p2pb1/1p2r3/3bP1P1/8/PPB1R3/3N1K2 w - -,d1e3
r2q1rk1/1p2bppp/1np5/3p4/p2P1B2/P2BP2P/1P3PP1/1R1Q1RK1 b - -,e7d6
3r4/1p2kp2/p1b4p/P7/2P2R1P/1PKB4/8/8 w - -,b3b4
4r1k1/4ppbp/q2p2p1/r1p5/NQP1P3/1P3P2/P5PP/3R1RK1 w - -,b4a3
8/8/2B1kp1p/p1B5/P6P/2b2P2/8/3b1K2 b - -,e6e5
3rr1k1/1p3ppp/2p1nn2/2q1p3/1PP1P3/2Q2BPP/2N2P2/R3R1K1 b - -,c5b6
r2qkb1r/pb1p3p/1p3np1/2pPpp2/1nP5/2N1P2N/PP2BPPP/R1BQK2R b KQkq -,e5e4
8/nb4kp/p3p1p1/1pNp1p2/2qP1P2/P3P3/1P1Q2PP/1B4K1 b - -,b5b4
2rb2k1/3r1pp1/p2p3p/1p1PpP2/1B4P1/PPP4P/4R1K1/3R4 w - -,a3a4
