4k3/6pp/2NPK3/8/8/1r5P/p5P1/8 b - -,b3e3
2k3r1/p6p/1pn1pq2/3p1p1P/1PpP1Pr1/P1P1Q1P1/3NK3/R6R w - -,h1h3
3r1rk1/1p4pp/pq6/3Pp1n1/2P5/3BR1P1/PP4K1/R6Q w - -,e3e2
r1bq1rk1/p1n1p2p/2p2bp1/3p4/N4P2/4B3/PPP1B1PP/R2Q1RK1 w - -,e3d4
4r3/5k1p/2p3p1/P1P5/4p3/P1n3P1/5PBP/4R1K1 b - -,e8a8
6Q1/1p6/3p3P/2pP4/2P2K2/1kP5/5R2/q7 w - -,h6h7
4nr2/2p2p2/1pk4p/p1pR2p1/2P3P1/5P2/PP3B1P/6K1 b - -,e8d6
r4k2/4bppp/4p3/p7/Pp6/4P3/1P1B1PPP/2R2K2 w - -,b2b3
2b2r2/p1p4k/6pp/2qP1p2/8/3B3P/PQ3PP1/R5K1 w - -,a1c1
2kr1b1r/1b1p1ppp/1qn1p1n1/p1p1P3/PpP5/1N1P1NP1/1P2QPBP/R1BR2K1 w - -,c1g5
rn2k2r/pp3ppp/2p1pn2/q3Nb2/1bBP4/2N5/PPP1QPPP/R1B1K2R w KQkq -,c1d2
8/6p1/5k1p/3R3P/8/r5P1/5PK1/8 b - -,a3b3
5rk1/2q2pbp/3r2p1/3pp3/QPp1n3/4PB2/P4PPP/B1RR2K1 b - -,f7f5
8/8/1r3p1R/1k6/1p4K1/2r5/1R4P1/8 w - -,g4f5
8/8/4R1pp/1Pk1n3/1r6/2K2B2/6P1/8 b - -,b4c4
8/1p1rkp2/p3p2p/2P4r/P1PP1R1P/3K4/5P2/1R6 w - -,d3e3
6k1/6pp/p2r4/1p2R3/6B1/P6P/Pn3PP1/3q1K2 w - -,g4d1
8/8/3p1kP1/3Pr3/3KB3/8/8/8 w - -,e4d3
1rbr2k1/2qpbppp/ppn2n2/3P4/3N4/1P4P1/PB2PPBP/2RQ1RK1 w - -,d5c6
r2qk2r/pp1nbppp/3ppn2/2p5/4PP2/2N2N2/PPPP2PP/R1BQ1RK1 w kq -,d2d3
r1bqkb1r/1p3ppp/p1np1n2/4p3/4P3/2N1BN2/PPP1BPPP/R2QK2R b KQkq -,f8e7
2r3k1/1q2bpp1/4pn1p/pp6/2rP1R2/P1N1B1P1/1P2QP1P/3R2K1 w - -,d4d5
8/4R1N1/5pkp/p2n4/P7/1P3P1P/1r4PK/8 w - -,e7b7
2b1k2r/4bp2/p2p3q/2P1n3/3BPpp1/1P5P/P2N2P1/2R1RQK1 b - -,c8d7
3r1rk1/pp1qppbp/4b1p1/2p1P3/2P2B2/3P1N2/PP2Q1PP/R4RK1 w - -,a1d1
r3r2k/pp1bqppp/2p5/3p4/3P3n/2NBP2P/PPQ2PP1/4RRK1 w - -,f2f4
r1bqk2r/pp2ppbp/2Np1np1/6B1/4P3/2N5/PPPQ1PPP/R3KB1R b KQkq -,b7c6
1R6/3b1p1k/8/p7/3B1r2/8/PP6/2K5 w - -,d4c3
1k1r3r/ppqbbp2/1n2p1pp/n2pP3/2pP2BP/P1P3P1/1P2QPN1/1RB1RNK1 b - h3,h6h5
r5k1/1p2b3/2p2q1B/p4B2/3p2Q1/PPnP2P1/2P2PK1/7R b - -,g8f7
2r1kb1r/p1qb1p1p/2n1p3/1p1p1p2/2PP4/2P1PN2/P1BN1PPP/1RQ2RK1 b k -,b5c4
