8/8/8/5ppp/P1Bp1k2/1P3P1P/3b1K2/8 w - -,c4f7
3r2k1/6pp/2p2q2/2B1p3/3p2Q1/P1n2P2/1r4PP/R3R2K b - -,c3d5
r1bqr1k1/ppp2ppp/1b1p1nn1/4p3/3PP3/2PB1N1P/PPQ2PP1/RNB1R1K1 b - -,f6h5:h7h6
r4k2/1p2pp1p/3p2p1/r1nP4/1p2PP2/1P3B2/P1RR1KPP/8 b - -,f8e8
r4rk1/4b1pp/pq1pB2n/n1p5/bp2PP2/3P2Q1/1PP1N1PP/R4RBK b - -,g8h8
r2q1rk1/pp1n1pbp/2p2np1/3P4/2B1p3/2N1PQ1P/PP3PP1/R1BR2K1 w - -,c3e4
3rr1k1/1p4pp/p1pb4/2P5/1n2pBP1/4P2P/1P3P2/R4RK1 w - -,f4d6
2b2bk1/p4ppp/3P4/4Q3/q6N/6P1/1B5K/8 b - -,a4c2
4r1k1/pp1b1pp1/5n2/3p1PP1/1P1R4/P1r5/6B1/R1B3K1 w - -,g5f6
r1bqkbnr/ppp2ppp/3p4/4n3/4PP2/1BP5/PP4PP/RNBQK1NR b KQkq f3,e5g6
6k1/5p2/5qp1/7p/Pr6/5PQ1/1P3RKP/8 w - -,b2b3
2r1k3/1pq1bp2/2n5/3pPb1r/1p3Pp1/P3Q3/1B1N1PB1/R3R1K1 b - -,d5d4
8/3p4/p2kp3/1p5p/2p4r/2P2K2/PPP3p1/4R1B1 b - -,h4g4
2b1r3/ppq1r1pk/3b1n1p/3pNp2/3P4/P2Q1P1P/1P2RBP1/1B2R1K1 w - -,f2g3
2r4r/Rp2n1pp/3p2k1/8/3BP3/1P6/6P1/1N3RK1 b - -,e7c6
r1r3k1/1b1nqp1p/p1n1p1p1/1p1pP3/5PP1/1NbB3R/PPPQ3P/2KR2B1 w - -,b2c3
8/6k1/p4qp1/8/4Q2p/7P/KPP3P1/8 w - -,c2c3
r1bqnrk1/1p1pbpp1/p1n1p2p/8/2P1P1P1/2N1B3/PPNQBP1P/R3K2R b KQ -,e7g5
r2q1rk1/pb1n1ppp/1ppbp3/1B1pN3/3Pn3/1P2P3/PBPN1PPP/R2Q1RK1 w - -,d2e4
r1b4k/ppq3p1/2nbp1Bp/3p1r2/3P3B/8/PPQ1NPP1/R4R1K w - -,g6f5
2r5/1p2kp2/p1p3p1/P1P1P2p/1P3P1P/4P3/4K3/3R4 b - -,c8f8
2kr4/pp3p1p/2p2p2/q1b5/5QP1/2P2P2/PP2r1BP/RKB2b1R b - -,f1g2
2rr2k1/4pp1p/p5p1/1p6/2nN4/P2nP1P1/2R1NP1P/2R3K1 w - -,c1d1
2kr3r/pp1n2QP/2P1p1p1/5pq1/2P5/1B6/PP4P1/1K3R1R b - -,b7c6
r1b1knr1/ppq1bp2/2pp1n2/5BNp/3P2pP/2P3B1/PPQN1PP1/R3K2R w KQq -,f5c8
r4rk1/pb5p/1p1q2p1/3Pp1Q1/4P1NP/3n2P1/P5B1/R4RK1 b - h3,d6c5
2rr2k1/ppqnbpp1/2p1p1p1/8/1P1P4/4PPP1/P2BQ1BP/R3R1K1 w - -,f3f4
r2q2k1/pp1b1rpp/4p2n/3p4/3B1P2/PP3R1P/6P1/RB2Q2K b - -,h6f5
8/5k2/4p3/1p2K3/p2P2P1/P7/1Pb5/4B3 w - -,e5d6
2r1kb1r/pp1q1p1p/2n1pp2/1B1p1b2/3P4/1QN1P3/PP3PPP/2R1K1NR w Kk -,g1e2
r1bqkb1r/pp1n1ppp/2n1p3/1N1pP3/5PP1/1N2B3/PPP4P/R2QKB1R w KQkq -,h2h4
2rqr1k1/p4npp/1p2p3/2nbPp2/3N1P2/B1P5/P1Q1B1PP/R4RK1 w - -,e2b5
8/2B5/2p1b3/1pP2k1p/p2K4/P1P2P2/6P1/8 b - -,e6c4
8/R4pk1/4p1p1/8/1b1P4/5KP1/8/8 w - -,f3e4
2r2rk1/p4ppp/1p1Rp3/1P2n3/8/P3PB2/1P3P1P/4K2R w K -,f3c6
r4rk1/1p2qpp1/2pnp2p/5B2/p2P4/P1P2N1P/1P2QPP1/3RR1K1 b - -,d6f5
rn1qr1k1/pp3pb1/3pbnpp/2p5/2P1PP1B/2NB4/PP4PP/R2QK1NR w KQ -,g1e2
rn1q1rk1/1bp2pp1/1p1ppn1p/8/pPPP4/P1Q2NP1/4PPBP/R1B2RK1 b - b3,a4b3
1rbq1rk1/pp3pb1/2npp1pp/2p5/P3PP2/2NPB1P1/1PP1Q1BP/R4RK1 w - -,g1h1
2kr3r/1p1q3p/2p1b1p1/2B1p3/4p3/3PQ1PP/PPP1N1B1/5RK1 w - -,e3e4
r2qkb1r/1b3pp1/p1p1pn1p/3p4/4PB2/2N1Q3/PPP2PPP/2KR1B1R w kq -,f1e2
r4rk1/pp3ppp/3qpn2/2pn1b2/3P4/PP2PN2/1B2BPPP/R2Q1RK1 w - -,d4c5
6k1/5p2/3b2p1/7p/8/2B5/PP1K1Pb1/8 w - -,c3f6
8/1Q4p1/p4b2/kpNp4/3P1P2/1P2PK2/Pq6/8 w - -,b7a6
r7/pp3Q2/2kb2p1/2q1p3/2B3PP/PPB5/K4P2/8 w - -,b3b4
8/2p2pk1/2r5/2p3p1/6P1/4P3/5P2/2R2K2 w - -,f1e2
2r1kbnr/1bqp1ppp/p3p3/1p6/2nNPP2/2NQB3/PPP1B1PP/3R1RK1 w k -,d4b5
8/5nbk/1p2q2p/pPp1np2/P1P1pB2/4P1NP/4BP2/3Q3K w - -,g3h5
1r1nk2r/3qb2p/3Nb1p1/p2pP3/P2P4/1pP1B1PP/1P2Q1B1/R4RK1 b k -,e7d6
5r2/8/1p1kp1Bp/p7/P1P3PP/1P2RP2/7K/3r4 b - -,d1d4
r2r2k1/1p1b1pbp/5np1/2q5/p1PpP3/P2B1N2/2Q2PPP/R2R1NK1 b - -,a8c8
2rr2k1/pb3ppp/4qn2/2pp4/8/1P2P1P1/PBR1QPBP/2R3K1 b - -,b7a6
