8/4k1p1/4p2p/Pp2P3/3P1RKP/r7/8/8 b - -,a3a5
6k1/rp2n3/1R1q2pb/P1pP3p/4P3/2B3Pb/3PQK1P/R7 b - -,d6d7
r3r1k1/pp5p/2p1pppn/q2n2P1/P2P4/B4N2/2Q2K1P/1B1R2R1 b - -,h6f5
7r/8/3k1Pb1/P5R1/2pp4/8/4B3/2K5 b - -,h8h1
8/6p1/2nk1n1p/p1N2p2/2P1p3/P4PP1/4KB1P/8 w - -,f3e4
r2q1rk1/pppbppbn/1n1p2pp/3PP3/6PB/2N1QN1P/PPP2P2/2KR1B1R b - -,b6a4
3r1rk1/pp3pp1/1qnbb2p/2p1p3/4B2N/2P1P1N1/PPQ2PPP/R4RK1 w - -,h4f5
3rrnk1/1p3p2/6p1/p2PNbP1/8/P5K1/1Q3P2/R7 w - -,a1h1
8/1pk5/p1pr1rp1/P1KpNp1p/1P3P1P/4P3/R5B1/8 b - -,f6f8
r2qkr2/pp3pp1/2p1pn2/2Qn4/2PP4/6PP/PP4B1/R1B2RK1 b q -,d5e7
1rn4k/2qb2bp/3p1np1/2pPpp2/p1P1P3/2Q1BPP1/PR2NN1P/5BK1 b - -,b8b2
r2q1rk1/pp3ppp/3n1b2/3Pp3/8/1BN5/PP2QPPP/3R1RK1 w - -,d1d3
5k2/4r1q1/1p2p3/3pPpQ1/1PbP1P2/P1p1BN2/5K2/6R1 w - -,g5h4
r1bqkb1r/1ppn2pp/2n1pp2/pB1pP3/3P4/2P2N2/PP1N1PPP/R1BQK2R w KQkq a6,e1g1
3r2k1/5p2/pbQ1p1p1/7p/Pq2P3/1p2N1P1/1P1n1PBP/3R2K1 b - -,d8d6
r5rk/4p3/3pNpp1/2pP3p/1p2q2P/8/PR6/K1N3R1 b - -,e4d5
2r1r1k1/1pqbB1bp/3p1pp1/p2P4/3N1P2/2P5/PP1Q2PP/2R1R2K w - -,e1e3
4bb2/8/4pk2/4N2p/3PPKp1/6P1/4B3/8 w - -,f4e3
1B6/p3kp1p/2B1b3/6p1/P1r5/7P/3R1KP1/8 b - -,c4c6
3q1rk1/3b1p1p/pp1p4/2pPr1pn/2P1P3/2QB1R1P/PP1N1RP1/6K1 b - -,g5g4
3r2k1/1p3pp1/2p1r2p/p2n4/3Pp3/P1N1P2P/1P3PP1/1RR3K1 w - -,c3d5
r3r1k1/1p2bp1p/2q1n1p1/1R1p4/N2P4/4PN2/2Q2PPP/5RK1 w - -,c2b3
6k1/5pp1/7p/6n1/8/8/5RQK/1q6 b - -,b1e4
