8/6r1/6Pp/p1k4P/Kp3R2/8/PP6/8 w - -,f4f7
r1bqr1k1/4ppbp/p1n2np1/1p1p4/3P4/2N1BN1P/PPP1BPP1/R1Q1R1K1 w - b6,a2a3
r1bk1b1r/1pp2ppp/p1p5/8/4P3/8/PPP2PPP/RNB1K2R w KQ -,c1e3
8/8/5p1p/1p3k2/5P2/3K2nP/6N1/8 w - -,d3e3
r3r1k1/pp2bpp1/n1p2np1/1q6/NP1p4/P2P2P1/2Q1PPBP/R1B2RK1 w - -,e2e4
r1bq1rk1/ppp2pbp/3p1np1/2PPp3/4P3/2N1B3/PP2BPPP/R2Q1RK1 b - -,f6e8
8/r3rbk1/1qpbp2p/1p3p2/1P1P1Pp1/P1RRQ1P1/6BK/4N3 b - -,f7e8
2rq1rk1/pb1nbppp/1p1ppn2/8/3PP3/3BBN1P/PP1NQPP1/R2R2K1 w - -,e3g5
3r1rk1/p3pp1p/b1p3p1/2q1P2n/2N1P3/1PP5/P3Q1PP/R1B1R2K b - -,a6c4
rq4k1/5p2/p3pp2/4n1b1/p2BP2p/7P/1PQ2PP1/3R1BK1 w - -,c2a4
5rk1/pp1R1pb1/1r4pp/2p4b/P1B2BNP/2P3K1/1P6/4R3 w - -,g4h6
1n2r1k1/rpp2pp1/p4q1p/3Pp3/8/2P2N1P/PPb2PP1/R2QR1K1 w - -,d1c2
8/2r3pk/7p/3R1p2/1Pp2P2/p1K3PP/1P6/8 b - -,a3b2
r2r2k1/1p3p1p/p1ppn3/P5p1/1PP1P1q1/2P1QNP1/5PK1/3RR3 w - -,f3h2
3rk2r/1p1bbp2/pN1pp3/n5p1/4P3/5B2/PPP2BPP/2KR3R w k -,f2g3
r1bq1rk1/ppp2pp1/7p/8/3pP1n1/1PN3Q1/1PP2PPP/2KR1B1R w - -,c3b5
8/1p3p2/1p4p1/1P2Pp2/P1k2P1P/2p4P/2K5/8 b - -,c4b4
5rk1/p5pb/2p4p/2pp4/2P3p1/1P1R4/P6P/4BB1K w - -,f1e2
r3r1k1/1bq2pb1/p3pBpp/1pp1Nn2/4P2Q/2NP4/PPP3PP/4RRK1 w - -,e4f5
1R6/3b2p1/1p3pk1/1pr5/5KPP/P1B5/1P6/8 w - -,g4g5
2rq1rk1/pb2bppp/1pp1pn2/8/2PP4/P4NP1/1PQ2PBP/R1BR2K1 b - -,b6b5
2r1k2r/pp1b1p1p/4p2p/q2pP3/1b1P4/1QN2N2/3K1PPP/2R2B1R b k -,e8g8
r2q1rk1/ppnbppbp/3p1np1/2pP4/2P1PP2/2N2N2/PP2B1PP/R1BQ1RK1 w - -,f1e1
8/5kp1/2n4p/1pN1p3/1P6/4R1P1/r6P/6K1 w - -,e3d3
r4rk1/pp2bppp/2b1pn2/8/8/1NP3P1/P3PPBP/R1BR2K1 w - -,g2c6
1r4k1/5p1n/8/1R2p3/2P1P3/q2PBPP1/3Q2K1/8 b - -,b8d8
4r3/1p2bkpQ/1B3p2/4Pp2/p1p2P2/8/5R1K/4q3 w - -,f2g2
5k2/5p1b/7p/2r3bP/1p1NPpP1/1B3P2/P2q2K1/3R4 w - -,d1d2
4k2r/pr4pp/2p5/4ppN1/1bP5/1PnRBP2/PKP2P1P/7R b k -,h7h6
1r3rk1/pb2bpp1/1pB1p2p/4P3/3N4/2P5/P4PPP/R2R2K1 w - -,d1d3
8/8/8/5p2/4n1p1/3R2k1/8/5K2 b - -,g3h2
r1b1R1k1/pp3qp1/7p/3N1p2/1P6/P4NbP/2Q3P1/3R2K1 b - -,f7e8
rnb1kb1r/1p2pppp/p2p1n2/2q3B1/4P3/2N2P2/PPPQ2PP/R3KBNR b KQkq -,b8d7
rn1qkb1r/pppBpppp/5n2/3P4/8/8/PPPP1PPP/RNBQK1NR b KQkq -,d8d7
5rk1/2q2pbp/p2p1np1/nbpP4/4P3/2B3PP/P1QNNPB1/1R4K1 w - -,g2f1
r1bq1rk1/1p2bpp1/p1n1pn1p/3p4/1P1P1B2/P1NBPN1P/5PP1/R2QK2R b KQ -,e7d6
8/1pbk4/3r4/2p1R2p/P1P2Pp1/3p4/1P3P1P/2KR4 b - -,d6d4
8/2b2p2/p7/P2p4/1p1P1p2/1P1N2k1/4K3/8 b - -,c7a5
1r2n1k1/3qrpbp/pp1p2p1/2pPP3/PnN2B2/2N2PP1/1P5P/R2QR1K1 b - -,b6b5
2r3k1/5pp1/7p/R2p4/3Bn3/2P3PP/5PK1/8 w - -,a5d5
