6k1/2p2pp1/8/2R1P3/P5r1/8/2b2B1K/8 b - -,c2a4
2rr2k1/pp1qbppp/3p1n2/4p1B1/P1P1P3/1PNQ4/5PPP/R2R2K1 b - a3,f6e8
r2q1rk1/bpp3pp/p1np1n2/4pb2/B7/2PP1N1P/PP1NRPP1/R1BQ2K1 w - -,d2f1
5r1k/1N4R1/p1p4p/2Pn3P/1P1Ppr2/P7/8/4K1R1 w - -,g7g6
r2q1rk1/ppp1bppp/2n1b3/3np3/8/1PN2NP1/PB1PPPBP/R2Q1RK1 b - -,f8e8
q5k1/3bbp2/r3n1p1/1p1pP3/1PpP1pPp/2P2N1P/2BN1P1K/R1Q5 w - -,a1a6
2r3k1/1p2qppp/1n1bpn2/pP1p4/P2P4/4PN2/1BbN1PPP/Q2B1RK1 b - -,c2d3
8/7p/8/Pkr2p2/5R2/6PK/5P1P/8 w - -,h3h4
rnbqk1nr/pp3ppp/3p4/2pPp3/2P1P3/2N2N2/PP3PPP/2RQKB1R b Kkq -,g8e7
2r1k2r/1b1n1ppB/4N3/p2nP3/Np5q/1P1Q4/3B1KPP/R3R3 w k -,d3g3
8/1k2r1p1/6Rp/KP6/8/P7/6PP/8 w - -,a3a4
3r4/p4pk1/5q1p/6p1/P1BpRPP1/1P2n1KP/4Q3/8 b - -,f6d6
r2q3r/1np2pk1/p2b1n1p/1p2p3/4P2B/2P4Q/PPB2PPP/R2R2K1 w - -,d1d3
r2qr1k1/4bpp1/p1n1bn1p/1pppp3/4P3/P1PP1Q1P/1PB2PPN/R1B1RNK1 b - -,d5d4
8/r3kppp/2R1p3/p7/pP6/4P1P1/5P1P/6K1 w - -,b4b5
r1b1r1k1/pp2qp1p/2p1n1p1/4b3/2BNP3/P4PP1/1PQ2B1P/3RR2K w - -,d4b3
2kr2r1/ppq2p2/4p3/n2bPB2/1R1p1P2/P1pQ2P1/2P1N2P/2B2RK1 b - -,e6f5
3B2R1/5r1p/p1kp3p/1p3p1q/1Pb2P2/2Q1P3/6P1/6K1 w - -,c3d4
rn1q1rk1/pp2ppbp/3p1np1/8/3NP1b1/2N3P1/PPP2PBP/R1BQ1RK1 w - -,d4e2:f2f3:d1d3
r1b2rk1/ppQ2pbp/2n3p1/3q4/3P4/5N2/PPP2PPP/RNB2RK1 b - -,c8g4
6R1/8/2rk4/4ppp1/8/5P1P/6K1/8 b - -,d6e7
r1bqk2r/2p1bppp/p1np1n2/1p2p3/4P3/1BP2N2/PP1PQPPP/RNB2RK1 b kq -,e8g8:c8g4:c6a5
rnb1k2r/p3ppbp/2pp1np1/qp6/3PP3/2NBBN1P/PPP2PP1/R2Q1RK1 b kq -,b5b4
r2q1rk1/4bppb/1n2p2p/pp1p4/2pPP3/2P4P/PP1N1PPB/R1QBR1K1 w - -,d1c2
r1bqk2r/ppp3pp/2np1n2/1Bb1p3/4P3/2NQ1N2/PPP2PPP/R1B1K2R w KQkq -,c1g5
8/6p1/2k5/2pR3P/K1P5/P3r2P/8/8 w - -,d5g5
r1r3k1/pp1qnpbp/4n1p1/4p3/NP1p4/P2P2P1/1B2PPBP/R2Q1RK1 w - -,d1b3
8/5p1k/7p/PR6/r5PK/5P2/8/8 b - -,h7g7
5k2/8/1R6/8/1p3PPP/8/2bK4/1r6 b - -,b4b3
6k1/p4p1p/6p1/8/8/1r6/1P3KPP/1R6 w - -,f2e2
r4rk1/pp1qppbp/2np1np1/8/2PNP3/1PN2P2/P5PP/R1BQK2R w KQ -,d4e2
8/p1p1b3/1rp1k1p1/4p3/r1P1P1P1/8/P1RB1PK1/2R5 w - -,d2e3
1rbq1rk1/p1p1npp1/4pn1p/bp6/2pPP2B/P1N2NP1/1P3PBP/R2QR1K1 w - -,h4f6
8/pp5k/2p3pp/3nPr2/1b1P4/1P3NP1/PB4K1/2R5 w - -,f3h4
r5k1/1b1rq1bp/pQn5/4p3/8/P1N2P2/1P4PP/2RR1B1K w - -,c3d5
r3kb1r/p3pppp/2p5/q2n1b2/N7/2P2N2/P5PP/R1BQK2R b KQkq -,a8d8
8/5k2/7p/3p2p1/1r6/5N2/1P1R2KP/8 w - -,f3e5
8/1kp3p1/1pnp1r1p/4p3/1PP1P3/1K2BP1P/R5P1/8 w - -,b3c3
r3k2r/1pqnbppp/p1p1pnb1/8/P1BP3N/1QN1PPP1/1P1B3P/2R1K2R b Kkq a3,e8g8
rnbqk2r/5pp1/p1p1p2p/1p1nP3/P1pP4/2P2N2/3B1PPP/RQ2KB1R w KQkq -,h2h4
r4rk1/p4ppp/2p3q1/4p3/Q1p1b3/2P1P1B1/P4PPP/2R2RK1 w - -,f1d1
4r1k1/4bpp1/p1q4p/1pp5/2P5/1P3P2/P1Q2BPP/3R2K1 b - -,e7d6
8/pp4p1/5p1p/1P5P/Pk3P2/3n1KP1/4B3/8 b - -,b4c3
2rr2k1/1b2bpp1/p3pn1p/2n5/1q2PB2/2N2N1P/1PB1QPP1/R3R1K1 w - -,f4e5
3b2nk/5p2/6pp/2B3P1/P1B4P/8/8/6K1 b - -,h6g5
3r3k/1Q6/p4p2/3q2pP/4p3/P7/1P6/K4R2 w - -,b7a7
r1bqr1k1/1p1n1pbp/2pp1np1/4p3/1pPP4/P1N1P1P1/4NPBP/1RBQ1RK1 w - -,a3b4
8/2R1b2p/5nk1/4r1p1/1p1N4/3R2P1/7P/6K1 w - -,g1f1
