4b3/1p5p/5N2/2P3Pk/n2K4/P7/1p6/1B6 b - -,h5g5
r4rk1/pp3pb1/2ppb1p1/q3n2p/2PBPN1P/1PN2PP1/1P1Q1KB1/3R4 w - -,g2f1
3rr1k1/1ppb2bp/p4np1/5p2/2P1p3/1PNnP1P1/P1NR1P1P/B2R1BK1 b - -,d3e5
2r1r1k1/ppqnnp1p/4p1pb/8/2PP4/3QNN1P/PBR2PP1/5RK1 w - -,d4d5
5r1r/4qpk1/5Rp1/p1p1P1N1/Pp1p4/1P1P2Q1/2P3P1/6K1 w - -,g5e4
r4rk1/p1q1bppp/1p6/3bn3/1p2N3/P2PB1P1/4PPBP/2R2RK1 w - -,c1c7
3Q2R1/p4p2/3pk1pp/1pp5/2p4P/K1P5/P2q4/8 w - -,g8e8
r3kb1r/pb1npppp/1q1p4/1ppP4/4P3/2P2N2/PPQN1PPP/R3KB1R w KQkq -,f1e2
r1n2r2/4q1bk/1p3n1p/PPpP1p2/4p3/RQ4P1/2N3BP/1RB3K1 b - -,b6a5
r1b2rk1/p3qpb1/3p2Bp/1Pp5/8/4PN1P/PP4P1/R2Q1RK1 w - -,g6c2
R7/8/8/8/5p2/5k2/2r5/5K2 w - -,a8a3
rnb1kb1r/pp1ppp1p/5p2/q1P5/8/8/PPP1PPPP/RN1QKBNR w KQkq -,b1c3
r1r2bk1/3n1ppb/p3p2p/Np6/1P1BP3/P4P2/4B1PP/R1R3K1 b - -,f7f6
r4rk1/pp3ppp/1q1bp3/1B1p4/2P1n3/2P1B2P/PP2QPP1/R4RK1 b - -,d6c5
1r1qr1k1/3b1pb1/p2p2pp/P1pP3n/1p2PPn1/2N3P1/1PNB2BP/R2Q1RK1 w - -,c3e2
r7/6k1/5R2/4KN2/2p3p1/8/8/8 b - -,g7g8
8/8/2n2k2/p4p2/3p2p1/1P6/5K1P/5N2 w - -,f1d2
1nr1b3/p4pkp/3b2p1/1p1N4/1P5P/PB1N2P1/5P2/3R2K1 w - -,d3f4
1r3rk1/5qpp/p7/2pP2Q1/2P1p3/2B3P1/P4P1P/5RK1 b - -,b8b7
rn3k1r/p1p2pp1/3bpq1p/2Pb4/Q7/2P2N2/P3BPPP/1RB2RK1 b - -,d6c5
8/pp3r1k/4p3/4P1R1/P2p1P2/1b2B1KP/8/6R1 b - -,d4e3
1R6/5pk1/8/7p/4KP2/6P1/1P4r1/8 w - -,e4f3
2rr1nk1/pbq1bppp/4p3/npp1P2P/3p1B2/P2P1NP1/1PP1QPB1/2R1RNK1 w - -,f1d2
R2r2k1/1pq2ppp/5n2/1P1r4/3P1Pb1/3B4/4N1PP/Q4RK1 b - -,c7e7
rnbqkbnr/pppppp1p/6p1/8/8/P5P1/1PPPPP1P/RNBQKBNR b KQkq -,f8g7
2r5/4k3/p4pp1/1b1P3p/B6P/4P1P1/6K1/R7 b - -,b5a4
5rk1/pp2R1p1/6p1/6Pp/2q1Nr1P/3n4/PP1Q1P2/5R1K w - -,f2f3
r3kr2/ppbbqpp1/1np2n2/6N1/5P2/1BN1P3/PPQB3P/2KR2R1 w q -,e3e4
