8/5p2/4nkpp/p2RN3/P5PP/2r2PK1/8/8 b - -,g6g5
r4r1k/p1q3bp/b1pN1np1/2P1np2/1P2p3/BQN3P1/P3PPBP/R2R2K1 w - -,b4b5
r4rk1/1bq1bppp/p1npp3/1p6/4PP2/2N1BB2/PPP3PP/3RQRK1 w - -,e1f2
r2q1rk1/pp2ppbp/2np1np1/2p5/2B1P1b1/P1P2N2/1PQP1PPP/RNB2RK1 w - -,c4e2
r2qr1k1/2nbppbp/pp3np1/2pPp1B1/P1P5/2N2N2/1P1QBPPP/R3R1K1 w - -,f3e5
r5r1/1pqkb2p/p1nppp2/4p2Q/P1N1P3/2P1N3/1P3PPP/R3K2R w KQ -,h5h3
r3nrk1/pp1nq1p1/2pb4/3ppp2/2P5/1P1PPB1P/PB1QNP2/R4RK1 b - -,e5e4
1rbqk2r/2p1bppp/p1np1n2/4p3/Pp2P3/1BPP1N2/1P1N1PPP/R1BQ1RK1 b k -,e8g8
rn1qk2r/1b2nppp/p7/8/PbNP4/5N2/2P2PPP/R1BQR1K1 w kq -,c2c3
r3k2r/ppp1nppp/2pb4/8/2B1P3/4BP1b/PPPN1P1P/2KR3R w kq -,f3f4
2krrb2/p1n3pp/1ppn1p2/4pP2/P3P3/1BPNBP1P/1P4R1/2KR4 w - -,c1c2
8/7p/2pp2p1/1P6/K7/5k1P/P1P5/8 b - -,c6b5
r4rk1/1b2q1pp/4pn2/B2P1p2/2P1p3/6P1/P1Q2PBP/R2R2K1 w - -,a5c3
r1bq1rk1/2p2pbp/2pp2p1/p7/2P1PBn1/1PN3P1/P4PBP/R2Q1RK1 w - -,a1c1
3rr1bk/2R4p/1p3p2/pP3p2/P3p3/8/4N1BP/2R4K b - -,d8d2
4k3/8/2pb3p/1p1p2p1/1P1P4/2P1K1P1/2r2P2/R2N4 b - -,d6g3
2r2rk1/1bpnq2p/pp1b2p1/3pNp2/3Pn3/1P2P2B/PBQ1NPPP/2R2RK1 w - f6,e5d7
rnbq1rk1/pp2npbp/3p2p1/2p1p3/2P1P3/2N3P1/PP1PNPBP/R1BQ1RK1 w - -,a2a3
1r2r2b/p2nB1k1/3P2PN/8/8/6R1/1p3P2/3R2K1 w - -,h6f5
6k1/8/8/6K1/6P1/8/8/8 b - -,g8g7
3Rr1k1/1p6/p1p1q1p1/4np1p/1PP1p2P/1Q2P1P1/P4PB1/5RK1 b - -,e8d8
4r2k/p1R1B2p/1p6/4bp2/1P2p3/3n3P/P4PB1/5K2 w - -,c7a7
8/p4k2/1p2p2p/1P4pN/P2P4/1b5P/6P1/6K1 w - -,h5g3
2kr3r/p4ppp/1np1p1b1/8/2PBBbP1/2N4P/PPK2P2/3R3R b - -,e6e5
r2q1rk1/1bpn1ppp/pp1ppn2/8/1bPP4/2N2NP1/PPQ1PPBP/R1BR2K1 w - -,a2a3
r1b1rbk1/1p3pp1/n1pp1n1p/p3q3/P1PNPQ2/1PN1B1PP/3R1PB1/1R4K1 w - -,f4f3
2k5/2p5/p7/r1R4P/4P3/4KP2/2p2P2/8 w - -,c5c2
4r3/8/4kn2/1pN1p3/3p4/3P1KB1/r1P2R2/8 b - -,e6d5
8/pp1rp1bk/2p3pp/5p2/3Pq3/1P2P2P/PBR1QPP1/7K w - -,f2f3
7R/8/8/5p2/4pkpP/3r4/5PKP/8 b - -,d3h3
4r2k/p5p1/Bp6/n4p1p/1Q1Pq2P/2P2p2/P1K5/5R2 w - -,a6d3
r1bq1rk1/pp1n1pbp/2pp1np1/4p3/2PPP3/2N1BP2/PP4PP/R1NQKB1R w KQ e6,d4d5
r1bq1rk1/ppp1ppbp/5np1/3Pp3/2P1P3/2N5/PP2BPPP/R1BQ1RK1 b - -,h7h6:e7e6
6k1/pR3p1p/1b4p1/8/P7/6KP/6P1/r7 b - -,a1a4
8/5pkp/1q4p1/p1r1P3/1r1p4/7P/3Q1PP1/R3R1K1 w - -,h3h4
2Brrbk1/p6p/3Pp1p1/4p3/2PB4/7P/5PP1/1R3RK1 b - -,e5d4
2r1k2r/pp1qp1bp/3p2p1/5pB1/3Nn2P/4P3/PPP1QPP1/2KR3R w k -,g5f4
8/2k1b1p1/2B2p1p/4pP2/6PP/pPN5/2K2P2/8 b - -,c7c6
2rr2k1/1p3pp1/p1qp4/4p1p1/P3Pn2/N1P3P1/1P1Q1P1P/R2R2K1 b - -,f4e6
r3r1k1/p2b1pp1/1pp1n1q1/8/2PP3B/P4B2/3Q1PP1/1R2R1K1 w - -,d4d5
4kr2/4pp2/6p1/4nbN1/4N2Q/8/3R1KPP/q7 b - -,e5g4
rnb1k2r/ppp1qpp1/3p3p/3Pp3/2B5/3PPN2/PPP3PP/R2Q1RK1 w kq -,c4b5
r2b1rk1/3b1ppp/1p1p4/pPqNp3/P1B1P3/3Q4/2P2PPP/R3R1K1 w - -,c4b3
1rbqk2r/4bppp/p1n1p3/1ppnP3/4N3/2PP1N2/PB3PPP/R2QRBK1 b k -,e8g8
6k1/4np2/1p6/p2P2Q1/5B1P/P7/1q3P1K/8 b - -,e7g6
b3rbk1/p2n1p2/2qp1npp/2p2N2/4P3/P1B3Q1/2BN1PPP/1R4K1 b - -,d6d5
r3r1k1/pp2bppp/1q2bn2/4p1B1/3pP2P/5P2/PPP3P1/1KNRQB1R b - h3,a7a5
1r1rk3/R4pbp/2R3p1/8/4P3/1N4P1/4BP1P/6K1 b - -,b8b3
2R5/3Q1p1p/p5p1/4b2k/P3Pq1P/8/5P2/4K3 w - -,d7d3
6k1/p4p2/6p1/8/P4R1P/r5PK/5P2/8 b - -,g8g7
r2qk2r/pp1bnpbp/3pp3/2p2p2/P1BnP3/2NP1N2/1PP3PP/R1BQ1R1K b kq -,d7c6
8/R7/2kr4/5K2/p3P3/1b6/8/8 b - -,d6d7
1r4k1/6pp/8/4Rp2/1N1P1P1r/P4P1b/1P3K1P/4R3 b - -,h4h6
6k1/5p2/4p1b1/3pP1B1/3P1Q2/3p4/5KP1/1q3B2 w - -,g5h6
8/p3k3/4P1p1/1p1K4/2p5/2P5/PP2r2P/5R2 b - -,e2e6
r3kb1r/pp3p1p/2pnbp2/3p4/3P4/3BPNN1/PP3PPP/2KR3R b kq -,f8e7
4r1k1/1pqn1ppp/p7/P2p1P2/3BrbP1/2P5/1P2BR1P/R2Q2K1 w - -,e2f3
2r2b1r/1q4p1/1Pb2pk1/3NpN1p/p3P3/1Q4R1/1PP3PP/5R1K b - -,g6h7
r3r1k1/ppbq1pp1/2p2n1p/2P1p3/3PP1b1/1P4P1/PB1N2BP/R1Q2RK1 w - -,d4d5
r1bqkb1r/1p3ppp/p1n1p3/3p4/4P3/2pB4/PPQPNPPP/R1B2RK1 w kq -,d2c3
8/1rp1N1rk/3p3b/1P1Pp2Q/1P2P1b1/2N3P1/2B4n/R6K w - -,h5h2
r2r2k1/pbq1bppp/1pn1pn2/2pp4/2P5/1P1P1NP1/PBQNPPBP/2R1R1K1 w - -,c4d5
r3r1k1/pb1p1ppp/1p1Bp3/2n5/2P5/4PN2/PP2KPPP/R6R w - -,h1d1
r1qr2k1/p2b1pp1/2p2nnp/3pp3/4P2P/1PQ2PPB/P1P2B1K/2R2RN1 b - -,d5e4
r2qkb1r/5p1p/p1p5/2pppb2/8/4P3/PPP1NNPP/R2Q1RK1 w kq -,e2g3
5Q2/kp6/2q5/p1p4p/P7/1P3pK1/8/8 w - -,f8d8
r4k2/1p1r4/pB6/P4N1p/1PB1n1p1/4R2P/2P3P1/4K3 w - -,e3e4
2r3k1/1p1b1pn1/p2q2p1/P2P1P2/2BQ4/4R3/1P6/4R1K1 w - -,f5g6
8/6p1/4N3/4P2p/k4P2/pnK3P1/7P/8 b - -,a3a2
r1b2bnr/ppkn2pp/2p2p2/4p3/P1B1P3/4B3/1PPN1PPP/R3K1NR w KQ -,d2b3
8/3R1pk1/4pp1p/1p6/5PK1/P2N2PP/3n4/1r6 b - -,d2c4
8/4kp1p/8/p3P3/2P5/P3KR2/6rP/8 w - -,f3h3
4r3/3RP2k/6pp/p1B1p2q/P3Q1n1/1P6/1K6/8 w - -,d7d8
6k1/pp1brr1p/1q2p2Q/6N1/1PR2b2/P7/5PPP/1B3RK1 b - -,f4g5
4r1k1/1pp2r1p/3p1p2/3Pp1p1/pPP1PP2/PnB3Pb/4R1NP/4R2K w - -,f4f5
5rk1/pR3ppp/4pb2/8/P1r5/5PP1/6KP/R3B3 w - -,a1a2
8/p5kp/8/8/r3p3/4K2P/2P3B1/q4R2 w - -,f1a1
r1bqr1k1/ppp1bpp1/2np3p/8/2B1P3/2N1QN2/PPP2PPP/2KR3R b - -,e7f6
q4rk1/1b3ppp/1n1p1P2/1p1Pp3/6P1/1P1R2NP/2P3B1/3Q2K1 b - -,f8c8
r2k4/1R1b2pp/p2N1p2/P2Pp3/8/B4P2/5KPP/8 w - -,a3c5
8/2p5/1n4pp/5p2/2pk4/P1N3PP/1P2KP2/8 w - -,e2d2
2r3k1/pp3pp1/6p1/3p1qR1/1P1Q1P2/P3P3/5P1P/7K b - -,f5h3
r2q3k/5rbp/3p4/1Q2p3/4P3/6B1/n3NPP1/R4RK1 w - -,f1d1
r1bq1rk1/ppppnppp/2n5/2b3B1/2B1P3/2N2N2/PP3PPP/R2Q1RK1 b - -,d7d6
4rbk1/1qr2p1p/pn4p1/2p1p3/4P1B1/PP6/1BR1QPPP/3R2K1 w - -,d1c1
Q7/pppkq3/3p2r1/3Pn3/3BP3/8/PPP5/2K4R b - -,e7g5
rn1q1rk1/p1p2ppp/1p2pn2/3b4/3P4/P4NP1/1P1QPPBP/R1B1K2R w KQ -,e1g1
6k1/6Pp/4n2K/1p1bp2B/1P2P3/8/8/8 w - -,e4d5
rn1qk2r/pbp1bpp1/1p2pn1p/8/2BP3B/2N1PN2/PP3PPP/R2QK2R b KQkq -,e8g8
1rk1r2n/Qpp5/5R1p/4p3/2B5/P2PP2q/1PPK4/5R2 w - -,c4e6
r6k/pppqp1bp/2n2rp1/3n4/3PB3/1QP2b2/PP2N1PP/R1B2RK1 w - -,e4f3
r1bq1rk1/p1n1bpnp/1p1p2pB/2pPp3/2P1P1P1/P1NB1N1P/1PQ1KP2/R6R b - -,a7a6
r1b2rk1/1p1n1pp1/2p4p/p1q1p3/P1BbP3/1P2B2P/N1P1QPP1/3R1RK1 b - -,d7b6
3r3r/2k4p/2p5/p3P3/PbqN4/2p1P3/5QPP/1R3RK1 b - -,d8f8
r1bq1r1k/1pp1b1pp/p2p1n2/P2Pn3/8/1Q3N2/1P1N1PPP/R1B1RBK1 b - -,e5g6
6k1/p7/8/6p1/4p1P1/5bK1/PPN2P2/8 w - -,c2d4
8/3b1kpR/8/1p3p2/2p5/2r2P1P/1P4PK/8 w - -,b2c3
1r4k1/p2rnpbp/1pq1p1p1/2p1P3/4NP2/2PP2P1/P1Q4P/2BR1RK1 w - -,g3g4
