2R5/5k2/4p3/3n4/2P5/4r3/5KP1/8 b - -,e3c3
r2q1rk1/6pp/pn1ppb2/2p1p3/Pp2P3/1P1P3P/2P1QPPN/R1B2RK1 w - -,c1e3
5k2/5p2/6p1/2bK4/1p3P2/1P2P3/8/8 w - -,d5c5
2r1r1k1/p2qppbp/1p1p2p1/nP6/1NP1P3/1P2BP2/3Q2PP/3RR1K1 w - -,d1b1
3qk3/1r1b2p1/1p2p3/p2pPpR1/1PpP1P2/P1P1B2r/3QN3/R4K2 b - -,e8f7
r2q1rk1/pp2bppp/2np1n2/2pb4/2B1PB2/P2P1N2/1PP3PP/R2Q1RK1 w - -,e4d5
1r1q1rk1/1b1nbp1p/p2p2p1/3Pp3/1p4P1/P3B1NP/1PPQ1PB1/R4RK1 b - -,b4a3
r5k1/7p/1pp1r1p1/p1b1N3/P3P3/2B3P1/1PP2P1P/R4K2 b - -,a8f8
8/7p/6pk/4Q3/4PK2/5PP1/8/6q1 b - -,g1c1
r1b1r1k1/1p2qppp/2pp4/p7/2P1nP2/3B4/PPQN2PP/4RRK1 b - -,d6d5
r6k/3q2p1/4p2p/p1bpPp2/P1b2Q1P/5NN1/1RP2PP1/6K1 b - -,d7a4
1R6/2p5/3p1pk1/3P2p1/2P1P3/2r2b2/5NK1/8 w - -,g2g1
r2q1rk1/pppn1ppp/2bp1N2/8/3QPB2/6P1/PPP2PBP/3R1RK1 b - -,d8f6
2k2q2/pp3p2/2n1p2p/2p1P3/2P5/1KB3P1/PP1Q1P2/8 b - -,c6b8
8/8/4pk2/1R4p1/P7/1P3K2/7r/8 w - -,a4a5
1rbq1rk1/4ppb1/p2p1np1/nppP3p/2P5/1PN3P1/PB1NPPBP/1R1Q1RK1 w - h6,b2a1
rn1qkbnr/pbpp1ppp/4p3/1p6/3P4/5NP1/PPP1PP1P/RNBQKB1R w KQkq -,f1g2
r5k1/p3qpb1/2pr2p1/3pnb1p/N4B2/1P2P3/P2QBPPP/2RR2K1 w - -,a4c5
3rrnk1/1q1b1pbp/1pp3p1/3n4/PP1NN3/4P2P/1BQ2PP1/1R1R1BK1 b - -,d5b4
r1b1r1k1/p3b2p/2p1p1pB/2p1Np2/3qN3/3P3P/PPP2QP1/R4RK1 w - f6,f2d4
2rqnrk1/1p1nbppp/p2pb3/4p3/4P1P1/1NN1BP2/PPPQB2P/2KR3R w - -,g4g5
8/6pk/1pn3r1/5Q2/7p/6P1/7P/4K3 b - -,h4g3
3r4/ppp3kp/3p1qp1/8/1PP2P2/6P1/P1Q3KP/3R4 b - -,c7c6
r3k2r/ppqn1pp1/4pn1p/2b4P/8/2B2NN1/PPP1QPP1/2KR3R w kq -,f3e5
