7b/p1k5/3p3P/8/2n1P1K1/2p5/P1N5/8 w - -,g4f5
8/5p2/4k3/R3P1pp/4K3/p5PP/5P2/r7 b - -,a1e1
5r2/2p1q1kp/1pbp1rp1/p1n1p3/P1P1P3/1PN1RPP1/3Q2BP/3R2K1 w - -,c3d5
r4rk1/1p5p/2b1p1q1/p1n2p2/2P1p3/1PN1QP2/P3B1PP/1RR3K1 w - -,e3c5
r2q1r1k/pp2bp1p/2n4B/3pPp2/3P4/2P5/2Q4P/RN3R1K b - -,f7f6
3R4/5pk1/1pr2n1p/4B3/Pb6/3B2P1/5P2/5K2 w - -,d3b5
r2qk2r/pp3ppp/2nbp1b1/3p4/3P4/2PB2N1/PP3PPP/R1BQ1RK1 b kq -,d8c7
5r1k/pp6/2r2RQ1/2qbP3/3R3P/8/PPP3P1/1K6 b - -,d5a2
r5k1/7p/r4p2/6p1/8/PR2B1P1/5PKP/8 w - -,e3c5
2q2r1r/p1p3k1/2npbpp1/2pN4/2P1P3/1PQ3P1/P2R1P2/3BR1K1 w - -,d5e3
r1bqk2r/4bpp1/p3p2p/1pnpP1BQ/3R3P/2N4R/PPP2PP1/2K2B2 b kq -,c8b7
r3r1k1/pp3ppp/1bn4q/3p4/4n3/1NPB1bB1/PPQ2PPP/R4RK1 w - -,g2f3
b1rn1qrk/2p1bpp1/1p2p2p/pN1P4/2P2B2/P4B2/1PQ2PPP/3RR1K1 b - -,e7d6
8/8/p2B4/2p5/3b2K1/1P6/Pk6/8 w - -,b3b4
8/1p2b1k1/5ppp/1Np1p3/1nP1P3/1Q1rP1P1/5P1P/6K1 w - -,b3a4
rnbqk2r/pp2bpp1/2p1pB1p/3p4/2PP4/2N1PN2/PP3PPP/R2QKB1R b KQkq -,e7f6
r1q2rk1/p3pp1p/1p1p1npb/n1pP1b2/2P5/2B2NP1/PP1NPPBP/R1Q2RK1 w - -,b2b3
