4r3/3R1pk1/2B3p1/1Pb3P1/6KP/8/8/8 w - -,c6d5
rnbq1rk1/pp2ppbp/3p1np1/2p3B1/3P4/4PN1P/PPPNBPP1/R2QK2R b KQ -,f8e8
r3r2k/pp4p1/7p/P2p2b1/1P1Q4/2P2qBP/5P2/R2R2K1 w - -,d1d3
r3k3/pp3p1p/2pQb1n1/4pqB1/2P4P/5P2/PP2N1P1/n3KB1R b q -,h7h6
rnb2rk1/ppqpppb1/6pp/8/3P4/2PB1N2/PP3PPP/RN1Q1RK1 w - -,f1e1
1rq1k1nr/pp2ppbp/2np2p1/3N4/8/1NP3Pb/PP2PPBP/R1BQ1RK1 w k -,e2e4
r1bq1rk1/1pp3bp/2np1p1n/p1P1p1p1/3PP3/1QN2NB1/PP2BPPP/R4RK1 b - -,g8h8
2r2r2/p2n1k1p/1p1qpn2/3p1p2/3P2p1/1P1P2P1/PQ1N1PBP/2R1R1K1 w - -,f2f4
4r1k1/5ppp/R7/1p2P3/1P1R2P1/1r5P/5PK1/8 b - -,g8f8
2b2rk1/4Bpbp/1q1p2p1/3P4/4P1n1/3R2P1/rPQ2PBP/1R4K1 b - -,f8e8
rn1q1rk1/1p3pbp/p1b1pnp1/P2p2B1/1P1P4/1QNBPN1P/5PP1/R4RK1 b - -,h7h6
r3kb1r/1p1qpppp/pnn5/1B6/3P4/2N5/PP3PPP/R1BQK2R w KQkq -,b5c6
5rk1/pp1q2pp/2n5/2p1N3/Q1Pp2b1/3P2P1/PP5P/R3BBK1 b - -,d7f5
2r5/3nk3/p1pR1p2/P1P1p1p1/2P3P1/3KBP2/P7/8 b - -,c8c7
1R6/5kp1/p2pp3/2n4P/4bP2/4Q3/2q5/K1N5 b - -,a6a5
3q2k1/1p1N1ppp/p3p3/8/P1PP1Q2/2n5/5PKP/2R5 b - -,c3e2
2rqnrk1/1p1b3p/p3pbp1/3pN3/3N1PP1/3PB3/PP2Q2P/R4RK1 w - -,d4f3
1r1qkb1r/pp3ppp/2n1p3/2pn3b/4B3/1QP2N1P/PP1P1PP1/RNB2RK1 w k -,c3c4
4b3/8/8/p2k4/P4B1P/1P1p4/8/4K3 w - -,f4d2
3r1rk1/pb1nqppp/1p1b4/2pp4/3Pn3/1PNBPN2/PBQ2PPP/3RR1K1 w - -,d4c5
5k2/1p3p2/3n2p1/p1pP4/PrP3P1/2KB4/8/4R3 w - -,e1a1
5r1k/1ppbb1pp/p2pn3/P3p2q/1PB1P3/2PQ1NP1/3N1P1P/R6K w - -,a1f1
1R6/p4p2/1p2bk1N/4r3/8/8/6PP/6K1 w - -,h6g8
2k1r2r/1p3p2/5P1p/1q1p2p1/p1pP1p1P/PnP2P2/1P1B1P2/1R1R1QK1 b - -,b5d7
r4rk1/3q1pbp/pp2b1pB/2p1p3/P2nP3/1P1P2P1/1NPQ1RBP/5RK1 b - -,f7f6
r1bq1rk1/3n1p1p/p2ppbp1/1p2nP2/4P1P1/1NNB2R1/PPPBQ2P/5RK1 b - -,f6h4
8/1PqB1K2/6pk/3Q4/5bP1/8/8/8 b - -,c7c3
6kr/1pbr2p1/p1pnqp2/4pN1P/1P2P3/2PPB1R1/1P2QK2/7R w - -,f5h4
r1n2b1R/2kn2p1/1pp2pP1/p3pP2/P1N1P3/4BK2/1PPN4/8 w - -,d2b3
6k1/2p2pp1/1n2p2p/1P1pP2P/3P4/Q5P1/5PK1/1B2q3 w - -,b1c2
4b3/p3p2k/1rp1B3/2Rp1Pqp/PP1P2p1/2Q3P1/7P/6K1 w - -,c3e1
r4n2/p3q1k1/1p2bp2/6p1/8/2Q1P3/PP3PPP/2R2RK1 w - -,c3c7
r2qkb1r/1pp1pppp/p4n2/3P1b2/8/2N2P2/PPPPN1PP/R1BQK2R w KQkq -,b2b3
4r1k1/2Q2pp1/p1P3n1/1p1qPN1p/8/5R1P/P5PK/8 w - h6,f3g3
5rk1/1Pp1bqpp/2P1br2/8/2p5/5NPP/P3QPK1/1R1R4 w - -,b7b8q
8/8/8/1r6/3k4/2b5/2K1R3/8 w - -,c2d1
3r2nr/1kqbp1b1/p1pp1pp1/p6p/3PP3/2NQB2P/PPPN1PP1/R3R1K1 b - -,g8h6
6k1/6bp/1p4p1/p1p5/4P3/P1N2NPb/1P2P2P/4K3 b - -,h3d7
r1bqkb1r/ppp1pp1p/2np1np1/8/3PP3/2N2N2/PPP2PPP/R1BQKB1R w KQkq -,c1e3:f1e2:h2h3:f1c4:d4d5
r4rk1/ppp2ppp/2n3q1/8/2BP1Q2/5NN1/PP3P2/R4bK1 w - -,a1f1
8/8/1b1nK3/2k5/8/8/8/8 b - -,b6a5
8/5p2/4p3/4P2b/2Nk2p1/6P1/4KP1P/8 w - -,c4e3
1k1r2r1/ppb2p2/3P1q2/2p1pb2/2B5/1QN1Pn2/PP3P2/K1BR3R b - -,d8d6
