8/5p2/p2R1p1k/1p5p/1P5P/r2p2PK/8/8 w - -,d6f6
1r6/4PK1p/6p1/8/4k1P1/8/7P/8 b - -,e4f4
1k4r1/1p3p1p/1p4r1/2bPp3/2B2p2/7P/PP2RPP1/3R1K2 w - -,e2e5
r3n1k1/1b1nq1p1/ppp1p2r/3p1pN1/2PP1P2/P1NBP3/1P4QP/3RK1R1 b - -,d7f6
r1bq1rk1/pp4pp/2nbpn2/3p4/3P4/3B1NB1/PP3PPP/RN1Q1RK1 w - -,b1c3
5B1k/6qp/8/4pp2/8/2P2P2/PP6/2K5 w - -,f8g7
r1q4k/1r4pp/2p1npb1/4p3/pQP1P1P1/4N2P/P4PB1/3RR1K1 w - -,b4a3
4k2r/3b1p2/4p2p/p2pP2p/1bpP4/q1n1BNP1/PR3PK1/1BQ5 b k -,c3d1
r2rb1k1/3q1pb1/2p1p1pp/ppBnP2P/3PN3/6P1/PP2QPB1/3RR1K1 b - -,g6g5
r3k2r/pp2bpp1/2p1pn1p/3q4/2PP3P/5N2/PP1BQPP1/2KR3R b kq c3,d5e4
r1bq1rk1/pp1n1ppp/2pbpn2/3p4/2PP4/PP3NP1/1B1NPPBP/R2QK2R w KQ -,e1g1
r1r3k1/p3ppbp/3p1np1/1q6/1p1BP1P1/1P3P2/PP1QN2P/1KR4R b - -,a7a5
8/8/8/5pp1/1R4k1/4r1P1/6K1/8 b - -,f5f4
8/8/2p5/P1N2p1k/5P1p/2K5/6bP/8 b - -,g2f1
3rr1k1/pp1qbppb/2p1pn1p/8/3PP3/P1N3P1/1P2QPBP/R1BR2K1 b - -,e7f8
N7/p2k4/3p3K/1p4B1/8/1P5P/P1PP2b1/5n2 w - -,h3h4
5r2/p3b1pk/3p2np/2pPp3/4N3/3Q1PPq/PP1N3P/R5K1 b - -,h3f5
8/8/q5p1/6k1/1P6/1KP4Q/8/8 b - -,a6e2
4r1rk/1p1n1qpp/pbbB4/3p4/1P2p3/P3N2P/2PQBPP1/4RRK1 w - -,e3g4
1rb1k2r/2qnbppp/p2ppn2/1p4B1/3NPP2/2NB1Q2/PPP3PP/1K1R3R b k -,h7h6
r1bq1rk1/p3ppbp/6p1/2p5/5P2/2PBQN2/PP4PP/R4RK1 b - -,a8b8
3r1k2/pp3p2/2p3pp/3r4/3PpP2/1P2P3/P1R2P1P/2R4K b - -,f8e7
r1bb1r1k/5ppp/2np2q1/p2Np3/1pP1PP2/3BB3/PP4PP/R2Q1RK1 b - f3,f7f6
8/5r2/R1P5/1P1kpBp1/P5P1/2n2K2/5P2/8 b - -,d5c5
4r1k1/1p3p1p/p5p1/3P4/6b1/2RBN1P1/PP5r/4K3 w - -,d3f1
8/5p2/3R1kpp/3P4/7P/6P1/5nBK/r7 b - -,f6e7
6r1/p7/5pk1/5pr1/1p6/5K1R/PP6/2R5 w - -,c1c7
3r4/R2bk3/5p1p/p2pp3/6B1/8/P1P3PP/6K1 w - -,g1f1
8/6k1/3BK3/5p2/5P2/8/8/8 w - -,e6f5
5qk1/5p2/2bpr1p1/4p3/4P2Q/4NP2/2P3P1/1R4K1 b - -,g8g7
k2r4/1p2q3/p3P1p1/Q2p2p1/6n1/1P1P3p/PBP1NrbP/1K2R1R1 b - -,g4h2
r2q1rk1/1b2n1bp/p2p2p1/8/2RPp3/6P1/P3RPBP/3QNNK1 b - -,d6d5
4rrk1/pbqn1p1p/1p1bn1p1/2p1p3/P1P1P3/1PQPN1PB/1B1N3P/R4RK1 w - -,h3e6
2Rn1k2/8/3P1bpp/4p3/1rB1P3/1N6/1P4PP/5K2 w - -,b3c5
2rqk2r/4bp2/p2pbnp1/P1N1p2p/1p2PP2/1P4PP/2P1N1B1/R1BQ1RK1 b k -,c8c5
r1b1r1k1/pp3p1p/6p1/2bPnp2/3p3q/1B1P2NP/PPP2QP1/R1B2RK1 w - -,c1f4
7r/2n1B2p/2b1p1kP/3pP1PN/2pP4/2P5/2PK4/7R b - -,g6f7
r3r1k1/pnq2ppp/bp3n2/3Pp3/P1p1P3/B1P5/2BNQPPP/R4RK1 b - -,f6d7
8/4k3/4P1p1/3P2Kp/3R3P/6P1/8/6r1 w - -,d4d3
r1b1kb1r/p1p2ppp/2p5/8/4P3/8/PPP3PP/R1B1KB1R b KQkq -,c8e6
r2qr3/pp2pk1p/4pnpB/n1p5/8/2P3PB/P3PP1P/R2Q1RK1 w - -,d1a4
r2r2k1/p1q1pp1p/2p1b1p1/2Qn4/N7/1P3P2/P1P3PP/2KR1B1R w - -,g2g3
6r1/3pk3/p1b2p1n/1p2pP1N/4P1p1/1PP1K2n/P5R1/3B3R w - -,e3d3
2rqr1k1/pp2ppbp/2b2np1/3p4/P1nP1B2/2PB1N1P/1PQ2PP1/R3RNK1 w - -,f1d2
2r2rk1/B3ppbp/3p2p1/1p1P1b2/2q5/2P2P2/1P3QPP/2NR1RK1 w - b6,a7d4
3b1rk1/1bq2ppp/1p2p3/2p5/2N1P3/1QPr3P/1P3PP1/R1B1R1K1 w - -,b3c2
6k1/5p2/8/4P1p1/7p/5N1r/5KR1/8 w - -,g2g5
r4rk1/p1pn1ppp/1p2p3/6B1/3Pn3/P3PN2/1P2KPPP/R4R2 b - -,c7c5
1r6/2R1Bp1k/pn1P2pp/1p2b3/1P6/7P/P2R2P1/6K1 w - -,c7c5
3r1rk1/p1q1ppbp/1pb2np1/3p2B1/4P3/2PB1N2/PP2QPPP/R4RK1 w - -,g5f6
1rr2bk1/1b3pp1/1qpp1n1p/p2Pp3/2P1P3/7P/P1BN1PP1/2RQRNK1 w - -,f1e3
8/8/R7/4n3/3k4/3p3P/2p5/2K5 w - -,h3h4
2rqr1k1/pp1bppbp/3p1np1/3N4/P1n1P3/1NP5/1P3PPP/R1BQRBK1 w - -,a4a5
5r1k/7p/p2pR1p1/2pP4/2P3P1/2N5/P1n4P/7K b - -,f8f3
8/1qB2k2/1P2b3/6RR/3Pp3/1B2PpP1/5P1K/5r2 w - -,h5h7
6q1/R2Q4/5rk1/1p2P2p/1Pr2p2/6PP/6K1/8 b - -,f4f3
r4rk1/pb1p1ppp/1p2pn2/1Np1q3/2PbP3/BP3Q1P/P2P1PP1/1BR2RK1 w - -,b5d4
2r3k1/p1rb3p/p2n2p1/3Pp3/2p1Pp2/2R1NP1P/PP1N2P1/1R4K1 w - -,e3d1
1rb1r1k1/2q1bppp/p2p4/2n1pPP1/1pQ1P3/4B1N1/PPP4P/2KR1BR1 w - -,g3h5
r4r2/pp1b3k/1bp4p/3pPp2/3N1P1q/2Q1PB2/PP3R1P/3R2K1 w - -,f2g2
r1bq1rk1/pp2npbp/2npp1p1/2p5/4P3/2NP2PP/PPP1NPB1/R1BQ1RK1 w - -,c1g5
1r2r1k1/2qb1pbp/pn1p1np1/N1pP4/4PP2/2N3PP/1P4B1/R1BQR1K1 b - -,d7b5
