8/1K6/1p1p4/3P4/P2bP1k1/1P6/8/8 b - -,g4f4
8/b6p/p3k3/1p2pp2/1P2P3/P2K1P1P/1B6/8 b - -,a7f2
5rk1/5p1p/p3pP2/5n1P/2r5/2NR4/P1P5/5R1K w - -,f1d1
r3k3/pbqp1p2/1p2pb2/8/2P3Q1/P2B1nP1/1P3P1K/R1B2R2 w q -,h2h3
8/2kn1p2/4p3/1R2P3/r1p2BP1/b4K2/2N5/8 b - -,a3c5
8/2pb2k1/3p1npp/p2Pp3/P1N1P3/2PB2P1/6KP/8 b - -,d7a4
3q1nk1/1p3rp1/p1p1pr1p/P2n4/2RPQP2/1N3BP1/1P5P/4R1K1 w - -,f3g2
8/5p1p/3k1p2/p4Kp1/2BP2P1/4P2P/5P2/8 b - -,d6e7
1r1r3k/6Rp/3pQ3/n4BP1/4Pp1P/1p2qP2/1P6/5K2 b - -,e3c1
r2q1rk1/2p2pbp/1p2n1p1/p3p3/P3P3/4BNP1/1PP2P1P/R2QRK2 w - -,d1d8
r6r/1p3pk1/1np1p1p1/p2pPn1q/P2P1Q2/1B1RN3/1PP3N1/5RK1 w - -,c2c3
rnbqk2r/ppp1npbp/6p1/4p3/8/2N2NP1/PP1PPPBP/R1BQ1RK1 w kq -,d2d3
r4rk1/pp1n2pp/2p1p3/6Nb/1PPPpp2/1N2P3/P4PPP/R1R3K1 b - -,f4e3
2rq2k1/pp3pbp/3p2p1/3Pnb2/Prp1N3/6PP/RPQ1PPB1/2B1R1K1 w - -,c1d2
8/p4pk1/6p1/1p6/2R5/2P5/r4PP1/4K3 w - b6,c4c7
1rr5/4kpp1/1n2p2p/p3P3/5PPP/P1PN4/K1PB4/7R w - -,h1h3
r4rk1/pp2p2p/2p3pb/3qPp2/2QP4/1PB1PR2/P5PP/R5K1 w - f6,e5f6
3r2k1/7p/6p1/p1p4q/2P1P1n1/P4NP1/4P2P/1R4QK b - -,g4f6
rn1q1rk1/pp2bppp/2p2n2/3p2B1/3P2b1/2N1PN2/PPQ2PPP/R3KB1R w KQ -,f3e5
5bk1/8/8/2P5/2P1KB2/p3P3/Nr5P/8 b - -,f8c5
r3r1k1/pppn1pp1/1bn1bq1p/3pp3/B3P3/2PP1NNP/PP3PP1/R1BQR1K1 w - -,g3h5
4r3/5pk1/r1p3pp/p2pP3/Pb1P1P2/3KN1P1/6P1/1RR5 b - -,f7f6
6k1/p3qp2/2n3p1/2p3p1/2B3P1/1P2P2P/5P2/Q4K2 w - -,a1b1
2r3k1/8/R4PK1/6P1/7P/8/8/8 w - -,a6a7
3rr1k1/6pp/p1qp1p2/2pRn3/2P2N1P/4P1P1/P3QP2/3R2K1 w - -,h4h5
r2q1rk1/3nbppp/p2p1n2/1p2pP2/2b1P3/1NN1Q1P1/PPP4P/1K1R1BBR b - -,c4f1
2r2rk1/1p4b1/3N2n1/p2Pp3/1P2P1P1/P3q2n/4B2B/R2Q1R1K w - -,d6f5
2r2k2/b2q1bp1/Q4p2/3p1N2/3p2p1/1P4NP/P1PR1PK1/8 w - -,h3g4
8/p3r3/1p2pk1p/1R3pp1/4b3/2P2P1P/PP4P1/4R1K1 b - -,e4d3
2Q2r2/1P3p1k/3q2p1/3p4/8/6P1/5P2/1R4K1 b - -,d6b8
8/5k2/1P1B2p1/3p4/4p3/2P5/2P2PPK/r7 b - -,a1b1
1r1rn3/p1qn1pk1/2pR2pp/4P3/p4P2/P4N1P/1PBQ1RP1/6K1 w - -,d2c3
8/5p2/2p1kPp1/P2p4/3B1KP1/2P5/1P2b3/8 b - -,e6d7
r1b1kb1r/ppqn1p1p/2pp1np1/4p3/3PP3/2PB1N2/PP1N1PPP/R1BQ1RK1 w kq -,h2h3
5k2/3P4/2R2n2/4N1p1/7p/8/1P3KP1/3r4 w - -,b2b4
8/2pb4/1p3p2/p2k4/5K2/P1PB4/1P6/8 b - -,c7c5
r1b2rk1/2q2ppp/p1p2n2/2b1p3/Pp2PB2/3B1Q2/1PP2PPP/RN3RK1 w - -,f4g5
8/7p/2nk2p1/pp3p2/5N1P/P1K1PP2/1P4P1/8 w - -,f4e2
r2r2k1/4Bppp/b1n1p3/p2pP3/2nP2NP/P1p2NP1/1qP2PB1/R1Q1R1K1 b - -,b2c1
rnbqr1k1/pp3pbp/3p1np1/2pP2B1/2P5/2NB3P/PP3PP1/R2QK1NR w KQ -,g1e2
r1b2rk1/p2ppp1p/1p4p1/n1n1P3/2P5/B4N2/P1P2PPP/R3KB1R b KQ -,c8a6
8/5pk1/4p1p1/4P3/3R1PP1/4K3/8/3r4 b - -,d1e1
7r/1p2p3/1P3n2/p1pPk1p1/P3P1P1/4KB2/8/R7 b - -,h8h3
r2q1rk1/2pbbppp/p3p3/3nN3/Pp1P4/8/1PP1BPPP/R1BQ1RK1 b - -,a6a5
1r1r2k1/p7/4p1pp/1R1bP3/Pb1P2P1/3KB3/4N2P/2R5 b - -,a7a5
rnbqkb1r/pp3ppp/2p1pn2/8/2Q5/5NP1/PP1PPPBP/RNB1K2R b KQkq -,b7b5
r1b2rk1/1pp1qppp/3p1n2/p1nPp3/2P1P3/P2N2P1/1P1N1PBP/R2Q1RK1 w - -,d3c5
2Q2n2/R4pkp/3q1rp1/3p4/B2p4/3P1NPP/2PbrPK1/5R2 w - -,f3d4
r1bqk2r/ppp2pp1/2nbp3/3P2P1/8/2P2N2/PPQ1PP2/R1B1KBR1 b Qkq -,e6d5
5n2/1bq1pk2/1p1p1rp1/8/rPP1B3/3N1PQ1/6PP/3R1R1K w - -,c4c5
r1b2rk1/pp3ppp/1qn1p3/2b5/2Pp4/1P1P1NP1/P4PBP/RN1QR1K1 w - -,a2a3
2kr3r/1p3ppp/p3pn2/3q1b2/Q2b4/2P2N2/PP2BPPP/R4RK1 w - -,c3d4
1r3rk1/6p1/7p/3Pp3/6PP/8/R3Bb1K/5R2 w - -,h4h5
4r1b1/p1k1r3/1p6/2p3p1/4n3/P3R1PR/1PP1P1N1/2K5 w - -,h3h5
2r2rk1/5p1p/p1np4/4p3/1Pp2P2/3BN1P1/P5P1/2RR2K1 b - -,c4d3
r2qr1k1/pb1nbppp/1pp1pn2/3pN3/2PP1P2/1P1BP3/PB1N2PP/R2Q1RK1 b - f3,d7f8
rnbqk1nr/pppp1pbp/4p1p1/8/2P5/5NP1/PP1PPPBP/RNBQK2R b KQkq -,g8e7
1k3r2/1pb5/2p5/p6q/P3Q1p1/2PN2P1/1P2RP1p/7K w - -,e2e1
2r5/1r4k1/1p1pp1p1/1Pn2p2/1NP2P2/2R1P3/4K1P1/R7 b - -,e6e5
r3k2r/1bq1bpp1/p2ppn1p/1p6/3NP2P/4BP2/PPPQ2P1/1K1R1B1R b kq h3,f6d7
rn1qk1nr/pb2bpp1/3pp3/1pp1P2p/5B2/3P1NP1/PPP2PBP/RN1Q1RK1 b kq -,b8c6
1r1rkn2/4b3/pp2p2p/2p1P1PP/2P5/1P1BBK2/P2R4/3R4 b - -,e7g5
r1bqk2r/pp3ppp/4p3/n2nP3/1bB5/5N2/PP1NQPPP/R1B2RK1 b kq -,a5c4
3r2k1/3r1p1p/p1p1p1p1/4P3/3P3q/2QR4/PP4PP/4R2K w - -,e1d1
rr4k1/pN2ppbp/3p2p1/8/2P1P1b1/2N1B3/PP3PPP/R4RK1 w - -,b7a5
r1bq1rk1/p1p3bp/2np1pp1/2p3B1/2P1P3/2NB4/PP1Q1PPP/R4RK1 w - -,g5h6
5rk1/4ppb1/p1ppb2p/6p1/q7/1RP2BP1/P2Q1PP1/2K1R3 w - -,e1e4
1rq2rk1/5p1p/p2p2p1/P1pQ4/8/2b5/4B1PP/R1B2RK1 w - -,a1a3
