8/5p2/4n1k1/5Rpp/p7/2R1K1PP/5P2/8 b - -,g6f5
r2q1rk1/pp1bn2p/4pbp1/3p4/3P1PPP/2PBBN2/P1Q5/R3K2R w KQ -,h4h5
1r6/4k2p/3p2p1/1p1P1pB1/8/1KP4P/2B2PP1/8 b - -,e7d7
2r2qk1/1b6/6pp/P1np1p2/2p1nP2/8/P1Q2PPP/BBR1R1K1 b - -,c5e6
rn1q1rk1/pb3ppp/1p1bpn2/2p5/3PN3/2PB1N2/PP3PPP/R1BQR1K1 b - -,f6e4
1r1r4/2q2p1k/3b2pP/p2Pp3/1pB1Pn2/1P2Q3/P1P2B2/1K1R3R w - -,d1c1
8/8/4n1k1/4B2p/5P1K/8/6P1/8 b - -,e6c5
r3r1k1/1p1n1ppp/2pB1nb1/1p2p3/3PP2P/2N5/PP3PBP/3RR1K1 w - -,d4d5
8/4pp2/4k3/1p1pP3/3P1p1r/3b1P2/P2B1R1P/6K1 w - -,f2g2
r1b2rk1/5ppp/p1p1pqn1/2b5/2P5/6P1/PPQ2PBP/RNB1R1K1 b - -,g6e5
8/pr3kp1/7p/8/2p5/R2b2P1/P7/3KR3 w - -,d1d2
1r1q1rk1/p4pBp/b2pp1p1/2p5/2PnP3/3P2PP/P1RQ1PB1/3N1RK1 b - -,g8g7
2rr4/pp2kppp/4p3/2b5/5B2/P1P5/1P3PPP/R2R2K1 w - -,g1f1
2b2rk1/p3bp2/1rp1p1pp/3P4/3N4/1P4P1/P1PR1PBP/3R2K1 b - -,c6d5
rnbqkb1r/1ppp1ppp/4pn2/pP6/8/8/PBPPPPPP/RN1QKBNR w KQkq -,g1f3
rn1qk2r/p1pp1pp1/1p2pn2/7p/2PP4/P1NBP1P1/1P3Pb1/R1BQK2R w KQkq -,h1h2
2k2r2/pbqp1pr1/1p2p2p/2p1P1b1/2P1P3/1P1B4/PBQ2RPP/5R1K w - -,c2e2
1k5q/1pr2p2/p2pP2r/5BQn/2P4P/1P5R/P7/1K2R3 b - -,f7e6
8/6p1/4K3/1p4k1/1P1B1b2/P6P/8/8 b - -,f4c1
r1bqk2r/1p1nbppp/p1n1p3/2ppP3/3P1P2/2N1BN2/PPPQB1PP/R3K2R b KQkq -,b7b5
8/8/8/2p1k3/3p4/1Pb1r3/2P5/3K1R2 w - -,f1g1
2r2r2/3p1pk1/p3p1p1/q3P1P1/Np1N4/1P6/1PPQ4/2K4R b - -,a5e5
2R5/p4pk1/n3p3/4P3/6p1/P3KPP1/8/5b2 w - -,c8a8
1r2n3/p3Prk1/3P1pp1/2p4p/4q2P/2Q5/P2RN1P1/K6R w - -,e2g3
rnbq1rk1/pp2ppbp/2p2np1/3P4/P1BP4/2N2N2/1PP2PPP/R1BQ1RK1 b - -,c6d5
1q2r3/1p4bk/p1p2npp/5p2/2P5/3BB1P1/P1P2P1P/4RQK1 w - -,e1b1
r1bq1rk1/pp2ppbp/3p1np1/4n3/3NPP2/2N3PP/PPP3B1/R1BQ1RK1 b - f3,e5c6
8/p4kpp/1p6/1P1pb3/8/PN1P3P/6P1/5K2 b - -,f7e6
1nqr2k1/4bp1p/pp1pp1p1/2r5/P1PN2Q1/1P2P1P1/5PBP/R2R2K1 w - -,a1a2
8/pr1r1ppp/2k1p3/3p4/PRpP1P2/2P1KP2/6PP/1R6 w - -,f4f5
3R4/5p2/3P1kpp/1p1r4/8/6PP/5P1K/8 w - -,d8b8
r1b1r1k1/ppp2ppp/5n2/3q1P2/6P1/2P1P3/P3B2P/R1BQ1RK1 b - -,d5a5
2r3k1/4bpp1/n2ppn1p/1q6/4P3/8/1BPQ1PPP/3RR1K1 w - -,b2f6
8/3P3k/4K3/2R1P3/3r4/2p2p2/8/8 w - -,c5c3
8/pB1bk3/2p1p3/2P1Pp2/1P2pPp1/2K3P1/6P1/8 w - -,b4b5
r2q1rk1/pp2ppbp/2n2np1/3p4/3P4/1P1B1b1P/PBP2PP1/RN1QR1K1 w - -,d1f3
rn6/pbrpkppR/1p1Np3/8/2P1P3/5P2/PP2B1P1/1K1R4 b - -,b8c6
r1br2k1/pp1n2bp/2p1ppp1/4P3/2P2P2/2N1B3/PP2B1PP/R3K2R w KQ -,e5f6
2r3k1/1R4p1/p6p/P1ppBP1P/3Pb1P1/2Pp4/8/5K2 w - -,b7g7
5k2/5pb1/3p2P1/1p1P4/2p1Q3/5BP1/1q3PK1/8 b - -,b2e5
r1b1kb1r/pp2pp1p/1qnp1np1/8/2P1P3/5P2/PPN3PP/RNBQKB1R w KQkq -,b1c3
5n2/7p/2k3pP/p4pP1/P4P2/2KN4/8/8 w - -,c3d4
4r1k1/4q2p/pn1p2p1/2pP1p2/2P5/2R1n1P1/4P1BP/2Q2RK1 w - -,f1f4
5b2/1k6/8/1P1p1p2/p7/2K2P2/P4B2/8 b - -,f8a3
8/5kP1/p6n/Pp1K3p/1P5B/8/8/8 b - -,h6f5
3r2k1/5p2/2N3p1/2N5/P7/1P6/6PP/1b3K2 b - -,d8d6
2r2rk1/ppq1ppbp/2n3p1/5b2/2PP4/1Q2BN2/P3BPPP/2RR2K1 b - -,b7b6
r1b1k1nr/pp1pppbp/6p1/qBp5/P2nPP2/2N2N2/1PPP2PP/R1BQ1RK1 b kq a3,a7a6
r2qr1k1/ppp2ppb/7p/n4P2/2P1NQPb/PP1pP3/1B4BP/R2R3K w - -,e4c5
r2r2k1/7p/2pPR1p1/8/1n6/1N5P/p4PP1/R5K1 b - -,b4c2
rn1qkb1r/p1p2ppp/1pb1pn2/3p4/Q1PP4/P1N2N2/1P2PPPP/R1B1KB1R w KQkq -,a4c2
r1b2rk1/pp1p1ppp/2p3n1/8/2PN4/4P3/PP2BPPP/R4RK1 w - -,f1d1
rn3rk1/pp2ppbp/q1ppbnp1/8/2PP4/2NQ1NPP/PP2PPB1/R1B2RK1 w - -,b2b3
rn1q1rk1/1p3pbp/2ppbnp1/p3p3/2P5/P1NP1NPP/1P2PPB1/1RBQ1RK1 b - -,b8d7
rn6/pp3pbk/3p2pp/3N4/2P1rBP1/7Q/q1R4P/3K3R b - -,e4d4
1r3r1k/4N1bp/pq1PQ1p1/1pp2p2/2n1RB2/1N4PP/PP6/3R2K1 b - -,f5e4
r3k2r/p1q1npp1/1pn1p2p/3pP2P/b2p1B2/P1PB1N2/2P2PP1/R2Q1RK1 w kq -,c3d4
1r3rk1/3bp1b1/p2p4/2pP2p1/2P3p1/3NP1N1/P1R3PP/4R1K1 w - -,g3e4
5k2/4pp2/6bp/1prp4/3Nr3/1P4PP/2PR1K2/7R w - -,b3b4
3q4/1Q2b1kp/5pp1/8/1p1B4/4P1P1/rP3P1P/2R3K1 w - -,c1c7
2r3k1/4pp2/3p3p/1b1P2p1/1p2P3/p3N1P1/PbB2PPK/3R4 b - -,c8c2
2kr3r/2qnbppp/p1bpp3/1p4P1/4PP2/P1NBBQ2/1PP4P/1K1R3R b - -,c7b7
r1bq1rk1/pppnbppp/1n1p4/8/3QP3/1BN2N1P/PPP2PP1/R1B2RK1 w - -,a2a4:c3d5
8/2qb2k1/Q5pb/2pB1p1p/2Pp4/3P2P1/3NrP1P/3R2K1 w - -,d2f3
r1bq1rk1/pp3pbp/1nn1p1p1/3p4/3P4/1PN2NP1/P3PPBP/R1BQ1RK1 w - -,a2a4
2r1kb1r/1bqn1pp1/pp1p1n2/4p2p/P3PP2/1NN1BB2/1PP1Q1PP/R4R1K b k -,f8e7
r3k2r/1B4pp/p3bp2/4p3/1n6/6P1/1P1N1P1P/R4RK1 b kq -,a8a7
2r2rk1/pbqn1ppp/1p2pn2/6B1/2PP4/3B1N2/P3QPPP/2R1R1K1 b - -,c7d6
8/5k2/7R/5ppN/1K1Pb3/4r1PP/8/8 b - -,e4f3
4rrkb/1p2pp1p/p2p2p1/q2NPN2/1nP2P2/2R1B3/P4RPP/3Q3K b - -,b4d5
1r1r2k1/p4ppp/b1p5/4N3/3P4/4P2P/P5P1/R1B1b1K1 w - -,e5c6
r3rn2/pp4P1/1bp1bp1k/3p4/8/1P1BPN2/PBP3R1/4R1K1 w - -,b2f6
5r1k/p6p/2q5/2P1b3/1P5Q/P4p2/5B1P/6RK w - -,h4e7
2rr2k1/5ppp/4b3/ppq5/3bPN2/1Pp3P1/P3QPBP/2R1R1K1 w - -,f4e6
rn1qkbnr/pb3ppp/1p1pp3/8/2PNP3/2N5/PP3PPP/R1BQKB1R w KQkq -,f1e2
r4rk1/5ppp/pp3n2/n3N3/1NP5/6P1/PR3PbP/5RK1 w - -,g1g2
r1bqk2r/1p1pbppp/p1n1p1n1/8/2B1P3/2N2NB1/PP3PPP/R2Q1RK1 w kq -,d1e2
r1bqk2r/ppp2pp1/2n2n1p/2bPp3/2B5/2PP1N2/PP3PPP/RNBQ1RK1 b kq -,f6d5
r3kb1r/1p3ppp/1pn1pn2/3p1b2/8/2NP1NP1/PP2PPBP/R1B1K2R w KQkq -,c1d2
2r3k1/p4n1p/p7/4b1P1/4QNK1/8/2r4P/4B3 b - -,c2c4
r1r2k2/1p1bpp2/3p2p1/p2P3p/2P4P/PP2KP2/6P1/2RR1B2 b - h3,b7b6
5r1k/r2b3p/2nnp1p1/1pQp4/1p1P1q2/1B2RNNP/PP3PP1/4R1K1 b - -,d6c4
rnbqkb1r/pp1p1ppp/2p2n2/4p3/2P5/1P4P1/P2PPPBP/RNBQK1NR b KQkq -,d7d5
7k/1p3pp1/4q2p/1RP5/3Q4/3p1KP1/5P1P/8 b - -,e6c6
2rq2k1/pp1rbppp/2n1pn2/3p4/1P1P4/1NP3P1/PB3PBP/R2QR1K1 b - -,f6e8
3r1rk1/1p4p1/1pppqn1p/5R2/P3P3/2N4P/1PP2QP1/5RK1 b - -,f6d7
7r/2p2p2/2k1pbp1/2R5/3PKPP1/1P6/5B2/8 b - -,c6d7
1r2r1k1/pp1b1p2/5qpp/3P1n2/P3Q3/3B1N2/5PPP/R3R1K1 w - -,f3e5
rn1qk2r/pp3p2/4ppbp/3p4/3N4/bPN1P3/P2PBPPP/R2QK2R w KQkq -,e2h5
r6k/1p5p/3p2pb/2pPp3/2P1P3/6Pq/P2BQ1N1/R3NrK1 w - -,g1f1
r4rk1/4q2p/1nn1p1p1/pp1pPp2/2pP1P2/2P4R/PP1Q2PP/R3NNK1 w - -,e1f3
r4rk1/pp1qppbp/5np1/3p4/3P4/1PBQPB2/P1R2PPP/5RK1 b - -,f8c8
rn1q1rk1/pp2ppbp/2p3p1/3p4/2PP4/1PB3P1/P2NPPKP/R2Q1R2 w - -,e2e3
r2qk2r/pp3pp1/2pbbn2/5p1p/3P4/P1N1P1P1/1P1N1PBP/R2QK2R w KQkq -,d1e2
2r2rk1/p4ppp/1n2p3/5P2/1R1P4/2PB1P2/P6P/5RK1 w - -,b4b3
2k5/6p1/2PK4/p3pPp1/6Rp/1r5P/8/8 w - -,g4g5
Q7/p4pkp/3qp3/2p3P1/P1R5/1P2PK2/2R2P1P/4r1r1 b - -,d6d1
1R3bk1/2r2p2/2p1P1p1/3p2Pp/1p1P1N1P/4Q1K1/2q5/8 b - -,c2e4
3Q4/3B1p2/1p1q1p2/p2pk3/3n4/PPN2bP1/2P5/2K5 w - -,d8e8
r1b2rk1/pp1n1pp1/2p1p2p/q7/1b1Pp3/P1N3P1/1PPQN1BP/R4RK1 w - -,g2e4
2r2bk1/5p2/2q1b1p1/rp1pPpPp/p2B1P1P/P1PQ2K1/1P1R4/R4N2 b - -,a5a8
r3n1k1/pb4pp/1p2rp2/3pN1n1/1B1P3P/1P4P1/P1R2PB1/2R3K1 w - -,e5d3
2kr4/8/Pp2p3/2r1Pp2/5Pp1/6N1/1R4P1/6K1 b - -,c8c7
6k1/2qrb1pp/p1p1bp2/2p1p3/2P1P3/1PB1Q1P1/P3BP1P/2R3K1 b - -,c7d8
3r1r1k/p4Ppp/1p6/3n4/2B5/2P2P2/P4P1P/R1B3K1 w - -,c1g5
2r2rk1/1p1q2pp/2p3nn/pPPp1pN1/P2P1P2/3QN1PP/4R3/4R1K1 b - -,f8e8
8/7k/2P2p2/bp2pNpP/4P3/5P2/2K5/8 b - -,a5b6
r1bqk1nr/ppp2pbp/2np2p1/8/2BPP3/5N2/PP3PPP/RNBQK2R w KQkq -,h2h3
r3kb1r/1p3p2/1pn1p1bp/3p2p1/2pPP3/2P3B1/PP1NBPPP/R4RK1 b kq -,f7f5
r2qkb1r/pp1n1ppp/2p1p3/3p1b2/2PPn3/1P3NP1/P3PPBP/RNBQ1RK1 w kq -,f3h4
6R1/1p6/p2Bp1k1/3pP1p1/3n2r1/PP2K3/5P2/8 b - -,g6f7
2kr3r/1bqnnp2/p2p2pp/1p6/P1pbP3/2P1B1NP/1PBQ1PP1/3R1RK1 w - -,e3d4
r2q1rk1/pb2ppbp/1pnp1np1/8/4P3/1NN1BP2/PPPQB1PP/R4RK1 b - -,a8c8
5r1k/1p4pp/p7/5p1b/3Nn2q/7P/PP2BPP1/2rQ1RK1 w - -,d1c1
4r3/N1p1r2k/np1p3n/3Ppp1R/1PP5/7R/5P2/4K3 w - -,h5h6
8/1r3kpp/p7/8/6P1/Pp1P3P/1R6/7K b - -,f7e6
