2r5/2P5/5R2/3kpn2/8/3PpK2/8/8 b - -,f5d4
r2q1rk1/1p2b1p1/p1np3p/3Npb2/1PP5/8/P1N1QPPP/R1B2RK1 b - -,e7h4
8/3r4/2bR4/p2k1p2/4pBp1/2K3Pp/4BP1P/8 b - -,d7d6
8/5p2/4p3/1r6/6P1/3k1P2/1P2RK1P/8 b - -,f7f5
2r2rk1/2n2ppp/1qp1pn2/pb2N3/pbBPP3/2N4P/1P2QPPB/2RR2K1 w - -,h2f4
1r5r/Rb2kp2/1q4p1/1p1pPpQp/1PpP3P/2P2NP1/5P1K/R7 b - -,e7f8
2r2r1k/p2q3P/1p2n2R/2bpPB2/3p1P2/3Q4/PP6/1K1R4 b - -,e6f4
r2r2k1/pb2npbp/6p1/8/2pN4/2P1BPP1/PP5P/R3K1NR b KQ -,e7f5
2r2rk1/1p2bpp1/1q2p2p/3p4/1P1PbP2/PQ5P/1B2B1P1/2R2R1K b - -,b6d6
3r4/8/4B3/1p6/2p1N3/4K1kP/P5P1/8 b - -,g3g2
rn4qR/p3p1k1/2p3p1/1p2N3/3PNK2/8/5PP1/7R w - -,h8g8
r2q1rk1/pp1b2pp/2n1pn2/3pb3/3P1B2/2N5/PP2BPPP/R2QR1K1 w - -,d4e5
rn3rk1/1bp1qppp/pp2pn2/8/PbBP4/2N1PN2/1P2QPPP/R1BR2K1 w - -,c4d3
r2qr3/pp1nppkp/n2p2p1/8/2P1P3/P1N2b1P/1P2BPP1/1R1Q1RK1 w - -,e2f3
1r6/2q3bk/r3b1n1/Np2Pp1p/1Pp1n3/2P1B3/2NQB1PP/R2R2K1 w - -,d2e1
2r1k2r/pppqp1bp/1n2n1p1/3pPp2/3P1P2/BPP2N2/P1Q1N1PP/R4RK1 b k -,e8g8
rnbq1rk1/pp3pbp/3p1np1/2pP4/8/2N5/PPPNBPPP/R1BQ1RK1 b - -,b8d7
8/8/5p2/1pk1p3/1p2P3/1P1K4/r7/7R w - -,h1f1
r1b1k2r/p3b3/2p1pp2/2pp3p/2P3qP/2NP1NP1/PP2QP2/R3K2R b KQkq -,c8a6
R7/1p6/2bpk2p/B3b1p1/8/2P3P1/1P3K2/8 b - -,e6f5
1r3rk1/3nnppp/p2p4/3Pp3/b1p1PP1N/P1P3QP/R2B2P1/1R4K1 b - -,b8b1
r5k1/5ppp/2n5/p1B5/1pp5/2p2PP1/2R2K1P/7R w - a6,h1d1
r4rk1/1p1q1pbp/p2pbnp1/P5B1/1n1P4/2N2N2/1P3PPP/RB1QR1K1 b - -,f6d5
8/8/3r1bp1/2kP1p2/8/5N2/4KP1P/6R1 b - -,f6d4
8/6k1/2pBP2R/1p1n4/p2P4/8/1P6/7K w - -,h6h5
r1bq1rk1/p3b1pp/6n1/2Bp1p2/N3p3/1P1P4/P1P1QPPP/R3NRK1 b - -,g6f4
r6k/1q3rb1/1pbp1p1p/p1nNp1pP/2P1P1P1/1P2BQ2/P3BP2/3R1KR1 w - -,f1g2
5rk1/1p2ppb1/3p1n1p/p1r3p1/P3PP2/1bN2B2/1P1R1BPP/4R1K1 b - -,c5c4
r5k1/1n4pp/pn1p4/1ppPp1P1/6q1/1PP1BrN1/P1QR1P1K/6R1 b - -,a8f8
2rr4/p3kppp/1q2p3/3n4/1p2N3/1P1P1PP1/1B2P1KP/1Q3R2 w - -,b2g7
2r4r/8/p7/1p2p1kp/4Bp1p/PP2nP2/2P1R3/2K4R w - -,h1g1
3rrnk1/pb5p/3q1np1/bP1p4/2p5/2N2P1B/PPQ1N1PP/R1B2R1K b - -,d5d4
r3k2r/1pq1bppp/p2pBn2/4p3/4P3/2N1BP2/PPP1Q2P/2KR3R b kq -,f7e6
2r3k1/r5qp/p1p1pp2/2Rp4/3Pb2p/1P2PPB1/P5P1/3Q1RK1 w - -,g3h4
4r3/8/6p1/3K1pk1/8/8/8/7R w - -,h1g1
1B6/p2Bb3/1p4p1/3k1pP1/P1p1nP2/2P2K2/1P6/8 b - -,a7a6
8/1b6/1Np3k1/p1R3pp/8/1P1r2KP/P4P2/8 w - -,g3g2
