8/8/P3pk2/8/3pPbP1/3N4/2p5/5K2 b - -,f4b8
rn3rk1/pb2qpp1/4p2p/2pn4/8/2NBPN2/PP3PPP/2RQ1RK1 b - -,f8d8
rn1q1rk1/pb2n1b1/1p2ppp1/2pp3p/4PP2/2PP1N1N/PPQ1B1PP/R1B2RK1 w - -,e4e5
rn1qk2r/ppp1bppp/1n1pp3/4Pb2/3P4/1B3N2/PPP2PPP/RNBQ1RK1 w kq -,a2a4
6nk/6pp/pB6/3r1p1N/b7/3r1P2/5KPP/1R2R3 b - -,d3d2
1r6/5kb1/p2p1p1p/2p2p2/8/1P4R1/2P3PP/5RK1 w - -,c2c4
r4rk1/pp3ppp/6b1/8/2PP1Q2/2n2N2/1qP3PP/R3R1K1 b - -,b2a1
r1b2r2/4qpkp/3p2p1/pppP4/5P2/P3nR2/1PBNN1PP/R2Q2K1 w - -,d1c1
rnbq1rk1/ppp1ppbp/3p1np1/8/2PPP3/2N4P/PP3PP1/R1BQKBNR w KQ -,f1d3:g1f3:g1e2:c1e3:f1e2:c1g5
r1bqkb1r/p5pp/2p2pn1/2p1p2Q/2N5/1P6/PBPP1PPP/RN3RK1 b kq -,f8e7
r1bqkb1r/1p1npppp/p2p1n2/8/4PP2/2N2N2/PPP3PP/R1BQKB1R b KQkq -,d8c7
7r/4b3/1k3n2/4N3/8/2R2B2/4PPK1/8 w - -,c3c6
2r2rk1/pb3pbp/1p1pp1p1/nP2q1B1/2P1P3/5P1N/P2QB1PP/2RR2K1 w - -,g5e7
r2qkb1r/4ppp1/p2p1n1p/1p6/4PPb1/2N2N2/PPP1Q1PP/2KR1B1R b kq -,b5b4
6k1/8/p1r1p1np/P1prPpp1/1pNp1P2/1P1P2P1/2R4P/2R3K1 w - -,c1f1
8/4P3/5K2/8/3k4/8/8/4r3 w - -,f6f7
2r3k1/1p5p/4N1p1/1P2b3/4P3/p4PP1/R6P/7K b - -,c8c1
3r4/5kp1/1np2p2/p1N1p2p/Pn2P2P/2R2PP1/1P6/2N1K3 b - -,d8a8
8/8/3p1P2/2nBp2k/1p2P3/4K3/8/8 w - -,f6f7
r1r2bk1/5p2/p1b3pp/1p2p1n1/P3P1P1/1BP1BP2/4NKP1/R2R4 w - -,b3d5
rn2k1nr/pp3ppp/1qp1p3/2bpP2P/3N4/2P5/PP1P1PP1/1RBQKB1R w Kkq -,d1g4
8/8/1P2k3/4p3/4r1p1/1K6/3R2P1/8 b - -,e4e3
r3n1k1/2qnppbp/b2p2p1/2pP4/PrN1P2P/R1NB4/1P2QPP1/2B2RK1 b - h3,g7c3
rnbq1rk1/ppp1b1p1/3ppn1p/5p2/2PP4/1P3NP1/P3PPBP/RNBQ1RK1 w - -,c1b2
3b4/6p1/1pP1kp2/pP2p3/P2rN1P1/2K2P2/2R5/8 w - -,c2d2
r5k1/pppr1pp1/7p/6q1/8/P1Q1P3/1P3PPP/2R2RK1 b - -,a8d8
6k1/ppr2pp1/5B1p/1P3b2/8/P4N2/5PPP/3r1RK1 w - -,f1d1
r1bq1rk1/ppp1n1b1/3p1n2/2PPpppp/8/2N1P2P/PPQNBPPB/1R3RK1 b - -,g5g4
r2q1rk1/2p3b1/p2pR2p/3P4/1p1n2p1/1P1Q2B1/2RN1PPP/6K1 w - -,c2c4
7R/4r3/8/6pP/6k1/4P3/7K/8 w - -,h5h6
5k2/r2n1pp1/p2Rpb1p/B1p5/2P2P2/1P4P1/P5BP/6K1 b - -,f8e7
5b2/1p3kp1/5r1p/1q1p4/4Q3/6P1/PP2R2P/4R2K w - -,e4e8
5b1k/B1q3pp/4np2/4p3/2P5/2N3P1/Q3PP1P/6K1 b - -,h7h6
5r2/3k2r1/4pp2/1R1p4/p1nP2Pb/2P4P/q1P1Q1BB/7K b - -,a2a1
r1bqkbnr/pppnpppp/8/3P4/2p2P2/2N5/PP2P1PP/R1BQKBNR w KQkq -,e2e4
r1bq1rk1/1p2bppp/pB1p1n2/4p3/2B1P3/1NN2P2/PPP3PP/R2Q1RK1 b - -,d8b6
r2q1rk1/pp2bppp/4p3/2pn4/3PP3/2PQ1NB1/P4PPP/2R1K2R b K -,d5b6
8/8/8/3k4/1q6/7R/2K5/8 b - -,b4e4
rqr3k1/1p1n1ppp/pb1p1n2/P2Pp3/8/1N1Q1B1P/1PP2PP1/R1B1R1K1 b - -,b6a7
2q5/pb4Qp/1p4p1/2nk1p2/8/P7/1B4PP/2R3K1 w - -,b2d4
R7/2r1kp1p/6p1/1Bb5/P7/4P3/5P1P/6K1 b - -,c7a7
b5k1/3nbppp/2p1p3/N2p4/1P1P4/2BBP3/5PPP/6K1 b - -,f7f5
2b4r/8/3RpNp1/1k2P2p/ppp2K1P/6P1/PPP5/8 w - -,f4e3
2b1kb1r/pr1n1p2/3p1q1p/1BpP2p1/4P3/RQN2N2/1P3PPP/4K2R b Kk -,f8g7
rnbqk2r/ppp2pbp/3p1np1/3Pp3/4P3/2N1BP2/PPPQ2PP/R3KBNR w KQkq -,c3d1
8/7p/1p3kp1/1Ppn1p2/2N5/3P2P1/4rP1P/R4K2 b - -,e2e6
r7/1p1r1p1k/2bpp1p1/p1n4p/2P1Pq2/1PN2P2/P2R1QPP/3R1B1K b - -,a8d8
8/4b3/4Pk2/6pp/2P5/4RKPP/8/8 w - -,g3g4
r1b2rk1/4ppbp/2pp2p1/3nP3/p1PP3P/Pp1B1N2/1P1B1PP1/2KR3R b - -,c8a6
r1bq1rk1/1ppn1pbp/p2p1np1/4p3/2PPP3/2N2NP1/PP3PBP/R1BQ1RK1 w - e6,f1e1
2krn3/5rpp/1p1p1p2/nNp1p3/2P2P2/1P2B1P1/P3P1KP/R2R4 w - -,d1d2
2rr1k2/pp3ppp/4pn2/3bN3/2B5/5P2/PP4PP/2RRK3 w - -,c1c3
3r4/pp3p1p/4k3/7b/3nP3/3B3P/PPPK1bP1/R1B4R w - -,b2b3
5k2/5ppp/4p3/4P1PP/4bB2/1Kp1P3/2r2P2/7R w - -,f2f3
r1bq4/pp3k2/2p2p2/3p1n1p/3P4/2NP1P2/PP1Q3P/2K1R3 w - -,c3e2
6r1/3b3k/2p2q1p/1pQpRp1B/1P3P2/3K2P1/7P/8 b - -,g8g7
r2q1rk1/1p1nppb1/p2p1np1/2pP3p/2P1PP2/2N1B2P/PP2B1P1/R2Q1RK1 w - -,a2a4
2n3k1/2P2p1p/B3p1p1/B3b3/4P3/p4P2/5P1P/6K1 w - -,a6c4
1rr3k1/3bp1b1/2pp2qp/5pp1/1PPNn3/4P1P1/1BQ2PBP/1RR3K1 w - -,b2a3
rnb1k1nr/pp3ppp/2pb4/3P4/3P1p2/5N2/PPP1N1PP/R1B1KB1R w KQkq -,c1f4
2R3k1/p2bpp1p/1q3np1/4Q3/1P1N4/P2N3P/5PP1/6K1 b - -,d7c8
r4rk1/1ppb1npp/6q1/pPb5/P4P2/2Q3PP/1B2R1B1/4RK2 w - -,c3c5
r1b2rk1/2p2ppp/2p1pq2/p7/2N5/6P1/PP2PP1P/R2Q1RK1 w - -,a1c1
6k1/R6p/p2rpp2/1p6/8/4K3/PPP4P/8 b - -,d6c6
r1r1b1k1/4qpb1/3n2p1/1p1Pp2p/p3P3/P1R2QP1/1PNN1R1P/5BK1 b - -,c8c3
1k3rq1/ppp1r3/3p1p2/1P2nQ1p/2Pp2pP/3P2P1/PNK3B1/4RR2 w - -,a2a4
1rb3k1/2q4p/3bprp1/p1p5/2B1QP2/2P1B3/P5PP/R4R1K w - -,f4f5
q4rk1/1pp2ppp/1pnpbn2/8/r3PB2/3B4/PPPN1PPP/R2Q1RK1 w - -,a2a3
r2q1rk1/pb3pp1/1ppb1B1p/8/1P1PB3/PQ3N2/5PPP/R4RK1 b - -,d8f6
6k1/6pp/1p6/8/3p1P2/PR6/7r/4K3 w - -,b3b6
5rk1/pb1B2pp/1p6/2p1Qpq1/2P1p3/P3P3/1P3PPP/K5R1 w - -,e5c7
8/2p3k1/8/1p2K3/4N3/8/1r6/5R2 w - -,f1c1
6k1/p1n2pp1/1np1q2p/1p2N3/3P1B2/P1P4P/2Q2PP1/6K1 w - -,f4g3
2rqk2r/1p1bppb1/p2p1p1p/3N4/3QP3/5N2/PPP2PPP/2KR3R w k -,d5b6
2q1r1k1/2p3pp/1rp1b3/p1RpPp2/3Q1P1P/B5P1/PPP5/2K1R3 b - -,c8a6
8/3rBp1k/pn1P2pp/1pR3b1/1P6/3R2PP/P7/5K2 w - -,e7g5
1r1q1bk1/5pp1/p3rn1p/2P1p3/1p1pP3/3P1N1P/1PP2PP1/R1BQR1K1 b - -,f8c5
