8/8/2B5/7p/3R2p1/1kn1P1P1/8/r3K3 w - -,e1f2
1r2k3/1r3pp1/p2pp2p/1b6/4PP2/1PR1KBP1/P6P/3R4 w - -,d1d6
r3kb1r/pp1n1p1p/2p1p3/3q1p2/3Pb2N/2P3P1/PP3PBP/R1BQR1K1 b kq -,e4g2
r4rk1/2p2pp1/p2b2np/1p1Pp3/1P2n1q1/1QN2NP1/P2B1PKP/1R3R2 w - -,c3e4
3r4/6p1/2P5/5P2/pP4kp/8/P1K5/8 w - -,b4b5
6k1/1p4p1/4p1p1/P3P2p/1PR2P1P/3pK1P1/2p5/3r4 b - -,c2c1q
2R2N1k/5rp1/5p1p/8/2PPbn2/5N1P/5PP1/6K1 w - -,f8g6
r1bqkb1r/pp3ppp/2np1n2/1N2p3/4P3/2N5/PPP1BPPP/R1BQK2R b KQkq -,a7a6
1r2kb1r/p2q1p2/n4p2/1p1Pp3/7p/PQ1RB2P/1P1N1PP1/2K4R b k -,f6f5
r3r3/3n2kp/p2p1qp1/3P1P2/1pp1PQ2/1P6/P1B3P1/2R2RK1 w - -,b3c4
1k1r4/1pp3q1/p4p2/4pP2/2Q3P1/8/PPP5/2K1R3 w - -,c2c3
r3k2r/1b1q1pp1/1n1Pp3/pp2PnNp/1bp1Q3/2N5/1P1B1PPP/R3KB1R w KQkq -,e4f4
r2q1r1k/1p2nppp/p1bnp3/7N/3P1B2/P7/1P3PPP/1BRQR1K1 b - -,d6f5
8/5rk1/pp1p2pb/2qPp1np/P1P1P3/R4BPb/4QP1N/4N2K w - -,a3c3
6k1/4pB1p/3bP1p1/2p2p2/2q5/7P/6P1/4Q2K b - -,g8g7
1r2k2Q/1q3p2/p3r3/1p6/3PR3/1P5P/P7/5R1K b - -,e8e7
4bbk1/p1q4p/1p2p1p1/3p1p2/PP1P1PP1/4P3/3BB2P/3Q2K1 w - -,g1f2
8/5k2/8/5P1r/1N1B4/3K4/p1N5/8 w - -,c2e3
r2qk2r/1bp2pp1/pbnp1n1p/1p2p3/P2PP3/1BP2N1P/1P3PP1/RNBQR1K1 b kq a3,e8g8
r1bq2k1/Bp3rb1/3p1nn1/PN1Pp2p/1P2Pp2/5Pp1/4B1PP/2RQNRK1 b - -,f6h7
2rr1Bk1/1q3pp1/p1p1pn1p/P7/3P4/1P1QP1P1/4BP1P/R1R3K1 b - -,g8f8
8/1R5p/4Bppk/1p2n3/4P2P/8/1r6/6K1 w - -,e6g8
r7/1R2n1p1/p3kp2/P1B4p/8/6PP/6K1/8 b - -,e7c6
r4rk1/ppqb2p1/2p1p2p/2PpPp2/1P1NnP2/3BP3/P1Q3PP/R4RK1 w - -,g2g4
2rq1k2/3n1p1p/b3p1p1/ppp1b3/3p3P/2PP2P1/PP1Q1PBN/R3R1K1 b - -,d4c3
1rb2rk1/3p1ppp/p3p3/np4Pn/3NPP2/2q1B3/PPP4P/1K1R1B1R w - -,b2c3
