8/5k1p/pp1p4/2pP4/P4PP1/8/1P3K2/8 w - -,f2e3
r3r1k1/pbqnbppp/1p1ppn2/6B1/3P4/2PB1NN1/PP3PPP/R2QR1K1 w - -,a1c1
5r1k/5q1p/5p1b/1pp2P2/4QpP1/2P2K1P/1P6/3R3R w - -,h1e1
1rb2rk1/p1q1b2p/1np3p1/2N1p2n/4Pp2/2Q2PPB/PP3B1P/1K1R2NR b - -,f8f7
8/5p2/6kp/6p1/pR4PP/P4PK1/1P1r4/8 w - -,h4h5
r2q4/1k4p1/2p1pn1p/1p2p3/P3P2Q/2P1bP2/1r4PP/R2R1NK1 w - -,f1e3
r1br2k1/2q1bppp/p1n1p3/1p2P3/P2NpPP1/2P1B3/1P2BQ1P/R4RK1 b - a3,c6d4
7k/1r4bP/p2p2RB/3Pp3/2p1P3/2Nn1P2/P1r5/K5R1 b - -,g7h6
6k1/p1b2pp1/3q3p/8/7P/1P3QP1/P4NK1/8 b - -,c7b6
2rqk2r/pp1bbpp1/3ppn1p/n7/3PP3/P1NBB2P/1P1N1PP1/R2Q1RK1 b k -,f6h7
8/p1R2ppk/1p5p/3n4/5B2/P5PP/1r6/5K2 w - -,c7f7
2r5/5ppk/7p/B1R5/8/1Nn5/2b2PPP/6K1 b - -,c8c5
2r2rk1/pp3pp1/1n2b1qp/3p3N/3P1B2/1P3Q1P/P3RPP1/4R1K1 b - -,b6d7
8/8/3pk2p/p2QP3/P1PP2n1/2P2pq1/2KN4/8 b - -,e6d7
r6r/P1knp1bp/4bpp1/1R2P3/4P3/4BP2/2K1B1PP/1R6 w - -,b5b7
3r1rk1/8/3p3p/p1nPp3/1p4P1/1P3PK1/P1R5/2R2B2 b - -,f8f4
k7/p1p5/1bp5/3brp2/1Q1p2pp/P2P4/1PP3PP/1K4R1 w - -,g1e1
2kr1b1r/pp2q1pp/2pppn2/2n3B1/4P3/2N5/PPQ1NPPP/2KRR3 w - -,c1b1
4q1k1/1ppb3p/nn1p1b1r/1N1P1p2/2PNpP2/1P2B1P1/Q3B1RP/7K w - -,d4e6
8/8/1p2pk2/7K/6r1/8/P7/1R6 b - -,g4g2
5rk1/5ppp/p2b4/3bN3/Pp3P2/3P2PP/1R5K/2R5 b - -,f8e8
2r1k2r/p2qppbp/1p1p2pn/8/2Pp4/Q2P1NP1/PPN1PP1P/R4RK1 b k -,h6f5
4rbk1/5p1p/p4np1/1r1pp1B1/8/1PR3P1/2R1PPBP/6K1 b - -,f6e4
3r2k1/1p3ppp/p2pbr2/4n3/P3P3/4N3/1PPRB1PP/3R3K b - -,e6c8
5bk1/R4p1p/1Q4p1/8/3p2K1/6P1/1P3P1q/2r5 w - -,b6b3
1R3b2/6k1/8/1p4pp/1P6/6P1/r6P/5NK1 w - -,b8b5
8/2n2k2/2p2pp1/2P1p2p/1P1pPP1P/3K2P1/3B4/8 w - -,d2c1
rr4k1/3nbppp/1Pp1p3/pq1p1b2/3P4/1P1N2P1/PB1QPPBP/3R1RK1 w - -,d3c5
R5nk/6p1/7p/5Q2/3N4/1Pp3KP/2B3P1/2q4r b - -,c1e3
8/7k/5q2/5p2/4pP2/1P6/P4B2/5QK1 w - -,a2a4
r2q1rk1/pbpn1pp1/1p3b1p/3p4/3P4/1QN1PN2/PP2BPPP/R4RK1 b - -,c7c6
6B1/1pp2n2/p4k2/5b1p/3K1B1P/P7/1P3P2/8 b - -,f6g7
7r/4R1pp/2k1np2/1p2p3/1p1bP3/5P2/1B4PP/3R1K2 b - -,d4b2
8/pp3b2/2p2k2/3p4/3P2p1/8/PPPKN3/8 w - -,d2e3
rn1qk2r/pbppbppp/4pn2/1B6/2PP4/2N2N2/PP3PPP/R1BQ1RK1 w kq -,f1e1:c1f4:d4d5
rnbqkb1r/pp3ppp/3p1n2/4p3/3NP3/5P2/PPP3PP/RNBQKB1R w KQkq e6,f1b5:d4b3
6k1/2p3p1/1p5p/3r4/3n1R2/1PNp4/P2B1KPP/4r3 w - -,d2e1
r1r3k1/3qppb1/6pp/1p1pP3/2nP1B1P/3Q4/1P3PP1/1RN2RK1 b - -,d7g4
r4r1k/1p1qbppp/p1np1n2/2p2P2/P4PP1/2N5/BPP3QP/R1B2RK1 b - -,a8e8
8/4n1k1/2P4p/R4pp1/B7/PP1K1P2/7r/8 b - -,g5g4
