8/R3bk2/4p2p/1Q3p2/4qP2/6PK/7P/8 b - -,e4f3
1r4k1/4ppbp/3p2p1/2pP4/5B2/3P2PP/2q1Q1BK/2N5 b - -,b8b2
1r1q1rk1/2pb2bp/2nppnp1/8/1p6/1P4P1/PBNQPPBP/R2N1RK1 w - -,a1c1
r1br2k1/pp2qppp/4p3/8/5P2/8/PPBN2PP/R3QRK1 b - -,e7c5
r2qk2r/pbpnnpb1/1p1pp1pp/8/2PPP3/2NBBN1P/PP1Q1PP1/R3K2R w KQkq -,e1c1
3q2k1/2nB1pb1/1p6/2P1p1p1/6Q1/P3P1B1/5PP1/6K1 b - -,b6c5
1r6/5k2/2pq1p2/3p1bp1/pP1P4/2Q1PP2/1P2NKP1/7R w - -,h1c1
3n2k1/2q2p2/p2Nr1pp/1pp1B3/7Q/7P/PPP3P1/5R1K b - -,e6e5
2r5/pb3ppk/1p2p3/4P1B1/5q2/P7/1P3PPP/4R1K1 w - -,g5f4
3q1rk1/4bpp1/2p1bn1p/p2p4/N7/P3B1PP/1PQ1PPB1/5RK1 b - -,d8c8
rnb1kb1r/ppp1pppp/5n2/3q4/8/7P/PPPP1PP1/RNBQKBNR w KQkq -,g1f3
r4rk1/1p1n3p/p1bb4/3p1pp1/N2PpP2/1P2P1PP/1PRB2B1/2R3K1 b - -,g5f4
2rrnbk1/pp2qpp1/4p2p/4N2P/2PB2P1/1P3Q2/P4P2/3RR1K1 b - -,e7c7
2q3r1/5k1p/p3p1p1/1p2Bp2/8/2P2B2/P1P3PP/3RR2K w - -,d1d6
rnbqkbnr/pp3ppp/4p3/3PP3/3p4/8/PP3PPP/RNBQKBNR w KQkq -,d1d4
2rr2k1/5p2/p3p1pp/2p5/P1B3RP/1P1bP3/1K3P2/2R5 b - -,d3c4
8/5p1k/2q2np1/1p2R2p/2pQ4/P1P3P1/5P2/6K1 b - -,c6a6
rnbqkb1r/pp2pp1p/2pp2p1/7n/2PPP3/5N2/PP1B1PPP/RN1QKB1R b KQkq e3,f8g7
8/p5r1/2b2k1p/1p2b3/2P1Pp2/5B2/P1R1NP1P/7K b - -,b5c4
3b2k1/7p/R7/P1pr4/2N5/8/8/6K1 w - -,a6a8
8/5k2/1pr5/p3KP2/8/1P6/P2R4/8 w - -,d2d7
rnb2rk1/ppp2p1p/5R2/1q2N1p1/3P4/8/P1PB2PP/R2Q2K1 b - -,b8d7
r1b2rk1/2q1bppp/p2pp3/1p2n3/3NP1P1/2N1QB1P/PPP2P2/R4RK1 b - -,c8b7
1r1qr1k1/4np1p/1pn3p1/p2p4/P2P4/BQP3P1/3N1PKP/R3R3 b - -,d8d7
6k1/p1R2pb1/1p6/4p3/4ppb1/1P3P1p/P3P1BP/3rBK2 w - -,g2h1
r2q1rk1/pp2ppb1/1nn3p1/2Pp1b1p/3P4/PPN1BPPP/4N1B1/R2Q1RK1 b - -,b6d7
2r2rk1/1bqn1pbp/p2p1np1/2p1p3/PpP1P3/1P1P1N2/1BBN1PPP/R2QR1K1 w - -,d2f1
3r2k1/ppq1ppbp/1nn3p1/4P3/2P1N3/1PBr1NPB/PQ3P2/4RR1K b - -,d3f3
8/1p6/2p1kpp1/p2p3p/3P1P2/2P1KNPP/P4n2/8 b - -,f2e4
r2k1b1r/1pp2pp1/p3bn1p/4P1B1/5p2/2N4P/PPP3P1/R3KB1R w KQ -,e1c1
rq4k1/5p1p/p1r1p1p1/2Pp4/5N2/6P1/P1Q2P1P/1R4K1 b - -,b8c7
2r5/8/8/1p1K4/1B6/1P6/2k5/8 w - -,b4a5
r3k1r1/1bq1bp1p/pp1ppnp1/4n3/P3P3/1NNBBP2/1PP1Q1PP/3R1RK1 b q -,g6g5
1qr2k2/2b2ppp/Q1p1pn2/1pPp4/1P1P4/1N2P2P/4NPP1/R4K2 b - -,c7d8
8/7p/1N2Kp2/5P2/pk5P/8/8/8 w - -,b6a4
r2qk2r/1pp1nppp/p1np4/2b1pb2/2PP4/1PN1P1P1/P3NPBP/R1BQK2R b KQkq d3,c5a7
7r/1q2kp2/p3p3/6p1/1p1Nn3/1P2P2P/P2B1PPb/3QKR2 b - -,h2e5
2rr2k1/pb3pp1/4p2p/8/B2P4/P1P5/5P1P/2RR2K1 w - -,c3c4
r1b1nnk1/ppq2pbp/2p3p1/4p3/2N1P3/1P3NP1/PBP1QPBP/3rR1K1 w - -,e1d1
r2r2k1/p1q2pbp/1nppb1p1/4p3/1BN1P3/1P1B4/P1P1QPPP/R3R1K1 b - -,b6c4
r1b2rk1/ppqnppb1/2pp1npp/8/P2PP3/2N3PP/1PP1NPBK/R1BQ1R2 b - a3,a7a5
8/8/6P1/5b1P/5P2/4Q1K1/8/2qk4 w - -,e3c1
r2qk2r/1p1npp1p/p1np2p1/8/2P1P3/2P2N1P/P3QPP1/1RB2RK1 b kq -,d8c7
8/8/1Bb1p1p1/1p2P1Pp/p4K1P/P1k5/8/8 w - -,b6c5
r1r3k1/3bpp1p/p2p2p1/1p1P4/3bP1P1/1P3P2/P2BB2P/2R2R1K b - g3,c8c1
4r3/pk1p4/6pp/5p2/3p1r1P/PP1R1P1R/2P5/5K2 w - -,f1f2
8/1R6/5k2/4p3/8/3p1KP1/PPr2P1P/8 w - -,f3e3
3N2k1/1pR5/p2p4/P2P2bp/bP2P1p1/6P1/4BBK1/1r6 b - -,b1b2
r1r3k1/5ppp/3R4/1pN5/1P6/7P/2b2PP1/5RK1 b - -,c8d8
8/6k1/8/p6p/3PPR2/1Pr2Kp1/P7/8 w - -,f3g2
r1b2rk1/pp3q2/n4bp1/4pp2/7Q/1NP2NP1/PP2PP2/3RKB1R w K -,f3g5
1rq5/1p2p1r1/2np1pPk/3B4/1PP2Pp1/4Q3/4P3/2RR2K1 b - -,f6f5
8/6k1/2b2N2/5BP1/4PK2/8/8/1r6 w - -,f6h5
4r1k1/7p/6pb/1R2B3/5P1N/P6P/2r3P1/6K1 b - -,c2c1
