8/8/5kp1/4b3/4B1KP/8/4P3/8 b - -,e5d6
rn2k2r/pp1qppbp/6p1/8/3PP3/5N2/P4PPP/R1BQK2R w KQkq -,e1g1
4r1k1/pb2r1pp/1p6/2pp3n/8/2PN2P1/PP3P1P/2R1RBK1 w - -,e1e7
4r3/pp4k1/2qP1ppp/P1b5/Rn2BP2/1PQ5/6PP/2B2K1R b - -,c6e4
rn1qkb1r/pbp3pp/1p1ppn2/5p2/2PP4/2N2NP1/PP2PPBP/R1BQK2R w KQkq -,e1g1
8/2B2k2/p7/2p5/1pP5/1P5P/6K1/2n5 w - -,g2f3
2n3k1/1p3rbp/6p1/2PN1b2/qp2N1p1/8/3QR1PP/5RK1 w - -,e4d6
r7/pp4kp/8/2p3p1/2PpP1Q1/3P3b/PPN2R1P/6K1 b - -,h3g4
6k1/5p2/2q1n1p1/3pP3/prrP1QP1/5N2/5PK1/R2R4 w - -,f4h6
5r1k/p2q3p/Pp1pr2b/1PpNpp2/2P5/1Q1P4/R4PPP/5RK1 w - -,a2e2
6k1/2r2pp1/Qp6/2qpn1p1/3N4/pP2PP1P/P4P2/3R2K1 w - -,b3b4
8/1p1r1pk1/6rp/1PR2R2/4P1P1/8/5K2/8 b - -,g6g4
r1bqkbnr/3n1ppp/p2p4/1pp1p3/4P3/2P2N2/PPBP1PPP/RNBQ1RK1 b kq -,g8f6
6k1/1R3nbp/6p1/3p1b2/1p1Pp1P1/4B2P/1P1NBPK1/r7 b - -,a1e1
1k6/p1p1n3/1p1b4/3p1bR1/1P1P4/2Pq4/PK1B4/3Q4 w - -,d1c1
r1bq1r1k/pp3pbp/2np2p1/2pNp3/2B1P3/P1PP1N1P/1P3PP1/R2QK2R w KQ -,g2g4
r2q1k2/ppn4p/2p2p2/5N2/3Pp3/1QNbP2P/PP3Pr1/2KR2R1 b - -,g2g5
3r4/pp2pk2/6p1/3PB3/r4PK1/3R4/P2R4/8 b - -,d8c8
6k1/5p2/5p1p/8/1P6/P1R5/1n3PPP/r4BK1 w - -,g2g3
2r3k1/5p2/2p2Bp1/1p2P1P1/p1qQ4/P1P5/1P3PP1/6K1 w - -,d4d7
r4rk1/p2b1p1p/3p2pQ/6P1/7P/2P2P2/1P1K4/qB1n2NR w - -,b1c2
r2q1rk1/p2pn1bp/2pNppp1/4P3/5P2/5Q2/PPP3PP/R1B1R1K1 w - -,f3d3
3r2k1/p3np1p/1p2pq2/2p2p2/2Pr3P/PP1R2P1/3PQPB1/3R2K1 w - -,d3d4
rn2nrk1/1bq1bppp/p3p3/1p2pP2/3N4/2N2B2/PPP3PP/R1B1QR1K w - -,f5e6
3r4/pp2nkbp/6p1/3pn1B1/4N2P/P6R/1PP2P2/2KR4 w - -,h3b3
8/1p6/4p3/p1b3p1/P1P1k1p1/1P5P/4KP2/4N3 w - -,h3g4
3r2k1/1p3p1p/2p3p1/4p3/1Pn1Pq2/2P5/2Q2PPP/2R2NK1 b - -,h7h5
r1b2rk1/pp1pqpp1/2nPp2p/8/2P5/2P1PN2/P4PPP/R2QKB1R b KQ -,e7f6
r1bq1rk1/1p1n1pbp/2pp1np1/p3p3/2P1P3/2NP2PP/PP2NPB1/R1BQ1RK1 w - a6,c1e3
2r4r/3k1p1p/3Pb1p1/p2p4/3P4/PP2R3/1K1R2P1/8 b - -,d7d6
3r1rk1/p1q1ppbp/1pn3p1/8/2BPP3/2P1BP2/P3QP1P/1R3RK1 b - d3,c6a5
8/3k3p/pp4p1/b2bp3/8/P2PBP2/5K1P/6R1 w - -,h2h4
8/8/8/8/8/4p3/8/Q2qk1K1 w - -,a1c3
1R6/5pk1/5p1p/5P1P/6P1/8/1p2PK2/1r6 w - -,f2g2
r2q1rk1/pb2bppp/1p2pn2/4N1B1/3P4/2PB4/P3QPPP/R3R1K1 w - -,a1c1
4R3/1r6/2p2pkp/3p4/3P2P1/4P1KP/5P2/8 b - -,b7c7
2b1q3/7k/p1pQ2pp/1pPpN3/1P1P1p1P/P5P1/5P2/6K1 w - -,d6c6
2r2bk1/6pq/2r1pp2/3pB2Q/np1P4/2P4P/1P3P1K/1N2R1R1 w - -,h5d1
2r4k/5pp1/pq1p4/3PnNQP/1pp1P3/8/1PP3P1/2KR4 b - -,c8g8
8/b7/8/6p1/8/3N2kp/4K3/5N2 b - -,g3h4
r1b2rk1/pp3ppp/2nppn2/6B1/1bP5/2N1P3/P2NBPPP/2RR2K1 b - -,f6e8
2r1r1k1/1b2q1pp/1Q1Bn3/3p4/pp6/4P1P1/P5BP/2R2R1K b - -,e7d7
r1r2b1k/8/6pp/q1N5/2QpP3/8/P5PP/R1R3K1 w - -,c4d4
7r/2p1k3/1pp2pn1/p3p3/2N1P3/3R2P1/PPP2PK1/8 w - -,c4e3
2r3k1/8/6p1/p4p2/P3pPp1/1P1pK1P1/1R1R4/6r1 w - -,e3f2
4k3/1pp3p1/1pp1Nn2/8/7p/1KP4P/PP3rP1/4R3 b - -,e8f7
8/3k1p2/3Pp1p1/r5Pp/3RKP1P/8/8/8 b - -,a5a1
1r4k1/p4p1p/2p3p1/2P2n2/1P3P2/P3p1P1/3qQ1BP/4R2K b - -,b8d8
rr4k1/4ppbp/b2p1np1/qnpP4/8/1PN1PNP1/P4PBP/R1QRB1K1 b - -,a6b7
7k/8/pp2R1r1/2p5/P2pb3/2P4P/1P5P/6K1 w - -,e6g6
8/4k3/3P4/7p/4N1p1/1p2PpPP/2r2P2/2R3K1 b - -,e7d8
2rqr1k1/pb1nbppp/1p3n2/2pp4/2PP1B2/1PN2NP1/P1Q2PBP/R2R2K1 w - -,d4c5
2r2rk1/1p1nq1pn/p2p3p/P2Ppp2/5P2/4B3/1PP1B1PP/R2Q1RK1 w - -,c2c4
r3rnk1/p1p4p/1p2pqp1/7Q/7R/3B4/PPP2PPP/5RK1 w - -,h5g4
2r3k1/7p/pp1PNbp1/5p2/P7/R6P/5P2/5K2 b - -,g8f7
r1bq1rk1/ppp1nppp/3p1n2/1B2p1B1/1b2P2N/2NP4/PPP2PPP/R2Q1RK1 b - -,c7c6
1nk4r/1bp4p/2p3p1/p1P1R3/1P1p4/P2B4/1B3PPP/6K1 w - a6,e5e4
8/7R/4k1p1/5r2/6K1/4b1P1/4P2P/8 w - -,h2h4
3r1bk1/5p1p/1R1p2p1/2pPp3/2P1Pn2/r6P/3N1PP1/3R1BK1 w - -,g2g3
1r4k1/nq1bppb1/3p1npp/6r1/1p1NPN2/1P3P2/PB1Q2P1/1BRR2K1 b - -,e7e5
2r3k1/1q4bp/2p1p1p1/5bP1/1B1PpP2/1Q2P1KP/P3B3/2R5 w - -,e2c4
b4k2/7q/1r6/pp1p2R1/2pN4/P1P5/1P4P1/2K1R3 w - -,g5f5
r4k2/2nq1pbQ/rn1p4/1p1Pp1pP/1Pp3P1/P3B1R1/2B2P1N/3R3K b - -,g7f6
rnbq1rk1/pp2bppp/4pn2/3p4/1PP2B2/P3P3/5PPP/RN1QKBNR w KQ -,b1d2
3r2k1/p4pp1/bpp1p2p/5q2/2Pr4/R1Q3P1/PP3P1P/2R2BK1 w - -,a3a6
8/1p2k3/p3p2p/2n4N/8/1Pnp1R2/2r2PPK/4R3 w - -,b3b4
3b2k1/6p1/6pp/3N1b1n/P2P4/5PB1/6PP/3R2K1 w - -,g3c7
r4bk1/1bq2p2/1pppn1p1/r4P1p/2P1P3/2N3PP/1PQR1BBK/3R4 b - -,e6g7
1k6/1pb2p2/2p1q1n1/8/8/2P1N3/1P4N1/K2Q4 w - -,d1f3
2r3k1/2q2r1p/p5p1/1pBPp3/2p5/3b1P2/PP3QPP/3RR1K1 w - -,b2b4
r1bq1r1k/1pp1b1pp/5n2/p2p4/2PB4/P1N5/1P2BPPP/1R1Q1RK1 b - -,c8f5
3r4/pp3k2/2p2pp1/3Pp3/4P2P/1Pn2r2/P1KR1B2/4R3 b - -,c6d5
r3r1k1/pppbq1bp/3p4/2nP1pP1/2P2N1P/2N2P2/PP1QBK2/R6R b - -,e7e5
6k1/5p2/p6p/1pq2pp1/2p1bQ2/6P1/Pr3R1P/5RK1 w - g6,f4b8
2rq1rk1/pp1bppbp/3p1np1/4nP2/4P2Q/1NN1B3/PPP1B1PP/R4RK1 b - -,b7b5
r1b2rk1/b3Q1p1/ppp2p2/2P3P1/8/3PR2P/PB3P2/6K1 b - -,c8f5
2r3k1/R4p1p/1rpqpbp1/8/3PQ3/1P2P1P1/5P1P/2R2BK1 w - -,f1c4
3r1r2/2p1nkpp/b3p3/p3PpBP/1p6/1BP1R3/PP3PP1/2K4R b - -,h7h6
8/7p/1k3p2/6p1/PK1pP3/7P/3R1PP1/2r5 w - -,d2d4
rnbqk2r/4ppbp/p2p1np1/1p6/3NP3/1BN1BP2/PPP3PP/R2QK2R b KQkq -,c8b7
r4rk1/2p2pp1/p1p1n1qp/4PNb1/6Q1/7P/PP3PP1/R1B1R1K1 w - -,c1g5
4rbk1/1p3pp1/p1qprn1p/2p5/2P1PB2/1P5P/P1QNRPP1/4R1K1 w - -,f4g3
2r3k1/2r2pp1/1p1q1n1p/3np2P/pP1p3Q/P2P1BP1/2P1RP2/2R1B1K1 w - -,h4h3
r1bqk2r/3n1ppp/p1pbpn2/1p1p4/2P5/1PN1PN2/PB1PBPPP/2RQK2R w Kkq -,e1g1
rnb2rk1/ppp1qpp1/3b4/8/2B2B2/2P3Q1/P4PPP/RN3RK1 b - -,d6f4
r2n2k1/1p4q1/2nbr1b1/p3p1Q1/3pP2N/3P2PB/PP2N2P/2R2RK1 w - -,h3e6
2RR4/5p1k/6pp/7r/4P1K1/5PP1/r7/8 w - -,d8d7
r2qkb1r/pp1n1Npp/4pn2/3p4/Q5P1/2N5/PPbPPPBP/R1B1K2R b KQkq -,c2a4
6k1/1bQ2pp1/1p1bp2p/pB1pN3/P2Pn3/1P1NP1P1/5PKP/8 b - -,d6c7
r1bq1rk1/ppbn2pp/1np1p3/4Pp2/3PN3/5NP1/PPQ2PBP/R1B2RK1 w - -,c1g5
2k3rr/1ppq1p2/p3bb2/3p1p1P/3P4/4B2P/PPPQB3/1K3RR1 w - -,e3f4
r1b2rk1/1p2ppbp/p2p1np1/q1n5/4P3/2N1BN2/PPPQBPPP/1K1R3R w - -,e4e5
8/1P4k1/6P1/K5p1/8/8/P6p/8 b - -,h2h1q
6b1/7p/1pk3p1/3pK3/3N1P2/1P4P1/P6P/8 b - -,c6c5
r1bqr1k1/pp3pbp/2pp1np1/2n5/2PNP3/2N2P2/PP4PP/1RBQRBK1 b - -,f6h5
8/5k2/8/2b5/p4P1P/4pbN1/2K1N3/8 w - -,e2c3
r2q1rk1/2p3pp/3pp1b1/1pPn4/pP1P1pn1/P1B3P1/1Q1NPPBP/R1R3K1 w - -,g2f3
8/1R3k2/r6p/2bN1pp1/2P5/3K1P1P/8/8 b - -,f7g6
r2qk2r/pp3pp1/2pbpn1p/8/3Pp3/P1NQ1N2/1PP2PPP/R4RK1 w kq -,c3e4
8/2q2k2/4p2p/ppNbPpp1/8/P3Q1P1/1PPK3P/8 w - -,b2b3
r1bq1rk1/pppn1pbp/3p1np1/4p3/3PP3/2N2NP1/PPP2PBP/R1BQ1RK1 w - -,h2h3
r2qr1k1/pp3pbp/n2p2p1/3P1b2/5PB1/1N6/PP4PP/R1BQ1RK1 b - -,f5g4
5k2/6p1/2p1n3/2P4P/Bp6/3P2P1/3K4/8 w - -,a4c6
rnb1kb1r/pp1ppp1p/5np1/q1P5/2P5/2N2P2/PP2P1PP/R1BQKBNR b KQkq -,a5c5
rn1q1rk1/1bppbppp/1p2p3/p7/2PP4/2n2NP1/PPQ1PPBP/R1B1R1K1 w - -,b2c3
6k1/4Bpb1/4b3/4p1Q1/6p1/8/5PBK/1q6 w - -,e7f6
8/pp1r1kp1/1bp2pp1/4N3/8/1P3RP1/4KP1P/8 b - -,f7e6
8/bP6/7p/7P/p5p1/P4kP1/8/7K b - -,f3g3
r6r/1b3pp1/p3pk1p/1pn5/3N4/1B3P2/PPPK2PP/3R1R2 w - -,d2e3
r7/2pb1pkp/3p1qp1/pp1P4/3Q1P2/2P5/PPB3PP/3R2K1 w - -,d4f6
8/6R1/8/4B2k/1r3p1P/8/6PK/8 w - -,e5f6
r1bqk2r/pp1p1ppp/2p2n2/4p3/B2bP3/2NP4/PPP2PPP/R1BQ1RK1 b kq -,d7d6
1k1r3r/1bq1bp2/p2pp3/1p2n1p1/3NPn2/P2BQ2P/NPP2BP1/1K1RR3 w - -,d3f1
r3kb1r/pp1n3p/2p1p1p1/4Pp2/2BP2Pq/1N2PQ1P/PP2K3/R6R b kq -,h4e7
8/8/p3ppp1/1p6/1P1bkP1P/P5K1/8/3N4 w - -,g3g4
8/7k/p5pb/1p6/8/2B4P/b3N1P1/1Q4K1 b - -,a2b1
3rr1k1/1b1nbppp/pq2p3/2ppP3/5P2/1PP3P1/PB1QN1BP/3RR2K b - -,d7b8
2rq1rk1/1p2bppp/p2ppn2/8/2PpP3/1PN2Q2/PB3PPP/R2R2K1 w - -,d1d4
8/3k4/pB1b4/4p3/P1p1Ppp1/2P5/1P2K1P1/8 w - -,b6a7
6k1/1pp2b1p/p2p2p1/4rp2/2P1nN2/rP2P1P1/P1R2PBP/3R2K1 w - -,f4d5
r1b1rnk1/ppb2ppp/2pq1n2/3p4/3P1P2/2NBP1NP/PPQ3P1/2BR1RK1 w - -,c2f2
r3k2r/5pp1/p1p1b3/2q1p3/4P1p1/4N1Q1/PPP3PP/R4R1K b kq -,e8g8
r3k2r/pp3pp1/1qpbpnp1/8/2QP1P1P/3BPN2/PP2K1P1/R5R1 w kq -,b2b3
2q2rk1/r3bppp/Qp1p4/2pR4/4P3/1B3PP1/1PP2P2/6K1 w - -,a6a7
