8/8/6R1/8/5p2/4p1p1/5rk1/4K3 b - -,f4f3
6K1/3k4/1p1P2PP/8/p1p5/2q5/8/2B5 b - -,c3c1
2r3k1/2q1bppp/4b3/1p4P1/p2PB2P/8/P1PQ4/1KN3R1 b - -,e6c4
4r1k1/1p3R2/p3r1p1/P2Rb1Pp/1B6/7P/8/7K w - -,f7b7
6k1/6pp/2q5/p1Nn4/3Q1p2/1P3PP1/5K1P/8 b - -,f4g3
r2qkb1r/1p1b1pp1/p1nppn1p/8/3NP3/2N1B3/PPP2PPP/R2QRBK1 b kq -,f8e7
2rq2k1/pp3pbp/3p2p1/3Pnb2/P1r1N3/2P3PP/R1QBPPB1/4R1K1 w - -,a2a3
8/8/3k3p/1b4p1/2p3P1/RrP5/4KP2/2B5 b - -,b3a3
1k1r3r/1p3P2/p1q1b2b/Q2Nnp2/8/1N4R1/PPP1B3/1K1R4 w - -,g3c3
1r4k1/1p3p1p/5np1/P7/2N1p1b1/6P1/1P1r1PBP/2R1R1K1 b - -,d2d4
r1bq1rk1/pp2bppp/2npp3/1B2P3/3P1B2/2P2N2/P4PPP/R2Q1RK1 b - -,d6e5
3r1k2/3Pn1p1/p3B2p/1pB2P2/1P4P1/3Q2K1/P7/4q3 w - -,g3g2
r1k4r/pppn1nbp/4bpp1/4p3/2P5/2B1PNN1/PP2BPPP/2KR3R w - -,h2h4
3R1b2/6kp/6p1/3B4/1P6/6P1/2rr1P1P/2R4K w - -,c1c2
8/3r4/3r4/R2Pkpp1/1P1Rp3/6K1/6P1/8 w - -,d4d1
rn1q1rk1/pb1p1ppp/1p2pn2/2p5/1bPP4/2NBPN2/PP1B1PPP/R2Q1RK1 b - -,c5d4:d7d5
6k1/4n1n1/pp3p2/3r4/2pP2B1/P1P2PP1/3B3R/6K1 b - -,d5b5
2b2rk1/2r2ppp/p1n1p3/1pNpP3/5P2/P1P5/1P1RB1PP/1K1R4 w - -,b2b4
1rq4k/p3b2p/Ppnr1pb1/1P4p1/8/4N1P1/1Q2PPBP/R1R3K1 b - -,g6e8
