r7/p3Nk1p/8/3Q4/3p4/PP5P/5KP1/1q6 b - -,f7e7
4Qnk1/5rpp/p1p3q1/P2p1b2/1P1B4/2P1R2P/3N1PP1/6K1 b - -,f5d7
r4rk1/1p2nppp/3q4/3Pp3/pnB5/4b3/PP1NQPPP/3R1RK1 w - -,d2e4
rn1qkbnr/pp3ppp/2p1p3/8/2BPP1b1/2N2N2/PP3PPP/R1BQK2R w KQkq -,c1e3
1r2k3/p2b1pp1/r7/5P2/3N4/1P2P3/P3K1B1/4R3 w - -,a2a4
r2r2k1/1q3ppp/2b1p3/1p2b3/4p3/PQ2N2P/1PR1BPP1/2R4K b - -,c6e8
5rk1/pb1qn1b1/1p2p1p1/2p1P1Np/2Pp1B2/3P4/PPQ3PP/4RBK1 w - -,c2d2
r5k1/5ppp/p1q2n2/1pb2P2/5Q2/P4N1P/1PP5/4RR1K b - -,c5d6
rnbqk2r/pp3pb1/3p4/4p1Pp/4N3/8/PPP2P1P/R1BQKB1R b KQkq -,d6d5
r1b2rk1/pp1nq1pp/2p1pn2/3p1p2/2PP4/2N2NP1/PPQ1PPBP/R4RK1 w - -,c4d5
r3r1k1/1ppq1pb1/1pn1b1pp/8/3N4/P1P1B1P1/1P3PBP/R2QR1K1 b - -,c6d4
8/8/8/8/2R3pk/7p/r7/6K1 b - -,a2g2
6k1/1p6/p1p4p/3P1p1p/P1R2P2/8/1r4P1/6K1 b - -,c6d5
8/8/1p2bk2/4p1pp/8/P2B1PP1/6K1/8 b - -,e6f5
r1bqk2r/pp2bp2/2n1p3/2ppPp1p/3P1P2/2P2N2/PPN3PP/R1BQ1RK1 b kq d3,b7b6
8/8/8/8/3K1Q2/r7/5k2/8 b - -,f2e2
8/8/6p1/7n/6kP/8/3B3K/5b2 w - -,d2g5
3r4/pb3pkp/1pnrp1p1/7q/3PB2P/P1R1QN2/1P3PP1/3R2K1 b - -,d8d7
5r1k/p1p3pp/3n4/1P1B4/2PQ4/q5PP/P2R1PK1/8 b - -,h7h6
7k/p4rpp/2n5/1pPR1p2/8/1P4PP/PB3K2/8 w - -,d5d6
2kr1bnr/pppq2pp/2n1ppb1/1B6/3P2P1/2N1BN1P/PPP1QP2/R3K2R b KQ -,f8b4
rn1q1rk1/p3ppbp/bp4p1/2p3B1/3PP3/2P1QN2/P3BPPP/R4RK1 b - -,a6e2:d8c7
2kr3r/Qpq2pp1/2p1p3/7p/2PP2n1/2B4P/PP2BPP1/R4RbK w - -,f2f4
r5k1/ppp1b1pp/2q1p3/4Pr2/1PP2B2/P7/4Q1PP/R4R1K w - -,f4g3
r1bqkb1r/pp3ppp/2n1pn2/3p4/3P1B2/2NBP3/PP3PPP/R2QK1NR b KQkq -,f8b4:f8e7:f8d6:a7a6
1r3rk1/2qb1ppp/4p3/BNp1b3/Q1P1p3/P5P1/1P3P1P/1RR3K1 b - -,c7b7
r1bqr1k1/p1p2ppp/2pp1b2/4n3/4PB2/2NB1Q1P/PPP2PP1/1R3RK1 w - -,f3g3
r1b1kb1r/1pq2ppp/p1p1pn2/8/4P3/2NB4/PPP1QPPP/R1B2RK1 b kq -,e6e5
8/8/2p5/k1Pb4/3P4/P7/2BK4/8 b - -,a5b5
2b3k1/3nrp1p/pr4p1/3PP3/2p1N3/7P/1PB3PK/1R2R3 w - -,e4d6
r3r1k1/2n2pbp/q2pp1p1/2nP4/p1PNPP2/1p2B1N1/1P2Q1PP/1R2R2K w - -,e2f1
r4rk1/1p1qb1pp/p1npbn2/4p1B1/2P5/2NBN3/PP3PPP/R2Q1RK1 b - -,a8e8
r3nrk1/ppqb1ppp/2npp3/4P3/3N4/P1P1B1P1/2P2PBP/1R1Q1RK1 b - -,c6a5
r4rk1/1pp1qppp/1n1b1n2/1P2pb2/p1B5/P2PPN2/1BQN1PPP/R4RK1 w - -,e3e4
6k1/q1rb2pp/1b2p3/pp1pPp2/1P1B1P2/P3P1P1/3Q1K1P/4RB2 b - -,b6d4
rnr3k1/5ppp/1p2p3/3nN3/1p6/6P1/PP2PPKP/R1BR4 w - -,c1d2
3r2k1/6bp/p3qpp1/1pP5/1Pb1P2Q/P1Nr1N1P/6P1/2R1R1K1 b - -,h7h6
r1br2k1/pp2bp2/4pp1p/1N6/2P5/6P1/PP3PBP/R2R2K1 w - -,d1d8
7r/8/8/8/1kp5/6R1/8/2K5 b - -,h8d8
r1b1kbnr/4pppp/p1pq4/3pN3/3P4/8/PPP2PPP/RNBQK2R w KQkq -,e1g1
rnbq1rk1/pp2ppbp/5np1/3p4/3P1P2/2PB1N2/PP4PP/RNBQK2R w KQ d6,e1g1
8/p6p/4k1pb/1p1pB3/3P2P1/1P1K1P2/P6P/8 w - -,f3f4
r1bqkb1r/pp1p1ppp/2p2nn1/1B2P3/4P3/5N2/PPP2PPP/RNBQ1RK1 b kq -,f6e4
r2q1rk1/pbp2pp1/3b2np/4p3/Q3N2P/1P3NP1/PB1PPP2/R4RK1 b - -,f7f5
7r/8/4bpp1/4p1k1/8/1RR3P1/5K2/8 b - -,e6b3
4r3/8/5R2/5K1p/p1k1P2P/P7/5P2/8 w - -,f2f4
8/p7/8/3r4/P1p2knR/1NK1n3/6P1/8 w - -,b3d4
r1b1k2r/1p1p1ppp/p3pn2/8/2PqP3/1BPp1Q2/P2P1PPP/R1B2RK1 b kq -,d4e4
8/8/B2kbpp1/b7/4p2p/4PP1P/4K1P1/4N3 w - -,f3e4
8/1rK5/7R/5p2/5k2/8/8/8 w - -,c7b7
8/P2k4/r5P1/4p3/8/1K2B3/5P2/8 b - -,d7e6
2rqkb1r/pp3ppp/2p1p3/3nQ3/2B2B2/2P4P/PP3PP1/R2R2K1 w k -,c4b3
7k/1PQ3p1/7p/7P/4q3/8/5Kp1/8 b - -,g2g1q
2b3k1/2q3pp/1n3b2/1Pp1pp2/2P5/1N3N2/5PPP/3Q1BK1 b - -,e5e4
1r3rk1/4ppb1/pp1p2pp/2n2q2/PPP5/Q3P2P/4BPPB/2RR2K1 b - b3,c5e6
8/8/5pk1/3K3p/2N5/8/3R4/6r1 w - -,c4e3
8/2k5/4p1B1/pP1b3p/8/1P6/1b3BPK/8 w - -,g6c2
8/8/3b4/1p6/1P6/2p2k2/2N5/5K2 b - -,d6g3
r2q1rk1/pb2bpp1/1pn1pn1p/8/2BP4/P1NQBN2/1P3PPP/R4RK1 w - -,c4a2
4r1k1/1p3pbp/2r5/p1PN1pP1/P3pKnP/8/1PP5/4R1BR b - -,h7h5
8/3rB2k/5R2/pp1PpN1p/4P2P/3K4/PP4rn/2R5 b - -,h2g4
r4rk1/ppq1b1pp/2n1b3/4p3/2PpNpP1/1P1P1B2/PB3P1P/R2Q1RK1 w - -,h2h3
2b2r2/4NP1k/7q/6RQ/8/3Pb2P/2P3BK/8 w - -,g2e4
8/R4k2/8/7N/5PK1/8/8/2r5 b - -,f7g6
r3r1k1/pppq1ppp/5n2/2bp1P2/5PP1/1PN5/1PPB2QP/R4R1K b - -,c7c6
3r1rk1/pp3p1p/6p1/8/1P6/P1B5/4RPPP/3R2K1 b - -,d8d1
1r1qr1k1/2p3p1/2nppn1p/1pb1p3/4P3/2PP1N1P/1P1N1PP1/R1BQR1K1 w - -,d2b3
r5k1/1q2bppp/4pnn1/8/Np1NPB2/5PP1/1P4KP/R2Q4 w - -,f4e3
rn3rk1/p1p2ppp/bp2p3/1q1nN3/3P4/2b3P1/PPQ1PPBP/R1B2RK1 w - -,b2c3
r2q2k1/pb1nbppp/1p2pn2/8/2P5/BPN1QNP1/P4PBP/3R2K1 w - -,a3e7
3k4/7r/2b1pn2/1p2p2p/1P2P2R/5B2/2PK4/6N1 w - -,d2e3
r2r4/1p2qpk1/3p1bpp/pB1Q4/P4PPP/2P1B3/1P6/3R2K1 w - -,d1e1
8/5pp1/2p3k1/1r4P1/1Pb1p2P/2B1P3/5KP1/R7 w - -,a1a5
2r1k3/1pqbbp1r/p2pp3/4n1p1/P1PNP3/1P5P/R4PB1/2BQ1RK1 b - -,e5g6
8/8/8/1p5p/pr2kp2/1P5R/4K2P/8 w - -,b3a4
2rk1b1r/4pp1p/p1pp1p2/2qN4/4P1Q1/1P6/1PP2PPP/1K1R3R w - -,d5e3
r1b2r2/ppp1qpk1/1b1p1npp/3Pp1B1/2N1P2N/2P2Q2/PP3PPP/R3R1K1 w - -,g5f6
2r2rk1/pp1bqpp1/4p2p/n3Q3/3P4/2P1PN2/P3BPPP/R4RK1 b - -,e7a3
r1bq1rk1/ppp1npbp/3p1np1/3Pp3/2P1P3/2N1BN2/PP2BPPP/R2QK2R w KQ -,f3d2
8/p5pp/1b2k3/2K1p3/8/P5PP/1P3P2/4B3 w - -,c5c4
rnb2rk1/pp3ppp/1q2pn2/3P4/1b6/2N2NP1/PP1BPP1P/R2QKB1R b KQ -,e6d5
7r/4kp2/r3p2p/p2n3P/1p6/5R2/PPPBR1P1/2K5 b - -,a6c6
5b2/8/4R1pk/2pBPP2/3p2K1/4r3/8/8 w - -,e6g6
2rq1rk1/pb1n1pbp/1pn1p1p1/3pP1B1/3P4/5NP1/PP3PBP/R2QRNK1 b - -,f7f6
3qr1k1/3bp2p/4n1p1/pr1p4/8/Q3PNP1/P5BP/R4RK1 w - -,f3e5
r3qr1k/pp6/2p2n1p/5bp1/3Pp3/6P1/PPQ1PNBP/2R2RK1 w - -,e2e3
2b2r1k/p5pp/7b/3NPp2/4n3/P2R1N2/Pr4PP/R5BK w - -,d3b3
8/5p2/4bkpp/1B6/7P/1p3P2/1P2RKP1/3r4 w - -,f2g3
8/1R5p/5ppk/p7/P1pnPp2/5P2/6PP/5K2 w - -,b7d7
4r3/5pbp/2kp2p1/2p5/1p2PPPP/1P3K2/P1R5/2N5 b - -,d6d5
r1bqr1k1/pp3pb1/2pp2pp/2n3n1/1PPNP3/2N1BQ1P/P1B2PP1/R4RK1 w - -,e3g5
r2r4/pp4k1/4b1pp/2p1pp2/3b3R/3P1QPN/1q4BP/5R1K w - f6,h3f2
5k2/7p/2nNRpp1/3p4/r5P1/2P1K2P/5P2/8 b - -,c6e5
6k1/6p1/p1p2r1p/1r2p3/8/1P3P2/P5PP/2RR2K1 w - -,d1d8
rn1qk2r/p3pp2/2p1b1pp/1p1nb3/2pPN2B/4P3/PP2BPPP/2RQ1RK1 w kq -,d4e5
r3kr2/1pq2p1p/p4p2/4p2Q/1b1n3N/2N1R2B/PPP2PPP/1K6 b q -,c7c4
5rk1/2q2pp1/p2b4/1ppP1QBp/2P3r1/2R3P1/PP4KP/4R3 w - -,c3e3
7r/p4p2/4k3/2p5/2R4P/8/PP1K4/8 b - -,e6d5
2r3k1/5p2/p5pp/qp1Q3P/2r1N1P1/5P2/PKP5/3R3R w - -,h1h2
5r1k/6bp/8/5n2/5P1p/2n2Q1K/5P1B/8 b - -,c3b5
r1b2rk1/p1p3qp/2pp2p1/5n2/2P1N2P/8/PP1Q1PP1/2K1RB1R w - -,h4h5
r3r1k1/2b3p1/1p2pp1p/pP6/2NPpPP1/2P3BP/1P3K2/R7 b - -,f6f5
6k1/7p/1p1Np1p1/2p1P3/1nP5/3Q2PP/r4P2/5RK1 b - -,b4d3
r1b2rk1/2q1bppp/2np1n2/Pp2p3/4P3/P2P1N2/1BBN1PPP/R2Q1RK1 b - -,c8a6
r3k2r/pp2bp2/3q1np1/3p2p1/4n1P1/2N4P/PPBB1PQ1/1K1R3R w kq -,c3e4
r5k1/pp3p1p/5p2/3r1bp1/2RP4/6N1/PP1K1PPP/7R w - -,d2c3
1k1rr3/p1q1npp1/1pp1p2p/4P2P/5PP1/R7/PPPBQ3/2KR4 b - -,d8d4
2R5/1q1r1p1k/1pQ1p1p1/p6p/P2b4/8/5PPP/3R1K2 b - -,b7a6
8/5k2/3K2p1/6P1/8/8/8/8 w - -,d6d7
8/8/1p3k2/2p5/1r3pKP/5P2/1P2R1P1/8 b - -,b6b5
8/7p/p5p1/8/3PK1k1/1P6/P6P/8 b - -,h7h5
2rq1rk1/p4pb1/2p1p2p/5bp1/3P4/1BP1BQ1P/P4PP1/R2R2K1 w - -,a1c1
1rbr2k1/Bp3pb1/p2pp1np/q5p1/4P3/1PN2P1P/1PPQ2P1/1K1R1B1R b - -,b8a8
rnbqk1nr/1pp2pbp/3p2p1/p2Pp3/2P1P3/5P2/PP4PP/RNBQKBNR w KQkq a6,b1c3
r2qkb1r/pp1npppb/3p2n1/2pP2Pp/4PP1P/2N4B/PPPNQ3/R1B1K2R w KQkq -,d2c4
6k1/1p1r1pp1/4p2p/P1Pn2q1/4Q2R/1B4P1/5PK1/8 b - -,d5f6
r1b1Rrk1/1p4p1/3b2np/3P1p2/p1P5/P1BB3P/1P3PP1/4R1K1 b - -,c8d7
7k/6p1/p7/3N3p/4r2P/4Pnp1/PPKp4/3R4 w - -,c2d3
3r3k/p2P2pp/3rBp1q/1pp2P2/3nQ3/P4P2/1P3R1P/2K3R1 w - -,c1b1
R3r1k1/5pp1/4n3/1p1Qpqnp/8/2P1B1P1/1P3P2/2R3K1 b - -,e8a8
r1b2rk1/ppb2pp1/1nn1qP1p/2p1P3/3pR3/3P3N/PPP3BP/R1BQ1NK1 w - -,f6g7
8/8/p3rk1p/Pp1R1P1P/2p3p1/2Pp4/1P2r3/2K3R1 b - -,e2e1
2r3k1/p4ppp/1pn1p3/3n4/2b5/1N3P2/PBPR2PP/3R2K1 w - -,a2a3
r5k1/6p1/7p/5p2/3BP3/pbPn2P1/7P/R4BK1 b - -,f5e4
2q2k2/3bnr1p/pr4nP/1pp2NR1/5Pp1/P1PB2N1/1P1Q2P1/2K2R2 w - -,f5e7
7k/p5p1/1p5p/3rq3/P7/4R2P/4Q1P1/7K b - -,d5d1
5rk1/1p1r3p/p1n2Bp1/1bP2p2/8/5N2/1RP3PP/4R1K1 w - -,f6c3
2rr2k1/1b2qpp1/p3p2p/1pnpP3/3R1P2/P1N1Q3/1PP1B1PP/4R1K1 b - -,c5e4
rn1qkbnr/p3ppp1/1pp4p/3pNb2/3P4/1QP5/PP1NPPPP/R1B1KB1R b KQkq -,e7e6
rn2kb1r/ppq1ppp1/2p2nbp/8/3P3P/1BN3N1/PPPB1PP1/R2QK2R b KQkq -,e7e6
2rr3k/2q1bp1p/p2p2p1/1p1Pn1Pn/1P1B4/P5Q1/2P3BP/3RR1K1 w - -,e1e5
