8/8/6p1/5p1p/R4N2/1kb1P1P1/5PKP/8 b - -,b3a4
8/R7/8/7K/1b3P2/pk5P/8/3r4 b - -,a3a2
r2qkb1r/3b1ppp/p1p1pn2/3p4/3P1B2/2N1PN2/PPQ2PPP/R3K2R w KQkq -,e1g1
2kr3r/1b1q4/pp2pp2/2p5/2P4p/2N2P2/PPN1Q1PR/2K2B2 w - -,c2e1
8/1p6/p2B4/P2n1k2/5PpK/8/1P6/8 w - -,h4g3
r4rk1/2q1bppp/pn1pbn2/4p3/4P3/1NN2BP1/1PP1QP1P/R1BR2K1 w - -,c3d5
r6r/pp1q1pk1/3ppnp1/2p5/2PnP3/3PN1Pb/PP1B1P1P/R2QR1KB w - -,d2c3
8/2n4p/8/2p2p2/Ppk1pP1b/4P3/6KP/2NB4 w - -,d1b3
6k1/5p2/R5p1/P6p/3p1r1P/8/2P4K/8 w - -,a6a8
1k1r3r/2p1bp2/pp5n/3BP3/P4pPp/5K1P/1P3B2/2RR4 b - -,f7f6
3r2k1/p4p2/1p3qpp/3P1n2/4Q2n/4NP2/PP2BP1P/3R2K1 b - -,f6b2
1r1qr1k1/p4ppp/8/1p2pNb1/1n1p2Q1/1PnP2P1/PR1B1PBP/5RK1 b - -,g5f6
8/2p1k3/p7/8/3N2K1/7r/P6p/7R b - -,h3a3
2r1r1k1/1b3pbp/p1pRn1p1/4P1B1/p4PP1/6N1/1P4P1/4RBK1 w - -,g3e4
8/5p2/2R5/5p2/1p5k/3BK3/P6q/8 b - -,h2g1
8/2r2pb1/kp1pp2p/p7/2P1PP2/3KN3/2N4P/5R2 w - -,c2a3
8/4k2p/r1pp2p1/P1np1p2/3N4/R2PP1P1/PrP2R1P/5K2 w - -,f1e1
r1b1k2r/pp1n2bp/1qn1ppp1/3pP3/3P4/P2B1N2/1P2NPPP/R1BQ1RK1 w kq -,e5f6
8/1qnb1kpp/2p1p3/2QpPp2/1P1B1P1P/4P1P1/4BK2/8 w - -,c5a7
3rr1k1/p4ppp/1pR1q3/3n4/2QP4/8/1P1B1PPP/5RK1 b - -,e6e2
r4rk1/p2q1ppp/1p2p3/2nb1N2/2B5/1P2P3/Pb2QPPP/R2R2K1 w - -,e2b2
8/8/6P1/8/3n1k2/3KN3/8/8 b - -,d4e6
1r3rk1/pbqn1ppp/2pNp3/1p1nP1B1/2pP4/2P5/P1Q1BPPP/1R3RK1 w - -,e2g4
6Q1/8/5p1k/8/4p3/2q5/4KP2/8 b - -,c3c2:c3f3
r4rk1/pp1n1p2/1qp1pn1p/7P/3P4/b1PQ1N2/PP1B1PP1/1K1RR3 w - -,d2c1
2r2rk1/2q2p2/p2p2p1/2nPp1bp/2p5/1P3PP1/P1Q1NB1P/R4RK1 w - -,c2c4
8/r4pk1/5Npp/5n2/4R2P/6P1/5PK1/8 w - -,f6d5
