8/8/8/7R/4K3/1r6/3B2p1/7k b - -,h1g1
rn3r2/pb1q1pbk/1pp1p1pn/3pP1Bp/3P4/3B3N/PPPQNPPP/R4RK1 w - -,h3f4
2R1N3/1p1rb3/4P1pk/8/4K3/8/p7/8 w - -,c8c1
8/8/8/5k1p/p1p2p1n/B1P2P2/5K2/8 b - -,h4g6
r4rk1/1bq1bppp/pn1p1n2/1ppPp3/4P3/1PP2N1P/P1B2PP1/RNBQR1K1 w - -,b1d2
r1bqk1nr/ppp2pbp/2np2p1/4p3/2P1P3/2N2N2/PP1PBPPP/R1BQK2R w KQkq -,e1g1
3r1rn1/ppp1qpbk/2npb1pp/4p3/4P2N/1BPPNQP1/PP3P1P/R1B2RK1 w - -,b3c2
r1b2rk1/2q2ppp/2pbpn2/pp6/2PP4/1P3N2/PBB2PPP/2RQ1RK1 b - -,d6f4
r1bqk2r/p3bppp/2n1pn2/1ppp4/P7/1P2PNP1/1BPP1PBP/RN1Q1RK1 b kq a3,b5b4
5rk1/2q2pp1/2p2b1p/Q4N2/R7/1P2P1P1/3r1P1P/5RK1 b - -,c7a5
5R2/8/3k4/4p3/2Kp4/5P2/1P6/3r4 b - -,d1c1
2r1r1k1/p2b1ppp/8/1p1p2B1/8/1NP1P3/P5PP/2R2BK1 b - -,a7a5
8/3b2kp/3p1qp1/1p1p4/1P2P3/2N1QpP1/P4K1P/8 w - -,e4d5
3r1r1k/1p4pp/3p2q1/n2Npbb1/P1B1N3/2P2PP1/4Q2P/3R1RK1 w - -,c4d3
7r/1p6/4bn2/1N2k1p1/P3p3/4Pp1P/2BR1P1K/8 b - -,e6h3
1k1r2r1/ppqb1p2/Q1n1p1n1/3pP3/5PP1/P1R5/2P1NB1P/1R2KB2 b - -,b8a8
4bkr1/r4pp1/2n1p2p/pp1pP2B/2pP1QPq/P1P2R1N/2PK1P2/R7 w - -,f4e3
r1b2rk1/ppb1qp1p/2p2np1/8/1P2N1n1/P3P1N1/1BQ1BPPP/R4RK1 b - -,f6e4
r1bqkbnr/pp2pppp/2n5/1N6/3P4/8/2P2PPP/R1BQKBNR w KQkq -,c1f4
1r1q1rk1/1b1nppbp/pp1p2p1/8/PRP1PP2/3PB1PP/4N1B1/3Q1RK1 b - -,d7c5
5k2/5pp1/1p2p2p/3n4/2rN4/P3P1P1/5PKP/1R6 w - -,b1b3
r2q1rk1/2p1nnbp/p5p1/1p1Ppb2/8/1BP1B2P/PP4PN/RN1Q1RK1 w - b6,h2g4
rn1qk2r/1p2bpp1/p2pbn1p/4p3/4P3/1NN1B3/PPP1BPPP/R2Q1RK1 w kq -,d1d2
rnbq1rk1/p3ppbp/2p2np1/1p2p1B1/3P4/2N5/PPPQBPPP/2KR2NR w - -,d4e5
3k4/8/3r4/4p2P/5p2/PR1B1Pn1/r5P1/4K1R1 w - -,h5h6
r1bq1rk1/p1p1bppp/np3n2/1N1p4/3P1B2/3B2N1/PPP2PPP/R2QR1K1 w - -,d1d2
5bk1/5p1p/4q3/6R1/Pp6/3Q1PP1/6KP/8 b - -,g8h8
