8/PN6/1n4k1/4p1p1/3p2P1/3P1K2/8/8 b - -,g6f6
3k4/8/1R6/4N3/1P4p1/2r2bP1/5K2/8 w - -,b6d6
rn2k2r/pppqb1pp/3p1n2/5bB1/3Pp2N/2N5/PPP2PPP/R2QKB1R w KQkq -,g5f6
8/5k2/p3qp2/3p4/1PpB4/P1P2P2/3Q1K2/3b4 b - -,d1a4
r1bq1rk1/pp1nbppp/2p5/3p2B1/3Pn3/2N1PN2/PP2BPPP/R2Q1RK1 w - -,g5e7
r1bqkb1r/1pp2ppp/p2p1nn1/3Pp3/2P1P3/1QN2N2/PP3PPP/R1B1KB1R w KQkq -,f1e2
r1br2k1/pp2qppp/2n2n2/3p2B1/1b2P3/1NN2P2/PPQ1B1PP/R4RK1 b - -,c8e6
r1b1rbk1/1pqn1ppp/2pp4/p3nN2/P2BP3/2N4P/BPP2PP1/R2QR1K1 w - -,f2f4
8/6pk/2R5/p7/6rp/3K4/8/8 b - -,h4h3
3rk2r/2qb1ppp/p3pn2/npb1N1B1/2p5/2N3P1/PP1QPPBP/3R1RK1 w k -,d2f4
8/pk3r2/1pn2r2/3R4/2p5/P1P5/1KP1Q3/8 b - -,f6f4
r1r3k1/2q1bpp1/p3pn1p/1p1p4/2nP3B/3BPP2/PP2QPRP/R2N1K2 b - -,f6e8
1Rr5/2P1k2p/3n4/3p1pN1/8/6P1/7P/6K1 w - -,b8c8
5rk1/2q1ppb1/3p1np1/pr1P4/R2B4/1B3P2/1PPQ2P1/4K2R b K -,f8b8
1r3rk1/pBqb2bp/1p3pp1/2pPp3/4PP2/2P1B3/P2QN1PP/1R3R1K b - -,b8b7
4r1k1/3q1p1p/3p2p1/2pp2P1/1p5Q/1PbRR3/5PKP/r4N2 b - -,a1a8
r4rk1/1p1nbppp/1p2pn2/1B1p4/3P4/2N1P3/PP3PPP/R1B2RK1 w - -,c1d2
8/1p6/3pBppk/3P4/rP1nP2p/8/1R3KPP/8 w - -,e6d7
r5k1/p3Q2p/1p1p4/2p5/4P3/2P1q3/P5PP/1R5K b - -,a8f8
2r2rk1/1bq1bpp1/p2ppn1p/8/Pp2P3/3BBPN1/1PPQ2PP/R2R3K b - -,h6h5
r4r1k/pp2n1p1/3q2Pp/1b1p3Q/1n3P2/6N1/PP1N1R1P/1B3RK1 w - -,d2e4
2br1r2/2p2pkp/1p1p1qp1/1PnP4/4PP2/2N3Q1/2B3PP/3RR1K1 w - -,e4e5
2rq1rk1/3nbppp/p1b1pn2/1pp5/P3P3/1P1P1NP1/1B1N1PBP/1QR2RK1 w - -,a4b5
5rk1/4qppp/4pn2/2nb4/2p5/2P1BNP1/1PQ2PBP/5RK1 b - -,d5e4
8/5prk/4p1pp/4P1BP/6q1/5RP1/1p3P1K/1Q6 w - -,h5g6
r5k1/p5pp/bpp1pr2/3p2q1/2P5/6PP/PPQ1PKB1/RN1R4 w - -,g2f3
5k2/1R3p2/1pr1p1p1/2p1P2p/2P2P1P/2KP2P1/8/8 w - -,b7b8
2r2b1r/pp1k1ppp/4p3/3p4/3P2n1/2N1P1B1/PP1K1PPP/R6R b - -,f8b4
5k2/8/4Ppp1/2nP3p/3p3P/6P1/4K1B1/8 b - -,f8e7
8/8/8/8/8/6k1/5p2/5K2 b - -,g3h2:g3f3
r2qk2r/1p2bppp/p3pn2/3pn3/P2P4/NQ2P3/1P1B1PPP/R1R3K1 w kq -,d4e5
r2q1rk1/pbpn1p1p/1p1p2p1/3Pp1b1/1PP1P3/2N3P1/P2Q1PBP/R3NRK1 w - -,f2f4
r2qr1k1/1b3pp1/pb1p1n1p/np1Pp3/2p1P3/P1P1BN1P/1PBN1PP1/RQ3RK1 w - -,e3b6
8/1p6/5rk1/3p2p1/pB1Pb3/P6P/1P3K2/2R5 w - -,f2g1
8/8/3kb3/1r6/4R1P1/6K1/8/8 b - -,e6d5
rnbqk1nr/pp2bppp/3p4/1BpP4/8/2N5/PPP2PPP/R1BQK1NR b KQkq -,b8d7
6k1/6p1/p5np/P4P2/1p3P2/1N3RK1/1r4PP/8 b - -,g6e7
3r1r2/6kp/p7/2p1pp2/PpP1b3/1P6/2P3PP/3RRNK1 w - -,d1d8
r2k1bnr/pppn1ppp/4b3/4p3/2P1P3/2N1B3/PP3PPP/R3KBNR b KQ -,c7c6
r4k1Q/p4b2/1pB5/4PpP1/3p4/P5q1/2P3P1/2KR4 b - -,f8e7
2rqr1k1/pb5p/1p3pp1/3p4/3Pn1QP/1P2N1P1/P4PB1/R3R1K1 b - h3,c8c7
