8/8/7k/8/3b2R1/6P1/2r1r3/5R1K w - -,g4h4
8/p4R2/7p/1k1r2p1/1B1b4/7P/5PP1/6K1 w - -,b4f8
r1bqk2r/pp3p2/1bpp4/4p1p1/2B1P3/2PP1Pp1/PP3BP1/RN1Q1RK1 w kq -,f2b6
r1bqkbnr/pp1p1ppp/3P2n1/8/5P2/2N5/PPP3PP/R1BQKB1R b KQkq -,d8f6
2kr1b1R/pb1qpp2/1p1p4/4n3/2PNP3/2N5/PP2QP2/1K1R4 w - -,h8h7
3r4/4kp2/1p3p2/pP1B3p/P1P2P2/3P2P1/5K1P/8 w - -,d3d4
6nk/1p1b3p/3N2p1/3Pp3/1P4P1/1Q2P2P/4q3/5RK1 b - -,g8h6
r1bq1rk1/p1p3pp/1bp5/3pPp2/3Pn3/2N1BN2/PP3PPP/R2QK2R w KQ f6,g2g3
8/n7/P7/1k2N2p/4P1p1/2K5/5P1P/8 w - -,c3d4
4k2r/p3qp2/2p2npp/1pb1p3/4P1P1/1B3QNP/PPP2P2/5RK1 w k -,f1d1
rn1qk2r/p2pbppp/1pN2n2/2p5/4Q3/6P1/PP2PPBP/RNB2RK1 b kq -,b8c6
3qr3/r5k1/b3pN2/2ppP2Q/2n4P/P5P1/1B1bP1B1/R4R1K w - -,h5h7
r1b1qr1k/ppp3pp/3p4/PP2pn2/2P5/2BP2pP/4P1B1/R2Q1NKR b - -,e8g6
r3k2r/pp1bbp2/q1n1p1p1/3pPn1p/3P1P2/2P3PB/P1PB3P/R1NQNRK1 b kq -,c6a5
2rqrk1b/3b4/p2pnppP/1ppB4/3P4/5p2/PPPB1PP1/2KR1Q1R w - -,h6h7
rn1qr1k1/1p4bp/p2p4/2pP1p2/P7/3Bp2P/1P1N1PP1/R2Q1RK1 w - -,f2e3
2r2rk1/1pqn1b2/2p1p1p1/p3PpPp/PbPP1P1P/4BB2/2Q5/1RNR2K1 b - -,f8d8
5r2/2p3k1/1p4p1/2rPR3/P5RP/8/5P2/6K1 b - -,c5c1
r5k1/p3p1b1/1pnqprNp/3p4/P2p1PQ1/3B3P/1PP3P1/R3K2R w KQ -,e1g1
8/p7/1p2kp1p/3p4/2bK1PPP/P1P2B2/8/8 b - h3,c4b3
3r1rk1/5ppp/3bp3/p4b2/1P1P4/1BP2N2/1P4PP/4RRK1 b - -,a5b4
r3rnk1/pp2bppp/2p1pn2/q3R3/2PP1B2/P1NB1Q1P/1P3PP1/3R2K1 b - -,a5d8
2r5/5pk1/8/2p1R2p/p2p3P/P7/1PP5/2K5 w - -,e5h5
2k5/2p5/5pp1/p1PR4/PPn2P1K/4r3/2r5/R7 b - -,c2h2
2qr2k1/4bppp/p7/1p2Pb2/3pN3/6RP/PPB2PP1/3Q2K1 w - -,f2f4
rnbqkb1r/p1pppppp/5n2/1p6/8/2P2NP1/PP1PPP1P/RNBQKB1R b KQkq -,e7e6
r2qk2r/pp3pp1/2pbpn1p/8/2PP4/4BBP1/PP3P1P/R2Q1RK1 b kq -,d8d7
8/8/3k1Kp1/6N1/8/8/8/4r3 w - -,f6g6
2rqk2r/1b3p1p/pn4p1/2n1p1P1/1p1pP1NP/1P3P2/P1PQN1B1/1K1R3R b k -,b6d7
r2b2k1/1pqn1pp1/2p3rp/p1Pp4/1P1Pp3/P1Q1P1PP/1B3P2/R3RN1K w - -,f1h2
1k1r3r/p2q1p1p/1p6/2p1PR2/3pR2Q/1P1P3P/P1P2K2/8 w - -,h4h6
1Q6/6n1/2K2p1p/5Pp1/8/3p2PP/2k5/8 b - -,d3d2
1r6/2q1nkp1/4ppp1/3p4/6PP/rPPQ1P1K/3B4/1R5R w - -,d3c2
r3k2r/pp3pp1/2pqp3/2P5/4n3/1PBn1Nb1/P4PB1/R2QR1K1 b kq -,g3h2
8/6k1/2R5/r7/5PK1/8/8/8 b - -,g7f7
3rr1k1/pn1q2b1/B1p3pp/4pp2/1P3n2/B1N2Q2/P1PP1PPP/R3R1K1 w - -,b4b5
7k/p5bp/1p1n4/2pB4/P7/1P3P1P/8/6RK b - -,d6f5
1rr2bk1/1nn2ppp/1Bqp4/pR2p3/P1P1P3/2N2P2/Q5PP/3R1BK1 w - -,b5b2
r1b1r1k1/1pq2pbp/p4np1/P1pPp3/2P5/2NB2PP/1P1B1P2/R2Q1K1R b - -,c8d7
r4rk1/2pn2pp/bpn1qp2/p1b1p1B1/P3P2N/2P3PP/1PQ2PB1/3RRNK1 w - -,g5e3
4r2k/ppr3pp/5n2/5p2/3q4/3P1P2/P1PQ2PP/1R1K3R w - -,h1e1
3r2k1/p2qbp2/1p2p1p1/2p1P2p/P1Nr1P2/1P1P1QP1/7P/R2R1K2 b - -,d7c7
3r1rk1/pp3pbp/1qn1b1p1/2p1P1P1/5P2/2N1QP2/PPP4P/2KR1BNR w - -,f1d3
r1n1k2r/pp3pbp/2n1p1p1/1B1pPb2/1q3P2/1NN1B3/PPP3PP/R2Q1RK1 b kq -,b4e7
5k2/7R/6p1/1r3p2/8/2BK2P1/5b1P/8 b - -,b5d5
8/R7/3k4/7p/2PN1Pb1/pB1K2P1/1b4r1/8 w - -,d4b5
8/pr1kp2p/R1p3p1/3p4/1P1P1P2/P5P1/6KP/8 b - -,b7c7
r1bbk2r/pp4pp/2pP3q/4P3/4p2P/1P2P1P1/PBQNBn2/2KR3R w kq -,h1e1
6k1/Q4p1p/1p1p2p1/2p3P1/P1P2P2/1P1q1KP1/8/8 w - -,f3f2
2kr3r/3n1ppp/p3pn2/2b5/PpP5/1P6/1BBN1PPP/3R1RK1 b - -,c5b6
r3r3/2bb2k1/3p2pp/2pPppn1/PpN1P1P1/5PP1/1P4K1/R1BB3R w - f6,g4f5
r1bq1rk1/1p1n1ppp/p3pn2/2b5/2Q5/6PN/PP2PPBP/RNB2RK1 w - -,h3f4
r5k1/2R2ppp/p3p3/1pn5/3b4/3PN2P/5PP1/4BK2 b - -,c5d3
2rq1rk1/1b2n1b1/p3p1pp/1pp1Pp2/3p1P2/3P3N/PPP1B1PP/R1B1QR1K w - -,e2f3
2R5/8/pp1p3p/2pP4/P1P1k3/2P1r3/6P1/6K1 b - -,e3c3
3r1r1k/p3q1pp/Bb6/4np2/1P6/2P2Q2/P4P1P/R1B2RK1 w - -,f3e2
1r3rk1/4n2p/pn1q2p1/1ppPp1Q1/4P3/P2P2PP/6BK/B1R2R2 b - -,b6d7
2k4r/p4p1p/2p1pnp1/8/2B5/2N4P/PPb1rPP1/2R3K1 w - -,c4e2
2rq1r2/1b4kp/1p2pnp1/p1n1R3/3N4/P1N4P/1P1Q1PP1/RB4K1 b - -,f6d7
2q5/1p3kb1/4p1p1/p2p1pPP/b2p1P2/2rB4/2P1Q3/4RRK1 w - -,h5g6
R7/6b1/P6k/6pp/r3p3/4B2P/6P1/7K b - -,a4a1
6rk/6qp/3p4/8/1P3R2/3BQ2b/7P/6K1 w - -,g1f2
6kr/1b2q1p1/p2pp3/1pP1p3/8/4N1Q1/PP3PpP/3R2K1 b - -,d6c5
r3k2r/pp1bnppp/1q2p3/2bpP3/5P2/2NB4/PP2Q1PP/R1B2R1K b kq f3,e8g8
6Q1/3q3p/2p1k1p1/1p3p2/3Pp2P/4P1P1/5P2/6K1 b - -,e6d6
1k6/1pq1bp2/4pp1p/5r2/p1BQbP2/P5P1/1PP4P/2KR4 w - -,d4e4
rnb1kb1r/pppp1ppp/5n2/8/4q3/5N2/PPPPBPPP/RNBQK2R b KQkq -,d7d5
2r2rk1/n3bppp/q3pn2/pp1b4/1P1B4/P3PNP1/NQ3PBP/R2R2K1 b - -,a7c6
rnbqk2r/pppn1ppp/4p3/3pP1P1/3P4/2N5/PPP2PP1/R2QKBNR b KQkq -,d8g5:a7a6
r2r2k1/p3b1pp/4p3/2p1Pp2/2R5/4P3/P2B1PPP/5RK1 w - -,d2a5
r1bq1rk1/bpp1nppp/p2p1n2/P3p3/1PB1P3/2PP1N2/3N1PPP/R1BQ1RK1 w - -,f3h4
r4rk1/p4p2/2pp2pp/1p4q1/2nbP3/PQ5P/1PP2PP1/1N1R1RK1 w - -,d1d4
r1b2rk1/1p1n2bp/2pp2p1/q1nPppP1/p1P1P2P/P1N1B3/1P1NBP2/R2QK2R w KQ f6,f2f3
4r3/3b1pk1/1p3p1p/p4P2/1p1P3R/3B4/1P1K2PP/8 w - -,d4d5
8/8/1r4p1/2k1Kp1p/2P2R2/5PPP/8/8 b - -,b6a6
1q3rk1/3b2pn/4p2p/1p2Pp2/3NQ2P/bP6/R2NBPP1/6K1 w - f6,e4d3
r2q1rk1/1p1bb1pp/2p1p3/2PpBp2/3P4/PpQ2PP1/4P1BP/R2R2K1 w - -,c3b3
1rb2rk1/3n1ppp/p3p3/2qpP3/1p1Q1P2/3B4/PPP1N1PP/1KRR4 b - -,a6a5
r1q2rk1/pp1bppbp/2n2np1/2p3N1/2N2B2/2P1P2P/PPQ1BPP1/3R1RK1 b - -,h7h6
2q1r1k1/1pp3b1/1p2b1p1/4ppP1/3r4/P2P2Q1/1PP2PBN/R3R1K1 b - -,c7c6
r4rk1/pp2qppp/1np2n2/5p2/Pb1P4/1BN1PP2/1P1B2PP/R2Q1RK1 b - -,b6d5
8/4n3/pK2k3/P3P3/8/1N6/8/8 b - -,e6e5
r1b2rk1/pp2n1bp/3p1np1/3Ppp2/1qP1P3/2N2P2/P2BB1PP/R2Q1R1K w - -,c3a4
r1r3k1/pp1bpp1p/3p1npQ/q7/2nNP3/1BN4P/PPP2PP1/R3R1K1 w - -,c3d5
r1bqk2r/p2pbppp/1pn1pn2/2p5/3P1B2/2PBPN1P/PP3PP1/RN1QK2R b KQkq -,c8b7:e8g8
1rq1r1k1/4bp2/3p2pp/1ppN1b2/6Q1/1P1B4/1BP2PPP/3R2K1 w - -,d5e7
3r2k1/pp4p1/1b3p1p/3n4/3P4/2N2NPP/PP2KP2/3R4 w - -,a2a3
8/ppp4p/3rp1p1/8/5PkP/2PR2P1/P1P4r/4RK2 b - -,d6d3
r1bqr1k1/pppnbppp/3p1n2/8/3P4/3B1N2/PPP1NPPP/R1BQ1RK1 w - -,e2g3
r1bqk2r/ppp2p2/2n1p2p/3pP1p1/1b1Pn3/P1N3B1/1PP1NPPP/R2QKB1R b KQkq -,e4c3
3r1rk1/3q2b1/p3pp2/2P2p2/5B2/5Q2/P4PP1/2RR2K1 b - -,d7a7
8/4kP2/1K6/6p1/4pnP1/8/4B3/8 w - -,e2c4
5k2/5p2/p4npp/2p1rB2/3q2P1/3P2Q1/P4P1P/5RK1 w - -,f5c8
r1b1kb1r/1pq2pp1/p1nppn2/7p/3NP3/2N1BQ1P/PPP1BPP1/2KR3R b kq -,c6e5
3B4/8/1pk5/2p4p/2b2P2/8/1K6/8 b - -,c4e6
1r6/3bkp2/p2pp2p/2r1b3/2p1P3/P4N2/1PP1N2P/1K1R1R2 w - -,f3e5
r3r1k1/5ppp/bp3B1q/p2P4/Q5P1/P2p4/1P4BP/R2Rb2K b - -,e1g3
4k2r/1r6/6pp/p2R1p2/2P4P/2K2B2/5PP1/8 w k -,d5a5
1rb1qr2/1pR4p/p2R1ppk/3Bp3/8/P3Q1P1/4PP1P/6K1 b - -,g6g5
1kr5/p1p2Q2/1p3p2/6p1/5q1p/P2R3P/5PP1/6K1 b - -,f4c1
8/2k1pp1p/1p2b1p1/pPn5/2P5/P3RP2/4B1PP/4K3 w - -,e1d2
6k1/5p1p/pp4p1/1NqPn3/1p2P3/6K1/P3Q1PP/8 w - -,g3f4
1r2r1k1/4ppbp/3pbnp1/1p4B1/1q2P3/1PN5/2PQ1PPP/3RRBK1 w - -,d2d3
r3r1k1/2b1q2p/2p2pp1/1p1p4/1PnPnPPP/1R3QN1/4P1B1/2B2RK1 w - -,g3e4
rq2r1k1/ppp2p1p/3pb1p1/2P1n3/5N2/1PQ3P1/P3PPBP/3R1RK1 w - -,c5d6
r1b2rk1/p1qnppbp/2pp1np1/1p6/P2PP3/2NBBN1P/1PPQ1PP1/R4RK1 b - a3,b5b4
3R4/1p3p1k/3N3p/1P4p1/1r4P1/8/1b3P1P/6K1 w - -,h2h3
r1bq1rk1/1pp2pp1/1bnp1n1p/p7/P1BPP3/N4N1P/1P3PP1/R1BQR1K1 b - -,d6d5
8/6p1/6kp/4r3/1p6/pP1K3P/Pb2NRP1/8 w - -,d3c4
8/8/PR6/7p/6k1/6p1/r7/6K1 b - -,g4h3
4n1k1/pr2qp1n/3p2p1/Q1pP3p/2P1p3/2N1P2P/P3BPP1/1R4K1 w - -,b1b7
r7/1ppk1pb1/2n1p1pp/r2b4/p2P1B1P/P3PNP1/1PR2PB1/2R3K1 b - h3,a8a6
8/8/5k1p/8/8/8/3KBbb1/8 w - -,e2d3
1r4rk/4Q2p/3p3q/5p2/2bP1bP1/2N2P2/PP2R1B1/4R1K1 b - -,f5g4
5rk1/1r3pp1/2p4p/2P1p3/PpR1P3/3R1P2/3K1P1P/8 w - -,d2c2
r1bq1rk1/2p2pp1/pb1p1nnp/1p2p3/4P3/1BPP1N1P/PP3PP1/R1BQRNK1 w - -,c1e3:f1g3
r1br2k1/1p2ppbp/pNn3p1/2B1Pn2/5P2/6PP/PPP1N1B1/R3R1K1 b - -,a8b8
