8/5p2/4kB2/4P3/6KP/5r2/8/8 b - -,f3f1
r2r3k/p5p1/1p1b1q1p/8/3Pb3/3Q1N2/5PPP/2R2RK1 w - -,d3e4
r3k2r/pp3ppp/2n5/5q2/3p4/P7/1PPB1PPP/R2Q1RK1 b kq -,e8g8
5rk1/1r2p1bp/p3p1p1/1q1P2Pn/1p1B4/1B3n2/PPP2Q1P/1KNR3R w - -,d4g7
rr4k1/1b1n1pp1/4pn1p/1qP5/1p1PP3/p3RN2/2BQ1PPP/R1B3K1 w - -,e4e5
r1bqkb1r/1p1n1ppp/p1p1pn2/3p4/2PPP3/2NB1N2/PP3PPP/R1BQK2R b KQkq -,d5c4
r1r3k1/5ppp/5b2/pn6/1p1p1N2/6P1/PP1BPP1P/1R1R2K1 b - -,b5c3
5rk1/p3bppp/4p3/3n4/1P6/P5P1/2rBPPKP/R2N1R2 w - -,d2e3
r2r1bk1/5p2/2q1b1p1/1p1pPpPp/p2B1P1P/P1PQ2K1/1PNR4/R7 b - -,d8d7
r3qrk1/1bppb1pp/np2p3/p7/2PPn3/P2B1N2/1P3PPP/1RBQR1K1 w - -,d3e4
2rnr2k/1bq3bp/pp4pN/3p1pB1/3Pp1PQ/1PP4P/P3BP2/R3R1K1 b - g3,f5f4
1rb5/1pkp3R/pR6/P1P1K3/1P2B3/1r6/8/8 w - -,c5c6
1R2R3/6k1/1p1pb3/1P2p3/4rp2/8/2N2K1P/3r4 b - -,e6f7
r1bq1rk1/3nbppp/p3pn2/1pp3B1/3P4/1QN1PN2/PP2BPPP/R4RK1 w - -,f1d1
1r4k1/2pnRpp1/7p/8/p1P5/P1B3P1/1P3P2/6K1 b - -,b8d8
5rk1/2p2rp1/3p3p/1Q1P4/P7/2N1pqn1/1P6/1K1RR3 w - -,a4a5
R7/5pk1/6p1/2p1p2p/4P3/pb2KP1P/6P1/8 b - -,a3a2
2r2rk1/1p5p/p7/3P1P2/PqPQR3/5K2/7P/4R3 b - -,f8f5
8/r3nk2/1p1q1pp1/3p1b1p/1p1P1P1P/P4N2/1Q4P1/4RBK1 w - -,b2b4
r1b2n2/1p4k1/p1p1p2p/P3P1b1/8/4q1Q1/1P2NRPP/R6K w - -,a1f1
5r1r/p3kpp1/1np1p1qp/3nP3/1p1P4/5R2/PPPN1QPP/1NK2R2 b - -,f7f5
R7/P2r2k1/8/5P2/8/2K5/8/8 w - -,a8g8
rnbqkb1r/ppp3pp/3p1n2/5p2/2PPp3/2N4N/PP2PPPP/R1BQKB1R b KQkq -,c7c6
4q2k/p5pp/1p6/3P1p2/2P5/R4P2/P1KQr1PP/8 w - -,a3a7
4b3/4n3/1R2pk1p/1p6/2pPNP1r/2P1P3/1P4K1/8 b - -,f6g7
r4rk1/p2nbpp1/2p2n1p/2Pppb2/N2P4/B5P1/P2NPPBP/R4RK1 w - -,e2e3
8/8/p2N3R/2k1n3/2P3r1/5K2/6P1/8 w - -,f3f2
2k5/2p5/1p6/p1b5/P1P3Q1/6B1/3qrPP1/2R2K2 b - -,c8b8
r4rk1/1q3pp1/3pb2p/p3b3/PpP1P3/1P1QB3/3N2PP/3R1RK1 w - -,d2f3
5rk1/1R3pp1/1p1rp2p/p7/P7/1PR4P/5PP1/6K1 w - -,c3c7
kr6/1p3rb1/pPp5/2Pp4/PN1P3p/1R4pP/5QP1/1R4K1 b - -,g3f2
2rq1rk1/pp2bpp1/1n2p2p/4N3/b1pP4/2P1PQB1/P3BPPP/R4RK1 b - -,b6d5
8/1p1k1p2/4b1p1/2P1n2p/1P2p2P/4N1P1/r3BP2/1R2K3 b - -,d7c7
r2qkb1r/1p2pppp/p1n2n2/3p4/3P2b1/2N1PN2/PP2BPPP/R1BQK2R w KQkq -,e1g1
3r2k1/pp3p1p/4p1p1/2bnQ3/5rP1/3B1R1P/2P3K1/8 w - -,f3f4
r7/5p1k/Q5p1/3q2bp/7P/6P1/1B3P2/4R1K1 w - -,a6b6
r4rk1/1pp1qppp/p1n2n2/1N3bB1/1bBP4/P4N1P/1P3PP1/R2Q1RK1 w - -,g5f6
8/p1b3rk/7p/5P2/2P3PP/6n1/P1R2N1K/1r6 w - -,h2h3
6k1/p1r3pp/4pp2/1b6/2N2P2/1P4P1/P2RP2P/6K1 w - -,d2d4
1r2b1k1/1p2bp2/p2Rp1p1/2r5/2P3Pp/1P2N2P/P4PB1/3R2K1 w - -,d6d4
2br1r2/5pk1/p4Np1/1p1PP2p/2p4n/2K5/PP4B1/3RR3 w - -,g2e4
7r/2q1bk2/1p2ppp1/p1pp1p1r/P2P1P1P/2P1PNP1/1P2Q3/R4RK1 w - -,g1g2
rnbq1rk1/pp1p1ppp/4pn2/2p5/2PP4/P4N2/1PQBPPPP/R3KB1R b KQ -,c5d4
r1b1kbnr/pp3ppp/1qn1p3/3pP3/3P4/3B1N2/PP3PPP/RNBQK2R b KQkq -,f8b4:c8d7
r4rk1/2p2qpp/p7/1pNp4/5n2/2P4P/PPQ2PP1/R3R1K1 w - -,e1e3
r7/5k2/5p2/N4K1p/R7/8/8/8 w - -,a4a1
1r2r1k1/2pb2pp/2pbqp2/n7/3BPP2/P1N2BP1/7P/R2Q1RK1 w - -,c3a4
r2q1rk1/p3npbp/bpnpp1p1/2p5/3PPP2/2N1BNP1/PPP2RBP/R2Q2K1 b - -,c6a5
1brr2k1/1pq2ppp/2n2n2/pPPpp3/3P4/P3Bb1P/4BPP1/R2QRNK1 w - -,b5c6
2r1r3/1p3k2/pR4p1/4n2p/3Bp3/2P4P/PPN5/7K w - -,b6b7
6k1/3b1pp1/7p/1pqp1P2/6BP/1P1Q2P1/r1P2RK1/8 b - -,d5d4
1R6/7p/p2kP3/5P2/4K3/1p6/7P/r7 w - -,b8b6
8/1b1p2p1/3k1p2/rP2p3/4P2p/3rPB1P/6P1/1RR3K1 w - -,f3e2
2br2k1/1p2Rrpp/p1pP1q2/5p2/1P3P2/6P1/P2QP1BP/3R2K1 w - -,e7f7
4n3/1p1k1p2/1B1p4/2pb2P1/5R2/4PPK1/r7/7R w - -,e3e4
