8/6pk/p2r4/P1R5/7P/5KP1/8/8 b - -,d6d3
r3k2r/4nppp/p2p1n2/qP1Pp3/b1p1P3/P1P2N1P/3B1PP1/RBQ2RK1 b kq -,a5b5
2r4r/pb2ppkp/1n4p1/1p6/8/2PN1P2/PP2B1PP/2R1K2R w K -,e1f2
rnbq1rk1/pp2bppp/3ppn2/8/3NP3/1BN5/PPP2PPP/R1BQ1RK1 b - -,b8a6
rn1qr2k/pp3b1p/3p1p1B/2b5/2B1P3/3Q4/PPP2PPP/R4RK1 w - -,c4f7
1r4k1/2q2bbp/1n2p1p1/2p1B1P1/5P2/1P3N2/2B2Q1P/3R2K1 b - -,g7e5
1r1qk2r/p2bppbp/6p1/3Bp3/Q7/2P3P1/PP3P1P/R1B1K2R w KQk -,a4a7
2rq1r1k/1p1n2pp/8/pP1p1p2/P7/2b1B1P1/R5BP/3Q1R1K w - -,d1d5
r2q1rk1/pb3pbp/1pn1p1p1/1BPp3n/3P4/1P3N2/PB1N1PPP/2RQ1RK1 b - -,a8c8
r4r1k/1ppb1pbp/p2q2p1/P2p4/1P1P1n2/2PBNP2/R5PP/3QRN1K b - -,f4d3
1r2r1k1/q1nnbppp/2p1p3/3pP3/P2P1B1P/5NPB/2Q2P2/RR4K1 b - -,c6c5
4b3/p4p2/1p1k2pp/2bP4/2KN4/P1B4P/1P3PP1/8 b - -,a7a6
rnb1k2r/pp3p2/4p2p/q1PpP1p1/4n3/P1N3B1/1PP2PPP/R2QKB1R b KQkq -,e4c3
2bk1r2/Q5R1/1p1q2p1/p2pR2p/P4P1P/2P5/3r2PK/8 b - -,d2d1
5k2/pp1b4/5p2/1P1p1Pr1/1P1P4/3BR2P/P6K/5R2 w - -,f1c1
2rr2k1/1p1n2b1/p1pnb1pp/4pp2/7P/2NPN1PB/PP1BPP2/R1R3K1 b - -,g8f7
r1q2rk1/1p2ppbp/nn4p1/pN6/2b2B2/P1N1P3/1PQ1BPPP/3R1RK1 b - -,c8c5
2rk2r1/4p3/1B1pn1P1/p7/1pR5/1P6/P1P5/1K4R1 b - -,d8d7
r6k/rp2q2p/2bp2pb/3Bp3/P1PpN3/P2P2PP/5P1K/1R1Q1R2 w - -,b1b6
rn1q1rk1/pp3ppp/2pbpn2/3p1b2/3P4/1P2PN2/PBPNBPPP/R2QK2R w KQ -,f3h4
r1bqr1k1/1p3pbp/2pp1np1/p7/2P5/BPN1PpPP/P3QPB1/2R2RK1 w - -,e2f3
1r3rk1/4bppp/pqnpp3/8/1p2PP2/1NP2B2/PP1Q2PP/2R2R1K b - -,a6a5
