8/8/5K2/8/R7/3k1n2/8/8 w - -,f6e6
2kr3r/1ppq2p1/p1nppb1p/8/5PP1/2PBB3/PPPQ3P/1K1R3R b - g3,c8b8
r5k1/q4p1p/4pnp1/pB1p4/Pr1P2P1/1P2QP2/2R4P/4R1K1 w - -,e1d1
8/5ppk/p6p/1p4q1/1P2Q1P1/5P2/1P1r2P1/2R3K1 b - -,g7g6
3rrbk1/5pp1/p5qp/2N2b2/3B1P2/1P2P1Q1/P5PK/2R2R2 b - -,g6h5
r6k/ppp3pp/3pb1q1/PP2p3/2P1P2n/3P2BP/6B1/R2Q1rKR w - -,d1f1
3r2k1/p2qn1pp/1p2pb2/8/3P1p2/1P4P1/PB2QP1P/2R1R1K1 b - -,g8f7
r1b1k2r/pp1nbppp/1qn1p3/3pP3/2pP1P1P/P1P2NP1/1P6/R1BQKBNR b KQkq -,f7f6
4r1k1/5pp1/1q3n1p/1p2nP2/3b1N2/1B2pPB1/1P2Q2P/3R3K b - -,e5c4
r5k1/1p3pp1/1Bn1b2p/p7/2P5/1P3BP1/P4RKP/3r4 w - -,f3d1
8/p1k2ppp/2p1p3/2b1P3/3r1P2/P1P1N1P1/1r5P/R4K2 w - -,c3d4
5nk1/1p4b1/6p1/p6p/P3P3/1P2B3/2r2NB1/q2Q2K1 w - -,d1a1
r2q1k1r/1p3p2/2bp1b2/p1n2p2/4N3/6Pp/PP2Q2P/RBB1R1K1 b - -,c5e4
r1bq1rk1/pp3pbp/2npn1p1/8/B2P4/4BN1P/PP3PP1/RN1Q1RK1 b - -,c6e7
r3k2r/pp2pp2/2bp3p/2n3p1/1qP1P3/2P3P1/P2NBPP1/R3K2R w KQkq -,c3b4
r2q1rk1/pb2bppp/1p2pn2/n7/2PPN3/P2B1N2/1B2QPPP/R4RK1 w - -,e4g3
nr1qr1k1/n2bppbp/pp4p1/3N4/4P3/1P2B1PP/P2QNPBK/2RR4 w - -,d5b4
2kr4/2pq2pp/pp3p2/n1p1P3/2Pr4/4R3/2QN1PPP/5RK1 b - -,d4d2
2r4r/1p3pk1/p3b1p1/2q1p2p/P3Pb2/3BNRPP/1PP2Q2/5R1K b - -,f4e3
2k5/5Q2/2pp4/4r2P/8/8/P2qBKP1/8 w - -,f7g8
5rk1/1pRR1p1p/5K2/5P2/p6r/P7/7P/8 w - -,d7d1
r2qk2r/pbpn1pbp/1p1p2p1/4p1Pn/3PP3/2N1BN2/PPPQ1P1P/2KR1B1R w kq -,d4e5
r1bqk2r/pppnbppp/4pn2/8/Q1pP4/5NP1/PP2PPBP/RNB1K2R w KQkq -,a4c4
8/3k4/2p2p2/p1P5/Pp3PP1/7P/4K3/8 w - -,h3h4
5r2/p5kp/3q1pp1/1p1Pp3/3nPP2/1B6/P4QPP/2R4K b - -,a7a5
8/pp2k1pp/5pb1/8/3r3P/1BR2P2/PP2K1P1/8 b - -,e7d7
r2qk2r/3pnppp/2b1p3/p7/Pp2P3/3BN3/1PP1QPPP/R4RK1 w kq -,f2f4
2bq1rk1/3rbppp/p7/np2p1P1/1Pn1NP1P/PN4R1/2P1B3/R1BQK3 w Q -,g3d3
8/2p5/2k1pp2/pp5R/2P5/3K1PP1/2P5/r7 b - -,b5c4
r1b1k2r/pp1pbppp/2n1pn2/q1p5/4P3/N1PB1N2/PP1P1PPP/R1BQ1RK1 w kq -,f1e1
r3k2r/1p1bppb1/pq1p2pp/8/3NPP2/2N1Q3/PPP3PP/R2R2K1 b kq -,e8g8
R7/8/5p2/4pkp1/3r4/5PK1/6P1/8 b - -,g5g4
8/2r2kbp/1N1p2p1/Bp6/8/1P2p1P1/1P5P/3R2K1 w - -,b6d5
2r2qk1/1bp1b3/p4r1p/1p1p1ppB/1PnP4/1Q1NP1B1/P4PPP/R2R2K1 b - -,e7d6
1rb1k1r1/p1qp1nbp/2p1p1p1/4Pp2/2B2B1P/1PN3Q1/P1P2PP1/3RR1K1 b - h3,g7f8
8/5p2/r3P3/3k1PPp/5K1P/8/8/8 b - -,a6a4
1R6/8/4k3/2pb4/3p1P2/3K4/8/8 w - -,b8h8
5rkq/3n1p1p/1pbpp1p1/4b3/1PP1P3/r3BP2/3QN1PP/1R1R1BK1 b - -,f8a8
1r3rk1/p1n2pbp/2B1bpp1/8/8/2P1B3/2PRNPPP/R1K5 b - -,e6c4
2r5/1pr1k3/p1b1p3/Pp1pNp1p/3P1P1P/2R3P1/1P2RK2/8 b - -,c6e8
r2q1rk1/1ppb1pbp/p1np1np1/4p3/B2PP3/2P2N1P/PP3PP1/RNBQR1K1 w - -,b1d2
