8/2B5/8/8/4n1p1/5b2/4k3/6K1 w - -,g1h2
3r1rk1/ppq1bpp1/2n1bn1p/3pp3/8/PP3NP1/1BP1PPBP/RN1QR1K1 w - -,d1c1
r1b4r/1pq2pkp/6pb/1BnPp3/P1NpP3/BR5P/5PP1/1Q3RK1 w - -,d5d6
2r2bk1/1p2pp2/qB1p3p/pN4p1/2P1P3/N4PP1/7P/R3Q2K b - -,a6b6
1r2r1k1/p2qbppn/3p3p/2pPp3/2N1P3/1P2B1P1/P3QP1P/3RR1K1 w - -,c4a5
r1bqkb1r/2p2p1p/p1np1np1/1p2p3/B3P3/2PP1N2/PP3PPP/RNBQ1RK1 w kq b6,a4b3
1k1n2r1/pp1q1r2/7p/P1pNbPp1/2PnP3/2NPB3/1R4QP/1R5K w - -,a5a6
6k1/q3b2p/2p1npp1/2p1p3/2P1P3/pPPr3P/P3N1P1/2BQ2K1 w - -,d1d3
8/K5p1/5p2/P4P2/7p/7k/8/8 b - -,h3g4
8/6k1/B7/5p1b/1p3r2/8/PP1R2KP/8 w - f6,d2f2
5r2/7R/8/4k3/2P2p1P/2K5/8/8 w - -,h7e7
8/3B4/5k2/pprp3P/7K/P1P1p3/2R5/8 w - -,c2g2
r1r2qk1/1b3pbp/ppp1pBp1/3pn3/N1PP4/4P2P/PPQ1BPP1/2RR2K1 b - -,g7f6
r1r3k1/pp3ppp/4p3/P7/3B4/6P1/4P2P/RN3K2 b - -,c8c1
3k4/2p3p1/1p2bp2/p1p1n1P1/P1P1P3/1P2BPK1/1N6/8 b - -,e5g6
r3rnk1/1pqb1ppp/p2p1b2/2pPpN2/4P3/1BN4P/PPPQ1PP1/R3R1K1 w - -,b3c4
1r6/5p1k/2pNr3/p1p1P1p1/P1P3P1/1P1R3P/5KB1/8 b - -,h7g6
8/4rp1p/p2k1p2/1ppP4/5PP1/P1P2K2/7P/3R4 w - -,h2h3
r1b2rk1/1pq1bppp/p1p1pn2/4P3/8/2N3P1/PPP2PBP/R1BQR1K1 b - -,f6d5:f8d8
r1b2rk1/1pq1npbp/p1npp1p1/2p5/P1N1P3/2PP1NP1/1P2QPBP/R1B2RK1 b - -,b7b6
4k3/5p2/p3p3/1p2Pp2/3P1P2/4BQ2/1P4K1/3qb3 b - -,d1f3
3rk2r/1p4pp/p1nPbp2/4p3/8/2P1nN1P/PP2BPP1/3RK2R w k -,f2e3
r4rk1/pb1n3p/1pnqpp2/1N1p4/3p1P2/3Q1NP1/PPP4P/2K1RB1R b - -,d6c5
r2q1r2/1pbb2k1/p2p1p1p/P1pNpPpP/4P3/2PP1NP1/1P2K1Q1/R6R w - -,b2b4
4n3/1Q1b2kp/3p1np1/2bPpP2/2P5/5P2/r5PP/1R3B1K b - -,g6f5
7k/p5bp/1p1N2p1/8/4p3/6PP/P1r1PPK1/5R2 w - -,d6e4
r4r2/ppp1ppk1/1nn3p1/5qNp/7P/2NP2P1/PP1QPPK1/2R2R2 w - -,c3e4
2kr1b1r/pp3ppp/2n5/2P2b2/1PN2B2/2P2p2/P1K2P2/R4B1R w - -,c2b2
3rrnk1/2q2p1p/1pp3p1/p3p3/P1b1P1P1/2P1N1P1/1P2QP2/R3R1K1 w - -,e3c4
2kr2r1/q1p5/p1n1p3/1p2p2P/2NPP1n1/1QP1PN2/P3K3/1R5R b - -,b5c4
8/6p1/5k1p/4R1PP/2b2K2/8/8/8 b - -,h6g5
rnb2rk1/2p3pp/1p1p4/3Pp1q1/PNP2pP1/R6P/2Q1PPB1/R5K1 b - -,a8a5
