4b3/8/1K2Bk2/5P2/2P5/3r4/8/2R5 b - -,d3b3
2r1k2r/pp1bbp1p/1qn1pp2/3p4/3P4/2N1PN2/PPQ1BPPP/R4RK1 w k -,a1c1
r1b3rk/1p3pq1/2pp3p/p1n1b1p1/2PNP3/1P2R1PP/P2RNPBK/3Q4 b - -,h6h5
r1b2rk1/pp3ppp/2n1pq2/8/2BP4/5N2/PP1Q1PPP/R4RK1 b - -,f8d8
2r3k1/pQ3ppp/4p3/2Bp4/2nPq3/4P1P1/P4P1P/5RK1 b - -,c8d8
r3k2r/pp3pp1/4p1p1/3pP3/2nn2Pb/5PN1/PP4KP/R1B2B1R w kq -,f3f4
rnbqk2r/pppp1ppp/8/4N3/1bP5/8/PB1PPPPP/R2QKB1R b KQkq -,e8g8
5r2/pp5k/2p4p/3nP1p1/1b1P4/1P3NP1/PB4K1/2R5 w - -,a2a3
8/3npk1p/1n1p1b2/3P4/1P3P2/r3NPN1/3BK2P/2R5 b - -,f6d4
r1b2rk1/3nq1pp/1ppbp3/p2p1p2/2PPn3/1P1N1NP1/PB2PPBP/R2Q1RK1 w - -,f3e5
rr4k1/1R2pp1p/n2p1np1/2pP4/P3P3/5NP1/1R1B1PKP/8 w - -,d2g5
2k4r/p1q2p1p/2pr1p2/1p3R2/2nP4/2P3P1/PP2Q1BP/R5K1 w - b6,f5c5
8/p3r1k1/P4p2/4b3/6P1/1Q3K2/8/8 b - -,e7c7
8/7N/6p1/1k3p2/1Pnpp3/6P1/2K2P1P/8 w - -,h7f6
7r/5p2/r1p1p1k1/NpP2nP1/1P1PR1KP/P7/8/3R4 w - -,d1h1
r1br2k1/1pq1bpp1/p1nppn1p/7P/4P3/1NN1BP2/PPP2QP1/2KR1B1R b - -,d6d5
5k2/7p/1R2P3/2p3p1/2Pr4/6PP/8/6K1 w - -,b6b7
3r2k1/2R5/br5p/2N3p1/p2pPp2/1P3P1P/P5P1/3RK3 b - -,a4b3
3r4/7p/4k3/1PR5/5p2/4p3/4K1PP/8 w - -,c5c2
r2qr1k1/4b1p1/2ppnpbp/p1p1p3/2P1P1P1/1PNP1NQP/P4P2/2BRR1K1 w - -,f3h4
5rk1/pp1r1pb1/4q2p/3pP1p1/2pP4/2P2Q2/P1PB1RPP/R5K1 b - -,f7f5
r4r1k/6bp/p1nq1np1/1ppp4/8/1PNBP2P/PB3PP1/1R1Q1RK1 w - b6,a2a4
8/2k5/7r/2K1p3/8/8/4R3/8 b - -,h6h5
8/8/p1pN4/2P1pkpp/1P3p2/P2b1PP1/5K1P/8 b - -,f5e6
r1b1k2r/2qpbppp/p1n1p3/1p6/4PP2/2NBB3/PPP3PP/R2Q1RK1 b kq -,c8b7
4k3/2R2p2/4p3/5p2/r4P1P/P2N2P1/2Pb3K/8 b - -,a4a3
r1bq1rk1/pp1n1pp1/3b3p/3P4/3p4/3B1N2/PPQ2PPP/R1B2RK1 w - -,h2h3:f3d4
1k1r4/ppqr3p/1np1pp2/5p2/2PP4/1PQ3P1/P2R1PBP/1K1R4 b - -,b6c8
r2qk2r/p2bppbp/2pp2p1/8/3BP3/1PN2P2/P1PQ2PP/R3K2R b KQkq -,f7f6
r1b2rk1/ppp1q1bp/2np2p1/4pp2/PP1Pn3/N1P1PN1P/4BPPB/R2Q1RK1 w - -,f3d2
r1bqrnk1/1p3pp1/2p4p/p7/PP1P2n1/2NBPNP1/2Q2PP1/1R3RK1 w - -,b4b5
4kb1r/3bpp1p/p2p1n2/6p1/4P3/NNr4P/P4PP1/R1B1R1K1 w k -,c1g5
8/6Rp/8/3kp3/7r/2PK4/8/8 b - -,h4h3
r3kb1r/pp2ppp1/1np4p/3n3b/3q4/4NPPN/PPQPP1BP/R1B2R1K b kq -,h5g6
r3qrk1/pbp1bppp/1p2pn2/8/2PP4/3B1N2/PP2QPPP/R1BR2K1 w - -,b2b3
8/2Q3bk/p1Pp4/3Pq1Pp/1P3p1P/8/2b1NKP1/3R4 w - -,d1e1
8/1kn5/1p3Rp1/1Pp1PpP1/2Pp1P2/3N4/4K2r/8 w - -,e2e1
2rqk2r/1p3pp1/p1npbb1p/4p3/1n2P2P/1NN1BQ2/PPP1BPP1/1K1R3R b k -,b7b5
8/8/3k4/8/3PK3/4P3/6R1/3r2b1 b - -,d1e1
r7/3P2k1/2Q2bp1/4p3/4P3/8/8/1r3BK1 b - -,a8a1
4r3/1b1q1kpp/1P3p2/7Q/3B1P2/2P5/6pP/4R1K1 b - -,g7g6
1r3rk1/p5pp/2pq2n1/2p1p1b1/2P1N3/3P2Pb/PP2QP1P/R1B1R1K1 b - -,g5c1
r5k1/pppb1ppp/3p1q2/3P1n2/4Q3/3B1N2/PPP2PPP/2R3K1 w - -,c1e1
1r4k1/5qpp/2p5/2B1b3/1P6/7P/3Q1PP1/3R2K1 b - -,b8a8
1r3qk1/5pb1/3Qp3/8/B7/1P6/2P5/2KR4 w - -,d6f8
1kr1r3/pq3pbp/1p1p1np1/2nP4/PQ1N1P2/6P1/1B4BP/R2R2K1 b - -,e8e3
r2qkb1r/1bp2ppp/p3p3/2npP3/3N2Q1/8/PPPN1PPP/R1B2RK1 b kq -,h7h5
r2qkb1r/ppp2ppp/2np1n2/4p3/3PP1b1/2N2N2/PPP1BPPP/R1BQK2R w KQkq e6,d4e5
3r3k/pp3pp1/1qbb3p/5P2/3N2nP/3B4/PPP1Q1P1/1K1RR3 b - -,b6d4
4R3/1PK5/8/5pk1/8/8/r3p2P/8 b - -,a2c2
