n1B5/6p1/3k3p/4p3/8/1P4P1/5PKP/8 b - -,a8b6
4B3/p5k1/3p2p1/5p2/1r1P4/1N2R1P1/r6P/7K w - -,e8d7
rn1q1rk1/pp2npbp/2pp2p1/3P2B1/8/2N2PP1/PP3PBP/R2Q1RK1 b - -,h7h6
5rk1/3bp2p/nq1pN1p1/2pPb3/2P1Q2P/RP2N1P1/4PP2/4B1K1 b - -,d7e6
r4bk1/p1P2p1b/4q2p/3N2nP/2pQP3/8/PP1N4/2KR3R w - -,h1f1
r1b1k2r/pp1n2bp/1qpp1np1/4ppB1/2PP4/2NBPP2/PP2N1PP/R2Q1RK1 w kq -,a1b1
r4rk1/1b3p1p/2BR2p1/p1n1p1P1/1p2P2P/5PN1/PPP5/1K5R b - -,a8a6
1qb3k1/4r2p/p4Qp1/5p2/P7/6N1/6PP/6K1 w - -,f6e7
r1q3k1/2b1n1pp/p1n1b3/1pp1p1B1/P2pP2N/1P1P2P1/2PNQ1BP/5RK1 b - -,b5a4
7k/1p6/7p/p1P4P/1q6/1P2p3/1KR1B3/8 w - -,c2c4
3q4/1p2r1k1/pNp2p2/P6p/1P1Pp2r/1QR1Pn2/4KP2/3R4 b - -,h4g4
8/2k1r3/p2p3p/3P1R2/1K6/2b1r3/2PN2PP/3R4 w - -,b4c4
r1b4k/1p5p/1P2p1nr/PRN1Pp2/6pq/2BQ4/5PPP/5RK1 w - -,d3g3
2r2k2/8/1B2p2R/P2pn3/6R1/6P1/2r2PKP/8 w - -,g4f4
8/6p1/p2kB2p/1r1P4/5PP1/1P2K2P/P7/8 w - -,h3h4
5rk1/R2r1pbp/5np1/8/8/4BB2/PP3PPP/R5K1 b - -,d7a7
rn1q1rk1/pp3pbp/3p1np1/2pPpb2/2P5/2N1PN1P/PP2BPP1/R1BQ1RK1 w - e6,d5e6
1R6/8/6p1/5k2/8/r7/6K1/8 b - -,a3a5:f5g4
2kr1r2/pp2bpp1/2p1pn1p/5q1P/3P4/1Q3N2/PPPB1PP1/1K1R3R w - -,d1e1
3kr3/2p5/6p1/1p1pr2p/p2R3P/P4P2/1PPNb1P1/4K2R w - b6,d2e4
r1bqkb1r/pp2pppp/2n2n2/3p4/3P4/2N1PN2/PP3PPP/R1BQKB1R b KQkq -,g7g6:c8g4:a7a6:c8f5
