1k2b3/8/8/5N2/4KPP1/4N3/1r6/8 b - f3,b8c7
5rnk/p1qbnrbp/3p4/2pPpp1N/PpP2PP1/1P1BB2P/R2Q2KN/6R1 b - -,e5f4
1k6/1p1r2p1/1R3p2/4n3/7Q/7P/PR2BPPK/2r1q3 w - -,h4h8:h4b4
rnbq1rk1/ppp2pp1/4pb1p/3p4/2PP4/2NBPN2/PP3PPP/R2QK2R b KQ -,c7c6:b7b6
r4rk1/1b1nppbp/1p1p2p1/1PqN4/2P1PP2/6P1/P2Q3P/1RB1RBK1 w - -,d2e3
r1bq1rk1/ppp1b1pp/2np1n2/4p3/2P5/3PBN2/PP2BPPP/RN1Q1RK1 w - -,a2a3
8/6pp/pk6/2pp1p2/PP3P2/2PK2P1/7P/8 w - -,d3d2
5R2/8/8/6r1/4k3/3n3K/8/8 b - -,d3f4
8/Np6/4p3/5kb1/6p1/1P6/P2r4/1K2R3 b - -,g4g3
r2qkb1r/1b1n1p2/p4npp/3Pp3/1p4PP/1N2BP2/PPPQN3/2KR1B1R b kq -,f6d5
3r4/1b5p/3P1k2/p1p3p1/PpP1p3/1P2K1P1/3R4/1B6 b - -,f6e5
8/8/4p3/4Pk1p/7P/4K3/8/8 w - -,e3f3
1nr1rq2/1b1k4/1p1bRp2/pP3P1p/P1QP2pP/2P3P1/2B2B2/1K1R4 w - -,c4b3
rq2k2r/pp3ppp/2n2b2/1N6/5p2/2P5/PP2BPPP/R2QK2R w KQkq -,b5d6
1r3rk1/pp2qppp/P3p1bn/2p1P3/1bB1PB2/1QN2P2/1P4PP/R4RK1 w - -,c3b5
8/1p1r3p/p2pk1p1/5p2/PnP2P2/1P4B1/3R2PP/4r1K1 w - -,g3e1
r2qk2r/2pbnpb1/np1p2pp/3Pp3/2P1P2P/Q1N1BN2/PP2BPP1/R3K2R b KQkq -,f7f5
r1b1k2r/1pp1bpp1/2n1q2p/p3p3/1PNp4/P2P1NP1/4PPBP/2RQ1RK1 b kq b3,a5b4
r1bqk2r/ppp2p2/1bnp3p/3Bp1p1/4P3/3PBN2/PPPQ1PPP/R4RK1 w kq g6,c2c3
rn1qkb1r/pb1p1ppp/1p6/2pn4/8/1Q3NP1/PP2PPBP/RNB1K2R b KQkq -,d5c7
3q4/p1r5/3b1nkp/6p1/3Pp1b1/1Q2B3/PPP2PPP/R4RK1 w - -,c2c4
r1bq1rk1/ppp1bpp1/1n2pn1p/8/3P3B/2NBPN2/PPQ2PPP/R3K2R b KQ -,b6d5
8/8/5rk1/4N1p1/3p4/1r1P1nP1/4RPK1/3R4 b - -,f3e5
6k1/3P3p/1B4p1/1r6/P3p3/7P/2R4K/3r4 w - -,a4b5
6r1/1p2k3/p1np4/6pP/4P3/2P5/P1P1B3/2K3R1 w - -,e2c4
2rqr1k1/pp1b1pbp/1n2p1p1/n2P4/3NN3/1P4P1/PB3PBP/R2Q1RK1 b - -,e6e5
5R2/3r4/8/8/8/4K3/5p2/4k3 w - -,f8f2
b5k1/1q3p2/1p2pBp1/p3b2p/7Q/1P2PP1P/P2rN1P1/2R3K1 b - -,d2e2
8/2k5/p1np1np1/2p2p2/2P2P2/1PNK1B1P/1P1B4/6b1 b - -,g1f2
r7/4ppk1/1p1p1bp1/3PN3/2P2R2/7P/5nP1/1R5K w - -,f4f2
rr6/1N1k1ppp/2n1pn2/1B1p4/1B2P3/P4P2/1PP3P1/2KR3R w - -,b7c5
r1r3k1/2p2p1p/pp4p1/3PP3/4R2B/b4P2/7P/3R2K1 w - -,d5d6
5k1r/pp1qppb1/3p2p1/2rPn1P1/P2N4/1P3P2/2P2BQ1/4RRK1 w - -,c2c4
8/8/8/8/3K4/4nk2/5b2/8 b - -,f2g3
r1bqk2r/p3npbp/1pn1p1p1/2ppP3/8/2PP1NP1/PP2QPBP/RNB2RK1 b kq -,c8a6:d8c7
6R1/2kp1r2/pp2rp2/2pR1Np1/2P1n1P1/1P2P3/P4PK1/8 b - -,e4c3
1r3rk1/p4pp1/2p2q1p/2P5/2bN4/Q3P3/Pp3PPP/1R2R1K1 b - -,f8e8
rnbqkb1r/pp3p1p/3p1np1/4p3/3NP3/2N1B3/PPP2PPP/R2QKB1R w KQkq e6,d4b3
r1b2rk1/ppp2pb1/2np1qpp/3Np3/2P5/3P1NP1/PP2PPBP/R2Q1RK1 b - -,f6d8
r3r2k/4q2p/1P1p1np1/2p5/1nP2PQ1/2N5/6BP/1RB2RK1 w - -,g4h4
r1bqkb1r/pp1ppp1p/2n2np1/2p5/2P5/1PN1P3/PB1P1PPP/R2QKBNR b KQkq -,f8g7
1k1r1b1r/ppq2p1p/2p1n3/4nN2/P4p2/2N3P1/1PQ1PPBP/R1R3K1 w - -,c2e4
4kr2/2p5/1p1p4/pP1Pp2p/P1P2q2/8/6R1/3Q2K1 b - -,f4d4
r3rnk1/ppq2pbp/1nppN1p1/8/1PP1PP2/2NQB1PP/P5B1/R3R1K1 b - -,f8e6
1rb2rk1/1pq1bppp/p1nppn2/8/4PPP1/1NN1B3/PPP3BP/R2Q1RK1 b - -,f8e8
4n1k1/5pp1/1p4r1/p2p3p/3P1q2/PP3P1P/5BP1/R4Q1K w - -,a1e1
r1b2qk1/5p1p/p5p1/1ppPp3/3bP3/8/P3BPPP/1R1Q1R1K w - e6,d5e6
2R3R1/3k4/1p2p2n/3pP2K/5P2/r5PP/Pr4B1/8 b - -,h6g8
2bq1rk1/r1pnnppp/p3p3/8/Pp1P4/3Q1NP1/1P2PPBP/RN3RK1 w - -,f1c1
8/7p/p2k2p1/P2P1p2/2nB4/1R4PP/2r2PK1/8 w - -,b3b7
r1b2rk1/pp2bppp/n3pn2/2Pq4/8/3B1N2/PPPN1PPP/R1BQ1RK1 w - -,d3a6
r4rk1/pppnppbp/5np1/1P1q4/3P4/PQ1NPN2/5PPP/1RB2RK1 b - -,d7b6
rnbqkbnr/1p2pp1p/p5p1/2pp4/4P3/2P2NP1/PP1P1P1P/RNBQKB1R w KQkq d6,f1g2
2n5/3b4/3p1k1p/3Pp1bP/2N1P1p1/1PQ3P1/2N1B1K1/1q6 w - -,c4a3
r7/r1k4p/p1bpQP2/1pq1p2B/4P3/2N5/PPP3PP/R6K w - -,f6f7
r1bq1rk1/pp2bppp/2n1pn2/3p4/3P1B2/2PB1N1P/PP3PP1/RN1Q1RK1 b - -,h7h6
6k1/6pp/8/1p1N4/1P6/5PP1/3b3P/6K1 b - -,g8f7
6k1/1p2pp1p/1P1n2p1/p7/3B4/1b3B1P/1P3PP1/6K1 b - -,b3c4
6k1/1qp1bpp1/1p2p3/1PnrP3/r4P1P/8/2QNPB1P/1RR3K1 w - -,d2c4
2r1r1k1/pq2ppb1/1pnpb1p1/3Nn1Bp/1PP1P3/1N3P2/P2Q2PP/1RR2B1K b - -,c8d8
3brrk1/1p1q2pb/1np1p2p/1n1pp3/1P1P1P1P/1NP3P1/1B1NQ1B1/R4R1K w - -,b3c5
r4rk1/p1pqRpp1/1pNp1n1p/8/2Q5/2P4P/PPb2PP1/2BR2K1 b - -,d6d5
3rr3/pp4k1/2p2pp1/2Q1n2p/N3P2P/1P4P1/3q1P2/2R2BK1 b - -,b7b6
1RQ2b2/5kp1/3p2np/3Np3/8/7P/5PPK/2r5 b - -,c1c8
6k1/1p6/2b4p/4B1p1/4P3/1r4PN/3r2BP/R5K1 w - -,h3f2
8/8/8/5k1p/4p3/5q2/2Q4K/8 b - -,f5f4
3r1rk1/pp1np2p/5Pp1/3q4/2pN1P2/2P5/P1P3PP/R3QR1K b - -,f8f6
1k1rq2r/1p2b3/pN1p1n2/P2Ppp1p/1R5P/8/2PBQPP1/4K2R b K -,e8g8
r5k1/1N2nq2/p1pb1p2/4pQp1/4P3/6B1/PP3PP1/3R2K1 w - -,f5d7
rn2k3/pb2q2r/1p1p2pp/3P4/2PQp3/B4N2/P4PPP/R3R1K1 b q -,e7d8
7k/1p6/p6R/2P5/1P1P1n2/P7/7P/2r2BK1 b - -,h8g7
5nk1/1p4p1/2p1q3/5p2/4N1Q1/4PP1P/5P2/5K2 w - f6,e4g5
r1b2rk1/ppq2pbp/2n1pnp1/2p5/4pP1N/2PP2PP/PP4B1/RNBQ1RK1 w - -,d3e4
8/8/p7/P2k2pp/7P/1P3KP1/8/8 b - -,g5h4
1r3bk1/5q1p/6p1/p2p4/2p1p1P1/P1P1Qp1P/1P6/1B3R1K b - -,b8b2
r2qr1k1/pp1n1pbp/6p1/2p2P2/3p1BP1/2PP2NP/PP1Q2b1/R4RK1 w - -,g1g2
1k1r3r/p3bpp1/2p1p3/2P1Pn1p/1p1P1P1P/5N2/P2N1PK1/2R1R3 w - -,c1c4
r2q1rk1/1bpn1p1p/1p1p2pb/p2Pp2n/2P1P3/PPN2NP1/2Q1BP1P/R1B1R1K1 b - -,h6c1
8/8/8/3k2N1/3p3p/P2P3P/2b2KP1/8 w - -,f2e2
r1q5/6k1/3pPpp1/P1p5/2P3Q1/7P/6PK/R7 w - -,g4e4
