8/1p6/p6k/7p/5K1P/1P1r2P1/P3R3/8 b - -,d3d4
8/4r1p1/pPbk4/P4PK1/2R5/7P/8/8 b - -,e7e5
1r6/p4pkp/6p1/2n5/8/1PPB3P/P5P1/3R2K1 b - -,b8d8
8/5q1k/7p/5Pp1/8/1pQ4P/1P3P2/6K1 w - -,c3e5
rnbqkb1r/pp1p1ppp/4pn2/2p3B1/3P4/2P2N2/PP2PPPP/RN1QKB1R b KQkq -,c5d4:b7b6:f8e7:d8b6:b8c6:h7h6
2bq1rk1/1pp1n1bp/3p1np1/r2PppN1/2P1P3/2N1BP2/P3B1PP/R2QR1K1 b - -,f6e8
8/8/3K4/8/4kn2/2B5/b7/8 w - -,c3e5
r4rk1/ppnn2pp/3pqp2/1Pp1p3/P2PP3/2P1BN2/3R1PPP/3QR1K1 b - -,d7b6
4q3/r4ppk/2p1n2p/p1p1PR1P/2Pp4/1P1P4/P7/4Q1RK b - -,e8d8
rn1qr1k1/pb3ppp/1p1b1n2/2ppN1B1/3P4/5NP1/PP2PPBP/R2Q1RK1 w - c6,a1c1
2kr3r/pp3p2/2p2n2/2b1qN1p/P2N2n1/4P1P1/1PQ2PB1/R2R2K1 b - -,c5d4
r4r2/1q3pkp/p2p2p1/2pPn3/1P2P3/2Q5/4BPPP/RR4K1 b - -,b7b6
r2q1rk1/1bpnppbp/pp1p1np1/8/P1BP4/2P1PN1P/1P1N1PPB/R2QK2R b KQ -,c7c5
rbq1r2k/p4npp/Qn2p3/1NBp1p2/3P4/4PNP1/P4P1P/1R3RK1 w - -,a6c8
1k1r3r/1bq2p2/p5p1/3nN3/1p6/1P3P2/1PP4P/1K1RRNQ1 b - -,d8c8
8/5p1p/7k/8/Np6/PP1nr3/3K2RP/8 b - -,e3h3
2r3k1/5p1p/5p2/2q5/6R1/pQ2P2P/4NPP1/2n3K1 b - -,g8f8
3b4/6p1/8/1P2pk1p/4Np2/2P2P1P/1R2K1P1/r7 w - -,b5b6
8/8/8/8/3p4/5r2/1K6/3k3R b - -,d1e2
2B3k1/5p2/p7/2b4p/5P2/6Pp/4bNK1/8 w - -,f2h3
3r4/6p1/2P5/5P2/pPn3Pp/7k/P1KpR3/3N4 b - -,c4a3
4bk2/2b5/1p2p1p1/1P1p1pB1/3P1P1P/4P3/4BK2/8 b - -,e8f7
5r1k/1bq3p1/p6p/1n1p4/1R3P2/3Q2PP/1PP1R2K/8 b - -,d5d4
r2q1rk1/5pp1/2p1pn1p/p2pNb2/Q2P1B2/2P1PP2/P5PP/R4RK1 b - -,a8a6
r4rk1/1p1q1pb1/2pp2np/4p1p1/1PP1P1n1/3PBN2/4NPB1/1R1Q1RK1 b - -,f7f5
r2q1r2/pppbn1kp/2np2p1/5p2/2B1P3/P1N2N1P/1PPQ1PP1/R3K2R w KQ -,h3h4
8/7p/6p1/1p5r/4P1RP/1K3k2/1P6/8 w - -,g4g1
6k1/p1r2ppp/2Nbp3/2pnN2q/1PQ5/P6P/5PP1/4R1K1 w - -,b4c5
r1bqr1k1/pp1nbppp/4pn2/2Pp2B1/3P4/2NB1N2/PP3PPP/R2Q1RK1 b - -,d7f8
5rk1/2Q3pp/1p2bq2/3pp3/8/4N1P1/3R1P2/6K1 w - -,c7b6
8/8/3p1k2/ppr1bp1p/5NbP/P1P5/1PKR4/5R2 b - -,c5c4
r1br2k1/p1n2nbp/2p1q3/2P1p2B/Q1N2p2/2N1B2P/P4PP1/1R3RK1 w - -,c4d6
r4rk1/1bpq1pbp/2Nppnp1/1P1P4/PRp1P3/2N1BP2/3Q2PP/5RK1 b - -,e6d5
r3r1k1/5ppp/ppq5/2pnP1R1/Pb6/4BN2/1P2QPPP/R5K1 w - -,g5g3
1r6/4k3/np4p1/1N1Bpb2/P1P4p/4K2P/1R4P1/8 w - -,b5c3
8/8/2b2k2/5pP1/p6p/P3KP1P/4B3/8 b - -,f6g5
r2r2k1/1pq1bppp/p1n1p3/3N4/1P1N4/P3B2P/4QPP1/2R2RK1 b - -,d8d5
5r1k/p4qbp/8/2P1p3/1P6/P3BrRQ/7P/R6K b - -,e5e4
8/6k1/p7/P2K1p2/5p2/2r5/7R/8 w - -,d5e5
r1bqrbk1/5pp1/p1n2n1p/1pppp3/4P3/2PP1NN1/PPB1QPPP/R1BR2K1 w - -,h2h3
r4rk1/ppq1ppbp/2np2p1/7n/4P3/2NBBQ1P/PP3PP1/2RR2K1 b - -,c6e5
2r1k2r/1bqp1ppp/p3pn2/5PQ1/1p1N4/3B4/PPP3PP/2KRR3 b k -,e8g8
3r1q1k/p4pp1/3Np2p/3nn3/b5Q1/P5P1/3B1PBP/R5K1 w - -,d6f7
6k1/p7/3n1PBp/1p6/2p1pp1P/P7/1P1K4/8 b - -,g8f8
8/p7/3k1p2/3p1Rb1/PP2r2p/3Kp3/1R4PP/8 b - -,d6e6
2rB4/1p2k2p/5p2/PR1K1Pp1/6P1/7P/8/8 b - -,c8d8
2R5/4r1k1/4p2q/2QpPp1p/3P3P/1P4P1/5PK1/8 b - -,e7f7
2r2r1k/1p1nn1b1/p1p1b1qp/P2p2p1/NPPPpp2/1B2P2P/R2N1PPB/2Q1R1K1 w - -,a4c5
4nk2/6p1/p1q2p1p/3p1Q2/3B4/1P3P1P/P5PK/8 b - -,f8f7
2r3k1/1bqnr1bp/pp1p1np1/3P4/PPpB1N2/N1P3PP/Q2R2B1/5RK1 b - -,d7e5
2rq1rk1/1p6/p3p3/2PpBpbp/PP1P2p1/6Q1/2R2PPP/1R4K1 w - f6,e5f4
r3r1k1/pQ1n1ppp/8/4q1n1/3p4/6P1/PP2P1BP/R4RK1 w - -,b7d7
3rr1k1/pb3pb1/1p5p/2ppq3/6P1/2P1P2P/PPBNQ1K1/2R1R3 w - -,d2f3
r2q1r2/1p4bk/2n3pp/p1p1pp2/1P6/P2P2P1/2NBPPbP/1R1Q1RK1 w - -,g1g2
r7/P4pk1/7p/2pQ4/6p1/2q3P1/4P1KP/R7 b - -,c3a1
rnb1k2r/1pq2pbp/p2ppnp1/8/2PNP3/2NBB3/PP3PPP/R2Q1RK1 w kq -,a1c1
r2r4/2q1p1kp/5bp1/1Q1P1p2/PP6/5PP1/R3N1KP/1R6 b - -,c7e5
r4rk1/1bq2pb1/1pp1p1pp/8/2BP4/1Q3N2/PP3PPP/2R1R1K1 b - -,c7d8
r1bqkb1r/1p3ppp/p1nppn2/8/P2NP3/2N5/1PP1BPPP/R1BQ1RK1 b kq -,f8e7:d8c7
r1bq1rk1/pp2ppbp/2np1np1/1Bp5/4P3/2P2N1P/PP1P1PP1/RNBQR1K1 w - -,d2d4
r3k2r/pp1q1p1p/4p3/2pNbbB1/4P1n1/3P2P1/PPP3BP/R2Q1RK1 b kq e3,e6d5
8/8/4R3/6p1/r3P1kp/8/8/5K2 w - -,e4e5
r2q1rk1/pp1n1pp1/2pbpnp1/8/2BP4/2N1P2P/PP1B1PP1/R2Q1RK1 b - -,d8e7
4r1k1/pp2P1pp/5n2/2p2B2/2P5/4q3/P5P1/2RQ3K w - -,c1b1
8/8/3p2n1/2pPp1k1/1pP1P2p/1P3BPK/8/8 w - -,f3e2
rnbqkb1r/pp2pp1p/3p1np1/2p5/2B1P3/2PP1N2/PP3PPP/RNBQK2R b KQkq -,f8g7
8/5pb1/3k2p1/1P1p3p/p7/B6P/P3KPP1/8 b - -,d6c7
8/R5k1/5p2/6pP/7r/6K1/5P2/8 b - -,g7h6
8/r7/P4kpp/1p3p2/1p6/1B4Pn/5PK1/4R3 b - -,h3g5
4rrk1/pppqbppp/2n5/1P1np2b/2B5/2PP1N1P/P4PP1/R1BQRNK1 b - -,d5c3
r1b1kbnr/pp3ppp/1qn1p3/2ppP3/3P4/1P2BN2/P1P2PPP/RN1QKB1R b KQkq -,c5d4
r3R1k1/pqp2pbp/1p4p1/8/5B2/2P5/PP3PPP/RQ4K1 b - -,a8e8
8/p3k1p1/4p1p1/1p6/1P1N1PP1/P6r/1K6/8 b - -,a7a6
2rq1rk1/1b2n1bp/p4pp1/2ppNP2/1p2P3/2PPB1Q1/PP2N1BP/R4RK1 b - -,f6e5
rnbqk2r/pp1pbppp/4pn2/8/2PN4/4P3/PP1B1PPP/RN1QKB1R w KQkq -,d2c3
6k1/5pp1/2p1n3/1p1pP3/6K1/8/8/5R2 w - -,f1c1
1rq2rk1/ppp1ppbp/2n2np1/3p4/3PNP2/2P2NP1/PP2P1BP/R1BQR1K1 b - -,f6e4
2rrb1k1/ppp2pp1/2n1pq1p/8/2BP4/P1Q1PN2/1P1R1PPP/3R2K1 w - -,b2b4
1r3rk1/p3bppp/2Q1pn2/4nb2/3q4/2N3P1/PP1NPPBP/R1B2RK1 w - -,c6a6
r3k2r/pp1nbppp/4bn2/1BppN1B1/3P4/2P5/PP3PPP/RN2K2R w KQkq -,d4c5
1K4k1/1P6/2q5/8/8/8/8/8 b - -,g8f7
5rk1/1q3ppp/4pn2/3p4/8/5NP1/1PQ1PP1P/3R2K1 b - -,f8c8
1r6/5p2/r1pkp1p1/7p/p1RP4/4PKP1/PP3P2/1R6 b - -,d6e7
1r1q1rk1/p2b1nbp/np1p4/2pPpp2/1PP5/PQNN1P2/1R3BPP/4RBK1 b - -,d8f6
2r2rk1/1p4bp/pq1pp3/2n2pB1/PnP2N2/1P3P2/3Q1NPP/1R3R1K b - -,h7h6
2nrr1k1/p3qp1p/1p1p2p1/3B4/1P2P3/5Q2/P4PPP/2RR2K1 b - -,g8g7
3R4/8/5k2/7P/6PK/8/2rp4/8 w - -,d8d7
r3r1k1/p2p1ppp/b1p2q2/2b5/1p1NP3/1BN1KP2/PP6/R2Q3R b - -,b4c3
r1b1qrk1/4p1bn/2pp3p/p4pp1/2P5/1PNnPN2/PBQR1PPP/3R2K1 w - -,c2d3
rnb2rk1/pp2qppp/2pp1n2/4p3/2PPP3/2N3P1/PP1QNPBP/R3K2R b KQ -,c8e6
2R5/3b1kp1/pp3p2/3n3p/1P5P/P3BP2/4NKP1/8 b - -,d7c8
2r2rk1/p5pp/3Rp3/2p1p3/2P5/1PB1q1P1/PQ4KP/3R4 b - -,e3e4
8/8/5p2/8/R4k2/2r2P2/P3K3/8 b - -,f4e5
3kn2r/rb1nqp2/1p2p3/p1p4p/P1P1B1pP/2P1P1B1/2QN1PP1/1R3RK1 w - -,e4b7
r1bq1rk1/2pn1pbp/p4np1/1p2p3/2P1P3/2N2NPP/PP2QPB1/R1B2RK1 b - -,c7c6
5b1r/4pppp/rpk5/8/2pBb3/2P1Pp2/PP3PPP/R3KB1R w KQ -,f1c4
1r1q1rk1/1p4bp/p1n1bpp1/Pnp1p3/2NpP3/1P1P1NPP/2PBQPB1/R3R1K1 w - -,e1f1
2R5/p3b3/2N2kpp/6P1/5P2/1P6/2n1r2P/3R3K b - -,h6g5
3r1k2/ppR2pb1/3n3p/1P1N4/r3P1B1/P5P1/5PK1/3R4 w - -,d5b4
3nr1k1/pbbq1rp1/1p2p2p/2p5/2PpPPQ1/PP1P1N2/6B1/2B1RRK1 w - -,f3h4
8/7k/2N3p1/4P3/5n1p/6bP/r7/3R1B1K w - -,c6d8
6k1/5p1p/1ppR2p1/8/r1q1P3/1r5P/1P1Q1PP1/3R2K1 b - -,a4a8
r6k/1pr2p2/p3bNpB/P3R1N1/8/7P/1n3PP1/6K1 w - -,e5e4
8/8/4pk1p/7p/8/7N/2r3BK/8 b - -,f6f5
5r1k/pp2r2p/2pq1p2/5R2/2QP2P1/1B2P2P/PP3P2/5K2 w - -,g4g5
1q3rk1/p4pbp/b1n1p1p1/1rp5/3pPP2/1P1P2P1/P2N1RBP/2RQB1K1 w - -,d2c4
2r5/pp3Rpk/4P1np/3NbN2/4n3/8/PPP1K3/8 b - -,e4g5
r1b2rk1/pp2q2p/3p1np1/3P1p2/1p2n3/2N2NPP/P1Q1PPB1/1R3RK1 w - -,b1b4
8/1p1k1ppp/4p3/1B1b4/7B/3K1P2/P5PP/b7 b - -,d5c6
r1bq1rk1/p3n1b1/2pp2pp/4p3/R1P1Pp2/2NP4/P2N1PPP/2BQ1RK1 w - -,f1e1
r1bqk1nr/pp2ppbp/2np2p1/8/2BNP3/2N1B3/PPP2PPP/R2QK2R b KQkq -,g8f6
r1b1r1k1/ppqn1pbp/2pp1np1/8/P2NP3/2N1BB1P/1PP2PP1/R2QR1K1 b - -,d7e5
r3q2k/pp1bb3/2p1p2r/1PPp1p2/Q2P1Pp1/2N1P1P1/P4R2/1R3BK1 w - -,b1b2
6k1/1R6/5bpp/8/8/8/5P1P/6K1 w - -,g1g2
3r2k1/q4p1p/4p1p1/3b4/1Bp5/6P1/2Q1B2P/1R2K3 w - -,e1f1
1krq1b2/pp5r/3pnp2/P3pNp1/1PPpP1Pp/3P1B1P/1R1Q1P1K/R7 w - -,f3d1
3r1rk1/5pbp/p1q3p1/1p4R1/2Bn4/1P3N2/P4QPP/5R1K w - b6,f3e5
8/8/2R3p1/5pk1/7p/2P4K/r5P1/8 b - -,a2d2
r3r1k1/ppp2ppp/3b1n2/3P1b2/2PN4/2N4P/P3RPP1/2R2BK1 b - -,f5d7
6r1/2pkb1r1/p3p2p/1p1p4/3P3P/2PBP3/PP3P2/3R1K1R w - -,h4h5
8/5k2/3p4/3P4/4R3/3rB3/5K2/8 b - -,d3d5
r1bqk2r/ppp2ppp/1bnp1n2/4p3/2B1P3/2PP1N2/PP3PPP/RNBQ1RK1 w kq -,a2a4:c4b3:f1e1:h2h3:c1g5:b1d2
r4rk1/1ppbqpbp/p1np1np1/4p3/B2PP3/2P2NN1/PP3PPP/R1BQR1K1 b - -,b7b5
1r1q4/3b1kb1/3p3p/p1pP1pn1/2P2B2/RP5P/2NQ1NP1/6K1 b - -,g7f6
rn1qkb1r/ppp2ppp/5n2/3N4/2B3b1/5N2/PPP2PPP/R1BQK2R b KQkq -,f6d5
r1b1r1k1/ppqn1pp1/2pb1p1p/8/3P4/2PB3P/PPQ1NPP1/R1B2RK1 w - -,c1e3
R7/8/4r2p/p1pk4/3p3P/1P3P2/P7/3K4 b - -,e6e3
r1b2r1k/1p2q1p1/1pn4p/4p3/4Pp1P/1QP2N2/PP3PP1/2KR3R w - -,a2a3
2k1rr2/2p4p/1pb2ppP/p2Nn3/2p1PN2/bPP1BP2/P2R2P1/3R2K1 w - -,f4h3
8/5pp1/4pn1p/3p3P/1kr4K/4PN2/R4P2/8 w - -,h4h3
rn1q1rk1/pp3ppp/2pbbp2/3p4/3P4/4P1P1/PPP1NPBP/RN1QK2R w KQ -,e1g1
8/k1p5/2P4p/1p3P2/N1n2R1P/P4rr1/KP6/4R3 w - -,f4c4
r3rbk1/5p1p/p1pP1qp1/1bp1P3/1p3B1P/5QP1/PP3RB1/R5K1 b - -,f6e6
R7/5pkp/4b1p1/4R3/p4rP1/2K4P/8/8 b - -,f4f3
6k1/pr4b1/7p/5N2/2p2pR1/8/P4P1P/2K5 b - -,h6h5
3r1rk1/pp3ppp/2ppbq2/4p3/2PbP3/3PB1P1/PP2QPBP/R4RK1 b - -,d4e3
2Rn4/1p2kpp1/p7/4N2P/8/1P3KP1/r7/8 w - -,c8c3
r6k/1p4p1/p1n1p1B1/3pP3/3P2qb/P3P3/1P4Q1/R1B3K1 b - -,g4d1
R1R5/1r4pk/4pp1p/p6b/r1NPPn2/4NP1P/6PK/8 w - -,a8a5
8/8/6k1/1R6/7P/1p4K1/1r4P1/8 w - -,g3h3
r1b3rk/1p6/p4N1p/2pP4/P4p2/6PP/1P5K/R3R3 w - -,f6g8
1rbq1rk1/p4pp1/3b1n1p/2pp4/5B2/1P1B1Q1P/P1P2PP1/3NRRK1 b - -,c8b7
6k1/1p4B1/p1p4P/Pb1p4/3P1pP1/5P2/6K1/8 w - -,g7e5
r5k1/2qn1pb1/b1pp1np1/p2Pp1Np/2P1P3/3BB1NP/PR2QPP1/6K1 b - -,a8b8
2k5/8/8/1p1Pbp1p/8/1P2B1KP/8/8 w - -,e3f4
2r1r1k1/1p1b1pbp/p2p1np1/q3n3/P2NP3/1B5P/1PNB1PP1/R2QR1K1 b - -,a5d8
3rr1k1/1p1q1pb1/p1p2np1/4p2p/P1PP4/2N1PQ1P/1B1R1PP1/2R3K1 w - -,d4d5
5r2/1p4k1/p1b2q2/4p2p/3n2pP/P3N1P1/BP1R2PK/4Q3 w - -,e3d5
6k1/5p1p/2b3p1/1p4P1/8/6K1/3r2P1/1R3B2 b - -,d2d5
5q2/1p6/2pR1nk1/p1P2N2/P3Prp1/1P5P/2P3K1/4Q3 w - -,h3h4
r1b2rk1/pp4bp/2pp3q/5p1N/1PP2p2/P2P3B/R5PP/3Q1RK1 b - -,g7d4
8/1p4kp/4Q1p1/3N4/P1nP2P1/P5q1/5r2/4R2K w - -,e6e7
1krq1r2/1p5p/1P2b1p1/P2pp3/3n3P/3B2P1/1QP2P2/1R3RK1 w - -,a5a6
2b5/8/1pp5/2n1k3/p1P4R/2N1P3/PPK5/8 w - -,c3e2
2kr3r/ppqn1p2/2pb1pp1/8/P1BpPP2/8/NP2Q2P/R1B2RK1 w - -,c4f7
q1r1r1k1/pb1nbpp1/1p1ppn1p/2p5/2PPN3/1PN1P3/PB2QPPP/1BRR2K1 w - -,f2f3
r4br1/2pk1p1p/p2p1p2/1p1P1b2/8/2N1B1P1/PPP2P1P/2KR3R w - -,h1e1
7k/1pr4p/4Rn1n/P2PN1b1/3BN1p1/6P1/4B2P/6K1 b - -,c7c1
2krn1r1/pp3p1p/q1p1p3/1NR2p2/2PP1Q1P/5PP1/2P5/1R5K b - -,a6a2
