2b5/5p2/5k1p/8/4K2P/4N1P1/8/8 w - -,e3d5:g3g4
8/8/p4p2/4p3/4P3/5k2/PPK1RP1r/8 w - -,c2d2
3rn1k1/5p1p/2R1pbp1/3p4/3P2P1/3BB2P/5P2/6K1 b - -,g8f8
8/8/P6R/r7/2p5/2k5/8/1K6 w - -,h6h3
1kb5/1p2R3/pP5p/P5n1/8/8/6PK/8 w - -,e7e8
r4rk1/pbp1n1pp/1p2p3/4Np2/qbP5/2NBB2P/PP3KP1/R6R w - -,c3a4
8/1p1kbp2/4b1p1/3pPp1p/3P1P1P/2K1N1P1/rP1B4/2R5 b - -,a2a6
r4rk1/pb1nppbp/1q3np1/2p5/2Q5/2N2NP1/PP2PPBP/R1BR2K1 w - -,c3a4
1r2r1k1/p1p4p/3p2p1/2pPq2n/2Pb4/3Q3P/PP1N2P1/1RB2R1K w - -,f1f3
r2qk2r/p3bpp1/b3p1p1/3pP3/N7/4B3/PP3PPP/R2Q1RK1 w kq -,f1e1
3rrnk1/p1q2pp1/1p2p2p/2pnP3/4B1Q1/2P2N2/PP2RPPP/R5K1 b - -,d8d7
rr6/5kpp/2p1bp2/2B5/1P6/2K1P3/5PPP/R1R5 w - -,a1a5
r1bqkb1r/5ppp/p3p3/3nn3/2NP4/3B4/PB3PPP/R2Q1RK1 w kq -,c4e5
R3kn2/5p2/4p2N/1r1pP1pP/2pP4/2b5/1P3PP1/6K1 b - -,e8e7
5rk1/2pR1pbp/6p1/3N4/3B4/qP3QP1/5PKP/8 b - -,g7d4
2rr2k1/ppq1ppbp/2p3p1/8/2NPP1n1/1P4Pb/PBQ2P1P/3RR1KB w - -,c2e2
8/4k3/1n5p/3P1K2/8/P3N1PP/8/8 w - -,f5g6
r2q1r2/p3ppkp/2pp2p1/3nP1N1/P1pP2b1/2N5/1PPQ1PPP/R3R1K1 b - -,d8a5
8/1p6/p7/Pk5p/R7/6K1/1r5P/8 w - -,a4a1
r1bq1rk1/1ppn1pbp/p2p1np1/8/2PpP3/2N2NP1/PP3PBP/R1BQR1K1 w - -,f3d4
1rn2rk1/1bpnqpbp/pp1pp1p1/4P1N1/2PP1P2/2N1B1P1/PPQ3BP/3R1RK1 b - -,b7g2
8/5k2/pb3p2/2pP1K1p/1pP2B2/1P4PP/P7/8 b - -,b6d8
rn1r2k1/pb3pbp/2p3p1/1p1Pp3/4P3/1B2BN2/PP3PPP/R3K2R w KQ -,a1c1
r4rk1/pp1qbppp/2np1n2/2p5/4P3/1BN1BP2/PPP1QP1P/R4RK1 w - -,g1h1
6k1/p1q2ppp/4r3/2pr3b/4p1n1/P3P2P/1B3PP1/1RR2NQK b - -,e6g6
3n1bk1/5qp1/2r1p2p/p2pP3/1p1P1NQP/1P2B3/P1rR1P1K/3R4 w - -,d2c2
r3k2r/1b3ppp/pbn1pn2/1p6/1P6/P1N1PN2/B4PPP/R1BR2K1 w kq -,c1b2
1k1r1r2/n1p1bppp/Pp5q/3pB3/3P2B1/2R2Q2/1P3PPP/R5K1 b - -,a7b5
8/8/8/8/4p3/3r4/4k3/R5K1 w - -,g1g2
rn2r2Q/p4k2/1p4p1/2b2pP1/8/2N5/PP4KP/5R2 w - -,h8f6
4r1k1/pp3pp1/2nr4/2Qq3p/3p4/1P3NPP/P2RPPK1/2R5 b - -,e8d8
r5rk/pp5p/4p3/2Pp1p2/3P3q/2Q1nB1P/P3PP2/1R3R1K w - -,h1h2
4bn1r/2k1r3/1p1qpbp1/pP1pN1Np/P1pP1P2/2P1R1PP/K1B5/2Q1R3 w - -,e1e2
2b2r2/6k1/2Bp1q1p/2pP1p1P/5Q2/2b1RNP1/5PK1/8 b - -,c3b2
1k3r2/p1p1bqp1/1p2p2p/1P2P3/N3b3/PR3P2/1B4KP/4R3 w - -,e1e4
2r5/5p2/R7/p3pkpp/8/1P4PP/1KP2P2/8 b - -,c8c5
1r4r1/R5bk/3p1pp1/4p2p/2R1PP2/3P2P1/7P/6K1 b - -,g8c8
6k1/2p3p1/3b3p/3n1P2/8/p2Nr3/1P3K2/2R1N3 w - -,b2a3
r4rk1/pp1qppbp/2n3p1/3pP3/3P4/1PB2N2/P4PPP/R2QR1K1 b - -,f8c8
4rk1r/p1q5/5np1/1p3p2/2pRpb2/7P/PP2QPPN/R4NK1 w - b6,a2a4
r1b4r/1ppn1pk1/p2b1npp/4p3/2B1PP1B/2N4P/PPP3PN/2KRR3 b - f3,b7b5
8/5k2/1p2p2p/1B1pPp2/3P1K1P/PbP5/8/8 w - -,b5e2
2r4r/4p1k1/1p1pnpp1/1P6/1NP2P2/4Pq2/5KP1/2RR4 w - -,f2f3
r1b1k2r/1p3ppp/p3p3/3q2n1/P1NP3P/1PPB4/6P1/R2Q1RK1 b kq h3,g5e4
6k1/1q3p1p/3p2p1/3Pb1PP/r1P1Q3/1p1B4/1P2R3/7K b - -,a4a1
