5bk1/p7/1p4Q1/4PP1p/7P/P2q2P1/7K/8 b - -,f8g7
3qr1k1/1Q3ppp/p7/2bp4/2n2B2/1N4PP/5P2/2R3K1 b - -,c4a5
r2qk2r/3nbpp1/p3pnp1/1p1p4/3P4/1BN5/PPP1QPPP/R1B2RK1 w kq -,c1f4
r3r3/p3Nkp1/1p3n2/2p2p2/2P5/3P1Q1P/3q2P1/1R2RB1K w - -,e1d1
8/5k1p/2pb2p1/5p2/2P2P2/r1B1K1PP/8/2R5 w - -,e3d4
r1b1k2r/pp1nb1pp/1q2p3/3pP3/5B2/3B1NP1/PP5P/R2Q1K1R w kq -,b2b3
8/4kp2/7R/3r2p1/6P1/5K1P/5P2/8 b - -,f7f6
r2qkbnr/pp1b1ppp/2n1p3/3pP3/3P4/3B1N2/PP3PPP/RNBQK2R b KQkq -,d8b6
r4rk1/pp1qn1pp/2nb4/3N4/2pP1p2/2P2QP1/PP1N1PKP/R1B1R3 w - -,d5e7
2r2rk1/pp2ppbp/1qn2np1/5b2/3P4/N3P1P1/P2NQPBP/R1BR2K1 w - -,d2b3
r1b2rk1/pp5p/8/1pPp1p2/5N2/6P1/P3PP1P/R4RK1 b - -,f8e8
3r2k1/p5pp/1b1r4/N1p1pq2/Q1P5/R1RP1bP1/5P1P/5BK1 w - -,d3d4
r1b2k2/pp2q1bQ/2p1n2B/3pp3/2B5/8/PPP2PPP/R4RK1 w - -,h7h8
2r3k1/4qpp1/4p1p1/1p1p4/1PrPn3/1Q3NBP/4NPP1/1R4K1 w - -,g3f4
rq3r1k/5p2/3pb1pb/1p1Np2p/4P2P/2PQ1BP1/1P3PK1/R2R4 b - -,b8b7
r3r1k1/pp1n1ppp/1qn2b2/2p2P2/2Pp1BP1/5Q1P/PPBN1P2/2KRR3 w - -,g4g5
4r1k1/1q1b1pp1/5Nnp/1pp1p3/4P3/1BP2N2/1P1Q1PPP/R5K1 b - -,g7f6
6k1/5p1p/2n2b2/p1Bp2p1/3P1P2/3NK3/6PP/8 w - g6,f4g5
r2q1rk1/pb1n1ppp/1p2pn2/2p5/2BP4/P1P1PN2/4QPPP/R1B2RK1 w - c6,c1b2
r5k1/ppqr1p1p/4p1p1/nbP1b3/4P3/1BP1BPP1/P1Q1N2P/3R1RK1 b - -,a8d8
2r1k1nr/1q1nbppp/p1b1p3/3pP3/pP1N4/R1PBBN2/4QPPP/5RK1 b k -,c8a8
8/8/2p5/8/1n2N1P1/3k1K2/4p3/8 w - -,e4f2
5R2/8/8/8/4k1P1/7K/r7/8 w - -,g4g5
r5kr/1p3p1p/4p1pP/3pP1q1/p7/P1P2P2/BP2Q1P1/R3K2R b KQ -,g5g3
r3kb1r/1p1n1ppp/p2pp3/8/P2BP3/2N5/1PP2PPP/R3R1K1 b kq a3,h8g8
3rb1n1/1pp3k1/p4p2/4pPp1/2PpP1P1/3P2N1/1P1N2K1/7R b - -,g8e7
1r4k1/r4p2/4p1pp/4P3/ppB5/6P1/2KBPP1P/R7 b - -,b8c8
8/R3pk1p/3p4/3K4/2P2P2/P1r5/8/8 w - -,d5d4
r1bq1rk1/pp3pbp/2npp1p1/2p5/2PnP3/2NPB1P1/PP1QNPBP/1R3RK1 b - -,c8d7
r7/7p/3N2p1/p6k/Kp1b4/7P/1P2RPP1/8 w - -,e2d2
r2q4/1pp1nkb1/p2p2r1/P1PPp3/1P2Ppn1/2N4P/6P1/R2QBRK1 w - -,h3g4
