2r5/8/K7/5k2/2P1R3/8/8/8 w - -,e4h4
1rbqrnk1/1pp2p1p/p2p2p1/2P5/3bP3/2N2P2/PP1QB1PP/3R1RK1 w - -,d2d4
r1bqkb1r/pp3ppp/2nppn2/8/4P3/3B1N2/PPP2PPP/RNBQK2R w KQkq -,c2c4
2r2rk1/p5bp/bq4p1/3p2B1/3N4/2P5/PP1Q2PP/2KR3R w - -,d1e1
4rb1k/5q2/p1p1r2n/P3p2p/1PN1P1n1/2B3PB/3RQ3/3R2K1 w - -,d2d7
2rqr3/3bbppk/p1np4/1pp1pP2/4P3/2PP2NP/PP3QB1/R1B2R1K w - -,g3h5
8/6p1/1p5p/2pk1P1n/P4P1P/3K4/2PN4/8 w - -,c2c4
5k2/4b3/6Rp/5Pp1/1p4P1/2pB2PK/P7/3b4 w - -,g6c6
rnbq1rk1/pp2ppbp/2pp1np1/6B1/P2P4/2P1PN2/1P1N1PPP/R2QKB1R b KQ -,d8c7
r2qk2r/pp2npbp/2n1p1p1/3pP3/8/2P1BN2/PP2BPPP/R2Q1RK1 w kq -,e3f4
5r2/8/3R2pk/1P1Pp3/4P1Kp/7n/1PN5/8 b - -,h3f2
r1bq1rk1/1p3pbp/n2p2p1/2nPp1PP/p3P3/2N1BN2/PP3P2/R2QKBR1 b Q -,b7b5
r5k1/1b3pp1/p3p2p/1pq1P1bQ/3N4/P2R4/1PP3PP/1K2R3 w - -,h5g4
5rk1/1RQ2np1/4N3/3Ppp1p/2q1P2P/6P1/5PK1/8 b - -,c4e4
rnbqkb1r/p3pp1p/3p1np1/2pP4/NpP5/1P6/P3PPPP/R1BQKBNR w KQkq -,a2a3:a4b2
1r1q1rk1/3bppbp/1p1p1np1/p2P4/PnPNP3/2NBB2P/5PP1/1R1Q1RK1 b - -,f6e8
r1rb4/3b1pk1/2p1nnp1/BpPp3p/3Pp3/RN2P3/1PN1BPPP/5RK1 b - -,d8a5
8/5pk1/p5p1/3Pb3/4P3/4qP2/2R4P/3N1K1R b - -,e3d3
3r4/5pk1/3p2p1/3RP2p/1pP2q2/5P1P/P5P1/3Q2K1 b - -,f4c4
rn1qkb1r/ppp2ppp/3p1n2/4p3/2B1PPb1/3P1N2/PPP3PP/RNBQK2R b KQkq -,g4f3
r2r4/1p1nkppp/p3p3/8/8/2P1K3/PP1N1PPP/R6R w - -,h1d1
1r4k1/p2p2pp/3p1n1r/Pb6/5P2/2N1RBP1/1R2P2P/6K1 b - -,a7a6
3r2k1/p3qpp1/8/2p3p1/6P1/P1Q1P2P/1R4P1/5K2 b - -,c5c4
r2r2k1/1bp1qppp/1pn1p3/p1npP3/5P2/PP2PN2/1BP1B1PP/R2Q1RK1 b - -,b7a6
b1Q1r2k/6pp/2nB1p2/1pPBp3/6P1/4R2P/2P2P2/6K1 b - -,e8c8
2b1r3/1p3pk1/p4p2/3B2p1/P2NP2r/1P6/2P3PP/5R1K w - -,h1g1
2rrb1k1/pp2ppbp/1q3np1/3pB3/2nP1P1N/2NBP2P/PPR3P1/R1Q3K1 b - -,b6a5
8/7k/r4pR1/5P1K/6P1/8/8/8 b - -,a6b6
r1bq1rk1/1p3pbp/p2p1np1/1BpP4/Pn2PP2/2N2N1P/1P4P1/R1BQR1K1 w - -,b5c4
r4rk1/2pq3p/1pNp2p1/2nP2Pn/p3p2P/P1N2P2/1PQ5/1K1RR3 w - -,f3e4
5rk1/1p1R1p2/1qp2Qpp/p7/P1P1r3/1P4P1/4P1KP/5R2 b - -,e4e2
r1b2rk1/pp3pbp/3p1P2/2pNp3/5P1n/3P4/PPP2RBP/R1B3K1 b - -,g7h6
8/5k2/2Kb4/3P2B1/1Pb5/8/8/8 w - -,c6d6
8/8/8/pP6/P1K2B2/8/1k6/2q3b1 w - -,f4c1
8/4k3/4p1p1/2n2p1p/2B2P1P/1p2P1P1/1P1R2K1/r7 b - -,a1c1
8/3Q1kp1/1p4p1/p1b1pp2/P1P4P/4NqP1/5P1K/8 b - -,f7g8
r1br2k1/1p2qpp1/2p4p/p2n4/2QN4/1P2P1PP/P4PB1/2RR2K1 w - -,e3e4
8/4k2p/4bp2/4p3/1p2P2P/r2PN3/2P2K2/6R1 b - -,b4b3
3Qnk2/3b1p2/1p1qp1p1/3p3p/3N3P/2P5/5PP1/6K1 w - -,d4f3
1nr2bR1/1N6/2P1k3/1pB1p3/2P2p2/8/P3K3/8 w - -,c4b5
r4rk1/5p1p/bp1p1qp1/p1pPb3/P1P1P1P1/1PN1QB1P/5P2/2RR2K1 w - -,c3e2
r3k2r/pp3p2/1bpp4/4p1q1/B3P1b1/2PP3p/PPQ2PPB/R4R1K w kq -,f2f3
5R2/pp6/2k1N2r/n2pPPN1/n1pP3p/P1P5/1P5K/8 w - -,f5f6
5r1k/2RQ2pp/3qB1bn/8/2p1P3/8/1P4PP/3R3K b - -,d6e5
2r3r1/pp2Pkb1/8/3p2B1/8/1N6/PP2B2P/R6K b - -,g7f6
5R2/8/3r3p/5kpP/8/6K1/8/8 b - -,d6f6
8/p1p2rp1/2pk3p/8/2N1P1bP/P1R1K1P1/1P6/8 b - -,d6e6
4rrk1/1b1qb1pp/p1n1pn2/1pp5/3pPN2/P1PPB1PP/1P2Q1B1/1N1R1RK1 w - -,e3f2
2r3k1/p1rn1p1p/1pp1q1p1/3p4/P2Pn3/1PNQPN2/2R2PPP/2R3K1 w - -,d3a6
8/1b6/p4kp1/P3p3/1P3p2/2rB4/1RP2KP1/8 w - -,b4b5
6k1/5p2/2n1qbp1/p1Bp1p1p/P2P1P1P/1P2r1P1/3R3K/3Q1R2 w - -,d1c2
8/5pk1/R5p1/4p3/P5PP/r4P2/5K2/8 w - -,a4a5
6k1/6pp/8/8/r3p3/P1K1R3/6PP/8 w - -,c3b3
2r3k1/1p1b2pp/p1nbpn2/q2p4/N2P4/1P2BN1P/P4PP1/1B1Q1RK1 w - -,f1e1
r4rk1/pppq1pbp/2n1pnp1/3p4/2PPP3/1PN2NP1/PB2QPKP/R4R2 w - -,e4e5
r3kb1r/ppqn1pp1/2p1pnp1/3p4/2PP4/1QN1P1P1/PP1B1P1P/R3KB1R b KQkq -,f8e7
r1b1kb1r/3npppp/ppn5/2p5/P1N1P3/2P2P2/1P4PP/RNB1KB1R w KQ -,c1f4
r4rk1/p3q3/1p1p1bpp/1Q1PpP1n/4P3/2N4P/PP3PB1/3RR1K1 w - -,c3e2
r2qkb1r/pp3ppp/2p1pn2/2n5/2P2P2/6P1/PB1P1PBP/RN1Q1RK1 b kq -,c5d3
r5k1/5ppp/2p3n1/qpP5/4p3/1P5P/P1Q2PPB/1K5R w - -,h2d6
r4rk1/4bpp1/1q1p2b1/p2Pp1Pp/Pp2P2P/1P3B2/2PNQP2/2KR3R w - -,d2c4
q5k1/6p1/2p3Np/1pPp2BP/1P1Pn3/6P1/5P2/3Q2K1 b - -,h6g5
r2q1rk1/1b2bppp/4p3/1Q1pP3/8/4PB2/3B1PPP/R1R3K1 b - -,a8a1
8/6k1/pb1p2p1/3Ppp2/1P2P3/1q4P1/2N1QP2/5K2 w - f6,f1g2
7r/Q4p2/2kB3p/b1P3p1/8/4P3/PPK3PP/7q w - -,a7a6
2r1nb1k/1p1b3p/3p1np1/p2Ppp2/P1N1P3/BPr2P2/5QPP/3B1RK1 w - -,f2e1
r1r3k1/1p1q1pp1/2pP1np1/4p3/npB1P3/4BP2/1P2Q1PP/R2R2K1 w - -,c4b3
4r1k1/1q3p1p/r1Nppbp1/2pP1P2/P1Q1P3/1P6/4RRPP/6K1 b - -,f6g7
4rrk1/pR2p1b1/2ppnnqp/3P2p1/2P5/B1N1P1P1/P2NQ2P/4R1K1 b - -,e6d8
r4rk1/4p2p/1n1p1ppQ/2pP4/2q4P/2B3P1/bP2PPB1/R3R1K1 w - -,e2e4
8/1p2R3/p6p/P1PN1k1r/1P1K4/5b2/5p2/8 w - -,e7f7
5k2/p4p2/4rbpB/PP5p/3p4/R5P1/5P1P/5K2 b - -,f6g7
7r/1b3n2/p4k2/1p3p2/8/5P2/PPP1NR2/2K2B2 b - -,h8h4
8/8/4q1k1/7p/8/4bQP1/6K1/8 b - -,g6g5
2b1r3/1p3qbk/r1p3pp/4pp2/P1Pp4/3P2P1/R1QNPPBP/1R4K1 w - -,a4a5
1rbq1rk1/p3ppbp/2np2p1/1pp5/2PnPP1P/2NPB1P1/PP4B1/1R1QNRK1 b - -,d8a5
r3r3/p1q2pkp/2pp1np1/1p6/1PbQP3/P1N1B1PP/5P2/R3R1K1 w - b6,a1d1
r3kb1r/pp1q1ppp/5n2/2p1p3/3n4/2NPB1P1/PPP1NPKP/R2Q1R2 w kq e6,c3e4
r1b1kb1r/1pqn1pp1/2p4p/p2p3n/NP1P4/P1P2P2/5BPP/R2QKBNR b KQkq -,a5b4
5bk1/1R5p/8/n2PpK2/1p6/6P1/5P2/8 w - -,b7b5
rnbq1rk1/pp2ppb1/1np3pp/8/3PP2P/1QN2N2/PP2BPP1/R1B1K2R b KQ -,c8e6:c8g4
r1b1k2r/1p2bp2/p1nq1n1p/2p1pP2/2PpP3/N2P4/PP2N1BP/R1BQ1R1K b kq -,c8d7
8/3k3N/6p1/1n1p4/7P/6K1/5P2/8 b - -,d7e6
4rr1k/p4b1p/p5nP/q2p2b1/3PppQ1/1PN1P1P1/PB3PK1/2R4R w - -,g4g5
6k1/ppp1R3/5r1p/3p4/3P4/2P2p1R/r4P2/6K1 b - -,f6g6
8/5K2/4P3/1Nk5/8/P3n3/8/8 b - -,e3d5
r3k2r/1bqnbppp/p3pn2/1pp5/3P4/1PNBPN2/PB2QPPP/R2R2K1 b kq -,a8c8
8/8/5R2/4pP2/4k2K/5r1P/8/8 w - -,h4g5
rnbqkbnr/pp1p1ppp/2p5/4p3/2P5/5NP1/PP1PPP1P/RNBQKB1R b KQkq -,e5e4
rn1q1rk1/pbpp1pp1/1p2pn1p/8/1bPP3B/2N2N2/PP2PPPP/2RQKB1R w K -,e2e3
2q4k/pb3pp1/1p1bp2p/4P2P/1n6/1P4P1/PB3PB1/3Q2K1 w - -,e5d6
r2q1rk1/pb3ppp/1p3b2/2pp4/1n1P4/1P2PNP1/PB1Q1PBP/R4RK1 w - -,f1d1
5k2/1p6/p7/8/1P2K3/P1r5/6p1/R4R2 b - -,g2f1q
6k1/5pb1/2q5/2P2b2/p2rp3/Pp2Qp2/1P1B1N2/K3RB2 w - -,d2c3
4rrk1/pppqn1b1/3p3p/4p1p1/1PP1N3/3PBbP1/P2Q1PBP/1R3RK1 w - -,b4b5
2r2rk1/1q2bppp/p2pp3/1p6/P1PP1B2/4R3/1P3PPP/2RQ2K1 w - -,d1g4
5k2/pp5R/2p2p2/2P1b3/1P2B1PP/P6K/3r4/8 w - -,g4g5
5k2/7p/1rp1B1p1/8/1p2R3/3P2P1/2n2PKP/8 w - -,e6b3
