8/8/1r3k2/8/4KP2/4P3/3R4/8 w - -,d2h2
1r6/p3r1k1/8/2RBp1pp/3bP3/3P1P2/b4P1B/2R3K1 b - -,d4c5
r1bq1rk1/pp2ppbp/2np1np1/8/3PP3/5N1P/PPB2PP1/RNBQ1RK1 b - -,c6b4:e7e5:d6d5
rnbq1rk1/p1pp2pp/1p2pn2/5p2/1bPP1B2/2N1P3/PPQ2PPP/R3KBNR w KQ -,f1d3
4r1k1/5pb1/b1q3p1/p1NrP1Pp/7P/6B1/2R2Q1K/4R3 b - -,e8c8
8/1p2k1p1/2p1b3/p3P3/P1P5/1P4r1/2B2K2/8 w - -,f2g3
rn1q1rk1/p3bppp/2p1pn2/4N3/1p1PP3/1P4P1/P3bPBP/R1BQ1RK1 w - -,d1e2
2rn3k/1b4p1/3B1p1p/1pPB4/6P1/R6P/2P5/6K1 w - -,d5b3
r2qnrk1/1p2n1b1/2ppP2p/p3pp2/2P2P2/PP4P1/1B2N1BP/R2Q1RK1 b - f3,d8b6
4k3/1R2bp1p/6p1/6Pn/3BN2P/r7/5K2/8 b - -,a3h3
5rk1/5p2/6p1/R6p/8/5KP1/4P2P/8 b - -,g8g7
3q2k1/3r2pp/1p1p3r/pNn1pb2/2P5/4NP2/PP2Q1PP/2RR2K1 b - -,d8g5
8/5pb1/kprpp2p/p7/2P1Pp2/3KN1P1/2N4P/5R2 w - -,g3f4
3r2k1/1bp2pp1/p4q1p/P6Q/1pBp3P/3P2b1/1PPB1PP1/4RK2 w - -,h5f7
8/8/8/5p1p/4pB2/4PkPK/4r3/8 w - -,h3h4
r2b1q2/r5kp/1p1p2p1/1RnPp3/PBP1B3/R6P/5PP1/3Q2K1 w - -,a3f3
2r5/r2nppkp/2p2bp1/3p3P/3P4/2P1PNB1/5PP1/1Q4K1 w - -,e3e4
5n1k/ppq2p2/4p2p/2p5/4bQ1P/2P5/PP2NPP1/R5K1 b - -,c7f4
r4rk1/1p1n2b1/2p3bp/1p1p1pp1/3P2P1/P1P2P1P/1P1KB2B/4N1RR w - -,g4f5
