8/8/3p2P1/3Pk3/8/6K1/8/1Br5 w - -,b1d3
r1bqk2r/ppp1ppbp/1nn3p1/8/3P4/4PNP1/PP3PBP/RNBQ1RK1 b kq -,e8g8
Q7/ppkn4/2pbpr2/3q3P/3P4/6r1/PPPB4/1K1RR3 b - -,a7a6
3r1rk1/pp3pbp/q1p3p1/5b2/P4B2/1P3BP1/2Q1PP1P/2R1R1K1 w - -,e2e4
2k1r2r/ppp2bpp/2qB1p2/3p4/3P4/2NQ1P2/PPP3PP/2KRR3 b - -,c6d6
rnbqk1nr/pp3ppp/4p3/b1ppP3/3P4/P1N5/1PP2PPP/R1BQKBNR w KQkq -,d1g4:d4c5:b2b4:c1d2
r3kb1r/ppnnpp1p/2p3p1/4P3/2P2P2/2N5/PP4PP/R1BBK2R w KQkq -,c1e3
1B6/p4k1p/1p6/1P1p1pb1/8/5KP1/P6P/8 w - -,b8a7
8/1pk3p1/p1p4p/b3NP2/4B1PP/1b6/8/6K1 b - -,a5c3
r5k1/pp1qbppp/4pn2/3p4/3P1B2/1Q2P2P/PP1N1PP1/2r2RK1 w - -,f1c1
7r/3R4/8/4kP2/6P1/3p4/P3pK2/8 b - -,h8h2
1r2k2r/5pbp/6p1/1pNn3P/1P6/6P1/3P1K2/1RB1R3 b k -,e8d8
3r2k1/5pb1/6p1/p3Pp1p/1pP2B1P/1P4P1/2K2P2/4R3 b - -,d8e8
1r2r1k1/1pqb1p1p/p2p2p1/2pPb1Bn/P3P3/2N2QP1/1P3P1P/R3RBK1 w - -,a4a5
r2qkb1r/pp3ppp/2b1pn2/8/P1Np4/4P3/1P2BPPP/R1BQ1RK1 w kq -,e3d4
rn3rk1/ppp2ppp/3q4/8/3P2b1/2N2N2/PPPQ2PP/R4RK1 w - -,f3e5
rnbqkbnr/ppp3pp/8/3pN2Q/2B1p3/8/PPPP1PPP/RNB1K2R b KQkq -,g7g6
7R/4pk2/3p4/3Pn1P1/1p6/5Bp1/4Kb2/8 b - -,f7g6
