8/3n4/8/2pK1P2/1pP4p/pP6/P3Nk2/8 w - -,e2f4
1k2r3/pq4b1/n2p3p/P1pN4/1pP5/5NP1/1PQ2P1P/4R1K1 b - -,e8e1
r3r1k1/pbqn1p1p/1pp3p1/4p3/P1B1P1P1/2N5/1PP2PP1/R2QR1K1 b - -,d7f8
8/pp2k3/2npP3/2p2Bq1/2Pr1P2/1P5P/P7/6RK w - -,f4g5
3qkb1r/rp1np1pp/p1p2p2/2Pp1b2/N2PnB2/1Q3N2/PP2PPPP/2R1KB1R w Kk -,a2a3
r3kb1r/1p3ppp/p1np4/3Qpq2/2B5/8/PPP2PPP/R1B2RK1 b kq -,f8e7
3r1rk1/p4pb1/1p1p2np/2pP1qp1/Pn4P1/2N1BP2/1P2BP1P/2RQR1K1 b - -,f5c8
1r4k1/p2n1ppp/4p1b1/2n3N1/2P5/3pR1PP/PQ3PB1/3R2K1 b - -,b8b2
8/7p/p6r/1p3k2/3P1Rp1/2P1K3/PP5P/8 b - -,f5g5
5k2/5p2/1p5r/1P1b2p1/1b1Pp3/2R1P1B1/5P1P/5BK1 w - -,c3c8
2r2rk1/pb1q2p1/4p2p/PP3p2/nP2PP2/6P1/Q2p1NBP/1R1R2K1 b - -,a4c3
5bk1/2r4p/3pqpp1/3Rp3/2P1P1PP/3Q1P1N/6K1/8 w - -,h3f2
5b2/1p1n1k2/pP2p1p1/P1p1P2p/2P1K2P/3NB1P1/8/8 w - -,e3g5
r7/pb3pbk/1p3qpp/8/QR1p4/3P1NP1/P3rPBP/R5K1 w - -,a1f1
r1b1k2r/1pp2p1p/p1nb1p2/3Np3/2B1P3/P4N2/1PP2PPP/R3K2R b KQ -,f6f5
r1b2rk1/ppp2ppp/5n2/8/2pP4/3N1P2/PP2N1PP/R4R1K w - -,d3e5
r2q1rk1/3bppbp/p2p1np1/1p2n3/3NP3/P1N1BP2/1PPQB1PP/3R1RK1 w - -,g1h1
2r1r1k1/pbqnppbp/1pp3p1/8/2PPQ3/1P3NP1/PB3PBP/3R1RK1 w - -,f1e1
8/6p1/5p1p/4p2P/1k1pP1P1/1p1P4/1rBRK3/8 b - -,b3c2
7k/1p2n2p/pq2B1p1/4Pp2/P4P2/1P4N1/1b4KP/3Q4 b - -,b6e6
6k1/1p6/p1b3p1/3p3p/3P4/8/PP2K3/1R6 b - -,g8g7
k1r4r/1p2Bp1P/p1b1p2R/4P1P1/3pNn2/3P4/3K4/2R5 b - -,f4d5
8/5p2/p3p3/2k1P3/5P2/8/2B2K2/8 w - -,c2b3
2rr2k1/2q2bbp/3nppp1/2p5/2P2PP1/1P3N2/1BB2Q1P/3R1RK1 b - g3,c8b8
5b2/8/6k1/1p1PQ3/2p5/2P4P/3q2P1/7K w - -,e5e6
2r2rk1/pb2ppbp/1q4p1/n2pP3/1p1P4/1P2BN1P/P1B2PP1/2RQR1K1 w - -,c2b1
r2q1rk1/5ppp/2nnpbb1/pp1p4/3P4/PP1B1NNP/1BP2PP1/R2QR1K1 w - -,d3g6
8/4B2p/6p1/1K4P1/8/5k2/7P/8 b - -,f3g2
r1bqk2r/pp1pnpbp/4p1p1/8/2PP4/2p2NP1/4PPBP/R1BQK2R w KQkq -,e1g1
4r1k1/1b3p2/p3qn1p/1p4p1/nB2p3/P3PPN1/1P2Q1PP/1B1R2K1 b - -,e6e5
5r2/1kn5/1p3p2/p2p4/2pP3r/P4P2/2P2R1P/2B1R1K1 w - -,c2c3
8/r5p1/P4p2/5k2/8/R1K1P1P1/8/8 w - -,c3d4
8/8/pp2k2p/2p5/1PPb1B2/P2p1K1P/6P1/8 w - c6,f3e4
3r4/1p1r2kp/p2q1pp1/P1RP4/8/2Q3P1/1P3P1P/3R2K1 w - -,g1g2
3rr1k1/pp1b1ppp/5n2/4q3/P1p1P3/2PB1P2/2Q3PP/R1B2RK1 w - -,d3e2
5r2/1r6/3pkpp1/1ppNn1p1/p2PP1P1/P1P3KP/1P1R4/2R5 b - -,e5c4
8/7p/5p2/4b1p1/2k1P2P/p4P2/2K3P1/2B5 b - -,a3a2
r3nrk1/q5bp/p2p2p1/2pN1b2/1pPn4/3BBP1N/PP1Q2PP/R4RK1 w - -,d3f5
