1R6/4k3/7K/4P1P1/8/8/4r3/8 b - -,e2h2
1b4k1/6p1/5p1p/8/2N5/5PP1/1K1N3P/5n2 b - -,f1h2
r2qk2r/ppp1p1bp/2np1np1/8/2PP2b1/2NBBN2/PPQ2PPP/R3K2R b KQkq -,e8g8
2R3k1/4n1pp/r3p3/p3PP2/6P1/8/7P/2B2RK1 b - -,e7c8
1k6/4b3/p3P3/2rpQ3/1p5P/qPrR2P1/2PR2B1/1K6 b - -,b8c8
1k1r3r/1b4pp/p1q5/1p3p2/3Pp3/4N3/PP3QPP/R4RK1 w - -,f2f5
5rk1/3Q1ppp/p3p3/1p6/P7/1P5q/2P1KP2/3R2r1 w - -,d1g1
1k1r4/p3npp1/Nprnp1b1/3p2Pp/PB1P3P/1PR1PP2/4BK2/2R5 b - -,b8b7
2kr1r2/1pp2p1p/p3p1p1/3qN3/2nP4/Q1P4P/PP3PP1/3RR1K1 w - -,e5c4
8/8/4K3/4R1P1/8/7k/8/r7 w - -,g5g6
8/1p1k2p1/p1p1p2p/P5bP/1PPPRrP1/8/4K3/6B1 w - -,e4f4
2k3r1/pb1n1p2/1p1p4/2pPq3/2P3n1/P1PBPQNR/1K4P1/3R4 b - -,g4e3
5r2/pp2k1pp/2pNb3/P1P1p3/1n2P3/1P3RP1/7P/5BK1 w - -,f3f8
rnBqk2r/pp3pbp/3p2p1/2pPp2n/4P3/2P1BPP1/PP5P/RN1QK1NR b KQkq -,d8c8
r1q1r1k1/ppp1bpp1/3p1n1p/3Nn3/2PN4/2B3Pb/PPQ1PPBP/R4RK1 w - -,b2b3
r1bQ1rk1/2p2ppp/p5n1/1pP5/5n2/1BP4P/PP3PP1/RNB2RK1 b - -,f8d8
4R3/8/8/6r1/4k3/8/4p2K/8 b - -,g5e5
2br2k1/3r1pp1/2pp4/p5p1/P2pP1P1/7P/1PPR1P2/3R1BK1 w - -,d2d4
5rk1/b2n2pp/pq2p3/1p6/1P2P3/6PP/3Q1nBK/RN3R2 w - -,b1c3
r1bqr1k1/bppN1ppp/p6n/3P1P2/2B1PB2/2N4P/PP2Q1P1/3R1K1R b - -,c8d7
r1b1k2r/ppp2ppp/2n2n2/3q4/3N4/2B1P3/PP3PPP/R2QKB1R b KQkq -,e8g8
3r1nk1/2q3p1/pp3pbp/3n4/2pPN3/P1P2P2/2BB2PP/1Q2R1K1 b - -,c7f7
r3k1r1/ppqbnp1Q/2n1p3/4P2P/3p1P2/P1p5/2P1N1P1/R1B1KB1R w KQq -,h7d3:h5h6
r1bq1rk1/pp2bppp/2np1n2/2p1p3/4P3/P1N3P1/1PPPNPBP/R1BQ1RK1 w - -,b2b4
r5k1/p3nqpp/1ppbnp2/8/2NP3P/1Q3NP1/PP1B1P2/2R3K1 b - -,d6c7
8/8/7k/7p/7P/5KP1/4Q3/3q4 b - -,d1d5
8/8/8/6k1/4BpP1/2p1n3/4K3/8 b - -,g5g4
rq3rk1/2b2ppp/pBp1b3/2Pp4/N7/5QP1/PP3P1P/R3R1K1 w - -,f3e3
3rr1k1/1b2bpp1/p1q1p2p/1ppn4/4N3/1PNP1P1P/1PPQ2PB/R3R2K w - -,e1e2
rn3qk1/pbpp1npp/1p2pr2/2P2p2/3PP2P/2PB1P2/P1Q3P1/R1B1NRK1 b - -,f5e4
1r6/4k1p1/p1rp1p1p/Rn2pPP1/2b1P2P/1BP1B3/1KPR4/8 b - -,h6g5
8/2k2pp1/pN2p2p/1p2n3/P7/4B3/1P3PPP/5K2 w - -,e3f4
1Qbr2k1/p2q4/1p3r2/5RpP/P1pPp1P1/2P1P3/6K1/5R2 w - -,f5g5
1nb2r1k/5rbp/p2p1q2/2pP4/PpN2p2/1Q3B2/1P1BPP1P/R3K1R1 w Q -,f3e4
8/1p2r1kp/p1p1q1p1/P1Rr1p2/1PQP4/4PR1P/6P1/6K1 b - -,e7e8
4b3/6p1/3k1p1p/1p2p3/4PP2/3BK1PP/8/8 w - -,d3e2
3b4/1p3k2/2b5/3NRp2/2PB1Pp1/r2P4/5P2/6K1 b - -,a3d3
r1bqk2r/2ppnpbp/p1n3p1/1p6/3PP3/5N2/PPB2PPP/RNBQ1RK1 b kq -,e8g8:d7d6:d7d5
6k1/1pr3P1/p3rp2/q2p1Qp1/2pP1p2/2P5/1P1B1P2/2R2KR1 b - -,a5b6
8/8/5k1p/6pP/8/5K2/8/8 b - -,f6e5
bk1r3r/q4p1p/1npp1np1/1p6/3RP3/1NN1QPP1/1PP4P/1K3B1R b - -,h8e8
r1b2rk1/1p2bppp/p3pn2/q7/P2N4/4B1P1/1PQ1PPBP/R2R2K1 w - -,h2h3
1kr4r/1bq1bp2/p2ppNnp/1p2n3/3NP1P1/1P5P/PBP2QB1/1K1R1R2 w - -,d1d2
8/5pk1/4p2p/p3P1pP/1p1q4/1PnN2P1/P3QP1K/8 w - -,e2c2
8/8/pp1p4/3Pk3/5r2/P3K2p/1P3P2/2R5 w - -,c1h1
2k1r3/ppp2p2/8/4n2p/1PrN4/P5P1/2P2P2/R4RK1 w - -,f1d1
1rrq2k1/1b2bppp/p3pn2/P2pN3/1B1P4/1Q4P1/1P2PPBP/R2R2K1 b - -,b7a8
4r3/5p1p/3k2p1/p2p4/Pp1p1N1P/1P1B2P1/3K1P2/8 w - -,d3e2
3r1rk1/2q1bp1p/p2pP1p1/1p1Pn2n/8/P2BBN1Q/1PP3PP/2RR3K b - -,e5f3
8/1b5P/1P3k2/5p2/R7/5p1P/3r4/6K1 b - -,f6g7
r1bqkb1r/pppn1ppp/3p1n2/4p3/2PP4/2N3P1/PP2PPBP/R1BQK1NR b KQkq -,g7g6:f8e7
5k2/3rnppp/1n6/2B5/5PP1/P4K2/1P2R2P/8 w - -,c5b6
r1bqnr1k/1pp3bp/3p2p1/p1nPpp2/2P1P1P1/2N1B2P/PP1NBP2/R2QK1R1 w Q f6,g4g5
rq3rk1/pb1p1ppp/4pn2/2p5/1nP1P3/2N5/PPNQBPPP/R3K2R w KQ -,f2f3
r1bqrnk1/1p3pb1/p1pp1npp/P3p3/1PP1P2N/1Q1P2P1/1B1NBP1P/R3K2R w KQ -,h4g2
r2r4/2p1kpp1/pn3n1p/1p2p3/1P2P3/P1N1P3/1P1RB1PP/2KR4 b - -,d8d2
2bn3k/r7/2p1p3/3pPp1P/PP1P1P2/8/3BBK2/6R1 w - -,a4a5
2N3k1/4bp1p/4p3/4n1P1/1p4P1/1P2B3/P6P/6K1 b - -,e7d8
8/8/p2Bk3/4P3/1P3K2/8/4r3/8 b - -,e2e1
r3r1k1/pp2qpp1/2p3p1/3n4/3Pp3/1P2P1PP/P1QB1PB1/4R1K1 b - -,a7a5
5k2/p4p2/3N3p/6p1/6P1/7P/P1br4/R5K1 w - -,d6c4
1r1r3k/1pb1q1p1/p6p/1bP1p3/6Q1/P1Rp1PNP/1P4P1/3RB2K w - -,a3a4
6k1/5pp1/p6p/4NN2/8/5P1P/r1r3P1/3R2K1 w - -,g2g4
8/p4pbk/4b1pp/2p1P3/1p1n1PP1/1PN1Q1BP/P1q3BK/8 w - -,c3e4
8/pp3p1k/8/5p1N/8/2n4p/PKP4R/8 b - -,c3d1
8/8/8/2kp2r1/5Rn1/4P1Pp/5p2/2R4K b - -,c5d6
r3k1nr/1p1n1p2/p2p1qp1/2pPp3/2P1P2p/2NBb1PP/PP2QP2/1K1R3R w kq -,e2e3
r1bqkb1r/pp1p1ppp/2n1pn2/2p5/4P3/3P1NP1/PPP2P1P/RNBQKB1R w KQkq -,f1g2
2r5/7p/p2k4/1p3p2/2P1p3/1P2PP2/P1R1K2P/8 w - -,f3e4
2r5/p1r2k1p/8/2Bp1pp1/PR1Pp3/1R1bP3/5PPP/6K1 w - -,h2h3
8/2N2pk1/5rpp/1Q6/p2P3r/Pb6/6PK/2R5 w - -,h2g1
r4rk1/pp1R1p1p/5RpB/8/8/7P/PP3PP1/6K1 b - -,f8d8
8/5k2/2PR2p1/4K1pp/6P1/3r3P/8/8 b - -,d3c3
4k3/5pp1/1p5p/p2P4/2P5/7P/P4KP1/8 b - -,a5a4
2q2r2/3b1rkp/1p1n1pp1/pPpPp3/2P1P1PP/1P4N1/4B1R1/3Q1RK1 b - -,c8d8
r1b2rk1/1p3pb1/3q2pp/1P1Np3/n1QpN3/4P3/5PPP/2R1KB1R b K -,d6a3
r5k1/P4pp1/1Q2pn1p/3q4/7P/1p3PP1/1P3BK1/R7 b - -,g8h7
4rnk1/1b2ppbp/p5p1/PpBPPq2/5P2/5B2/1P3QPP/3R1RK1 b - -,f5f4
2B3n1/8/5k2/4p3/5pKP/8/8/8 b - -,g8h6
4r1k1/pbq4p/5np1/2p1pp2/2Pr4/1P3PN1/P1BR2PP/3RQ1K1 b - -,g8f7
rR6/2pbq3/3b3k/2pPp1np/2P1PppB/3N1P2/r3B1PP/1R1Q3K b - -,e7g7
