8/1B4p1/8/5np1/5k2/8/5K2/8 b - -,g5g4
8/6k1/1r1p2p1/p1pPp1q1/P1P5/1pR1P1P1/1P2Q1K1/5r2 w - -,e2f1
7R/8/2kp3p/1p4pb/1P6/2K2r1R/2P5/8 w - -,h3f3
6k1/3n1ppp/B3b3/8/P7/2N5/1r3PPP/R5K1 b - -,d7c5
2R5/p5kp/8/2pr1pp1/2p5/2P5/PrP2PPP/R5K1 w - -,c8c7
r1bq1rk1/pp3ppp/4pn2/3n4/1b1P4/1BN2N2/PP1BQPPP/R4RK1 b - -,c8d7
r1bq1rk1/1p2nppp/p1np4/2p1p3/P1B1P3/2NPN3/1PP2PPP/2RQ1RK1 b - a3,c8e6
2k3r1/8/6r1/1p2p2R/pbb1P3/5P2/5KP1/2BRN3 w - -,h5e5
3nr1k1/2p4p/3b2p1/3p1p2/1p1P1P2/1P1NP2P/rBR2KP1/3R4 w - -,f2f3
r5k1/1p2pp2/3pn2p/1P2bq2/2P1P1p1/8/1B3RPP/3R3K w - -,e4f5
8/3nk1p1/p2p1p1p/3PpP2/n3P3/7P/3B2PK/1B6 b - -,d7c5
8/pp6/5r2/P1pp1k1p/2n1bP2/2P3PP/2P1R3/R3K3 b - -,f6a6
r1bk3r/pp1pppbp/2n3p1/3Nn1N1/5B2/8/P1P2PPP/3RKB1R b K -,d7d6
3r3r/p1kb1ppp/2p2n2/2b5/5p2/2NR3P/PPN1PPP1/2K2B1R w - -,d3f3
rn2rk2/1bp2ppp/pp1p1n2/3P4/2P5/2NB1N2/PP1K1PPP/R6R w - -,h1e1
1r3rk1/2n2pbp/pq1p2p1/n1p1p3/b1P5/P1BPP3/3NBPPP/Q1R1NRK1 b - -,a5b3
r1bqkb1r/pppp1ppp/5n2/4p3/2B1P3/2N2Q2/PPPP1PPP/R1B1K2R b KQkq -,f8c5
6R1/8/8/8/8/7p/6rk/5K2 w - -,g8h8
k5rr/pbqnbp2/1pn1p3/2ppP1p1/1P1P4/P1P2NP1/4QPB1/R1B1RNK1 w - -,c1e3
3qr1k1/1pp2ppp/1p1p1n2/7r/2PNP1b1/3P2Q1/P1PB2PP/R4RK1 b - -,g4d7
4r2k/5pb1/p2p3p/1N6/QP3Pb1/4q1P1/P2R2B1/3R1K2 b - -,a6b5
r1b1k2r/ppq2pb1/2p1pn2/3p2pp/2PP1P2/4P1P1/PPQNB1P1/RN2K2R w KQkq -,b1c3
1R6/8/8/8/6k1/p4p2/1r6/5K2 w - -,b8g8
r5k1/2r2p1p/1n1N2p1/3Pp2n/1p2P3/1N3PP1/1P2R2P/2R2K2 b - -,c7c1
1r6/5ppk/2p5/3b4/1P2p1P1/2B1P2P/6P1/R5K1 b - -,b8b5
r2nk2r/ppq1bppp/2b1n3/4P3/3pN3/P2B1NQ1/1P4PP/R1B2RK1 b kq -,c6e4
rnbqrbQ1/2p4p/1p1k1p2/p1p1pP2/P6N/1PBP2R1/2P2PPP/R5K1 w - -,g8h7
3nr1k1/1p2q2p/5p2/1PR1p3/p7/P3QP2/1B2PK1P/8 w - -,c5c4
r1b1k2r/pp1n2p1/2nbpq1p/3p4/3P4/3B1N2/PP1BNPPP/R2Q1RK1 b kq -,e8g8
rq5r/1N1nkpp1/1p3n1p/4p3/1PP1P1P1/8/P4PBP/R2QR1K1 b - b3,b8b7
r3k2r/pp3ppp/2nNp3/q1pnP2b/Q4B2/2PB3P/PP3PP1/R4RK1 b kq -,e8d7
1r1r2k1/1p3pbp/1Rp3p1/p3P3/P1bP1P2/2N3P1/6BP/R5K1 b - f3,f7f6
rnbqkb1r/pp2pppp/5n2/2pp4/2P5/5NP1/PP1PPPBP/RNBQK2R b KQkq c3,d5d4:e7e6
3r2k1/1b3pp1/pqn1r2p/1p1n4/4N3/P2Q1N1P/1PB2PP1/R3R1K1 w - -,a1d1
6k1/2N2p2/2bB4/4K3/8/8/2B5/r7 b - -,a1e1
8/1p6/p3Bk2/5P2/6p1/2n1K3/P6r/5R2 w - -,f1g1
5rk1/2qn1rbp/pnp1p1p1/Q2pp3/2P5/N2P2P1/PB2PPBP/2R2RK1 b - -,c7b7
