6R1/8/3p4/4bk2/8/2p4R/2r5/4K3 b - -,f5e4
r6k/1ppnq1pp/rp3pn1/4p3/1P2P3/1QP2N1P/P4PP1/R1B1R1K1 b - -,b6b5
r4rk1/ppqn1ppp/2pbpnb1/8/2BP1N2/2P2QN1/PP3PPP/R1B2RK1 w - -,c4b3
8/8/8/1r4p1/8/k2R3P/p3K3/8 b - -,b5b3
r6k/7p/p4Np1/8/1Bp1bP2/8/PPP3PP/2K4R w - -,f6e4
6k1/p5pp/1p3p2/P1R5/3p4/3P2P1/4PPKP/8 b - -,b6c5
r4rk1/pbq2pp1/1p1bpn1p/4n3/2P5/1P1B1N2/PB2QPPP/R3R1K1 w - -,f3e5
1r2q1k1/p1Q1Br1p/1n1p2p1/4bp2/2Pn4/2NB3P/PP3PP1/R3R1K1 w - -,e1e5
2k5/8/1K6/8/P7/8/8/8 w - -,a4a5
r3r1k1/pb2bppp/1p1pq1P1/2p4P/4n3/2PQBN2/PPP1BP2/1K1RR3 b - -,f7g6
3r1rk1/1p2pbb1/p1pp1n2/5pp1/2PP4/1PBNPPP1/1P4B1/R2R2K1 b - -,f6d7
r6r/pp1b2k1/3Pq1p1/2p1np2/7P/2P1N1Q1/P4P2/2R1KB1R w K -,f2f4
8/3nkpp1/4p2p/2rpP3/1r3P2/pPR3P1/P4KBP/3R4 w - -,d1c1
r3r3/1p1q1pk1/2p2bpp/1nB5/p1Rp3P/P2P1BP1/1P1QPPK1/1R6 b - -,a8a6
r2q1rk1/ppp1bppp/3p1n2/4nQ2/4P3/2N1B3/PPP2PPP/R3KB1R w KQ -,f1e2
r4r2/8/pRp1k1p1/P2b4/4p1K1/4B3/5PP1/2R5 b - -,f8f7
r1bqk2r/pp2ppbp/6p1/3Pn3/4N3/5N2/PP3PPP/R1BQK2R w KQkq -,c1f4
rn1q1rk1/pbp1bppp/1p3n2/3p4/3P4/2P2N1P/PPB2PP1/RNBQ1RK1 w - -,f1e1
