8/4k1PK/8/8/8/8/7r/5R2 w - -,h7g8
2r1r1k1/1q2ppbp/1NP1nnp1/p2p4/3P4/1Q2P2P/P3BPPB/1R3RK1 b - -,c8c6
r3r3/1p2k2p/2p1bp2/p1n1p1p1/2P1P3/2NnKPPP/PP1R4/3R1B2 w - -,f1d3
8/k3Q3/p1q2p2/8/1r5p/4P3/5PP1/6K1 b - -,b4b7
1rbq1rk1/p1N2ppp/1p1bpn2/8/1n1P1B2/5N2/PP3PPP/1BRQ1RK1 w - -,f4d6
r2qrbk1/1b3p1p/2pp1np1/ppnPp3/2P1P3/1P2BNNP/P1B2PP1/R2QR1K1 b - -,b7a6
2r1r1k1/5p1p/p4np1/1p1p4/2nN4/2P4P/PPR2PP1/3RN1K1 b - -,c4b6
2r1k2r/3n1p2/1q2p1pp/n2pPP2/1p1P2P1/pP1BQN1P/2P2R2/R5K1 b k -,g6g5
2rr2k1/1p3ppp/pbp1pn2/8/RP1P4/2B1PBP1/1P3P1P/R5K1 b - -,f6d5
6k1/4q2p/3p4/2p1b2Q/1pP1B1P1/pP1P4/P5K1/8 w - -,g4g5
2R5/pr3pk1/5npp/3p4/8/1P1B2P1/P4PP1/6K1 w - -,g1f1
7r/pk6/1p6/4Pq1p/2QP1p2/P1P4R/2b4R/7K w - -,c4d5
1r1r1k2/1p3p1p/pq1p1Q2/4pP2/bPP1Pb2/P2PpR1P/4N3/5BRK w - -,g1g7
6k1/p5p1/1p2p1p1/nP1rP2p/P2B3P/2R1PP2/5KP1/8 b - a3,d5d7
1r1qr1k1/4npb1/2bp1npp/4p3/P3P3/B4N1P/B2N1PP1/R2QR1K1 w - -,d2c4
8/5k1p/3Pnpp1/2N5/3KB2P/8/b5P1/8 w - -,c5e6
r1q2r2/ppp1b1pk/2npbn1p/3Np3/2P1P2N/1P4PP/P4PBK/R1BQ1R2 b - -,e7d8
b2r1r1k/p3q1p1/3b2p1/2p5/2B1pp2/1P2P3/PB3PPP/Q2R1RK1 w - -,e3f4
5k2/N7/8/6p1/1Pp5/P1P1K1pn/8/8 w - -,e3f3
rnbq1rk1/pp4bp/2pp1n2/4pp2/2PP4/2N3P1/PP2NPBP/R1BQ1RK1 b - -,c8e6
