5b2/5k2/p5np/2pKPN2/2P5/1r4B1/7R/8 w - -,h2d2
rn1q1rk1/pb2bppp/1p1ppn2/2p5/2PP4/2N2NP1/PPQBPPBP/R4RK1 w - c6,d4d5
r4rk1/pp1q2bp/3p4/2pPnpB1/8/3P3P/PPPQ1RB1/R6K b - -,e5g6
2r4r/p3k2p/1p1pp1p1/7P/4Pb2/1R3P2/PPP2P2/1K5R w - -,b3a3
rnbqk2r/p3bppp/1pp1pn2/3p4/3PP3/P1N1BP2/1PP1N1PP/R2QKB1R w KQkq -,e2g3
r1bq1rk1/pp1nbppp/2p1pn2/8/2pP1B2/2N2NP1/PP2PPBP/R2Q1RK1 w - -,a2a4:e2e4
8/p6p/1p2kpp1/3pp3/2rP2PP/b1P1PP1K/P3R3/4B3 b - -,b6b5
3k4/1p3pb1/2b3p1/P1Bp2P1/3P1P2/2KB4/8/8 b - -,c6d7
8/3r2bk/pB3npp/5n2/1N6/1R3P2/2r3PP/1R3B1K b - -,c2d2
1nkr1r2/1p2q3/p7/1Pp2n1p/4p1pP/2Q1P1B1/P2N2P1/4RRK1 w - -,f1f5
1r1qnk2/N2b2b1/3pp1p1/1p2P2r/3B1P2/1P1Q2P1/6B1/2R2RK1 b - -,d6e5
1qr2rk1/pp1nppbp/2p3p1/2Nn4/3P4/1Q2PB1P/PP1B1PP1/2RR2K1 b - -,d7c5
r3r3/3p1pkp/P2Pn1p1/R7/2B5/4B3/2PK2bP/1R6 b - -,e8c8
r1bqk2r/pp2ppbp/3p1np1/3P1n2/5P2/2N3P1/PPP1NBBP/R2QK2R w KQkq -,h2h3
r2q1rk1/2n1b1pp/4p3/ppnpPp2/5P2/2P1BN2/PP2N1PP/R3QR1K w - -,e2d4
4B3/8/2K2kp1/4p1p1/P3P1P1/5P1P/8/4b3 b - -,e1d2
1r3rk1/p1p1q3/P2pp2p/2pb2p1/1P2N3/5B1P/2Q3PB/R6K w - -,b4c5
r1b2rk1/pp2q1pp/2pp2nb/4pp2/2PP1Pn1/PPN1P2N/1B1QB1PP/R4RK1 w - -,g2g3
2q1r1k1/1p3pp1/p4n1p/bP6/P1b2PP1/2N1PQ1P/1B2B2K/2R5 b - -,c4e2
2R5/3r1k2/3p2p1/3P4/4p1pP/6K1/5P2/8 b - -,d7a7
r4rk1/p3ppb1/3p3p/qppP2p1/b1P1P3/4N1P1/PP2BPPK/R1Q2R2 b - -,b5c4
rnbqkb1r/1p2pp1p/p2p1np1/8/4PP2/2N2N2/PPP3PP/R1BQKB1R b KQkq -,f8g7:d8a5
8/8/3R4/P4p2/r2kp3/6P1/2K4P/8 b - -,d4e5
3R4/2p1r1k1/1p4p1/1PnB1p1p/5K1P/6P1/8/8 b - -,e7d7
r4rk1/2pq1pp1/p2b1nnp/1p1Pp3/1P2P3/1QN2NP1/P2B1P1P/1R2Rb1K w - -,e1f1
r3r1k1/1pp2pb1/2p3pp/p1n1P1B1/3N1Pb1/2N5/PPP3PP/2R1R1K1 w - -,g5h4
r3r2k/p5pp/1qpp1p2/4nP2/1PP5/P1Q5/2B3PP/R4R1K w - -,h2h3
5q2/p2r2k1/2p2pp1/3b3p/3P3P/1P3PB1/P3R1P1/2Q4K b - -,g7f7
3rr1k1/6p1/5pqp/1Q5R/4PP2/2N1n1N1/6PP/1R5K w - -,b1e1
r3k2r/p1p2p2/np2p1pp/1q1pP3/n2P2Q1/P2P1N2/3B1PPP/2R1R1K1 w kq -,g4h4
r4rk1/5pbp/pnpq2p1/Pp1p4/1P1P4/2NBPQ1P/5PP1/1RR3K1 b - -,b6d7
8/1p3k2/2n2n2/p2b4/P2PpP2/2P2p1P/1PB2P1K/6R1 w - -,g1g5
r1bq1rk1/1pp1bppp/p3pn2/8/P1pPP3/1nN1BNP1/1P3PBP/R2Q1RK1 w - -,a1b1
4rr1k/1Q1P2pp/1pB2p2/8/5Bb1/6P1/5K1P/3q4 w - -,d7e8q
2r3k1/5p2/3q2p1/1bb1n2p/1p1pPN2/1P4PP/R1P2BBK/3Q4 w - -,h2h1
r2q1rk1/3nbppp/2b1p3/p2p2P1/1pB1P3/4BPN1/PPPQ3P/R3K2R w KQ -,c4d3
r1bq1rk1/pp2b1pp/4p3/n1ppP2N/3P1p1P/5P2/PPP5/R1BQKBNR b KQ -,e7h4
r2q1r2/1p4bk/2n3pp/p1pbpp2/1P6/P2P2P1/2NBPPBP/1R1Q1RK1 b - b3,d5g2
2r1r3/4k2p/3p1pp1/2n5/3RPP2/2P3KP/6B1/5R2 w - -,f1d1
3rr3/ppp1qpbk/n1p3pp/5b2/2P1PB1P/PPN3P1/5PB1/1RQ1R1K1 b - e3,f5g4
8/1k6/2B5/2K5/PN6/r7/8/8 b - -,b7a7
6k1/2R1Rp1p/p2p2p1/1p6/1P6/7P/3r1PPK/r7 b - -,d2f2
r2qkb1r/1p2pppp/p1n5/3p1b2/3PnB2/2P2N2/PP1N1PPP/R2QKB1R w KQkq -,d2e4
5r2/2p2b1k/1p1p3p/pP1Pp2q/P1P1P2P/4B1rQ/3K4/6R1 w - -,g1g3
8/2r5/1p4k1/bP2p1p1/6p1/8/5PKB/3R1n2 w - -,h2e5
r5k1/1pq2p1p/p1b1p1p1/4N1Pn/2PR3P/4Q3/PPB2P2/2K5 b - h3,a8d8
8/p2r4/3P4/p1P1k1p1/6Pp/3p1K1P/3R1P2/8 w - -,d2d3
8/4r3/1B3k2/4N2p/4K3/6P1/8/8 w - -,b6d8
1Q6/4qpk1/3p2p1/2nPp2p/4P2P/r5P1/5PB1/1R4K1 b - -,a3a2
r1bqr1k1/pp1nbpp1/2p2n1p/3p4/3P4/2NQ1NP1/PP2PPBP/R1B1R1K1 w - -,e2e4
2kr3r/1pp2ppp/p3p3/5b2/Pq1Pn3/N2B1N2/5PPP/R2Q1RK1 b - -,b4c3
r1bq1rk1/pp2p1bp/1n1p2p1/3P4/2P2Pp1/1PN1B3/P5PP/2RQK1NR w K -,g1e2
4r1k1/p4pp1/1p4q1/3Ppbp1/2P1n2B/5P2/P1Q3PP/2RR2K1 w - -,f3e4
2n3k1/pp3p1p/4r3/P1p3p1/2PP4/2PB2P1/6KP/4R3 w - -,e1e6
