5k2/1R6/p7/6pp/8/5P2/PPr3PK/8 w - -,h2g3
2rqkb1r/1p2np1p/p2p1p2/3Pp3/8/N7/PPP1BPPP/R2QK2R w KQk -,e1g1
2r1r2k/1p4np/1q1pp3/pP6/P2p1Pp1/3P1B2/1P1QR2P/4R1K1 w - -,f3g4
6k1/6p1/8/p2RRn2/1p6/2r4P/5K2/8 b - -,f5h6
3r2k1/p3ppbp/1p4p1/4p3/4P1nP/1NN1B3/PPP3P1/2K4R w - -,h1d1
8/rr1pk1p1/1RnRp2p/2P1Pp2/p4P2/PpB5/4K1PP/8 w - -,c3b4
2Q5/p4rk1/1p3q1p/2pp1PP1/3p1R2/1P2nR2/P6P/6K1 b - -,h6g5
rn1q1rk1/pp2ppbp/5np1/3p4/3P1B2/2NB1Q1P/PPP2PP1/R4RK1 b - -,b8c6
2r5/5p2/7k/p2pPp2/Pp1P3p/1P5P/5P1K/4R3 b - -,c8c3
2b1R1k1/r6p/1p1P1qp1/p1p2nN1/P1P4P/1P1N4/5PB1/4R1K1 b - -,g8g7
1R2n1k1/4pp1p/3p2p1/3P4/r3P3/5NPP/5PK1/8 b - -,g8f8
rnbqk2r/2bp1ppp/2p1pn2/p7/RP1PP3/1NPBB3/5PPP/Q3K1NR w Kkq -,h2h3
8/r5k1/5npp/p1R5/Bp4p1/5n1P/PP6/7K w - -,h3g4
7k/1p5P/2b1PK2/2Pp1B2/8/8/8/8 b - -,c6b5
r1bq1rk1/3nbp1p/p3p1p1/1p1pP3/3P4/2N3Q1/PP3PPP/R1B1NRK1 w - -,c3d1
4r1rk/2p3bp/1p2q3/p2pP1p1/Q1nP1p2/P6P/2P1RBPN/5R1K w - -,f2g1
4qr1k/3r2b1/p2p2pp/3Pp1nn/2P1N3/BR4PP/2Q2P2/1R3BK1 w - -,e4d6
rn1q1rk1/pp2bppb/2p1pn1p/3p4/4PN2/1N1P2P1/PPP1QPBP/R1B1R1K1 b - -,d5e4
2kr1b1r/ppp1qppp/3p1n2/4p3/2BnPP2/2NP3P/PPP2QP1/R1B2RK1 b - -,h7h6
5b2/5pkp/8/p3p3/2q2p2/1RPR1P2/P1K3PP/6B1 w - -,c2d2
rn1qk2r/2p1ppbp/p2p2p1/1p1bP3/3P1P2/3B1N2/PPP3PP/R1BQ1RK1 w kq -,d1e2
8/2R2k2/5p1P/5P2/6PK/8/8/r7 b - -,f7g8
8/p6p/1p2b1k1/1P6/P1P1pP2/6NP/7K/8 b - -,e6c4
r3k2r/1p3ppp/p1n1p3/1qn1P3/8/P3B3/1PQ1NPPP/3R1RK1 w kq -,e3c5
1r1r2k1/p1p3p1/5q2/Q2R3p/6n1/1P3nPB/P3PP2/2R3K1 w - -,e2f3
1r2qr1k/p1b3pp/2p5/2Pn1p2/3P1P2/P3p2P/1P1B2P1/R1Q1NRK1 w - -,d2c3
7r/3q2kr/1p1pbpp1/p1p1p2n/2PnP3/1PBP1PP1/PR3R1P/3Q1NKB w - -,a2a3
2B3k1/r4p1p/p3b1p1/1p6/5P2/P2P2P1/1R2PK1P/8 w - -,c8e6
3R4/r7/8/8/6p1/3P1k2/3K1P2/8 b - -,f3f2
8/5p2/2rp1kp1/4p3/P3Pn2/1B5p/R4P1K/8 b - -,c6a6
2rq1r1k/pp2bpp1/4p2p/2nn4/b1NNB3/P3P1B1/1P3PPP/1QR2RK1 b - -,c5b3
r3r1k1/1bpq1pp1/pb1p2np/np6/3PPB2/1P3NNP/P1BQ1PP1/R3R1K1 b - -,a5c6
1n6/p2p1k1p/1p3p2/1P6/6P1/P7/2R4P/6K1 b - -,d7d5
2r1rqk1/1bpn2bp/pp1p2p1/3Pp2n/1PP1Pp2/2N2P1P/P2Q1BP1/1BRRN1K1 b - -,c8d8
r1bqk2r/1pp2ppp/p1pb1n2/4p3/4P3/3P1N2/PPP2PPP/RNBQ1RK1 w kq -,b2b3:b1d2
8/6B1/8/6K1/pk4p1/8/6b1/8 w - -,g5g4
6k1/q4p2/2p1bbpp/4p3/2P1P3/pP3NPP/1Q3P2/5BK1 w - -,b2a2
r2q1rk1/pp2ppbp/nn4p1/2pP4/P3P1b1/2N2N2/1P2BPPP/R1BQ1RK1 w - -,a4a5
2b1r1k1/1p3ppp/3p2n1/Q2Pb2q/1PP1p3/R3B3/3N1PBP/4N2K w - -,d2f1
8/2b5/4pp2/3p1k1p/5P1r/R1P1P3/3B2K1/8 w - -,a3a7
8/p4qbk/1p1r2pp/2pNp3/2P1Pp2/PP1R1P2/4Q1PP/6K1 w - -,d5f4
r2q1rk1/1pp1bppp/p1n1pn2/8/P1pP4/2N1PBP1/1PQ2P1P/R1BR2K1 b - -,c6a5
8/6p1/5n1k/5r2/R6P/6K1/8/8 w - -,a4a3
3q1r1k/1r4pp/pN1p4/P2Pb3/6Q1/8/1PR4P/6RK b - -,b7f7
3r3r/5k2/5pp1/2bb4/1pp2B2/3p1NP1/PP5P/R2R3K w - -,h1g2
6k1/3R4/6n1/5pN1/r4P1p/7P/6PK/8 w - -,d7d5
r7/1b3pk1/p3p1p1/1pn1p2p/7Q/qBB1R3/2P2PPP/4R1K1 w - -,c3b4
r4rk1/1q1nbppp/1pp1pn2/2Pp4/1P1P1B2/2NQPN1P/5PP1/R4RK1 b - -,a8a1
1k1r1r2/ppqb2p1/1n2p2p/nB1pP3/3N4/P1P1QN2/5PPP/R3R1K1 w - -,f3d2
3rbr2/p3n1k1/R4p2/3Bp1p1/P7/2N5/1PP5/2K1R3 w - -,d5g2
8/8/1k3p2/1n1p3p/1p2P2p/3K1P2/6P1/2N5 b - -,d5e4
8/r7/Pr1k3p/4p2R/2Bp4/2bP2P1/R1K2P2/8 w - -,h5h6
2r2r2/1p4pk/4pn1p/R7/P1BNb3/1P3NPP/5P1K/8 w - -,f3e5
5k2/p2n4/1r4pp/3N1p2/8/1P3P1P/P5P1/4R1K1 b - -,b6d6
r1b1r1k1/ppq1bpp1/4p2p/2pnP2P/3pNQP1/3P1N1B/PPP2P2/R3R1K1 w - -,f4d2
r1b2rk1/pp1nqpbp/2p3p1/2p1p3/1PN1P3/P2P1N1P/2P2PP1/R1BQ1RK1 b - -,f8d8
r1bq1rk1/1p1n1pbp/p2p1np1/2pP4/P7/2N2NPP/1P2PPB1/R1BQK2R w KQ -,e1g1
r4qnk/p7/4pPBp/1p2P2P/2p2R2/2Pp4/PP4Q1/R6K w - -,g2b7
r1bqkb1r/pp1pnppp/4p3/1B6/3QP3/8/PPP2PPP/RNB2RK1 b kq -,a7a6
rnbq1rk1/p4ppp/1p2p3/2bN4/5B2/P3PN2/1P3PPP/R2QKB1R b KQ -,d8d5
r2qkb1r/pp1bpppp/3p1n2/n1p5/3PP3/1QPB1N2/PP3PPP/RNB1K2R w KQkq -,b3c2
