8/Q4rpk/5qp1/3Bp3/4P1Pb/7P/P4PK1/8 w - -,d5f7
r1nrn1k1/1pq2pb1/2p3pp/2P1p3/N2P3P/3R2P1/PPQB1PB1/3R2K1 w - -,d4d5
1k2rb1r/p1ppq1pp/b1p5/3np3/2P5/1P4PB/PB2QP1P/RN3RK1 w - -,f1e1
2rq1rk1/pp2bppp/2n1bn2/4N1B1/2pP4/2N3P1/P3PPBP/R2Q1RK1 w - -,a1b1
2rq1rk1/3nppbp/ppbp2p1/2p5/1PPP4/P3PN1P/3QBPPB/1R1R2K1 b - -,c6f3
8/4k3/5ppp/8/1nB1KPPP/8/8/8 b - -,e7f8
1rbqkb1r/p2p3p/4ppn1/2p5/4Q3/2N2N2/PPP2PPP/R1B1R1K1 b k -,b8b4
r1b1k2r/pp2qp1p/6p1/4nP2/2PpB3/NN2b1P1/PP2P2P/RQ3R1K w kq -,f5f6
rnbq1rk1/pp4pp/2p5/3p1p2/3PnP2/2N1PN2/PP3PBP/R2Q1RK1 b - -,b8d7
r1b2rk1/pp2qppp/3p4/8/4NPP1/5B2/PPPQ3P/2KR3n w - -,f4f5
8/1p6/2p4R/Pp2k1P1/1P5p/1r6/5K2/8 w - -,h6h4
8/4nN2/4P1kP/6p1/4R1P1/3p4/r4P2/3K4 b - -,a2f2
8/8/7k/7P/2P2KP1/8/8/3b4 w - -,f4f5
8/3b3p/p2k2p1/1p1Pp3/P3Pp2/1B1K1P2/6PP/8 w - -,a4b5
2r5/1b2kp1p/5p2/p7/2p5/2R1PN1P/P2K1PP1/8 w - -,c3a3
6k1/pp4p1/2p5/6p1/2NP4/6Pb/r6P/1R5K w - -,h1g1
1r1qnrk1/4ppbp/b1np2p1/p1p5/1p2PPP1/1P1P1N1P/P1P1N1B1/1RBQ1RK1 w - -,d1e1
8/p2k4/2N5/2p1P3/6Rp/1PP5/r5n1/3K4 w - -,c6b8
r5k1/2pb1ppp/2pp3r/p1b5/2P2N1q/1P2PQ1P/PB3PP1/R4RK1 w - -,a1d1
r1r5/1p4k1/6pp/1NPpp3/7P/6K1/3N1PP1/1R6 w - -,b5d6
2r2k2/5ppp/4p3/2r5/2P2P2/2R5/5KPP/2R5 b - -,f8e7
r1r4k/p2bp1b1/2pp1q1p/5P1N/1PP3Q1/P3B3/6PP/2R2RK1 b - -,f6e5
5k2/8/6p1/2P5/3K4/R5P1/7r/8 w - -,a3e3
2r2rk1/1N3p2/p1n1bb1p/6p1/8/4p1B1/PPR1BPPP/5RK1 w - -,f2e3
1r3rk1/2nqppbp/1P1p2p1/3Pn3/2p1PN1P/2N1B3/1PQ1B3/4K1RR b - -,c7a6
3R2k1/p4p1p/2p2b2/2p3p1/8/2P3PP/PP3P2/2B2K2 b - -,f6d8
5k2/p4pp1/4p2p/8/1P3P2/PN3KP1/7P/6b1 b - -,f8e7
