8/1k6/nP6/P2Kp2p/5pp1/8/5BPP/8 b - -,a6b4
1rr3k1/bp1q1p2/p2p1pnp/8/5p2/PQ1PP1PP/1P1B2BK/2R2R2 w - -,c1c8
r5k1/2q2p2/p2p2pp/5P2/Pp6/2p3P1/5N1P/Q3R1K1 w - -,f5g6
r3k2r/pp2bppp/2bppn2/q5B1/4P3/2NQ1N2/PPP2PPP/1K1R3R b kq -,e8g8
r3kb1r/pp1n1ppp/2p1pn2/3q4/3P2P1/6QP/PPP1NPB1/R1B1K2R b KQkq -,d5c4
r6k/1p1b1qpp/p3pb2/4p3/4N3/1P2QN2/1PP3PP/R6K b - -,d7c6
r1rq2k1/3N1pbp/p3p1p1/3p4/B1nP1B2/2P3PP/P4PK1/1RQ5 b - -,d8a5
8/3k1pp1/p3n2p/1p1KP3/7P/P1B3P1/8/8 w - -,h4h5
1B2nk2/5p2/p1B3p1/3P1nPp/P3p3/4P3/5K2/8 w - -,b8a7
6r1/p7/1p3ppp/2pPkp2/2P2RPP/1P2PK2/P7/8 b - -,f5g4
R7/5b2/3k2p1/1p1p1p2/p7/4PP2/P4KP1/8 w - -,a2a3
r4rk1/pp1nqppp/2p1pn2/3b4/P1NP4/4P3/1P1NBPPP/RQ3RK1 w - -,c4e5
1rqr2k1/2pb1pp1/2n2n1p/ppb1p3/4P3/2P2NPP/PP1NQPBK/R1BR4 b - -,d7e6
r3rbk1/1ppq1pp1/3p1nbp/p7/P1PP4/1Q2B2P/1P1N1PP1/3RRBK1 w - -,g2g3
8/1p1k1r2/2b2p2/R1Pp2p1/3P2P1/3B1P2/6K1/8 w - -,a5a8
rn1q1rk1/pbpp1pbp/1p2pnp1/8/2P5/1P1PPN2/PB2BPPP/RN1Q1RK1 b - -,c7c5
2rr2k1/1p1n2pp/p3b3/5p2/3Bpn1P/1NP5/PP3PP1/2KR1B1R b - -,b7b5
8/2p3kp/3p1pp1/2r5/r1PRPP2/4R3/2P3PP/6K1 w - -,e3c3
2r3k1/pp2qpp1/4bn1r/1Bp4p/2P5/5Q2/PB4PP/4RRK1 w - -,b5a4
8/7k/4P1R1/1B3P1p/P6P/2K5/8/1q6 b - -,b1f5
