8/4kb2/1R6/p4P2/7N/P3P1K1/2r5/8 w - -,h4g6
r1bqk2r/ppp2ppp/1bnp1n2/1B2p3/4P3/2P2N1P/PP1PQPP1/RNB1K2R w KQkq -,d2d3
r1bq1rk1/pp3ppp/n1P1pn2/3p4/1bP5/2N1PN2/PPQ2PPP/R1B1KB1R b KQ -,b7c6
8/1p2r3/p4n2/P1P1k1pp/1P1Rp3/2N1K1PP/8/8 w - -,d4d8
2n2k2/5ppp/1p2p3/pP1p4/P2PPN2/5P2/4K1PP/8 b - -,c8e7
2rr4/1pq1kp1p/p2pp1p1/4n3/1PP5/P1R1P3/2Q1BPPP/2R3K1 b - b3,d6d5
rnbqkb1r/1p3ppp/p1p1pn2/8/2pP4/2N2NP1/PP2PPBP/R1BQK2R w KQkq -,f3e5
8/2p1k3/1n1p3p/3Pp1pP/1P2P1P1/3K1R2/8/8 b - -,b6d7
r1b1k2r/ppp2pp1/2np1q1p/3Pp3/1bP5/1QN1PN2/PP3PPP/R3KB1R b KQkq -,b4c3
r4rk1/pp1b1ppp/4p3/3q4/P1pP4/5N2/3QBPPP/R3K2R w KQ -,e1g1
1qr1r1k1/5pbp/6p1/3Rn3/1pp1P3/4BP2/1PQ1B1PP/3R2K1 w - -,c2a4
8/1Q1k4/8/P7/5P2/1PB5/q7/2K5 b - -,d7e6
6k1/ppq1rr1p/5np1/1R1p1p2/P1pP4/2P1PP2/1R3KPP/1Q3N2 w - -,b1c1
r1q1kn2/1bp1b2p/pp3n2/8/P1B5/3P4/1PPBQPPP/2KR3R b - -,c8g4
1R2r2k/5qp1/p1p4p/2PbQ3/8/P4PNP/6P1/6K1 b - -,e8b8
1r2kr2/2qbb2N/p3p1p1/n1p2p2/2P4P/P3P3/KBQNBP2/3R4 b - -,f8f7
2k3r1/1ppr3p/pb3p1p/8/2b1PP2/PN1N1RP1/1KP4P/3R4 w - -,b3d2
r3k2r/ppp2ppp/3q1n2/8/2p1P3/1P1BP3/PB1N1PPP/3RK2R w Kkq -,d3c4
8/5ppk/p3p3/7p/2p4Q/5q1P/5PR1/7K w - -,h4c4
3q1nk1/1p2r1p1/p1p1pr1p/P2n4/2RPQP2/1N4P1/1P5P/1B2R1K1 w - -,b1c2
2r3k1/p3bp1p/6pB/3R1p2/P3q3/1P2Q3/5PPP/K2R4 w - -,e3e4
3r2k1/3P1p1p/4p1p1/pPNb4/3R4/5P2/P2K4/8 b - -,g8f8
2r2r1k/q3npbp/1p2pBp1/p2pN3/3P1QP1/2P4P/PP3P2/3RR1K1 b - -,e7f5
1R2b3/4r1k1/R5p1/p1rP1p2/1pP1p3/1P5P/P3B1P1/6K1 w - f6,d5d6
r1r1n1k1/p3qpp1/2npp2p/2p5/2P5/2B2NP1/PPQRPPKP/3R4 w - -,c2e4
r1b1r1k1/5ppp/p1nqpn2/1p1p4/3P4/4PNP1/PP2NPP1/1BRQ1RK1 b - -,c8d7
1r1kr3/p2p1p1p/b2b2p1/N1nP4/3N4/P4BP1/2R2P1P/3R2K1 b - -,f7f5
rnbqk2r/p1p2ppp/1p2p1n1/3pP3/3P2QP/P1P5/2P2PP1/R1B1KBNR b KQkq h3,h7h5
1rb2rk1/1p2bppp/p1nq1n2/3p4/3N4/1PN1P1P1/PB3PBP/2RQ1RK1 w - -,d4c6
3r1rk1/1bqnnppp/p2pp3/1pb5/3NPP2/1PPQBBN1/P5PP/3R1R1K w - -,f1f2
5r1k/8/6p1/R5P1/3Q4/P5P1/2q2P1K/8 b - -,h8g8
2k3rr/pp1nbp2/q1p1p3/3pPp1p/3P3P/2N2QP1/PPPB1P2/2KR3R w - -,f3e2
8/5p2/3prkpp/8/3R3P/5KP1/5P2/8 w - -,d4d5
8/p2rqkp1/1pR1b2r/1p1p1p2/3P1Pn1/P3P1P1/Q5B1/2R3KN w - -,a2b3
8/5pk1/1p2p1pp/pq1nP3/8/PP4P1/1BQ2PKP/8 w - a6,b2d4
r1b5/5r1k/2p3pp/q3bP2/p2BP1n1/2p2R2/P1B1N1P1/3RQ1K1 b - -,c8a6
2r1r1k1/p2q1pb1/1p1p2pp/2nPp2n/P1P5/2P2N1P/2B1RPPB/2RQ3K w - -,c1b1
6k1/3R1p2/1p4p1/3p4/1r5P/8/5P1P/5BK1 b - -,d5d4
rnbqk1nr/pppp2bp/6p1/4pp2/2P5/2N2NP1/PP1PPP1P/R1BQKB1R w KQkq f6,d2d4:d2d3
3R4/8/8/pp3p1k/1r3P1P/4K3/8/8 b - -,b4b3
5r1k/pp1q2p1/3b2rp/3p4/2pQ4/P4N1R/1PP2PPP/5RK1 w - -,g1h1
r3k2r/1ppnqp2/p2pp1pn/7p/3PP2P/2N2P1R/PPPQB1P1/2K3R1 w kq -,g2g4
3R4/4r3/P5P1/8/2pk4/8/3K4/8 b - -,d4c5
2k4r/p2p1ppp/2n5/6B1/3q4/1P3P2/1P1Q2PP/R4K2 b - -,a7a5
