8/8/8/pp6/n7/k2B4/8/1K6 w - -,d3g6
2r1r1k1/pp3pp1/2q2n1p/4p3/8/2P3P1/PBQnPP1P/3R1RK1 w - -,d1d2
8/4b2r/1p6/1k3p1P/3B1P2/3K4/8/7R w - -,h1b1
r2qkb1r/1pp2ppp/2n5/3bp3/p7/P1QPBNP1/1P2PPBP/R4RK1 b kq -,f8d6
4rrk1/pbq2p2/1p1p2p1/2n1n3/2P1PQ2/1N3B2/P1PB2P1/R3R1K1 w - -,d2c3
4k2r/pp2bppp/1n2pn2/qb1p4/3P1B2/P2BPN2/1P1N1PPP/2Q1K2R w Kk -,c1c2
r1b1k2r/1pq1bp2/p2ppn1p/4n1P1/3NP2B/2NB4/PPP1Q1PP/2KR3R b kq -,f6g4
r1bq1rk1/pp2n1bp/2pp2p1/3Pp3/1PP1n3/2N2B2/PB3PPP/R2QR1K1 w - -,f3e4
r1bq1rk1/2p1bppp/p1np1n2/4p3/Pp2P3/1B1P1N2/1PP2PPP/RNBQR1K1 w - -,a4a5:h2h3:b1d2
1r6/1p1rkppp/2p5/p2n1P2/PnB1N3/4PK1P/1P3P2/2RR4 b - -,d5b6
8/4kpp1/6p1/8/2P5/2K2P1P/6P1/n7 b - -,e7d6
3r1r2/pp3ppk/6bp/1P2P3/2B4Q/8/3q1PPP/3R2K1 w - -,d1d2
r5k1/1pp4r/p3Q1p1/6Pp/7P/8/PPP5/2K2R2 b - -,g8h8
6k1/3R1p1p/2r3r1/1Q2p3/p3P2b/PbB5/1P3K1P/8 w - -,f2e3
4r3/nkpp1p2/r6p/2p1PNp1/2P1R3/1P2RP2/6PP/4K3 w - -,e1f2
r4r1k/2q1b1pp/p2p4/1p1Qpb2/2n3N1/1BP4P/PP3PP1/R1B1R1K1 w - -,g4e3
2r5/5p2/4k2R/4rp2/8/5R1P/5PPK/8 b - -,e6e7
8/8/7p/3p2k1/3P4/3n1pP1/5B2/3b1NK1 w - -,f1e3
1r3r1k/1p2b1pp/p3bq2/P2B1p1Q/1PN1p3/2P5/5PPP/2RR2K1 b - -,e6d5
3rrb1k/p5p1/1p5p/2pbpq2/4Nn1P/P2PBPQ1/1PPR3K/5BR1 b - -,c5c4
3q1r1k/ppR5/3pB1pp/3Pn1P1/5p1P/P1Q2P2/1P3K2/8 w - -,c7c8
r7/1kp2bp1/1b3p2/1p6/1Pp1P2p/2P1BP1P/1N4P1/4RK2 b - -,b6e3
1r2r1k1/3nq1bp/pn1p2p1/1bpP1p2/8/1P2N1P1/R1QNPPBP/B3R1K1 w - -,a1g7
r2r1q2/1b1n1pbk/p3n1pp/Ppp1p3/1P2P2P/2P1B1N1/1QBN1PP1/R2R2K1 w - -,c2b3
r3k2r/pp1q1p2/1bnpbn1p/2p1p1p1/4P3/2PP1NNP/PPB1QPP1/R1B2RK1 w kq g6,g3f5
1r6/1rk2p2/2p1b1p1/p1n1p2p/2P1P2P/4NPPB/1pK5/1N1R3R b - -,e6h3
r1bq1rk1/pp3pbp/2np2p1/2p2p2/3P4/2P1P1P1/PP1NNPBP/R2Q1RK1 b - -,g6g5
1r6/2b1k2p/1pPp4/3Pp1p1/4Pp2/5P2/5BPP/R5K1 b - -,e7d8
2k1r3/p6r/1p1p3p/n1p2p2/2nP3B/2P3PP/P1N2PK1/R3R3 b - -,e8e1
2b1r3/1p3pkp/p2r1np1/2qp4/3R1N2/1P2PP2/P2Q2PP/1B2R2K b - -,d6d7
r2r3k/1p4b1/1q2p1Qp/1b1P4/2B1P3/7R/P4PPP/5RK1 w - -,h3b3
2q4r/3kbp1p/1Q3p2/2pP4/P7/4P3/6PP/3R2K1 w - -,d5d6
r1b2rk1/1p3p1p/3ppp2/p1n5/2P5/PPR5/3NPPPP/4KB1R b K -,c8d7
r3r2k/2R3R1/1p1P2p1/7p/4P3/7P/1Pb3P1/6K1 w - -,g7h7
6r1/2k2p2/4pp2/1P2n3/8/2Bp1P2/1P4PP/3R1K2 w - -,c3e5
r2q1rk1/pb1n1pbp/1pp1pnp1/3p4/2PP1B2/2N1PN1P/PPQ1BPP1/2R2RK1 b - -,d8e7
8/3k1pp1/7p/1pbb1P1P/3p2P1/pP3B2/P1P1K3/8 w - -,f3d5
r2r2k1/5ppp/1qnp4/p2Qp1b1/1pP1P3/5B2/PPN2PPP/R2R2K1 w - -,b2b3
1r6/p4kp1/8/2p3p1/5p2/2P4P/bP2RKPB/8 b - -,a2c4
5rk1/p4r1p/6p1/3P4/3pB3/5P1P/P5P1/1R5K w - -,b1d1
r1r4k/pp1N1p2/4p1p1/P1p3Bp/1b1n1P1P/3R4/1P6/2RB1K2 b - -,d4f5
8/4nk2/6p1/pR4P1/5PK1/4r3/2B5/8 b - -,e3c3
5nk1/1p2qp2/pB1pp3/P6p/3PPPp1/6PP/1P1RQ3/2r4K w - -,h1h2
6k1/ppr1bpp1/6p1/2qp2P1/1n1N4/1P2PN2/1Q1R1PKP/8 w - -,d4e2
8/2r1pp2/1R1Pn1p1/1B3k2/2pP4/2P3pP/5PK1/8 b - -,e6f4
8/6p1/8/p2k1NPp/P6P/5K2/1Pr5/R7 b - -,c2b2
6r1/p3p2k/1p1pNp1p/q1pPn2R/2P1P1r1/2P5/P1Q3PP/5RK1 w - -,g2g3
1r1qnrk1/p2b1pbp/3p2p1/6P1/2nP1Q2/2N2B2/P3NP1P/1RB2RK1 w - -,b1b8
7r/1p3pk1/p3p1n1/1B1pn1P1/7r/2P5/PP1N2RP/3K3R w - -,b5e2
2b1r3/1p2r1k1/pR2p1p1/P1Pp3p/3P1P1P/2P1RNK1/8/8 w - -,f3e5
3r1rk1/pp1q1pp1/4bn1p/2p5/2P2P2/1Q1P2P1/PP2B1KP/R1B2R2 w - -,g2f2
r1bq1rk1/1pp1bpp1/n2p1n1p/p2Pp3/2P5/P1N2NP1/1P2PPBP/R1BQ1RK1 b - -,c8f5
3r2k1/3q1pp1/2p1b1np/1pb1pN2/4P2P/R1P2NP1/PP2QPB1/6K1 w - -,b2b4
1Q6/P4pk1/7p/2p5/6p1/6P1/4q2P/6K1 b - -,e2e1
8/1p2B2k/2r3pP/1n3q2/p3p3/3p1P2/P5Q1/6RK w - -,f3e4
3qr3/1p3pkp/r2pp1p1/p1n1n3/2P1P2P/1PN1NPP1/P2Q2K1/1R1R4 b - -,f7f5
8/8/r4k2/Pp4P1/5K2/8/R7/8 b - -,f6g6
r2q1rk1/1pp2ppp/p2pbn2/n1b1p1B1/2B1P3/2NP1QNP/PPP2PP1/R4RK1 b - -,h7h6
r2r2k1/3pbppp/1pn1p3/2p1N3/2P5/1P4P1/PB2PPKP/R2R4 b - -,c6e5
2kr1b1r/1bqn2pp/p7/4p3/1pP1n3/5N2/P1B1NPPP/R1B1QRK1 w - -,e2g3
r2qk2r/p2bbppp/3p1n2/4p3/4P3/2p1BP2/PPPQ2PP/2KR1BNR w kq -,d2c3
r3r3/pp3pkp/2p2qp1/2p5/4Ppb1/3P3P/PPPQ1PP1/R4RK1 w - -,h3g4
r4rk1/pb1nqpp1/1p1P1n1p/8/2Pp4/PQ3NP1/1B2PPBP/R4RK1 b - -,e7d6
7r/1p1kr3/p1p2pBn/3p2pP/1P1P4/4PP1R/1P3K2/6R1 b - -,d7c7
rnbq1rk1/ppp1ppbp/6p1/8/3PP3/2B5/PP2BPPP/R2QK1NR b KQ -,c7c5
3q1rk1/1p4pp/4b3/1Q3p2/p2Pp3/Pnr1N1P1/5PBP/1R1R2K1 w - -,b5a4
r2q1rk1/p4pbp/1p1ppnp1/4B3/2Q1P3/5P2/PPP1N1PP/2KR3R b - -,d6d5
3r3r/pp1nk3/2p2n1p/2b3p1/2P1p3/2N1P1BP/PP2B1KP/3R1R2 b - -,e7e6
8/8/2P4k/3Q2p1/7b/8/8/2r2K2 w - -,f1g2
1r1q1r1k/p5p1/1p5p/3P1p2/3Pp3/1Q2P1P1/P4PBP/2R3K1 w - -,c1c6
R7/5pk1/8/2r2p2/8/2b1P1N1/4KP2/8 w - -,a8a6
rn1qk2r/pbpp1pbp/1p3np1/3P4/2P5/P1N2N2/1P3PPP/R1BQKB1R b KQkq -,e8g8
8/1p3p1p/1np1k1p1/8/p2P1B1P/Pb1B1P2/1P4P1/4K3 b - -,e6d5
8/p3rpk1/2p2p1p/3br3/5R2/1P1B2P1/P4KPP/3R4 w - -,g3g4
r3kb1r/p3p3/2p2pp1/7p/2pP4/2PbPNB1/P4PPP/R3R1K1 w kq -,e1d1
4r2k/1p1n2pp/p5q1/3p1p2/3PrP1P/2P1pNP1/PPQ1R2K/2R5 w - -,f3e5
3q4/3n1kb1/4p2p/2ppP2p/1nP2P2/r2P2P1/5BB1/2RQ2K1 w - -,d1h5
8/1kp4p/p2qPpp1/1p6/1P1r4/5P1P/P1Q3P1/4R2K b - -,d6b4
2r4k/1p1r1pp1/p1bPp3/6p1/1P2P3/P7/1B5P/1B1R2K1 b - -,c6a4
2b1q1k1/5pp1/3Q3p/1pNPp2n/4P3/2P2R1P/5PPK/3r4 w - -,d6b8
3rr1k1/p2q1pb1/7p/BP4p1/P1RnP3/3N1PP1/5N1P/3Q1K2 b - -,d7e6
8/8/3k3p/8/7P/P3RP2/r3pK2/8 b - -,d6d5
5k2/R5p1/4Kp1p/3P1P2/8/4r3/8/8 w - -,e6d6
4B3/4p3/6p1/1Pk4p/5P1r/4K3/8/8 w - -,e8g6
8/ppk2Np1/8/1PpK1P2/2P5/5r2/8/8 w - -,d5e6
2k3nr/ppp3pp/5p2/5q2/3Q1P2/4B3/PP3PPb/4KB1R w K -,f1d3
r3k2r/1b2ppb1/pq4P1/2p1n1p1/1p2P1n1/6N1/PPPNQ1BP/R1B2R1K w kq -,g6f7
4k2r/pp1qb2p/2p3p1/4Q1B1/8/2P3P1/P4P1P/5RK1 b k -,h8f8
4r1k1/1pp4p/6p1/p2P4/5rP1/2N4P/PP3b2/R4R1K b - g3,h7h5
8/3P2pk/4Q3/pp2P3/5r2/5q1P/4R2K/8 w - -,e2g2
r1b3k1/p5bp/2pp1rq1/4p1n1/2P1P3/2BP2pp/P2Q1P1K/R2RN2B w - -,f2g3
1Q5R/5pp1/5n1k/5P1p/2P5/3q3P/6PK/8 b - -,h6g5
8/p4k2/1p1P1P2/n1p2N2/P3pK2/8/8/8 w - -,d6d7
2rr1k2/p4p2/1p2n1pp/2P5/1PBp4/8/P4PPP/3RR1K1 w - -,c4e6
r3r1k1/pb2qppp/n2b1n2/2pp4/5B2/P2N1NP1/1PQ1PPBP/R2R2K1 b - -,c5c4
8/5pkp/4p1p1/p1p5/nr2P3/1r3P1P/1P1RNKP1/R7 b - -,a4b2
8/5Pk1/4K3/8/3N4/b7/8/8 w - -,d4c6
6k1/2p3pp/4pn2/1P6/3N3P/1P4P1/5PK1/8 b - -,g8f7
r3kbnr/pppq1p2/2n4p/4P1p1/2Pp2bB/P2Q1N2/1P2PPPP/RN2KB1R w KQkq g6,h4g3
5k2/4pp1p/6p1/4bb2/B2P4/4PP2/1r4PP/2R3K1 w - -,d4e5
r2q1rk1/1p2ppbp/2bp1np1/3N4/p1PBP3/3B4/PP1Q1PPP/4RRK1 b - -,f6d7
8/p5k1/1p1bB3/1Pp4P/P3Kp2/8/8/8 w - -,e4f5
4r3/6k1/6p1/3p1p2/2p1b3/PrP1RN1P/8/R5K1 w - f6,f3d4
2kr4/pp1nb1rp/4b3/3pp1p1/P5P1/2N1BN1P/1PP2P2/R3K2R w KQ -,e3a7
2q3k1/pp3p1p/r3p1p1/3nn3/3PN3/5Q1P/PP3PPK/4R3 w - -,d4e5
r1b1k2r/p2p3p/1pnP1np1/q1p1pP2/2P5/2P1P2P/P2B1P2/R2QKBNR b KQkq -,g6f5
3r1r2/5bkp/1q1p1p2/p3pPp1/2P1P3/1P3QP1/6BP/R4R1K b - -,d8b8
