2k5/8/3K4/R2P4/8/8/2r5/8 b - -,c2h2
1R2r1k1/2P3p1/8/P6p/3B1Pn1/4Nb2/5r2/R3K3 b - -,f2e2
r1bq1rk1/1p2np1p/p2p2p1/3Pp3/P1N5/2P5/1P1QBPPP/2R2RK1 b - -,f7f5
4r1k1/pQR2pp1/1n5p/3p4/3Pp3/4P1PB/1P3P1P/4q1K1 w - -,g1g2
r2b2k1/5p1p/2RN1p2/pp6/1P2p3/P3P1P1/5P1P/6K1 w - -,d6b5
8/p3k3/2b1p2p/5p2/2P1n2P/P5PN/r4PB1/2R3K1 b - -,e4g3
1r4k1/4n1bp/3p2p1/1p1P4/4Pr2/2p5/2R1N1BP/1R5K b - -,f4f2
7r/2k5/1p2p3/p1p4p/b1P1P1p1/2RP4/4BKPP/8 w - -,f2e3
5k2/p7/5p2/1b1pp2P/r1p3P1/P1R2N2/5P2/5K2 w - -,f3h4
3q4/3n1rk1/1RBp3b/3Pp2p/1P2P1n1/2N3P1/4Q1K1/6B1 w - -,b6b7
8/p4rk1/1p5p/4Q1p1/5B2/3R1KP1/PPr4q/R7 b - -,g7h7
1rb1nk2/p4ppp/1p6/2p3N1/2Pp4/3P2P1/PP3PBP/4R1K1 b - -,c8f5
8/8/R3pk1p/2p2p2/3n1P2/1P5P/P5K1/8 b - -,f6e7
5nk1/2pbq1p1/3p3p/1p1P4/1P6/P5NP/5PB1/2Q3K1 b - -,d7e8
rnbqkb1r/pppppp1p/5np1/8/5P2/5NP1/PPPPP2P/RNBQKB1R b KQkq -,f8g7
1rb1r1k1/3nbppp/p1qpp3/1p2P3/3B1P2/P1NB4/1PP1Q1PP/2KR2R1 b - -,b5b4
r5kb/p2r1p1p/1pp2NpP/3p2B1/Pn1P2P1/5P2/1P3P2/1KRR4 b - -,h8f6
r2n4/2q1n1kp/1R1p1pp1/2p1p3/2P1P3/r2PNNPQ/5PKP/1R6 w - -,b1b3
r2qk2r/1p2ppb1/p2p1np1/3P4/4P3/4BPPp/PP1QB2P/R4RK1 b kq -,f6d7
4k2r/4bpp1/p2n2n1/1p1P1PP1/1P4B1/P2r2B1/4N3/R3K1R1 b Q -,g6h4
r1bq1rk1/pp2bppp/2n2n2/3p4/3Pp3/2N3P1/PP2PPBP/R1BQNRK1 w - -,e1c2
2rr2k1/pq1n1ppp/np1pp3/8/1PPNP3/P2N1QP1/5PKP/2R2R2 w - -,f1d1
1r4k1/3b3p/3N1n2/1p1P1p2/3p1P2/4r2P/1P2B1P1/R3RK2 b - -,f6d5
r2qk1nr/1p2ppbp/p1bp2p1/2p5/4PP2/2NP1N2/PPP3PP/R1BQ1R1K b kq -,e7e5
r1r2nk1/q2b1pbp/2p3p1/1pNn4/3P4/3B1N1P/P2BQPP1/RR4K1 w - -,b1c1
r1b2rk1/pp2bppp/2n5/q3p3/8/P2BPNB1/1PQ2PPP/R3K2R w KQ -,e1e2
5rk1/6p1/5q1p/3QNp2/3P4/P5b1/1P2BpP1/2R2K2 b - -,g8h7
1kr5/pp3pb1/6p1/2P2p2/5P2/2P2Q1P/PP1q4/1K5R b - -,c8e8
3n4/1p1k2pp/1p2pp2/8/4P3/6B1/PP2KPPP/8 b - -,e6e5
r7/5pk1/8/5R1P/6P1/8/5P1K/8 b - g3,a8a4
3q1rk1/Q2nbppp/1pp5/1bPp4/1P1P4/2BN4/4BPPP/R5K1 b - -,f8e8
4N3/8/b4kpp/4p3/3nB3/4K1P1/8/8 b - -,f6f7
6k1/5p2/6n1/rpr1P2R/4P3/5K2/2PB1P2/8 w - -,d2a5
r2q1rk1/pp1bppbp/2p3p1/n2P4/2P1P2N/6P1/P4PBP/1RBQ1RK1 b - -,a8c8
1q1rr1k1/pb2bppp/1pn1p3/3n2N1/3P4/P2BBN1P/1P2QPP1/3RR1K1 b - -,g7g6
5rk1/6pp/pn1pp3/q4pb1/P2P4/1PpQPN1P/5PP1/5RK1 w - -,f3g5
1r3rk1/pp2qb1p/6pb/2P2p2/3P4/4PBNn/P1Q4P/1RB1R2K b - -,f5f4
8/5pk1/1Q4pp/4P3/1p3q2/7P/6P1/7K b - -,f4c4
r4rk1/pp2q1bp/2n1p1p1/1NP3P1/Q2p3P/4Bn2/PPP5/2KR1B1R w - -,e3d2
r1b1kb1r/p5pp/n1p5/q2p1p2/1p1PnB1Q/7P/PPP1PP2/1NKR1BNR w kq -,f2f3
3kr3/3p3p/1p4p1/2bbN3/4n3/2P4Q/PP3pPP/R4RK1 w - -,g1h1
8/3nr1pk/2Q1p2p/2Pp4/1P6/3BP1P1/1q3P1P/R5K1 b - -,g7g6
2q1k1r1/3nbp2/1p2n3/3BP2p/3P2P1/PR4P1/5P2/2BQ2K1 b - -,h5g4
6k1/5p2/4p3/4b3/1P6/4KPrp/2R5/5B2 b - -,f7f5
r2q1rk1/pbpp1pp1/1pnb1n1p/4p3/2BPP2B/2P2N2/P2N1PPP/R2QR1K1 b - -,f8e8
3rr1k1/3q2b1/1p4pp/P4p2/P2pp3/3P2P1/2PB1PKP/R2QR3 b - -,e4e3
r1bq1rk1/pp2bppp/2p5/4P3/P1B1p3/7P/1PP2PP1/R1BQ1RK1 w - -,c1f4
r3r1k1/2pqbppp/p2p1n2/8/Q7/2N5/PPP2PPP/R1B1R1K1 b - -,d7a4
r1bqk2r/bpp2ppp/p1np1n2/4p3/2B1P3/2PPBN2/PP3PPP/RN1Q1RK1 w kq -,e3a7
r3r1k1/1b2bppp/p4n2/1p2q1B1/2p1P3/P1N5/1P2QPPP/1BRR3K w - -,f2f4
r5k1/ppQ2p2/2n1bpp1/8/1q1p1NP1/3R1P2/1KP4P/7R w - -,d3b3
r2qkbnr/pp3ppp/2p1p3/1B1Pn3/4P3/2Q5/PP3PPP/RNB1K2R b KQkq -,c6b5
2rqr1k1/5pb1/4p1p1/pp2B2p/2bP4/2P3Q1/P4PPP/1BR1R1K1 b - -,d8e7
2k5/p1p4p/4P1p1/1Pq1Bp2/P3bP2/1BQ5/K5PP/1r6 b - -,c5c3
rn1qkbnr/ppp1pppp/8/3p1b2/8/1P2P3/PBPP1PPP/RN1QKBNR b KQkq -,e7e6
r2r3k/1b2b1pp/1q3pn1/pNpp4/P1P5/5PP1/1PBRQ1NP/3R2K1 b - -,g6e5
r4rk1/1p3R2/2p1P1p1/p3q3/P7/8/5QPP/5RK1 b - -,f8e8
2r1k3/pp3p2/4pB2/3p4/b2n1P2/P1pBn3/R1P3PP/2K4R b - -,d4b5
r3qrk1/1ppb1p1n/n2p2p1/p2Pp2p/2P1P3/PPN2P2/3NBRPP/1R1Q2K1 b - -,e8e7
8/8/1N2k1p1/pP4p1/P2KP1P1/8/8/r7 b - -,a1d1
2r5/3q1rk1/pp1p2pb/3Pp1np/P3P3/R1R2BPb/1P2QP1N/4N2K b - -,c8c3
r3r1k1/2p2pbp/np1pn1p1/pq1NP3/5P2/P3B1PP/1PQ3BK/3RR3 w - -,d5e7
r5k1/p1p1qrbR/1pPp2p1/3Pp3/PP1nB1Q1/8/3B1PPP/5RK1 b - -,g8h7
rnbqk2r/pp3p2/7p/2Pp2p1/1b2n3/2N1P1B1/PPQ2PPP/R3KBNR b KQkq -,d8a5
4r3/3K3P/6k1/5p2/8/4PR1P/8/8 b - -,e8h8
2rq1rk1/1p1nbpp1/p3p3/1b2N2p/2pPPP2/2P1Q1B1/P3B1PP/1R3RK1 b - -,h5h4
8/5kp1/4r2p/7P/5PP1/3R1K2/8/8 b - -,e6a6
r3kb1r/p1nq1ppp/bpp1p3/4PPN1/3P4/1BN1Q3/PP4PP/R2R2K1 b kq -,e8c8
6nk/2rq3p/p3bppb/2rpP3/Pp1pP3/1P1P2PN/1RP2RKP/3B1QN1 b - -,f6e5
2r1n1k1/1bq2pp1/3rp2p/4p3/1p2P2b/5QN1/PNPRBPP1/1K1R4 w - -,b2c4
r4knr/pp3ppp/1qnNb3/4P3/3p4/5N2/PPP2KPP/R1BQ1R2 w - -,c1f4
3r2k1/pp3pp1/n1p4p/5b2/1BP5/2K2B2/PP4PP/4R3 w - -,e1e3
r2q1rk1/pppbppb1/2n2npp/8/8/2NP1NPP/PP1BPPB1/R1Q2RK1 b - -,g8h7
4rq2/pbk1p3/1ppp4/8/4Q3/3P4/PP3PPP/nNBKR3 w - -,c1f4
4r1k1/1pB2pb1/p3r3/6p1/P3n3/1NPR4/1P4P1/2K2R2 b - -,e8e7
8/1p6/8/1k6/8/K7/8/8 w - -,a3b3
8/5p1k/4n1p1/1p2p1P1/8/2P1q2p/1PQ5/2R2K2 w - -,c1e1
2k5/2b5/3p4/1PpPpK2/1pN1Pp2/1P3P2/8/8 b - -,c8d7
r6k/pp2b1p1/1np2r1p/8/1q1P2Q1/3B4/PP4PP/R1BR2K1 w - -,g4e4
2rr2k1/5p1p/5qp1/1pNp1n2/1P6/3RPPP1/4R1KP/3Q4 b - -,d5d4
6k1/ppr4p/6p1/2P1qp2/1PN5/P7/4B1KP/8 w - -,c4e5
8/7R/2k3p1/4K3/8/3b4/8/8 w - -,h7h1
2rq1rk1/pb3pp1/1pp1pn1p/8/3PP3/2N2N2/PP2QPPP/3RR1K1 b - -,d8e7
r1n1k3/pp5p/2p2ppn/4p3/2P5/5NPB/PP2PP1P/2KR4 w - -,d1d7
3r4/1b2Q1kp/pp1N1p2/n5q1/P1B5/1PP5/6PP/3R2K1 b - -,g7g6
2bqr1k1/2n2pp1/r2b3p/pp1pN1Pn/3P1P2/P1N3BP/1P3QB1/3R1RK1 b - -,h5g3
4rbk1/8/p1R3p1/2pNBp1p/4nP1P/1P6/P5P1/6K1 b - -,g8f7
6k1/4b1p1/3p2p1/6P1/1p2q3/1P5R/P5QP/2B4K b - -,e4e1
5rk1/p2r2pp/Bn1Np3/4P3/2p5/Pb1p2P1/1P1R3P/4R1K1 b - -,d7c7
7k/6p1/1rrp1q1p/p1pRp3/1pQ1P3/1PP2PP1/P5KP/3R4 w - -,a2a3
1R6/1p1r3p/1k3pp1/4p3/4K1P1/8/5PP1/8 w - -,b8f8
r1b1rnk1/1p2bpn1/2p3p1/p2P2P1/2P1Nq2/P4NR1/1BB2PK1/RQ6 b - -,g7h5
3q3r/3r2pk/1pnpbp1p/p2Np2B/2P1PP2/1n2Q3/PP4PP/R4RK1 w - -,a2b3
2bq2k1/3n1pb1/3P3p/p2Q2p1/Np2r3/5N1P/1P3PPB/R5K1 b - -,e4e8
rn1qkb1r/pp3ppp/2p1pn2/3p4/2PP2b1/3BP3/PP2NPPP/RNBQK2R w KQkq -,b1c3:h2h3
8/2r5/5k2/6pp/2NR4/2PK2PP/5P2/b7 b - -,c7a7
3r1qk1/8/1p2pPp1/p1p1P1Pp/PnP5/3P1R1Q/6KP/8 w - -,h3e6
R7/3r3p/5pkn/3R2p1/3K2P1/5P2/8/8 b - -,d7e7
8/pp3pk1/2b2qp1/P2p1n1p/7P/1PP1N1P1/3Q1PB1/6K1 b - -,f5e3
k2r4/pp3p2/8/4p3/4PnQ1/2P4p/P1PR3P/5qBK b - -,f1g2
B3qrk1/p1pn2bp/3pb3/5p1p/8/2N3P1/PPP1PP2/R1BQK2R b KQ -,e8a8
r1bq1rk1/bpp2ppp/p2p4/7Q/4P3/1BPn1N1P/PP3PP1/R1B2RK1 b - -,d8f6
1r2r1k1/p4p1p/2p2p2/1pq5/2P1p3/b3P1PB/P1QP1P1P/3R1RK1 w - b6,c2c3
1r4k1/3r1p2/p4Qp1/4Pp2/7p/1Pq3nP/P4BRK/4R3 b - -,b8b4
8/4r3/7k/2Pb1p2/p7/P2KB2P/8/6R1 b - -,h6h7
4Q3/6p1/5qk1/8/3b3P/6P1/5PK1/8 b - -,g6h7:g6h6
r2q1rk1/pppb1ppp/2nb1n2/3ppP2/6P1/4P2P/PPPPN1B1/RNBQ1RK1 b - -,h7h6
5r2/pr2bk1p/2R1pp2/4p3/8/3N2P1/P3PP1P/R4K2 w - -,a1c1
r2q1rk1/3nppbp/p1np2p1/1pp5/4P3/2PP3P/PPBN1PP1/R1BQR1K1 w - -,d2f3
8/5k2/8/5K2/5NPP/8/2b5/8 w - -,f5g5
r2r1nk1/1bq3b1/1p1N1ppp/pPp1P3/P2pPP2/5B2/1BQ3PP/2R2RK1 w - -,c2c4
r1bqr1k1/pp3pbp/2pp1np1/2n5/2PNPB2/2N3PP/PP3PB1/R2QR1K1 b - -,f6h5
4B3/3P3k/2n2p2/8/8/2K5/8/8 w - -,c3c4
rnbqkb1r/1p2pppp/p7/3p4/3P1B2/1QP2N2/P3PPPP/R3KB1R b KQkq -,b8c6
3r2k1/p3rpq1/bp1p3p/2pP2p1/Pn2P1P1/1R2N2P/1P1Q1PK1/1B2R3 b - -,a6c8
rn1q1rk1/pppn1pbp/3p2p1/4p3/2PPP1b1/2N1BN2/PP1QBPPP/R3K2R w KQ e6,e1c1
8/6pp/5k2/1b3p2/5P2/3N2PP/5K2/8 w - -,d3e5
3nk2r/3q1pp1/R3p3/2Q5/2p5/5PPp/3p3P/4R1K1 w k -,e1d1
r2q1rk1/pppnbppp/2n1p3/2P4b/2BP4/2N1BN1P/PP2QPP1/R3K2R w KQ -,e1c1
3qk2r/p1p3pp/4p3/1rQ1p3/3n4/1P6/P2N1PPP/R2K3R w k -,c5a7
r5k1/p6p/bpn1p1p1/3Nn3/P5P1/4BB1P/1q1RK3/4Q2R w - -,e2f2
r5k1/3Rbpp1/1q2p3/2p1P3/4P2n/1PP4p/P1Q2BPP/6K1 b - -,h4g6
rnbqk2r/pppn1p1p/4p1p1/3pP3/1b1P2Q1/2NB4/PPP2PPP/R1B1K1NR w KQkq -,h2h4
r1bq1rk1/ppp1nppN/8/b2Pn3/3p4/1BP5/P4PPP/RNBQ1RK1 b - -,g8h7
8/5p2/5p2/2RP1P1k/3r3P/4K1P1/5P2/8 b - -,d4d1
