8/p7/1P6/2K2k2/r7/8/P3R3/8 b - -,a7b6
rq3rk1/pp1bbppp/2nppn2/8/4PP2/1NN1B3/PPP1B1PP/R2Q1RK1 w - -,a2a3
8/2p1b3/p1p3p1/P1P2p2/1P1NbP1k/2B1K3/7P/8 b - -,g6g5
r2q2k1/pbR2rpp/1p3b2/3p1p2/4nB2/5NP1/PP2PPBP/3Q1RK1 w - -,c7f7
1rbq1rk1/7p/p2pRnp1/P1pPp3/2N5/2P3P1/3Q1PBP/R5K1 b - -,f6e8
3k4/1p5r/p6p/8/2P1pBn1/1P6/1PK4P/4R3 b - -,g4f6
2B4k/6p1/p6p/5p2/2n5/P3B3/1P5P/6K1 w - -,e3d4
r1bqk2r/5ppp/p1p1pn2/2bpP3/5P2/2N5/PPP1B1PP/R1BQ1R1K b kq -,f6g8
2q2bk1/p2r1p2/n1p2p1p/2P3p1/Q2Pr2P/1R2BNP1/P4P2/1R4K1 w - -,a4a5
q4rk1/3n2bp/1r1ppnp1/1Np5/P3P3/3R1NP1/1PQ2PKP/2B1R3 b - -,d6d5
r2q1rk1/1b2bppp/p1np1n2/1p2p3/P3P3/1BN1BN1P/1P3PP1/2RQ1RK1 b - a3,c6a5
5k2/8/5Bp1/p2P1nP1/4N3/8/5KB1/1r6 w - -,e4c5
8/8/5k2/4p3/2p5/P4R1P/2r2PK1/8 b - -,f6g6
4rrk1/pp2npb1/3p1q2/2pP1p2/2P4p/3B2P1/PPQB1P1P/1R2R1K1 w - -,g1g2
8/8/pp2K1nk/8/7P/P4B2/1P6/8 w - -,h4h5
2r4r/pp2k1pp/2pn1p2/5b2/PP6/2N3P1/4PPBP/R2R2K1 w - -,a4a5
2r3k1/pp2npbp/2bqp1p1/8/P1P5/3B1N2/4QPPP/R3R1K1 w - -,a1a2
8/5p2/2p1k3/5r1p/8/1P1p2B1/P5K1/R7 w - -,a1d1
5rrk/4q2p/4p3/pp1nPp2/3BnP2/2P4Q/PP2N1RP/6RK b - -,e7f7
