8/7r/8/3R4/3K1kP1/7P/8/8 w - -,d5f5
r2q1rk1/1pp1b1pp/pnn1bp2/4p3/1P6/P1NP1NP1/4PPBP/1RBQ1RK1 w - -,c1b2
r1bq1rk1/p1pn1ppp/4p3/1N6/1bBP1P2/5N2/PP3PPP/R2Q1K1R w - -,g2g3
4nB2/1R4pp/1pr2pk1/4p3/P3P3/5PK1/6PP/8 w - -,b7e7
4rrk1/p1q3pp/1p1n1p2/2pPp3/4PPb1/P1PQBN2/6PP/4RRK1 b - -,g4f3
6k1/5pp1/7p/2q5/p7/P3QPP1/1r3P1P/4R1K1 b - -,c5e3
r3r1k1/pp3pp1/1bp1b2p/8/3Bn3/P3N2P/1PP2PP1/R2BRNK1 b - -,b6d4
3qr1k1/p4pp1/2b4p/3p4/1P2nN2/P4Q1P/5PP1/1B1R2K1 b - -,d5d4
2k5/1p6/p2bp1bp/3p4/8/2PN4/PP1KB3/8 w - -,d2e3
r2rb1k1/pppq2pp/2n1pb2/3pN3/P1PP4/BP4P1/3QP1BP/R4R1K b - -,c6e5
1r3r2/p2b1p2/Bp1p4/2PPk2p/P3PpP1/2R2P1P/8/1R4K1 b - -,b6c5
r5k1/pp2nr1p/1qn1pbp1/3p4/3P4/2BB1N1P/PP2QPP1/R4RK1 w - -,a1d1
2kr1r2/ppq3p1/2pb1p1p/2p1nP2/4PB2/3PQ2P/PPP1N3/1K1R3R w - -,f4e5
1rb3k1/4p1bp/p1q1p1p1/2N5/2P5/2B2rP1/PP3P1P/R3QRK1 w - -,c3g7
r1b2rk1/1p4qp/p1nbp1p1/3p4/3P4/2NB1NP1/PP3PP1/R2QR1K1 w - -,d3c2
rnb1k2r/pp3ppp/2p2n2/q3p1N1/3P4/P1P2B2/2PQ2PP/R1B1K2R b KQkq -,h7h6
rnb4r/1pk1n2p/p5p1/2p2p2/2P5/2N2pP1/PPN1P2P/2KR1B1R w - -,e2f3
3n2k1/2r2p2/3R2pp/ppN5/8/7P/PPP3P1/7K b - -,d8c6
8/4k3/8/8/6PP/2b2K2/4B3/1r6 b - -,b1e1
6k1/2N2rb1/1p1Bp3/p2bPqpp/8/3PR2P/1P4P1/4Q1K1 b - -,d5b7
5r1k/7p/1p3q2/pP1p1r1p/3Pp2R/2R1Q1P1/1P3PK1/8 w - -,c3c2
r1bq3k/5rp1/p1pp1n1p/1p2p1R1/4P2P/1PNPB3/1PP1QP2/2K3R1 w - -,g5g6
r1b2rk1/1q1nbppp/p2ppn2/8/Np1NP3/1B2BPQ1/PPP3PP/R4RK1 w - -,c2c3:f1d1:a1c1:a2a3
4r1k1/pp3pPp/2p2Q2/3p4/1q3nP1/8/P4P1P/3B1RK1 b - -,b4e4
rnbqk2r/ppppppbp/5np1/8/2P5/1P3N2/PB1PPPPP/RN1QKB1R b KQkq c3,e8g8:c7c5:d7d6
8/4pk2/3b2p1/4p2p/R3K2P/1r2B1P1/5P2/8 b - -,b3b5
6k1/5pp1/pq2p2p/1p1bP3/1P3P2/P5P1/4QK1P/2R5 w - -,e2e3
r6r/p1kn1p1p/qp1p1PpB/PRpPn3/2P5/2P5/2Q1B1PP/5RK1 w - -,h6f4
r3k2r/1ppnq1bp/p2pPnp1/8/P3P3/2N5/1PP1B1PP/R1BQ1RK1 b kq -,e7e6
5k2/p1r2p2/1pp2npp/3pR3/3P4/2N4B/PP1K1PPP/8 b - -,g6g5
r1bq1rk1/pp3ppp/3b1n2/3p4/3P1p1Q/1B6/PPP1N1PP/R1B2RK1 b - -,f8e8
r2qkb1r/pp1n1pp1/4p1bp/2ppP3/3P1PPn/1NP5/PP2B2P/R1BQNRK1 b kq f3,c5d4
8/8/5p2/2R3pk/r7/5PK1/8/8 b - -,a4d4
3k4/6P1/1NK4q/pp6/8/1P3P2/8/8 w - -,c6b5
r1q2rk1/1b1p2pp/np1ppn2/p4p2/N1P5/1Q3NP1/PP2PPBP/R1B3K1 w - -,a4b6
1r4k1/1Q3p1p/pp1q2p1/4p3/2Pb4/1P2N1P1/P4PKP/3R4 w - -,b7d5
r3k3/pbqp1p2/1p2pb2/8/2P3Q1/P2B1nPK/1P3P2/R1B2R2 b q -,e8c8
2kr2r1/ppqbnp1p/2n1p2Q/3pP3/3P4/P2B1N2/2P2PPP/R1B2RK1 b - -,e7f5
8/8/2r3k1/1R6/6PK/8/7P/8 w - -,b5f5
r1b1n2r/pp2kppp/3p4/8/4Pp2/B1P5/P1P3PP/3RKB1R w K -,e4e5
8/r2k3p/3p2p1/8/2PK4/5P2/4R1PP/8 b - -,a7a1
r3kbr1/1bqp1p1p/ppn1pp2/8/1PP1P3/P1NQ1NP1/4BP1P/R4RK1 b q -,f8e7
3r1r1k/pp1n1p1p/2p2n2/q3PN2/5Q2/1P4P1/P2R1PBP/3R2K1 b - -,f6d5
8/1r5p/1P4p1/3kp3/8/4K3/6PP/1R6 b - -,b7b8
r3qrk1/pb5p/1np1p1p1/2QpP3/2P2P2/1P1N3P/P3N1P1/R4RK1 w - -,a1c1
1r1qr1k1/pb3pbp/1p1pp1p1/1P6/P1PP4/4R1P1/1B3P1P/R2Q1BK1 w - -,d1b3
1r1r2k1/1b2bppp/pq6/1ppnPR2/4N3/2P3P1/PP1BQ1BP/R6K b - -,b7c8
1r6/5k1p/8/PbP2p2/1P4p1/3p1P2/1R2p1PP/1N2K3 w - -,f3g4
8/3r2p1/1p2kp2/2p1p2p/2Nb3P/Pr4P1/1PR1RPK1/8 w - -,f2f4
r2qkb1r/3nn3/p3pp2/1p1p2Bp/3P3P/2NQ1N2/PP3PP1/R4RK1 w kq -,g5f4
2b5/4k3/p1p4p/PpNp2pr/1P3R1P/2P1KPP1/8/8 w - g6,f4g4
2r3k1/p2r1pb1/1p4pp/n1pN4/2P5/3P2P1/P2B1P1P/1R3RK1 b - -,a5c6
4r1k1/6pp/n2qb3/pp3p1P/2p2N2/P5P1/1PQ2PB1/4R1K1 w - -,g2d5
r2qkb1r/pp2nppp/2p1p1b1/3nP3/3PN3/P5N1/1P2BPPP/R1BQK2R b KQkq -,e7f5
rr3nk1/1p3ppp/p2p4/n1p1pPPP/q1P1P3/2PP4/4QBB1/1R2K2R w K -,g5g6
r2qk2r/pp2bppp/2n1b3/2ppP3/5B1P/2P2N2/PPP1Q1P1/2KR1B1R b kq h3,h7h6
r2q1rk1/3nbppp/pn1p4/Np1Pp1P1/8/4BP2/PPPQB2P/R3K2R b KQ -,f8e8
b4r1k/2p3pp/1b1p1n2/1p1Pp1N1/4P3/3Q3P/qPB1RPPK/2B5 w - -,g5e6
8/1pr1kppp/1p2pb2/r7/b2pP3/P5P1/NP1R1PBP/4R1K1 w - -,f2f4
1r6/3pkp2/2bRp2r/p7/1p2P1B1/1P3P1P/PKP5/3R4 w - -,a2a3
r1q2rk1/pb1pbppp/1pn1n3/2p1P3/8/P1N2NP1/1PQ2PBP/R1BR2K1 w - -,c3d5
rr4k1/2Rn1pp1/2Qq1nbp/1B1p4/3N4/4PN1P/5PP1/5RK1 b - -,d6c6
r4rk1/1ppb2pp/2np4/p1b2p1q/2P2P2/P3PN2/1PQN1PBP/R5RK w - -,f3g5
r2r2k1/pp1n1pb1/2p3pp/4p2q/2P1P1n1/2NQBBPb/PP1N1P1P/R3R1K1 b - -,d7c5
3q1rk1/1p3r1p/2p5/p2p2p1/P2Pp1P1/4PbPP/1PQ3BK/2R3R1 b - -,f3g2
8/8/2NR2p1/5pk1/4r3/3K4/8/8 b - -,g5h5
8/5k2/1N5p/p1p5/b7/8/1P3PP1/6K1 b - -,a4b3
b4rk1/p4ppp/4p3/1p2P3/3p1P1q/1P2Q3/P1P2RRP/7K w - -,e3g3
r7/1p3k2/4b3/2Ppp2r/p5pP/P2KN3/1P3B2/6R1 b - -,a8g8
2B5/5pk1/3p1pp1/3P4/5Q1p/5P2/2P5/2K2q2 w - -,c1d2
r1b2rk1/pppnq1bp/3p2pn/4pp2/2PP4/2N1PN1P/PP2BPPB/R2Q1RK1 b - -,c7c6
8/8/r3pK2/P4p2/4kP2/R3P3/8/8 b - -,e6e5
r2q1rk1/pp3ppp/2n1n3/8/1P6/P4NP1/1b1NRPBP/1bBQ2K1 w - -,c1b2
4rrk1/nb2q1pp/3p1n2/1p2p3/1P2P3/P2Q2P1/1BR2NBP/4R1K1 w - -,e1c1
r2r2k1/pb2qppp/1pn2n2/2bp4/8/P1NQPNP1/1P1B1PBP/R2R2K1 w - -,c3e2
5r1k/5qp1/p3R2p/1p6/4QPK1/1P4P1/P6P/8 b - -,f7d7
5k2/5p2/3Nn1p1/1P2Q2p/1q6/5PKP/6P1/8 w - -,b5b6
r4rk1/p3npbp/bpqp2p1/nN2p3/P3PP2/2PQB1P1/1P2N1BP/3R1RK1 b - -,a5c4
r1bqkb1r/3p1ppp/p1p1pn2/6B1/4P3/2NB4/PPP2PPP/R2QK2R b KQkq -,h7h6
2b2rk1/p4pbp/2np2p1/q1p2P2/1nP1P3/3P1N1N/P2Q1RBP/1R5K w - -,h3f4
r5k1/pp2brp1/1q1p1n2/3p1p1p/2P2PP1/2N2QP1/PP4B1/R1B2R1K b - -,h5g4
r3k2r/3nbpp1/2p1p3/p2NP3/PpBP3q/4BQ1P/1P3PP1/R4RK1 b kq -,c6d5
r2q1rk1/1b2bppp/p1n1pn2/1p4B1/3P4/P1N2N2/1P3PPP/RB1QR1K1 w - -,d1d3
4r1k1/pp1nrp1p/4q1p1/8/1Pn1N3/1BP3QP/P4PP1/3RR1K1 b - -,b7b5
5rk1/B1pR3p/4p1p1/5r2/8/1P3n1P/P1P5/R6K w - -,a1f1
r4b1r/4kp2/p2p1p2/1bq1pP1N/1p2P2P/8/PPP1Q1P1/1K1R1B1R w - -,e2g4
r3nrk1/ppqnbppp/2p1p1b1/8/3PNP2/2P3P1/PP3NBP/R1BQ1RK1 w - -,d1b3
8/5pkp/8/2pP4/3bP3/4n2p/6P1/R4R1K b - -,h3g2
6k1/1pB3pp/2p5/p2r1p2/Pn6/3P2P1/4PPKP/1R6 w - -,g2f3
r4rk1/pp2bppp/1qn1bn2/3pN3/3P1B2/1pN3P1/P3PPBP/2RQ1RK1 w - -,e5c6
8/1pb5/p1p1nkp1/5p2/2B5/P1P3P1/1P1K1B1P/8 w - -,d2e2
2r2rk1/1b3ppp/p3p3/2bn4/Pp3B2/1B1R1P2/NPP2PKP/R7 w - -,f4e5
2n5/6B1/3p4/2pP4/2P1k3/1K6/8/8 w - -,b3c3
8/3k3p/3p2p1/p2Kb1P1/1pPN3P/1P6/P7/8 w - -,d4e2
r2qr1k1/p3bppp/2p1p2B/8/2nPN1Q1/3R4/PP3PPP/R5K1 b - -,e7f8
3r3r/q2kbp2/p7/1b1pP2p/1p1P2pP/1P4B1/P2Q1PP1/2R1R1K1 w - -,e5e6
2kr3r/1p3p1p/1pn1pp2/1B6/4P3/4Kb1P/PPp2PP1/R6R w - -,g2f3
rnbqkbnr/pp2ppp1/2p4p/3p4/3PP3/2N5/PPP2PPP/R1BQKBNR w KQkq -,g1f3:f2f3
3rr1k1/pp2q3/1np2pp1/7p/4PQ1P/6P1/PP3P2/2RN1BK1 b - -,g8g7
r1b1kb1r/1pq2ppp/p1p2n2/4p3/4PP2/2NB4/PPP3PP/R1BQ1RK1 w kq -,g1h1:f4f5
8/ppk2ppp/4pn2/8/2Pb4/P4PP1/4K2P/5R2 w - -,e2d3
1q1rr1k1/4bpp1/1p2nnp1/1Ppp4/8/2BPP1P1/2QN1PBP/R4RK1 w - -,c3b2
r4rk1/pp1b1pp1/2pb1q1p/3p4/3P4/2NBP3/PPQ2PPP/R3K2R b KQ -,g7g6
8/r7/4p3/2P5/3K3p/5k2/2R5/8 w - -,c5c6
8/4bp2/3p2k1/1R4p1/1P4r1/p2N4/P2K4/8 w - -,b5b7
7k/5Q1p/1p1q4/3p1R2/3P4/6PP/5P1K/4r3 w - -,f5d5
r2qnrk1/pp3pbp/n2p2p1/2pPp3/2P1P1b1/P1N2N2/1P2BPPP/R1BQR1K1 b - -,g4d7
N1b2r1k/pp5p/3R2p1/8/1pBq1p2/8/P5PP/6K1 w - -,d6d4
r1bqk2r/pppn1pbp/3p1np1/3Pp1B1/2P1P3/2N5/PP3PPP/R2QKBNR w KQkq -,f2f3
4k3/Q3p3/8/3qn2P/6P1/5P2/6K1/8 w - -,a7a4
4r1k1/p4ppp/1r4b1/2pR4/1qp2Q2/6P1/PP2PP1P/2KN3R b - -,b4a4
2R5/1p1r4/4pkpp/PP2pp2/4P1PP/4KP2/8/8 w - -,c8c1
8/r7/P3k3/5p1p/5K1P/R7/6P1/8 w - -,a3a5
r4r2/p2qp1bk/n1pp1npp/5b2/Q1P5/2N3P1/PP1BNPBP/R4RK1 b - -,a6b8
r3k2r/pbqnbppp/1p2p3/2pnP3/8/2PB1N2/PP1NQPPP/R1B2RK1 w kq -,g2g3
r1b2rk1/ppp1qpb1/3p2n1/3Pp3/1PP1Pnpp/1N3P2/P2N1BPP/R2QRBK1 b - -,g4g3
1r1rq1k1/1bp2p1p/p4bp1/1pN5/3pP3/3B1P2/PP1Q2PP/2R2RK1 w - -,f3f4
8/p1R3p1/5pkp/8/r5P1/4P3/5P1P/5K2 w - -,h2h3
1nrq1rk1/p3bppp/bp1ppn2/8/2P1PP2/P1N1B3/1P1NB1PP/2RQ1RK1 b - -,d6d5
2r1r1k1/ppqbppb1/3p1np1/4n2P/3NP2P/2N1BP2/PPPQB3/1K1R3R b - -,f6h5
r3k2r/ppq1n1pp/2nbbp2/4p3/3pPP2/3P1NP1/PP2N1BP/R1BQ1RK1 w kq -,f4e5
r1b1kb1r/2q2ppp/p1pppn2/8/4PP2/2NB4/PPPBQ1PP/R3K2R b KQkq f3,f6d7
4Q3/1pk2p1p/p1n2Br1/6P1/8/8/1P4K1/8 w - -,e8f7
k7/1b6/p6p/5p2/p7/2P1rP2/3rBR1P/R4K2 w - -,a1a4
r4r1k/p1p3pp/1p1bbp2/4p2q/2BnQ3/PP1PP3/1B1N1PPP/R4RK1 b - -,e6f5
4rbk1/1p2pp2/1qp2np1/r3Bb1p/p2PpQ2/P1N3PP/1PP2PBK/1R1R4 b - -,b6a6
r2q1r1k/p5pp/1p1bQ3/6P1/5P2/P1N1P3/1P5P/1KBR3n b - -,h1f2
8/1k6/p1p5/4p1p1/2B3n1/4b3/PP6/1K2B3 b - -,e3f4
8/7K/6Q1/5p1P/4k3/6P1/6q1/8 w - -,g6e8
rr4k1/5pb1/1Pp2nq1/p2p4/P2Pp3/1P2P1PB/4QP1R/R5K1 w - -,a1c1
3r4/p3k1p1/1p2p2p/3b1p2/3N1P1P/1P2P3/P4KB1/4N3 b - -,d5g2
3r4/5ppk/2p1b2p/4p3/1pP1P3/1P3P2/1q1N1bPP/3R1Q1K w - -,f1f2
8/3k4/8/1R6/N1K5/1p6/8/1r6 w - -,a4c5
2R5/8/3kp1p1/2nbb3/p5PP/8/3N1P2/6K1 w - -,d2b1
2r4r/pp2nkp1/2nbppp1/q2p4/3P2PP/2PBB3/PP2NP2/R2QK2R w KQ -,e1f1
3rb1k1/pp1r1p1p/2n1p1p1/qB2P1b1/P3Q3/2P2N2/5PPP/1R2R1K1 w - -,f3g5
8/5k1p/3Q2n1/4p2P/8/8/1rr2BbK/8 b - -,g6e7
6k1/1b3ppp/4n3/1P2p1P1/p5RP/2B1r2B/2P5/2K5 w - -,g4c4
rr2n1k1/ppnbqpb1/3p2p1/2pP3p/P3PB2/2N2PN1/1P1QB1PP/R3R1K1 w - -,g3f1
r1r3k1/pp2ppbp/1nnp2p1/8/4PP2/1NP2R1P/PP1B2P1/R2N3K b - -,b6c4
r3r3/p1p2kp1/1p1p1n1p/n2Pp3/2P5/P1P1B2P/3NRPP1/1R4K1 b - -,a8c8
1k1q4/pp6/2p2p2/4n2B/5p1P/2Q5/PP3PP1/6K1 b - -,d8h8
5k2/pp4R1/8/3pB3/8/3rp3/PP4P1/6K1 w - -,g1f1
8/2R5/p5p1/1b4k1/4p2p/P3N2P/3r2P1/6K1 b - -,g5f4
r6k/4p1bp/pq1p1rpn/2p2pN1/2Q1P3/R7/1PPP1PPP/2B2RK1 w - -,a3b3
8/6k1/3pr1p1/P2Q3p/2P4P/6P1/P2R1PK1/4q3 b - -,e1e4
2b2rk1/p5bp/1r1p4/2p2p1q/5R2/2PPB1N1/P2Q3P/2R4K b - -,c8b7
4bRk1/q5p1/p3p2p/3pQ2P/6P1/2P5/P5KB/4b3 b - -,g8f8
6k1/Qb3p2/4p1p1/1P2q3/8/3B4/6P1/6K1 b - -,e5d5
3r1rk1/1b2bppp/pN1pp3/8/2PBn3/1P6/P3BPPP/2R2RK1 w - -,e2f3
1r3rk1/p3bppp/2p5/q1ppP3/3Pn3/P1P1BN2/1PQ1b1PP/1R2K2R w K -,e1e2
2r3k1/b1qp2p1/p1b1prp1/1p2p1Q1/1P2P2P/2P3P1/P3NPB1/3R1RK1 w - -,e2c1
1r6/7p/6p1/3B2P1/1p1kP1K1/3P4/3b4/5R2 w - -,f1b1
